Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,878.99100E-006,134.38000E-003,-299.99000E-003,-271.88800E-009,134.38000E-003
1,1,2,99.99990E-003,875.18300E-006,241.63800E-003,-293.99800E-003,858.75000E-009,241.63800E-003
1,1,3,100.00000E-003,871.11600E-006,350.23600E-003,-287.99800E-003,1.26500E-006,350.23600E-003
1,1,4,100.00000E-003,866.87800E-006,461.51700E-003,-281.99800E-003,1.48723E-006,461.51700E-003
1,1,5,100.00000E-003,862.63900E-006,568.43300E-003,-275.99800E-003,1.73910E-006,568.43300E-003
1,1,6,100.00000E-003,858.31600E-006,677.02000E-003,-269.99700E-003,1.87069E-006,677.02000E-003
1,1,7,100.00000E-003,854.01600E-006,785.74700E-003,-263.99800E-003,1.98770E-006,785.74700E-003
1,1,8,100.00000E-003,849.69300E-006,894.06400E-003,-257.99800E-003,2.12689E-006,894.06400E-003
1,1,9,100.00000E-003,845.31600E-006,1.00099E+000,-251.99700E-003,2.23907E-006,1.00099E+000
1,1,10,100.00000E-003,840.84200E-006,1.10808E+000,-245.99800E-003,2.33602E-006,1.10808E+000
1,1,11,100.00000E-003,836.37600E-006,1.22875E+000,-239.99800E-003,2.20926E-006,1.22875E+000
1,1,12,100.00000E-003,831.94400E-006,1.33646E+000,-233.99700E-003,2.45845E-006,1.33646E+000
1,1,13,100.00000E-003,827.47500E-006,1.44331E+000,-227.99700E-003,2.58333E-006,1.44331E+000
1,1,14,100.00000E-003,822.99200E-006,1.55025E+000,-221.99700E-003,2.68756E-006,1.55025E+000
1,1,15,100.00000E-003,818.44500E-006,1.65944E+000,-215.99700E-003,2.77688E-006,1.65944E+000
1,1,16,100.00000E-003,813.98600E-006,1.77152E+000,-209.99700E-003,2.82420E-006,1.77152E+000
1,1,17,100.00000E-003,809.50800E-006,1.87846E+000,-203.99690E-003,2.94235E-006,1.87846E+000
1,1,18,100.00000E-003,804.86500E-006,1.98534E+000,-197.99690E-003,3.04411E-006,1.98534E+000
1,1,19,100.00000E-003,800.30500E-006,2.09223E+000,-191.99680E-003,3.13769E-006,2.09223E+000
1,1,20,100.00000E-003,795.41600E-006,2.23371E+000,-185.99810E-003,2.71427E-006,2.23371E+000
1,1,21,99.99990E-003,790.84800E-006,2.34065E+000,-179.99700E-003,3.11775E-006,2.34065E+000
1,1,22,100.00000E-003,786.20400E-006,2.44754E+000,-173.99700E-003,3.27056E-006,2.44754E+000
1,1,23,100.00000E-003,781.48800E-006,2.55439E+000,-167.99710E-003,3.37532E-006,2.55439E+000
1,1,24,100.00000E-003,776.76000E-006,2.66124E+000,-161.99700E-003,3.46569E-006,2.66124E+000
1,1,25,100.00000E-003,771.97500E-006,2.77638E+000,-155.99700E-003,3.49834E-006,2.77638E+000
1,1,26,100.00000E-003,767.10400E-006,2.88332E+000,-149.99700E-003,3.59111E-006,2.88332E+000
1,1,27,100.00000E-003,762.30900E-006,2.99231E+000,-143.99740E-003,3.62552E-006,2.99231E+000
1,1,28,100.00000E-003,757.43000E-006,3.09959E+000,-137.99710E-003,3.71877E-006,3.09959E+000
1,1,29,99.99990E-003,752.30100E-006,3.23410E+000,-131.99790E-003,3.38000E-006,3.23410E+000
1,1,30,100.00000E-003,747.40300E-006,3.34575E+000,-125.99760E-003,3.61830E-006,3.34575E+000
1,1,31,100.00000E-003,742.43100E-006,3.45668E+000,-119.99770E-003,3.71848E-006,3.45668E+000
1,1,32,100.00000E-003,737.33200E-006,3.56365E+000,-113.99700E-003,3.86242E-006,3.56365E+000
1,1,33,100.00000E-003,732.26100E-006,3.67051E+000,-107.99690E-003,3.94573E-006,3.67051E+000
1,1,34,100.00000E-003,727.14300E-006,3.78606E+000,-101.99700E-003,3.96434E-006,3.78606E+000
1,1,35,100.00000E-003,722.00100E-006,3.89292E+000,-95.99690E-003,4.04562E-006,3.89292E+000
1,1,36,100.00000E-003,716.78500E-006,3.99980E+000,-89.99700E-003,4.11046E-006,3.99980E+000
1,1,37,100.00000E-003,711.49100E-006,4.10907E+000,-83.99690E-003,4.15395E-006,4.10907E+000
1,1,38,100.00000E-003,705.97300E-006,4.24306E+000,-77.99810E-003,3.82374E-006,4.24306E+000
1,1,39,100.00000E-003,700.63200E-006,4.35235E+000,-71.99750E-003,4.06925E-006,4.35235E+000
1,1,40,100.00000E-003,695.30700E-006,4.45922E+000,-65.99700E-003,4.20552E-006,4.45922E+000
1,1,41,100.00000E-003,689.87500E-006,4.56609E+000,-59.99710E-003,4.28272E-006,4.56609E+000
1,1,42,100.00000E-003,684.16300E-006,4.67298E+000,-53.99710E-003,4.34876E-006,4.67298E+000
1,1,43,100.00000E-003,678.59900E-006,4.78097E+000,-47.99710E-003,4.40059E-006,4.78097E+000
1,1,44,100.00000E-003,672.95400E-006,4.89032E+000,-41.99770E-003,4.41024E-006,4.89032E+000
1,1,45,100.00000E-003,667.31300E-006,4.99718E+000,-35.99700E-003,4.49687E-006,4.99718E+000
1,1,46,100.00000E-003,661.56000E-006,5.10407E+000,-29.99710E-003,4.55731E-006,5.10407E+000
1,1,47,100.00000E-003,655.41500E-006,5.24136E+000,-23.99800E-003,4.19092E-006,5.24136E+000
1,1,48,100.00000E-003,649.72300E-006,5.34838E+000,-17.99720E-003,4.47480E-006,5.34838E+000
1,1,49,100.00000E-003,643.78500E-006,5.45529E+000,-11.99700E-003,4.57902E-006,5.45529E+000
1,1,50,100.00000E-003,637.88600E-006,5.56224E+000,-5.99700E-003,4.65257E-006,5.56224E+000
