Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99990E-003,15.20050E-006,69.95200E-003,-299.99600E-003,-672.22800E-009,69.95200E-003
1,1,2,100.00000E-003,15.04020E-006,192.48600E-003,-292.85400E-003,20.76240E-009,192.48600E-003
1,1,3,99.99990E-003,14.93500E-006,301.89100E-003,-285.99200E-003,284.83100E-009,301.89100E-003
1,1,4,99.99990E-003,14.82670E-006,408.83300E-003,-278.99900E-003,477.73000E-009,408.83300E-003
1,1,5,99.99990E-003,14.72660E-006,515.75900E-003,-271.99900E-003,610.81000E-009,515.75900E-003
1,1,6,99.99990E-003,14.62350E-006,623.09000E-003,-264.99900E-003,717.62000E-009,623.09000E-003
1,1,7,99.99990E-003,14.52310E-006,733.15700E-003,-257.99900E-003,780.09000E-009,733.15700E-003
1,1,8,99.99990E-003,14.42600E-006,841.89500E-003,-250.99900E-003,859.97000E-009,841.89500E-003
1,1,9,99.99990E-003,14.32630E-006,948.79500E-003,-243.99900E-003,941.01000E-009,948.79500E-003
1,1,10,99.99990E-003,14.22380E-006,1.05571E+000,-236.99900E-003,1.00455E-006,1.05571E+000
1,1,11,99.99990E-003,14.12940E-006,1.16878E+000,-229.99900E-003,1.00935E-006,1.16878E+000
1,1,12,99.99990E-003,14.02530E-006,1.27914E+000,-222.99900E-003,1.06777E-006,1.27914E+000
1,1,13,99.99990E-003,13.92050E-006,1.38615E+000,-215.99900E-003,1.14309E-006,1.38615E+000
1,1,14,99.99990E-003,13.81570E-006,1.49303E+000,-208.99880E-003,1.19339E-006,1.49303E+000
1,1,15,99.99990E-003,13.71090E-006,1.60136E+000,-201.99880E-003,1.24023E-006,1.60136E+000
1,1,16,99.99990E-003,13.60850E-006,1.71908E+000,-194.99890E-003,1.25982E-006,1.71908E+000
1,1,17,99.99990E-003,13.49920E-006,1.82598E+000,-187.99890E-003,1.31722E-006,1.82598E+000
1,1,18,99.99990E-003,13.38940E-006,1.93290E+000,-180.99880E-003,1.36655E-006,1.93290E+000
1,1,19,99.99990E-003,13.28100E-006,2.04122E+000,-173.99880E-003,1.40042E-006,2.04122E+000
1,1,20,99.99990E-003,13.18590E-006,2.16989E+000,-166.99920E-003,1.29588E-006,2.16989E+000
1,1,21,99.99990E-003,13.06860E-006,2.27691E+000,-159.99880E-003,1.44067E-006,2.27691E+000
1,1,22,99.99990E-003,12.95530E-006,2.38386E+000,-152.99870E-003,1.50861E-006,2.38386E+000
1,1,23,99.99990E-003,12.84160E-006,2.49075E+000,-145.99880E-003,1.56029E-006,2.49075E+000
1,1,24,99.99990E-003,12.72510E-006,2.59765E+000,-138.99890E-003,1.60475E-006,2.59765E+000
1,1,25,99.99990E-003,12.61310E-006,2.71437E+000,-131.99890E-003,1.60107E-006,2.71437E+000
1,1,26,99.99990E-003,12.49630E-006,2.82467E+000,-124.99880E-003,1.63339E-006,2.82467E+000
1,1,27,99.99990E-003,12.37960E-006,2.93316E+000,-117.99880E-003,1.67766E-006,2.93316E+000
1,1,28,99.99990E-003,12.26010E-006,3.04007E+000,-110.99880E-003,1.72461E-006,3.04007E+000
1,1,29,99.99990E-003,12.14920E-006,3.16875E+000,-103.99910E-003,1.60348E-006,3.16875E+000
1,1,30,99.99990E-003,12.01950E-006,3.27709E+000,-96.99890E-003,1.71543E-006,3.27709E+000
1,1,31,99.99990E-003,11.88970E-006,3.38393E+000,-89.99900E-003,1.76789E-006,3.38393E+000
1,1,32,99.99990E-003,11.76460E-006,3.49088E+000,-82.99900E-003,1.79822E-006,3.49088E+000
1,1,33,99.99990E-003,11.63600E-006,3.59781E+000,-75.99890E-003,1.82399E-006,3.59781E+000
1,1,34,99.99990E-003,11.50600E-006,3.71410E+000,-68.99900E-003,1.81872E-006,3.71410E+000
1,1,35,99.99990E-003,11.37090E-006,3.82168E+000,-61.99900E-003,1.84121E-006,3.82168E+000
1,1,36,99.99990E-003,11.23640E-006,3.92860E+000,-54.99890E-003,1.86431E-006,3.92860E+000
1,1,37,99.99990E-003,11.10310E-006,4.03560E+000,-47.99900E-003,1.88144E-006,4.03560E+000
1,1,38,100.00000E-003,10.98000E-006,4.17121E+000,-40.99930E-003,1.71206E-006,4.17121E+000
