Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,16.00850E-006,70.55000E-003,-299.99700E-003,-374.98200E-009,70.55000E-003
1,1,2,99.99990E-003,15.83970E-006,180.39700E-003,-292.99500E-003,331.44900E-009,180.39700E-003
1,1,3,99.99990E-003,15.70280E-006,287.33700E-003,-285.99900E-003,697.80000E-009,287.33700E-003
1,1,4,99.99990E-003,15.57880E-006,394.26600E-003,-278.99900E-003,943.88000E-009,394.26600E-003
1,1,5,99.99990E-003,15.45800E-006,501.40100E-003,-271.99900E-003,1.13515E-006,501.40100E-003
1,1,6,99.99990E-003,15.34520E-006,608.28700E-003,-264.99900E-003,1.29860E-006,608.28700E-003
1,1,7,99.99990E-003,15.23040E-006,718.04800E-003,-257.99900E-003,1.43160E-006,718.04800E-003
1,1,8,99.99980E-003,15.11780E-006,824.90600E-003,-250.99900E-003,1.56192E-006,824.90600E-003
1,1,9,99.99990E-003,15.00410E-006,932.92300E-003,-243.99900E-003,1.67720E-006,932.92300E-003
1,1,10,99.99990E-003,14.89310E-006,1.04179E+000,-236.99900E-003,1.77125E-006,1.04179E+000
1,1,11,99.99990E-003,14.79350E-006,1.16524E+000,-229.99900E-003,1.75606E-006,1.16524E+000
1,1,12,99.99990E-003,14.67100E-006,1.27395E+000,-222.99900E-003,1.93752E-006,1.27395E+000
1,1,13,99.99990E-003,14.55780E-006,1.38086E+000,-215.99900E-003,2.06135E-006,1.38086E+000
1,1,14,99.99990E-003,14.44650E-006,1.48774E+000,-208.99870E-003,2.15618E-006,1.48774E+000
1,1,15,99.99990E-003,14.33220E-006,1.59463E+000,-201.99870E-003,2.26236E-006,1.59463E+000
1,1,16,99.99990E-003,14.22150E-006,1.70860E+000,-194.99870E-003,2.33655E-006,1.70860E+000
1,1,17,99.99990E-003,14.10590E-006,1.81574E+000,-187.99860E-003,2.44168E-006,1.81574E+000
1,1,18,99.99990E-003,13.98820E-006,1.92266E+000,-180.99860E-003,2.54006E-006,1.92266E+000
1,1,19,99.99990E-003,13.86990E-006,2.02958E+000,-173.99860E-003,2.63267E-006,2.02958E+000
1,1,20,99.99990E-003,13.76960E-006,2.17146E+000,-166.99910E-003,2.45420E-006,2.17146E+000
1,1,21,99.99990E-003,13.63790E-006,2.27838E+000,-159.99870E-003,2.68730E-006,2.27838E+000
1,1,22,99.99990E-003,13.51390E-006,2.38523E+000,-152.99870E-003,2.81384E-006,2.38523E+000
1,1,23,99.99990E-003,13.39220E-006,2.49217E+000,-145.99870E-003,2.91736E-006,2.49217E+000
1,1,24,99.99990E-003,13.26630E-006,2.59971E+000,-138.99880E-003,3.00310E-006,2.59971E+000
1,1,25,99.99990E-003,13.14060E-006,2.71044E+000,-131.99860E-003,3.07976E-006,2.71044E+000
1,1,26,99.99990E-003,13.01420E-006,2.81857E+000,-124.99870E-003,3.16259E-006,2.81857E+000
1,1,27,99.99990E-003,12.88250E-006,2.92547E+000,-117.99870E-003,3.24605E-006,2.92547E+000
1,1,28,99.99990E-003,12.75380E-006,3.03258E+000,-110.99870E-003,3.32157E-006,3.03258E+000
1,1,29,99.99990E-003,12.63830E-006,3.17166E+000,-103.99910E-003,3.13854E-006,3.17166E+000
1,1,30,99.99990E-003,12.49250E-006,3.27865E+000,-96.99880E-003,3.33799E-006,3.27865E+000
1,1,31,99.99990E-003,12.35810E-006,3.38555E+000,-89.99870E-003,3.44308E-006,3.38555E+000
1,1,32,99.99990E-003,12.22460E-006,3.49244E+000,-82.99870E-003,3.52609E-006,3.49244E+000
