Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,15.77790E-006,68.18300E-003,-300.00000E-003,-1.79543E-006,68.18300E-003
1,1,2,99.99990E-003,15.57040E-006,175.03100E-003,-292.98800E-003,-633.01900E-009,175.03100E-003
1,1,3,99.99990E-003,15.39570E-006,284.51200E-003,-285.98700E-003,69.58200E-009,284.51200E-003
1,1,4,99.99990E-003,15.23520E-006,391.49300E-003,-278.99900E-003,613.64000E-009,391.49300E-003
1,1,5,99.99990E-003,15.08520E-006,495.07500E-003,-271.99900E-003,1.07719E-006,495.07500E-003
1,1,6,99.99990E-003,14.93510E-006,598.61400E-003,-264.99800E-003,1.46176E-006,598.61400E-003
1,1,7,99.99990E-003,14.80220E-006,712.05500E-003,-257.99900E-003,1.74403E-006,712.05500E-003
1,1,8,99.99990E-003,14.66430E-006,815.65400E-003,-250.99900E-003,2.05771E-006,815.65400E-003
1,1,9,99.99990E-003,14.52890E-006,919.22200E-003,-243.99800E-003,2.33874E-006,919.22200E-003
1,1,10,99.99990E-003,14.39840E-006,1.02276E+000,-236.99800E-003,2.59305E-006,1.02276E+000
1,1,11,99.99990E-003,14.29940E-006,1.16113E+000,-229.99900E-003,2.42394E-006,1.16113E+000
1,1,12,99.99990E-003,14.15810E-006,1.26499E+000,-222.99800E-003,2.85552E-006,1.26499E+000
1,1,13,99.99990E-003,14.03120E-006,1.36860E+000,-215.99800E-003,3.12764E-006,1.36860E+000
1,1,14,99.99990E-003,13.90290E-006,1.47218E+000,-208.99800E-003,3.33753E-006,1.47218E+000
1,1,15,99.99980E-003,13.77650E-006,1.57575E+000,-201.99790E-003,3.55052E-006,1.57575E+000
1,1,16,99.99990E-003,13.65910E-006,1.70210E+000,-194.99810E-003,3.60607E-006,1.70210E+000
1,1,17,99.99980E-003,13.53160E-006,1.80569E+000,-187.99800E-003,3.83029E-006,1.80569E+000
1,1,18,99.99980E-003,13.40620E-006,1.90928E+000,-180.99800E-003,4.02271E-006,1.90928E+000
1,1,19,99.99980E-003,13.28110E-006,2.01287E+000,-173.99800E-003,4.19621E-006,2.01287E+000
1,1,20,99.99980E-003,13.15810E-006,2.12180E+000,-166.99810E-003,4.28431E-006,2.12180E+000
1,1,21,99.99980E-003,13.03440E-006,2.22874E+000,-159.99790E-003,4.42595E-006,2.22874E+000
1,1,22,99.99980E-003,12.90750E-006,2.33568E+000,-152.99780E-003,4.55332E-006,2.33568E+000
1,1,23,99.99980E-003,12.78070E-006,2.44261E+000,-145.99790E-003,4.67262E-006,2.44261E+000
1,1,24,99.99980E-003,12.64900E-006,2.54945E+000,-138.99780E-003,4.78767E-006,2.54945E+000
1,1,25,99.99980E-003,12.52810E-006,2.66516E+000,-131.99800E-003,4.77436E-006,2.66516E+000
1,1,26,99.99980E-003,12.39840E-006,2.77209E+000,-124.99790E-003,4.93960E-006,2.77209E+000
1,1,27,99.99980E-003,12.26140E-006,2.87904E+000,-117.99780E-003,5.05260E-006,2.87904E+000
1,1,28,99.99980E-003,12.13950E-006,2.98946E+000,-110.99790E-003,5.10119E-006,2.98946E+000
1,1,29,99.99980E-003,12.00830E-006,3.09835E+000,-103.99790E-003,5.19089E-006,3.09835E+000
1,1,30,99.99980E-003,11.87360E-006,3.20882E+000,-96.99780E-003,5.27651E-006,3.20882E+000
1,1,31,99.99980E-003,11.74230E-006,3.31571E+000,-89.99800E-003,5.37237E-006,3.31571E+000
1,1,32,99.99990E-003,11.60340E-006,3.42261E+000,-82.99790E-003,5.45707E-006,3.42261E+000
1,1,33,99.99980E-003,11.46930E-006,3.52955E+000,-75.99780E-003,5.53268E-006,3.52955E+000
1,1,34,99.99990E-003,11.36920E-006,3.67164E+000,-68.99850E-003,5.17695E-006,3.67164E+000
1,1,35,99.99990E-003,11.22230E-006,3.78245E+000,-61.99820E-003,5.38309E-006,3.78245E+000
1,1,36,99.99980E-003,11.07360E-006,3.88933E+000,-54.99800E-003,5.53603E-006,3.88933E+000
1,1,37,99.99980E-003,10.93450E-006,3.99623E+000,-47.99790E-003,5.63646E-006,3.99623E+000
1,1,38,99.99980E-003,10.79410E-006,4.10740E+000,-40.99800E-003,5.66126E-006,4.10740E+000
1,1,39,99.99980E-003,10.65630E-006,4.22240E+000,-33.99800E-003,5.69949E-006,4.22240E+000
1,1,40,99.99990E-003,10.51190E-006,4.32935E+000,-26.99790E-003,5.79597E-006,4.32935E+000
1,1,41,99.99980E-003,10.36180E-006,4.43628E+000,-19.99790E-003,5.87086E-006,4.43628E+000
1,1,42,99.99980E-003,10.21480E-006,4.54326E+000,-12.99790E-003,5.93682E-006,4.54326E+000
1,1,43,99.99980E-003,10.08720E-006,4.67065E+000,-5.99820E-003,5.74143E-006,4.67065E+000
1,1,44,99.99980E-003,9.92820E-006,4.77797E+000,1.00200E-003,5.91515E-006,4.77797E+000
1,1,45,99.99980E-003,9.77550E-006,4.88485E+000,8.00210E-003,6.00491E-006,4.88485E+000
1,1,46,99.99980E-003,9.62400E-006,4.99178E+000,15.00200E-003,6.07503E-006,4.99178E+000
1,1,47,99.99980E-003,9.47740E-006,5.09869E+000,22.00200E-003,6.13786E-006,5.09869E+000
1,1,48,99.99980E-003,9.32560E-006,5.21630E+000,29.00200E-003,6.12206E-006,5.21630E+000
1,1,49,99.99990E-003,9.17270E-006,5.32317E+000,36.00200E-003,6.19563E-006,5.32317E+000
1,1,50,99.99980E-003,9.01270E-006,5.43009E+000,43.00200E-003,6.25728E-006,5.43009E+000
1,1,51,99.99990E-003,8.85652E-006,5.53973E+000,50.00200E-003,6.28099E-006,5.53973E+000
1,1,52,99.99990E-003,8.72429E-006,5.67778E+000,57.00150E-003,5.99080E-006,5.67778E+000
1,1,53,99.99990E-003,8.55211E-006,5.78468E+000,64.00190E-003,6.19728E-006,5.78468E+000
