Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,651.86100E-006,63.75400E-003,-300.00100E-003,-1.39542E-006,63.75400E-003
1,1,2,100.00000E-003,651.46300E-006,293.75500E-003,-292.99600E-003,-954.29000E-009,293.75500E-003
1,1,3,100.00000E-003,651.05000E-006,470.76100E-003,-285.97800E-003,-565.73300E-009,470.76100E-003
1,1,4,100.00000E-003,650.44500E-006,580.31700E-003,-278.98900E-003,122.93900E-009,580.31700E-003
1,1,5,100.00000E-003,649.90200E-006,700.51900E-003,-271.99100E-003,414.00800E-009,700.51900E-003
1,1,6,100.00000E-003,649.16300E-006,807.41300E-003,-264.99800E-003,639.69000E-009,807.41300E-003
1,1,7,100.00000E-003,648.44500E-006,915.24700E-003,-257.99800E-003,787.42000E-009,915.24700E-003
1,1,8,100.00000E-003,647.69500E-006,1.02212E+000,-250.99800E-003,913.60000E-009,1.02212E+000
1,1,9,100.00000E-003,647.04000E-006,1.16043E+000,-243.99900E-003,699.62000E-009,1.16043E+000
1,1,10,100.00000E-003,646.22400E-006,1.27170E+000,-236.99900E-003,939.89000E-009,1.27170E+000
1,1,11,100.00000E-003,645.45400E-006,1.37856E+000,-229.99800E-003,1.09956E-006,1.37856E+000
1,1,12,100.00000E-003,644.56300E-006,1.48544E+000,-222.99800E-003,1.19332E-006,1.48544E+000
1,1,13,100.00000E-003,643.74000E-006,1.59233E+000,-215.99800E-003,1.26575E-006,1.59233E+000
1,1,14,100.00000E-003,642.83200E-006,1.70056E+000,-208.99810E-003,1.31711E-006,1.70056E+000
1,1,15,100.00000E-003,641.87900E-006,1.80750E+000,-201.99810E-003,1.38394E-006,1.80750E+000
1,1,16,100.00000E-003,640.90400E-006,1.91440E+000,-194.99810E-003,1.44425E-006,1.91440E+000
1,1,17,100.00000E-003,639.80000E-006,2.02153E+000,-187.99820E-003,1.50012E-006,2.02153E+000
1,1,18,100.00000E-003,638.84800E-006,2.16591E+000,-180.99870E-003,1.20082E-006,2.16591E+000
1,1,19,100.00000E-003,637.70700E-006,2.27308E+000,-173.99810E-003,1.48181E-006,2.27308E+000
1,1,20,100.00000E-003,636.66100E-006,2.38008E+000,-166.99790E-003,1.59375E-006,2.38008E+000
1,1,21,100.00000E-003,635.47000E-006,2.48718E+000,-159.99780E-003,1.67280E-006,2.48718E+000
1,1,22,100.00000E-003,634.28700E-006,2.59406E+000,-152.99790E-003,1.74304E-006,2.59406E+000
1,1,23,100.00000E-003,633.21700E-006,2.70686E+000,-145.99790E-003,1.78698E-006,2.70686E+000
1,1,24,99.99990E-003,631.83900E-006,2.81374E+000,-138.99810E-003,1.85033E-006,2.81374E+000
1,1,25,99.99990E-003,630.40900E-006,2.92068E+000,-131.99800E-003,1.90620E-006,2.92068E+000
1,1,26,99.99990E-003,629.02100E-006,3.02784E+000,-124.99800E-003,1.95405E-006,3.02784E+000
1,1,27,100.00000E-003,627.29000E-006,3.16731E+000,-117.99880E-003,1.68630E-006,3.16731E+000
1,1,28,100.00000E-003,625.78200E-006,3.27452E+000,-110.99830E-003,1.91650E-006,3.27452E+000
1,1,29,100.00000E-003,624.21600E-006,3.38541E+000,-103.99840E-003,1.95110E-006,3.38541E+000
1,1,30,100.00000E-003,622.60400E-006,3.49605E+000,-96.99850E-003,1.98659E-006,3.49605E+000
1,1,31,99.99990E-003,620.85500E-006,3.60295E+000,-89.99810E-003,2.05662E-006,3.60295E+000
1,1,32,100.00000E-003,619.15100E-006,3.72085E+000,-82.99800E-003,2.05385E-006,3.72085E+000
1,1,33,100.00000E-003,617.21300E-006,3.82777E+000,-75.99810E-003,2.09180E-006,3.82777E+000
1,1,34,100.00000E-003,615.65300E-006,3.93477E+000,-68.99820E-003,2.11466E-006,3.93477E+000
1,1,35,100.00000E-003,613.60400E-006,4.04168E+000,-61.99820E-003,2.13323E-006,4.04168E+000
1,1,36,100.00000E-003,611.83000E-006,4.16620E+000,-54.99840E-003,1.97065E-006,4.16620E+000
1,1,37,100.00000E-003,609.20100E-006,4.27316E+000,-47.99810E-003,2.09270E-006,4.27316E+000
1,1,38,100.00000E-003,607.52700E-006,4.38007E+000,-40.99810E-003,2.12034E-006,4.38007E+000
1,1,39,100.00000E-003,605.54200E-006,4.48697E+000,-33.99810E-003,2.13662E-006,4.48697E+000
1,1,40,100.00000E-003,603.15800E-006,4.59406E+000,-26.99820E-003,2.14343E-006,4.59406E+000
1,1,41,100.00000E-003,600.61000E-006,4.71493E+000,-19.99870E-003,2.07905E-006,4.71493E+000
1,1,42,99.99990E-003,598.45100E-006,4.82577E+000,-12.99840E-003,2.07824E-006,4.82577E+000
1,1,43,100.00000E-003,595.58200E-006,4.93262E+000,-5.99820E-003,2.12106E-006,4.93262E+000
1,1,44,100.00000E-003,592.65800E-006,5.03952E+000,1.00180E-003,2.13325E-006,5.03952E+000
1,1,45,100.00000E-003,589.66000E-006,5.16898E+000,8.00110E-003,1.93950E-006,5.16898E+000
1,1,46,99.99990E-003,586.71200E-006,5.27589E+000,15.00160E-003,2.06918E-006,5.27589E+000
1,1,47,99.99990E-003,583.75100E-006,5.38283E+000,22.00160E-003,2.09721E-006,5.38283E+000
1,1,48,100.00000E-003,580.57400E-006,5.48971E+000,29.00170E-003,2.11518E-006,5.48971E+000
1,1,49,100.00000E-003,577.29900E-006,5.59727E+000,36.00170E-003,2.12106E-006,5.59727E+000
1,1,50,100.00000E-003,573.79000E-006,5.71326E+000,43.00170E-003,2.10327E-006,5.71326E+000
1,1,51,100.00000E-003,570.10300E-006,5.82016E+000,50.00180E-003,2.12498E-006,5.82016E+000
1,1,52,99.99990E-003,566.47100E-006,5.92707E+000,57.00150E-003,2.15347E-006,5.92707E+000
1,1,53,99.99990E-003,562.48600E-006,6.03398E+000,64.00160E-003,2.21342E-006,6.03398E+000
1,1,54,100.00000E-003,557.88600E-006,6.17958E+000,71.00100E-003,1.97589E-006,6.17958E+000
1,1,55,100.00000E-003,553.78300E-006,6.28652E+000,78.00160E-003,2.13992E-006,6.28652E+000
1,1,56,100.00000E-003,548.97700E-006,6.39342E+000,85.00190E-003,2.17171E-006,6.39342E+000
1,1,57,100.00000E-003,543.87100E-006,6.50034E+000,92.00190E-003,2.14738E-006,6.50034E+000
1,1,58,100.00000E-003,538.83000E-006,6.60723E+000,99.00190E-003,2.10884E-006,6.60723E+000
1,1,59,100.00000E-003,533.08700E-006,6.71697E+000,106.00160E-003,2.08979E-006,6.71697E+000
1,1,60,100.00000E-003,527.33100E-006,6.82386E+000,113.00160E-003,2.09065E-006,6.82386E+000
1,1,61,100.00000E-003,521.33900E-006,6.93296E+000,120.00160E-003,2.07393E-006,6.93296E+000
1,1,62,100.00000E-003,515.35200E-006,7.04092E+000,127.00140E-003,2.08250E-006,7.04092E+000
1,1,63,100.00000E-003,508.61000E-006,7.17415E+000,134.00100E-003,1.89652E-006,7.17415E+000
1,1,64,100.00000E-003,502.03300E-006,7.28599E+000,141.00100E-003,1.99457E-006,7.28599E+000
1,1,65,100.00000E-003,495.13800E-006,7.39288E+000,148.00140E-003,2.04231E-006,7.39288E+000
1,1,66,100.00000E-003,487.90900E-006,7.49972E+000,155.00150E-003,2.07288E-006,7.49972E+000
1,1,67,100.00000E-003,480.25100E-006,7.60660E+000,162.00130E-003,2.10023E-006,7.60660E+000
1,1,68,100.00000E-003,472.38000E-006,7.71744E+000,169.00140E-003,2.11967E-006,7.71744E+000
1,1,69,100.00000E-003,463.90300E-006,7.82594E+000,176.00150E-003,2.14775E-006,7.82594E+000
1,1,70,100.00000E-003,455.51500E-006,7.93319E+000,183.00140E-003,2.19468E-006,7.93319E+000
1,1,71,100.00000E-003,446.72300E-006,8.04035E+000,190.00140E-003,2.24446E-006,8.04035E+000
1,1,72,100.00000E-003,437.43400E-006,8.18155E+000,197.00060E-003,2.08689E-006,8.18155E+000
1,1,73,100.00000E-003,428.37000E-006,8.29072E+000,204.00100E-003,2.26926E-006,8.29072E+000
1,1,74,100.00000E-003,418.91000E-006,8.39764E+000,211.00200E-003,2.39261E-006,8.39764E+000
1,1,75,100.00000E-003,409.19700E-006,8.50455E+000,218.00200E-003,2.48588E-006,8.50455E+000
1,1,76,100.00000E-003,399.26700E-006,8.61146E+000,225.00100E-003,2.58475E-006,8.61146E+000
1,1,77,100.00000E-003,389.12800E-006,8.72190E+000,232.00200E-003,2.67582E-006,8.72190E+000
1,1,78,100.00000E-003,378.86900E-006,8.83039E+000,239.00100E-003,2.78880E-006,8.83039E+000
1,1,79,99.99990E-003,368.34900E-006,8.93737E+000,246.00200E-003,2.92971E-006,8.93737E+000
1,1,80,100.00000E-003,357.98000E-006,9.04451E+000,253.00200E-003,3.06558E-006,9.04451E+000
1,1,81,100.00000E-003,347.13000E-006,9.18478E+000,260.00100E-003,3.01889E-006,9.18478E+000
1,1,82,100.00000E-003,336.97900E-006,9.29176E+000,267.00100E-003,3.30591E-006,9.29176E+000
1,1,83,100.00000E-003,326.85100E-006,9.39866E+000,274.00100E-003,3.49799E-006,9.39866E+000
1,1,84,100.00000E-003,316.93100E-006,9.50555E+000,281.00200E-003,3.69001E-006,9.50555E+000
1,1,85,100.00000E-003,307.33100E-006,9.61247E+000,288.00200E-003,3.88098E-006,9.61247E+000
1,1,86,100.00000E-003,298.03900E-006,9.72263E+000,295.00200E-003,4.07530E-006,9.72263E+000
1,1,87,100.00000E-003,289.31000E-006,9.82955E+000,302.00200E-003,4.28958E-006,9.82955E+000
1,1,88,100.00000E-003,281.17500E-006,9.93665E+000,309.00100E-003,4.50541E-006,9.93665E+000
1,1,89,100.00000E-003,273.71600E-006,10.04373E+000,316.00100E-003,4.73476E-006,10.04373E+000
1,1,90,100.00000E-003,266.78000E-006,10.19111E+000,323.00000E-003,4.75634E-006,10.19111E+000
1,1,91,100.00000E-003,261.08600E-006,10.30172E+000,330.00100E-003,5.11669E-006,10.30172E+000
1,1,92,100.00000E-003,256.31400E-006,10.41256E+000,337.00100E-003,5.38283E-006,10.41256E+000
1,1,93,100.00000E-003,252.58500E-006,10.52181E+000,344.00100E-003,5.66520E-006,10.52181E+000
1,1,94,100.00000E-003,249.94000E-006,10.62872E+000,351.00200E-003,5.95807E-006,10.62872E+000
1,1,95,100.00010E-003,248.38600E-006,10.73957E+000,358.00100E-003,6.20244E-006,10.73957E+000
1,1,96,100.00000E-003,247.93100E-006,10.84662E+000,365.00200E-003,6.50969E-006,10.84662E+000
1,1,97,99.99990E-003,248.64700E-006,10.95584E+000,372.00100E-003,6.77405E-006,10.95584E+000
1,1,98,100.00000E-003,250.48400E-006,11.06505E+000,379.00100E-003,7.06054E-006,11.06505E+000
1,1,99,100.00000E-003,253.36500E-006,11.19147E+000,386.00000E-003,7.25562E-006,11.19147E+000
1,1,100,100.00000E-003,257.06300E-006,11.29941E+000,393.00200E-003,7.64050E-006,11.29941E+000
