Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,81.57720E-003,1.00000E-003,64.17400E-003,-300.00100E-003,-2.23961E-006,64.17400E-003
1,1,2,81.97810E-003,1.00000E-003,168.12900E-003,-292.99900E-003,-1.20559E-006,168.12900E-003
1,1,3,82.40500E-003,1.00000E-003,395.08000E-003,-286.00200E-003,-1.63685E-006,395.08000E-003
1,1,4,82.83850E-003,1.00000E-003,668.42700E-003,-279.00000E-003,-1.28088E-006,668.42700E-003
1,1,5,83.33380E-003,1.00000E-003,894.10100E-003,-272.00000E-003,-982.14000E-009,894.10100E-003
1,1,6,83.81540E-003,1.00000E-003,1.06815E+000,-264.98000E-003,-648.70000E-009,1.06815E+000
1,1,7,84.28360E-003,1.00000E-003,1.17760E+000,-257.98800E-003,98.06900E-009,1.17760E+000
1,1,8,84.76840E-003,1.00000E-003,1.28451E+000,-250.99800E-003,491.57000E-009,1.28451E+000
1,1,9,85.26920E-003,1.00000E-003,1.39279E+000,-243.99800E-003,760.84000E-009,1.39279E+000
1,1,10,85.79800E-003,1.00000E-003,1.50013E+000,-236.99800E-003,1.00120E-006,1.50013E+000
1,1,11,86.34510E-003,1.00000E-003,1.60704E+000,-229.99900E-003,1.21774E-006,1.60704E+000
1,1,12,86.88850E-003,1.00000E-003,1.71406E+000,-222.99800E-003,1.41326E-006,1.71406E+000
1,1,13,87.45080E-003,1.00000E-003,1.82257E+000,-215.99800E-003,1.58533E-006,1.82257E+000
1,1,14,88.01960E-003,1.00000E-003,1.93073E+000,-208.99810E-003,1.73881E-006,1.93073E+000
1,1,15,88.61070E-003,1.00000E-003,2.04103E+000,-201.99810E-003,1.88467E-006,2.04103E+000
1,1,16,89.23050E-003,1.00000E-003,2.16921E+000,-194.99860E-003,1.80694E-006,2.16921E+000
1,1,17,89.82730E-003,1.00000E-003,2.27963E+000,-187.99810E-003,2.06465E-006,2.27963E+000
1,1,18,90.43810E-003,1.00000E-003,2.38649E+000,-180.99790E-003,2.27255E-006,2.38649E+000
1,1,19,91.07860E-003,1.00000E-003,2.49337E+000,-173.99790E-003,2.43151E-006,2.49337E+000
1,1,20,91.73810E-003,1.00000E-003,2.60026E+000,-166.99780E-003,2.57368E-006,2.60026E+000
1,1,21,92.41470E-003,1.00000E-003,2.71501E+000,-159.99790E-003,2.66691E-006,2.71501E+000
1,1,22,93.09670E-003,1.00000E-003,2.82207E+000,-152.99800E-003,2.79918E-006,2.82207E+000
1,1,23,93.79090E-003,1.00000E-003,2.92895E+000,-145.99800E-003,2.92361E-006,2.92895E+000
1,1,24,94.50700E-003,1.00000E-003,3.03586E+000,-138.99790E-003,3.03776E-006,3.03586E+000
1,1,25,95.26380E-003,1.00000E-003,3.16491E+000,-131.99840E-003,2.87379E-006,3.16491E+000
1,1,26,96.01920E-003,1.00000E-003,3.27517E+000,-124.99830E-003,3.07428E-006,3.27517E+000
1,1,27,96.79640E-003,1.00000E-003,3.38205E+000,-117.99790E-003,3.23085E-006,3.38205E+000
1,1,28,97.59620E-003,1.00000E-003,3.48893E+000,-110.99780E-003,3.33560E-006,3.48893E+000
1,1,29,98.42030E-003,1.00000E-003,3.59593E+000,-103.99790E-003,3.42248E-006,3.59593E+000
1,1,30,99.26830E-003,999.96400E-006,3.70954E+000,-96.99790E-003,3.45836E-006,3.70954E+000
1,1,31,99.97620E-003,998.35200E-006,3.81651E+000,-89.99780E-003,3.54624E-006,3.81651E+000
