Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,181.47900E-006,64.41800E-003,-300.00100E-003,-4.72300E-006,64.41800E-003
1,1,2,100.00000E-003,182.50000E-006,168.35000E-003,-292.99900E-003,-3.64220E-006,168.35000E-003
1,1,3,100.00000E-003,183.20900E-006,274.49000E-003,-285.99900E-003,-3.00020E-006,274.49000E-003
1,1,4,100.00010E-003,182.58400E-006,378.06000E-003,-278.99900E-003,-2.47018E-006,378.06000E-003
1,1,5,100.00000E-003,184.32800E-006,483.15800E-003,-271.99900E-003,-2.06765E-006,483.15800E-003
1,1,6,100.00010E-003,185.32400E-006,586.97600E-003,-264.99900E-003,-1.69324E-006,586.97600E-003
1,1,7,100.00000E-003,185.91800E-006,695.57900E-003,-257.99900E-003,-1.38390E-006,695.57900E-003
1,1,8,100.00000E-003,185.63900E-006,853.69400E-003,-250.99900E-003,-1.56214E-006,853.69400E-003
1,1,9,100.00000E-003,186.57900E-006,1.01476E+000,-244.00000E-003,-1.43790E-006,1.01476E+000
1,1,10,100.00000E-003,185.06300E-006,1.21128E+000,-237.00000E-003,-1.46137E-006,1.21128E+000
1,1,11,100.00000E-003,185.16700E-006,1.31757E+000,-229.98500E-003,-819.03200E-009,1.31757E+000
1,1,12,100.00000E-003,184.92500E-006,1.54650E+000,-222.99900E-003,-1.21909E-006,1.54650E+000
1,1,13,100.00000E-003,185.17900E-006,1.65916E+000,-215.98800E-003,-591.63800E-009,1.65916E+000
1,1,14,100.00000E-003,184.60100E-006,1.83626E+000,-208.97880E-003,-748.70400E-009,1.83626E+000
1,1,15,100.00000E-003,185.70500E-006,2.01325E+000,-201.97690E-003,-611.21900E-009,2.01325E+000
1,1,16,100.00010E-003,184.78200E-006,2.16154E+000,-194.99300E-003,-298.23200E-009,2.16154E+000
1,1,17,99.99990E-003,184.58400E-006,2.27108E+000,-187.98830E-003,186.10100E-009,2.27108E+000
1,1,18,99.99990E-003,184.45500E-006,2.38046E+000,-180.98830E-003,489.79300E-009,2.38046E+000
1,1,19,100.00000E-003,184.20900E-006,2.48733E+000,-173.99850E-003,746.37000E-009,2.48733E+000
1,1,20,100.00000E-003,183.71500E-006,2.59091E+000,-166.99850E-003,998.24000E-009,2.59091E+000
1,1,21,100.00000E-003,182.58800E-006,2.70080E+000,-159.99850E-003,1.19088E-006,2.70080E+000
1,1,22,99.99990E-003,183.53300E-006,2.80438E+000,-152.99840E-003,1.39612E-006,2.80438E+000
1,1,23,100.00000E-003,183.46600E-006,2.90797E+000,-145.99830E-003,1.59630E-006,2.90797E+000
1,1,24,100.00000E-003,183.69600E-006,3.01159E+000,-138.99840E-003,1.78166E-006,3.01159E+000
1,1,25,100.00000E-003,184.05100E-006,3.11515E+000,-131.99840E-003,1.96199E-006,3.11515E+000
1,1,26,100.00000E-003,183.24500E-006,3.22376E+000,-124.99850E-003,2.09671E-006,3.22376E+000
1,1,27,99.99990E-003,181.03300E-006,3.33077E+000,-117.99840E-003,2.26207E-006,3.33077E+000
1,1,28,100.00000E-003,180.24500E-006,3.43765E+000,-110.99830E-003,2.41980E-006,3.43765E+000
1,1,29,100.00000E-003,180.23400E-006,3.54456E+000,-103.99840E-003,2.57719E-006,3.54456E+000
