Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,98.87300E-003,999.99900E-006,64.03100E-003,-300.00100E-003,-12.81600E-006,64.03100E-003
1,1,2,98.72360E-003,1.00000E-003,168.07000E-003,-293.00000E-003,-12.12180E-006,168.07000E-003
1,1,3,98.60520E-003,1.00000E-003,271.62800E-003,-286.00000E-003,-11.50410E-006,271.62800E-003
1,1,4,98.51030E-003,1.00000E-003,375.17200E-003,-279.00100E-003,-10.92620E-006,375.17200E-003
1,1,5,98.46500E-003,1.00000E-003,478.77400E-003,-272.00000E-003,-10.37360E-006,478.77400E-003
1,1,6,98.44890E-003,1.00000E-003,582.35900E-003,-265.00000E-003,-9.86230E-006,582.35900E-003
1,1,7,98.45000E-003,1.00000E-003,696.15600E-003,-258.00000E-003,-9.35170E-006,696.15600E-003
1,1,8,98.46600E-003,1.00000E-003,802.34600E-003,-251.00100E-003,-8.88446E-006,802.34600E-003
1,1,9,98.49250E-003,1.00000E-003,905.92200E-003,-244.00000E-003,-8.43326E-006,905.92200E-003
1,1,10,98.55400E-003,1.00000E-003,1.00948E+000,-237.00000E-003,-8.00677E-006,1.00948E+000
1,1,11,98.62370E-003,1.00000E-003,1.11307E+000,-230.00000E-003,-7.59693E-006,1.11307E+000
1,1,12,98.71110E-003,1.00000E-003,1.21671E+000,-223.00000E-003,-7.20381E-006,1.21671E+000
1,1,13,98.82370E-003,1.00000E-003,1.32189E+000,-216.00000E-003,-6.82393E-006,1.32189E+000
1,1,14,98.93360E-003,999.99900E-006,1.42556E+000,-209.00000E-003,-6.46521E-006,1.42556E+000
1,1,15,99.07660E-003,999.99600E-006,1.52925E+000,-202.00000E-003,-6.11258E-006,1.52925E+000
1,1,16,99.19970E-003,999.99100E-006,1.66291E+000,-195.00000E-003,-5.77814E-006,1.66291E+000
1,1,17,99.33670E-003,999.97700E-006,1.76808E+000,-188.00000E-003,-5.43014E-006,1.76808E+000
1,1,18,99.51130E-003,999.93300E-006,1.87457E+000,-181.00000E-003,-5.11184E-006,1.87457E+000
1,1,19,99.68270E-003,999.82900E-006,1.98000E+000,-174.00000E-003,-4.80579E-006,1.98000E+000
1,1,20,99.82260E-003,999.61500E-006,2.08358E+000,-167.00000E-003,-4.51048E-006,2.08358E+000
1,1,21,99.95880E-003,998.93000E-006,2.19912E+000,-159.99990E-003,-4.22565E-006,2.19912E+000
1,1,22,99.99960E-003,997.03800E-006,2.30272E+000,-152.99990E-003,-3.94932E-006,2.30272E+000
1,1,23,100.00000E-003,994.65900E-006,2.40864E+000,-145.99990E-003,-3.68643E-006,2.40864E+000
1,1,24,100.00000E-003,992.46000E-006,2.51224E+000,-138.99990E-003,-3.43080E-006,2.51224E+000
1,1,25,100.00000E-003,989.93100E-006,2.61583E+000,-131.99980E-003,-3.18552E-006,2.61583E+000
1,1,26,100.00000E-003,987.64300E-006,2.72554E+000,-124.99990E-003,-2.95185E-006,2.72554E+000
1,1,27,100.00000E-003,985.15500E-006,2.82923E+000,-117.99990E-003,-2.72255E-006,2.82923E+000
1,1,28,100.00000E-003,982.28500E-006,2.93281E+000,-110.99980E-003,-2.50196E-006,2.93281E+000
1,1,29,100.00000E-003,979.39000E-006,3.03650E+000,-103.99980E-003,-2.28772E-006,3.03650E+000
1,1,30,100.00000E-003,976.02200E-006,3.15991E+000,-96.99980E-003,-2.10998E-006,3.15991E+000
1,1,31,100.00000E-003,973.21000E-006,3.26350E+000,-89.99980E-003,-1.89651E-006,3.26350E+000
1,1,32,100.00000E-003,969.98200E-006,3.36707E+000,-82.99980E-003,-1.69989E-006,3.36707E+000
1,1,33,100.00000E-003,966.68200E-006,3.47092E+000,-75.99980E-003,-1.51269E-006,3.47092E+000
1,1,34,100.00000E-003,962.93200E-006,3.57450E+000,-68.99980E-003,-1.33079E-006,3.57450E+000
1,1,35,100.00000E-003,958.99200E-006,3.70301E+000,-61.99980E-003,-1.17817E-006,3.70301E+000
1,1,36,100.00000E-003,955.40400E-006,3.80661E+000,-54.99970E-003,-1.00434E-006,3.80661E+000
1,1,37,100.00000E-003,951.54300E-006,3.91298E+000,-47.99760E-003,-845.24800E-009,3.91298E+000
1,1,38,100.00000E-003,947.64300E-006,4.01655E+000,-40.99740E-003,-684.33200E-009,4.01655E+000
1,1,39,100.00000E-003,943.60000E-006,4.12012E+000,-33.99730E-003,-531.92200E-009,4.12012E+000
1,1,40,100.00000E-003,939.51600E-006,4.22484E+000,-26.99720E-003,-386.44200E-009,4.22484E+000
1,1,41,100.00000E-003,935.37600E-006,4.32862E+000,-19.99710E-003,-244.73400E-009,4.32862E+000
1,1,42,100.00000E-003,929.57500E-006,4.50026E+000,-12.99700E-003,-220.24800E-009,4.50026E+000
1,1,43,100.00000E-003,925.11600E-006,4.61741E+000,-5.82780E-003,-57.43190E-009,4.61741E+000
1,1,44,100.00000E-003,920.83900E-006,4.72723E+000,1.00270E-003,74.37800E-009,4.72723E+000
1,1,45,100.00000E-003,916.42800E-006,4.83081E+000,8.00280E-003,216.36800E-009,4.83081E+000
1,1,46,100.00000E-003,911.84100E-006,4.93499E+000,15.00290E-003,346.24100E-009,4.93499E+000
1,1,47,100.00000E-003,906.97100E-006,5.03854E+000,22.00310E-003,470.45900E-009,5.03854E+000
1,1,48,100.00000E-003,901.38500E-006,5.16478E+000,29.00260E-003,541.98400E-009,5.16478E+000
1,1,49,100.00000E-003,896.37000E-006,5.27429E+000,36.00280E-003,662.21000E-009,5.27429E+000
1,1,50,100.00000E-003,891.03800E-006,5.38371E+000,43.00310E-003,772.21200E-009,5.38371E+000
1,1,51,100.00000E-003,885.59500E-006,5.49055E+000,50.00030E-003,882.43000E-009,5.49055E+000
1,1,52,100.00000E-003,880.27900E-006,5.59571E+000,57.00030E-003,991.67000E-009,5.59571E+000
1,1,53,100.00000E-003,874.61800E-006,5.70828E+000,64.00030E-003,1.08472E-006,5.70828E+000
1,1,54,100.00000E-003,868.95900E-006,5.81185E+000,71.00030E-003,1.18888E-006,5.81185E+000
1,1,55,100.00000E-003,863.18600E-006,5.91542E+000,78.00030E-003,1.28842E-006,5.91542E+000
1,1,56,100.00000E-003,857.22000E-006,6.01916E+000,85.00030E-003,1.38535E-006,6.01916E+000
1,1,57,100.00000E-003,851.16800E-006,6.12423E+000,92.00040E-003,1.47766E-006,6.12423E+000
1,1,58,100.00000E-003,845.00500E-006,6.22779E+000,99.00030E-003,1.57356E-006,6.22779E+000
1,1,59,100.00010E-003,838.77200E-006,6.33139E+000,106.00040E-003,1.66779E-006,6.33139E+000
1,1,60,100.00000E-003,832.35300E-006,6.43495E+000,113.00030E-003,1.75839E-006,6.43495E+000
1,1,61,100.00000E-003,825.84200E-006,6.53853E+000,120.00030E-003,1.84683E-006,6.53853E+000
1,1,62,100.00000E-003,818.09200E-006,6.66897E+000,127.00030E-003,1.87147E-006,6.66897E+000
1,1,63,100.00000E-003,811.52800E-006,6.77257E+000,134.00030E-003,1.97751E-006,6.77257E+000
1,1,64,100.00000E-003,804.69000E-006,6.87613E+000,141.00030E-003,2.06338E-006,6.87613E+000
1,1,65,100.00010E-003,797.67300E-006,6.97970E+000,148.00030E-003,2.14125E-006,6.97970E+000
1,1,66,100.00010E-003,790.45300E-006,7.08326E+000,155.00040E-003,2.21550E-006,7.08326E+000
1,1,67,100.00010E-003,782.98400E-006,7.18685E+000,162.00030E-003,2.28555E-006,7.18685E+000
1,1,68,100.00010E-003,775.38300E-006,7.29043E+000,169.00030E-003,2.34813E-006,7.29043E+000
1,1,69,100.00010E-003,767.66200E-006,7.39403E+000,176.00040E-003,2.40885E-006,7.39403E+000
1,1,70,100.00000E-003,759.52400E-006,7.49895E+000,183.00040E-003,2.45889E-006,7.49895E+000
1,1,71,100.00000E-003,751.24500E-006,7.60250E+000,190.00040E-003,2.51782E-006,7.60250E+000
1,1,72,100.00000E-003,742.55300E-006,7.71461E+000,197.00040E-003,2.55434E-006,7.71461E+000
1,1,73,100.00000E-003,734.11500E-006,7.82015E+000,204.00030E-003,2.60514E-006,7.82015E+000
1,1,74,100.00010E-003,725.65600E-006,7.92367E+000,211.00000E-003,2.66912E-006,7.92367E+000
1,1,75,100.00010E-003,716.62900E-006,8.02727E+000,218.00000E-003,2.72034E-006,8.02727E+000
1,1,76,100.00010E-003,707.74000E-006,8.13084E+000,225.00000E-003,2.77530E-006,8.13084E+000
1,1,77,100.00010E-003,698.69500E-006,8.23443E+000,232.00000E-003,2.82989E-006,8.23443E+000
1,1,78,100.00000E-003,689.51500E-006,8.33801E+000,239.00000E-003,2.88753E-006,8.33801E+000
1,1,79,100.00010E-003,680.15000E-006,8.44161E+000,246.00000E-003,2.94456E-006,8.44161E+000
1,1,80,100.00010E-003,670.61700E-006,8.54526E+000,253.00000E-003,2.99954E-006,8.54526E+000
1,1,81,100.00000E-003,660.43100E-006,8.67892E+000,260.00000E-003,2.98580E-006,8.67892E+000
1,1,82,100.00010E-003,650.55400E-006,8.78250E+000,267.00000E-003,3.06212E-006,8.78250E+000
1,1,83,100.00010E-003,640.48800E-006,8.88608E+000,274.00000E-003,3.12669E-006,8.88608E+000
1,1,84,100.00010E-003,630.46000E-006,8.98965E+000,281.00000E-003,3.18466E-006,8.98965E+000
1,1,85,100.00010E-003,620.32100E-006,9.09323E+000,288.00000E-003,3.24671E-006,9.09323E+000
1,1,86,100.00000E-003,609.09700E-006,9.21827E+000,295.00000E-003,3.26897E-006,9.21827E+000
1,1,87,100.00010E-003,598.77400E-006,9.32186E+000,302.00000E-003,3.33382E-006,9.32186E+000
1,1,88,100.00000E-003,587.98100E-006,9.42902E+000,309.00000E-003,3.39125E-006,9.42902E+000
1,1,89,100.00010E-003,577.24300E-006,9.53282E+000,316.00000E-003,3.45945E-006,9.53282E+000
1,1,90,100.00010E-003,566.65100E-006,9.63637E+000,323.00000E-003,3.53206E-006,9.63637E+000
1,1,91,100.00010E-003,555.89800E-006,9.74336E+000,330.00000E-003,3.59751E-006,9.74336E+000
1,1,92,100.00010E-003,545.22000E-006,9.84853E+000,337.00000E-003,3.67241E-006,9.84853E+000
1,1,93,100.00010E-003,534.82400E-006,9.95210E+000,344.00000E-003,3.75495E-006,9.95210E+000
1,1,94,100.00000E-003,524.49400E-006,10.05734E+000,351.00000E-003,3.84001E-006,10.05734E+000
1,1,95,100.00010E-003,511.68500E-006,10.18708E+000,358.00000E-003,3.85202E-006,10.18708E+000
1,1,96,100.00010E-003,501.13800E-006,10.29070E+000,365.00000E-003,3.95015E-006,10.29070E+000
1,1,97,100.00010E-003,490.41000E-006,10.39425E+000,372.00000E-003,4.04047E-006,10.39425E+000
1,1,98,100.00010E-003,479.63600E-006,10.49783E+000,379.00000E-003,4.13008E-006,10.49783E+000
1,1,99,100.00000E-003,468.79900E-006,10.60139E+000,386.00000E-003,4.21926E-006,10.60139E+000
1,1,100,100.00010E-003,457.09700E-006,10.72300E+000,393.00000E-003,4.27396E-006,10.72300E+000
1,1,101,100.00010E-003,446.17700E-006,10.82654E+000,400.00000E-003,4.36518E-006,10.82654E+000
1,1,102,100.00000E-003,435.22800E-006,10.93018E+000,407.00000E-003,4.45174E-006,10.93018E+000
1,1,103,100.00010E-003,424.18000E-006,11.03375E+000,414.00000E-003,4.53846E-006,11.03375E+000
1,1,104,100.00010E-003,413.19500E-006,11.13729E+000,421.00000E-003,4.62485E-006,11.13729E+000
1,1,105,100.00000E-003,401.93900E-006,11.24187E+000,428.00000E-003,4.70634E-006,11.24187E+000
1,1,106,100.00010E-003,390.82500E-006,11.34546E+000,435.00000E-003,4.78888E-006,11.34546E+000
