Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time,transc
1,1,1,1.00E-01,3.41E-04,6.41E-02,-3.00E-01,-1.51E-06,6.41E-02,-7.94E-05
1,1,2,1.00E-01,3.40E-04,1.68E-01,-2.93E-01,-1.26E-06,1.68E-01,-1.00E-04
1,1,3,1.00E-01,3.39E-04,2.74E-01,-2.86E-01,-1.08E-06,2.74E-01,-1.13E-04
1,1,4,1.00E-01,3.39E-04,3.80E-01,-2.79E-01,-9.44E-07,3.80E-01,-1.20E-04
1,1,5,1.00E-01,3.38E-04,4.84E-01,-2.72E-01,-8.17E-07,4.84E-01,-1.29E-04
1,1,6,1.00E-01,3.37E-04,5.87E-01,-2.65E-01,-7.07E-07,5.87E-01,-1.35E-04
1,1,7,1.00E-01,3.36E-04,6.95E-01,-2.58E-01,-6.11E-07,6.95E-01,-1.39E-04
1,1,8,1.00E-01,3.35E-04,7.99E-01,-2.51E-01,-5.22E-07,7.99E-01,-1.49E-04
1,1,9,1.00E-01,3.34E-04,9.02E-01,-2.44E-01,-4.40E-07,9.02E-01,-1.55E-04
1,1,10,1.00E-01,3.33E-04,1.01E+00,-2.37E-01,-3.64E-07,1.01E+00,-1.59E-04
1,1,11,1.00E-01,3.32E-04,1.11E+00,-2.30E-01,-2.93E-07,1.11E+00,-1.66E-04
1,1,12,1.00E-01,3.30E-04,1.21E+00,-2.23E-01,-2.25E-07,1.21E+00,-1.73E-04
1,1,13,1.00E-01,3.29E-04,1.32E+00,-2.16E-01,-1.63E-07,1.32E+00,-2.01E-04
1,1,14,1.00E-01,3.28E-04,1.49E+00,-2.09E-01,-2.13E-07,1.49E+00,-1.92E-04
1,1,15,1.00E-01,3.27E-04,1.66E+00,-2.02E-01,-1.96E-07,1.66E+00,-1.94E-04
1,1,16,1.00E-01,3.25E-04,1.84E+00,-1.95E-01,-1.72E-07,1.84E+00,-1.96E-04
1,1,17,1.00E-01,3.24E-04,2.01E+00,-1.88E-01,-1.38E-07,2.01E+00,-1.96E-04
1,1,18,1.00E-01,3.22E-04,2.15E+00,-1.81E-01,-6.06E-08,2.15E+00,-1.81E-04
1,1,19,1.00E-01,3.21E-04,2.26E+00,-1.74E-01,3.19E-08,2.26E+00,-1.98E-04
1,1,20,1.00E-01,3.20E-04,2.36E+00,-1.67E-01,1.08E-07,2.36E+00,-2.07E-04
1,1,21,1.00E-01,3.18E-04,2.46E+00,-1.60E-01,1.68E-07,2.46E+00,-2.15E-04
1,1,22,1.00E-01,3.17E-04,2.57E+00,-1.53E-01,2.23E-07,2.57E+00,-2.25E-04
1,1,23,1.00E-01,3.15E-04,2.68E+00,-1.46E-01,2.63E-07,2.68E+00,-2.26E-04
1,1,24,1.00E-01,3.14E-04,2.78E+00,-1.39E-01,3.13E-07,2.78E+00,-2.32E-04
1,1,25,1.00E-01,3.12E-04,2.88E+00,-1.32E-01,3.56E-07,2.88E+00,-2.39E-04
1,1,26,1.00E-01,3.10E-04,2.99E+00,-1.25E-01,3.96E-07,2.99E+00,-2.51E-04
1,1,27,1.00E-01,3.09E-04,3.10E+00,-1.18E-01,4.20E-07,3.10E+00,-2.57E-04
1,1,28,1.00E-01,3.07E-04,3.21E+00,-1.11E-01,4.42E-07,3.21E+00,-2.62E-04
1,1,29,1.00E-01,3.05E-04,3.33E+00,-1.04E-01,4.61E-07,3.33E+00,-2.62E-04
1,1,30,1.00E-01,3.03E-04,3.44E+00,-9.70E-02,4.94E-07,3.44E+00,-2.68E-04
1,1,31,1.00E-01,3.01E-04,3.55E+00,-9.00E-02,5.22E-07,3.55E+00,-2.90E-04
1,1,32,1.00E-01,2.99E-04,3.67E+00,-8.30E-02,5.08E-07,3.67E+00,-2.73E-04
1,1,33,1.00E-01,2.97E-04,3.78E+00,-7.60E-02,5.52E-07,3.78E+00,-2.86E-04
1,1,34,1.00E-01,2.95E-04,3.89E+00,-6.90E-02,5.80E-07,3.89E+00,-2.91E-04
1,1,35,1.00E-01,2.93E-04,4.00E+00,-6.20E-02,6.04E-07,4.00E+00,-2.99E-04
1,1,36,1.00E-01,2.91E-04,4.11E+00,-5.50E-02,6.26E-07,4.11E+00,-3.08E-04
1,1,37,1.00E-01,2.89E-04,4.23E+00,-4.80E-02,6.41E-07,4.23E+00,-3.11E-04
1,1,38,1.00E-01,2.87E-04,4.34E+00,-4.10E-02,6.61E-07,4.34E+00,-3.17E-04
1,1,39,1.00E-01,2.85E-04,4.45E+00,-3.40E-02,6.75E-07,4.45E+00,-3.22E-04
1,1,40,1.00E-01,2.82E-04,4.56E+00,-2.70E-02,6.93E-07,4.56E+00,-3.37E-04
1,1,41,1.00E-01,2.80E-04,4.68E+00,-2.00E-02,6.91E-07,4.68E+00,-3.32E-04
1,1,42,1.00E-01,2.78E-04,4.79E+00,-1.30E-02,7.16E-07,4.79E+00,-3.41E-04
1,1,43,1.00E-01,2.75E-04,4.90E+00,-6.00E-03,7.32E-07,4.90E+00,-3.50E-04
1,1,44,1.00E-01,2.73E-04,5.00E+00,1.00E-03,7.46E-07,5.00E+00,-3.56E-04
1,1,45,1.00E-01,2.70E-04,5.11E+00,8.00E-03,7.59E-07,5.11E+00,-3.64E-04
1,1,46,1.00E-01,2.68E-04,5.23E+00,1.50E-02,7.67E-07,5.23E+00,-3.71E-04
1,1,47,1.00E-01,2.65E-04,5.34E+00,2.20E-02,7.76E-07,5.34E+00,-3.77E-04
1,1,48,1.00E-01,2.63E-04,5.45E+00,2.90E-02,7.86E-07,5.45E+00,-3.77E-04
1,1,49,1.00E-01,2.60E-04,5.56E+00,3.60E-02,8.06E-07,5.56E+00,-3.94E-04
1,1,50,1.00E-01,2.57E-04,5.67E+00,4.30E-02,8.08E-07,5.67E+00,-3.91E-04
1,1,51,1.00E-01,2.54E-04,5.78E+00,5.00E-02,8.29E-07,5.78E+00,-3.99E-04
1,1,52,1.00E-01,2.52E-04,5.88E+00,5.70E-02,8.46E-07,5.88E+00,-4.08E-04
1,1,53,1.00E-01,2.49E-04,5.99E+00,6.40E-02,8.59E-07,5.99E+00,-4.10E-04
1,1,54,1.00E-01,2.46E-04,6.10E+00,7.10E-02,8.79E-07,6.10E+00,-4.28E-04
1,1,55,1.00E-01,2.43E-04,6.21E+00,7.80E-02,8.81E-07,6.21E+00,-4.24E-04
1,1,56,1.00E-01,2.40E-04,6.32E+00,8.50E-02,9.00E-07,6.32E+00,-4.32E-04
1,1,57,1.00E-01,2.37E-04,6.42E+00,9.20E-02,9.17E-07,6.42E+00,-4.40E-04
1,1,58,1.00E-01,2.34E-04,6.52E+00,9.90E-02,9.32E-07,6.52E+00,-4.48E-04
1,1,59,1.00E-01,2.31E-04,6.63E+00,1.06E-01,9.47E-07,6.63E+00,-4.51E-04
1,1,60,1.00E-01,2.28E-04,6.73E+00,1.13E-01,9.61E-07,6.73E+00,-4.60E-04
1,1,61,1.00E-01,2.24E-04,6.83E+00,1.20E-01,9.77E-07,6.83E+00,-4.67E-04
1,1,62,1.00E-01,2.21E-04,6.94E+00,1.27E-01,9.92E-07,6.94E+00,-4.70E-04
1,1,63,1.00E-01,2.18E-04,7.04E+00,1.34E-01,1.01E-06,7.04E+00,-5.15E-04
