Repeat,VAR2,Point,D1__CH1 Voltage,D1__CH1 Current,D1__CH1 Resistance,D1__CH1 Time,D1__CH2 Voltage,D1__CH2 Current,D1__CH2 Resistance,D1__CH2 Time,D2__CH1 Voltage,D2__CH1 Current,D2__CH1 Resistance,D2__CH1 Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,35.69600E-006,2.80143E+003,84.65500E-003,100.00000E-003,51.89820E-006,1.92685E+003,84.65500E-003,99.99980E-003,73.80180E-006,1.35498E+003,84.61300E-003,-300.00000E-003,-1.08474E-006,84.61300E-003
1,1,2,100.00000E-003,35.65780E-006,2.80444E+003,217.56300E-003,100.00000E-003,51.83350E-006,1.92925E+003,217.56300E-003,100.00020E-003,73.75910E-006,1.35577E+003,217.99900E-003,-292.99900E-003,-866.18100E-009,217.99900E-003
1,1,3,100.00000E-003,35.61900E-006,2.80749E+003,351.42700E-003,100.00000E-003,51.75700E-006,1.93211E+003,351.42700E-003,100.00020E-003,73.69190E-006,1.35700E+003,348.36300E-003,-285.99900E-003,-711.84400E-009,348.36300E-003
1,1,4,99.99990E-003,35.58600E-006,2.81009E+003,472.96300E-003,100.00000E-003,51.67290E-006,1.93525E+003,472.96300E-003,100.00030E-003,73.69820E-006,1.35689E+003,469.68500E-003,-278.99800E-003,-585.93700E-009,469.68500E-003
1,1,5,99.99990E-003,35.55610E-006,2.81245E+003,615.81200E-003,100.00000E-003,51.58050E-006,1.93872E+003,615.81200E-003,99.99990E-003,73.64260E-006,1.35791E+003,615.31500E-003,-271.99900E-003,-486.99000E-009,615.31500E-003
1,1,6,100.00000E-003,35.51920E-006,2.81538E+003,766.90200E-003,100.00000E-003,51.48340E-006,1.94237E+003,766.90200E-003,100.00030E-003,73.57890E-006,1.35909E+003,765.95700E-003,-264.99800E-003,-401.50800E-009,765.95700E-003
1,1,7,100.00000E-003,35.48440E-006,2.81814E+003,905.42300E-003,100.00000E-003,51.38000E-006,1.94628E+003,905.42300E-003,100.00000E-003,73.55800E-006,1.35947E+003,902.54300E-003,-257.99800E-003,-315.15700E-009,902.54300E-003
1,1,8,99.99990E-003,35.45250E-006,2.82067E+003,1.04399E+000,100.00000E-003,51.27370E-006,1.95032E+003,1.04399E+000,100.00000E-003,73.54360E-006,1.35974E+003,1.04166E+000,-250.99800E-003,-240.62300E-009,1.04166E+000
1,1,9,100.00000E-003,35.41440E-006,2.82371E+003,1.17310E+000,100.00000E-003,51.16000E-006,1.95465E+003,1.17310E+000,99.99990E-003,73.46460E-006,1.36120E+003,1.18210E+000,-243.99900E-003,-191.26500E-009,1.18210E+000
1,1,10,100.00000E-003,35.37610E-006,2.82677E+003,1.30371E+000,100.00000E-003,51.05120E-006,1.95882E+003,1.30371E+000,99.99990E-003,73.41560E-006,1.36211E+003,1.30126E+000,-236.99800E-003,-106.64700E-009,1.30126E+000
1,1,11,100.00000E-003,35.32950E-006,2.83050E+003,1.43619E+000,100.00000E-003,50.92630E-006,1.96362E+003,1.43619E+000,100.00000E-003,73.34590E-006,1.36340E+003,1.44674E+000,-229.84900E-003,-60.53770E-009,1.44674E+000
1,1,12,100.00000E-003,35.28850E-006,2.83378E+003,1.56347E+000,100.00000E-003,50.81010E-006,1.96811E+003,1.56347E+000,100.00000E-003,73.27750E-006,1.36468E+003,1.58047E+000,-222.85800E-003,-9.08020E-009,1.58047E+000
1,1,13,100.00000E-003,35.24800E-006,2.83704E+003,1.74506E+000,100.00000E-003,50.67790E-006,1.97325E+003,1.74506E+000,100.00000E-003,73.24870E-006,1.36521E+003,1.76082E+000,-215.87900E-003,13.35360E-009,1.76082E+000
1,1,14,99.99990E-003,35.20620E-006,2.84041E+003,1.89384E+000,100.00010E-003,50.55370E-006,1.97810E+003,1.89384E+000,99.99990E-003,73.17880E-006,1.36651E+003,1.89745E+000,-208.99790E-003,62.15200E-009,1.89745E+000
