Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00010E-003,49.25500E-006,67.85900E-003,-300.00300E-003,-17.95170E-006,67.85900E-003
1,1,2,99.99990E-003,49.01560E-006,171.83900E-003,-293.00000E-003,-16.33900E-006,171.83900E-003
1,1,3,99.99990E-003,48.80850E-006,275.42500E-003,-286.00000E-003,-15.10160E-006,275.42500E-003
1,1,4,99.99990E-003,48.59710E-006,379.00900E-003,-279.00000E-003,-14.03170E-006,379.00900E-003
1,1,5,99.99990E-003,48.38650E-006,482.58800E-003,-272.00000E-003,-13.08590E-006,482.58800E-003
1,1,6,99.99990E-003,48.17750E-006,586.14700E-003,-265.00000E-003,-12.23370E-006,586.14700E-003
1,1,7,99.99980E-003,47.96770E-006,702.04600E-003,-258.00000E-003,-11.45160E-006,702.04600E-003
1,1,8,99.99990E-003,47.75130E-006,806.06400E-003,-251.00000E-003,-10.72660E-006,806.06400E-003
1,1,9,99.99990E-003,47.53300E-006,909.66600E-003,-244.00000E-003,-10.06680E-006,909.66600E-003
1,1,10,99.99990E-003,47.30630E-006,1.01325E+000,-237.00000E-003,-9.45990E-006,1.01325E+000
1,1,11,100.00000E-003,47.07620E-006,1.12180E+000,-230.00000E-003,-8.90737E-006,1.12180E+000
1,1,12,99.99990E-003,46.83870E-006,1.22544E+000,-223.00000E-003,-8.36798E-006,1.22544E+000
1,1,13,99.99990E-003,46.60630E-006,1.32915E+000,-216.00000E-003,-7.87101E-006,1.32915E+000
1,1,14,99.99980E-003,46.37010E-006,1.43272E+000,-208.99930E-003,-7.41513E-006,1.43272E+000
1,1,15,100.00000E-003,46.12930E-006,1.53630E+000,-201.99930E-003,-6.97299E-006,1.53630E+000
1,1,16,99.99990E-003,45.89580E-006,1.66874E+000,-194.99960E-003,-6.66710E-006,1.66874E+000
1,1,17,99.99990E-003,45.64130E-006,1.77236E+000,-187.99930E-003,-6.18134E-006,1.77236E+000
1,1,18,99.99990E-003,45.39180E-006,1.87599E+000,-180.99940E-003,-5.78818E-006,1.87599E+000
1,1,19,99.99990E-003,45.13500E-006,1.97959E+000,-173.99920E-003,-5.42715E-006,1.97959E+000
1,1,20,99.99990E-003,44.87470E-006,2.08489E+000,-166.99930E-003,-5.09683E-006,2.08489E+000
1,1,21,99.99990E-003,44.61040E-006,2.20541E+000,-159.99930E-003,-4.78536E-006,2.20541E+000
1,1,22,100.00000E-003,44.33980E-006,2.30900E+000,-152.99920E-003,-4.46493E-006,2.30900E+000
1,1,23,99.99990E-003,44.06130E-006,2.41264E+000,-145.99920E-003,-4.16925E-006,2.41264E+000
1,1,24,100.00000E-003,43.78550E-006,2.51622E+000,-138.99920E-003,-3.89305E-006,2.51622E+000
1,1,25,99.99990E-003,43.49830E-006,2.61980E+000,-131.99920E-003,-3.62550E-006,2.61980E+000
1,1,26,99.99990E-003,43.21780E-006,2.72338E+000,-124.99920E-003,-3.37308E-006,2.72338E+000
1,1,27,100.00000E-003,42.93080E-006,2.82848E+000,-117.99920E-003,-3.13662E-006,2.82848E+000
1,1,28,99.99990E-003,42.63800E-006,2.93208E+000,-110.99910E-003,-2.90522E-006,2.93208E+000
1,1,29,100.00000E-003,42.33810E-006,3.03566E+000,-103.99920E-003,-2.68548E-006,3.03566E+000
1,1,30,100.00000E-003,42.03670E-006,3.16587E+000,-96.99940E-003,-2.60786E-006,3.16587E+000
1,1,31,99.99990E-003,41.73240E-006,3.26948E+000,-89.99930E-003,-2.32347E-006,3.26948E+000
1,1,32,100.00000E-003,41.42170E-006,3.37309E+000,-82.99920E-003,-2.11022E-006,3.37309E+000
1,1,33,100.00000E-003,41.10600E-006,3.47665E+000,-75.99910E-003,-1.91568E-006,3.47665E+000
1,1,34,100.00000E-003,40.78880E-006,3.58024E+000,-68.99920E-003,-1.73314E-006,3.58024E+000
1,1,35,100.00000E-003,40.46290E-006,3.68385E+000,-61.99920E-003,-1.56073E-006,3.68385E+000
1,1,36,100.00000E-003,40.13240E-006,3.78745E+000,-54.99920E-003,-1.39543E-006,3.78745E+000
1,1,37,100.00000E-003,39.80370E-006,3.89102E+000,-47.99910E-003,-1.23606E-006,3.89102E+000
1,1,38,100.00000E-003,39.46420E-006,3.99458E+000,-40.99920E-003,-1.08436E-006,3.99458E+000
1,1,39,100.00000E-003,39.12050E-006,4.16875E+000,-33.99970E-003,-1.21790E-006,4.16875E+000
1,1,40,99.99950E-003,38.76850E-006,4.32700E+000,-26.99780E-003,-1.11842E-006,4.32700E+000
1,1,41,100.00000E-003,38.41370E-006,4.43333E+000,-19.99130E-003,-857.15100E-009,4.43333E+000
1,1,42,100.00000E-003,38.05890E-006,4.54804E+000,-12.99620E-003,-704.36300E-009,4.54804E+000
1,1,43,99.99990E-003,37.69410E-006,4.68022E+000,-5.99330E-003,-641.27100E-009,4.68022E+000
1,1,44,99.99960E-003,37.30650E-006,4.90909E+000,1.00160E-003,-787.54000E-009,4.90909E+000
1,1,45,99.99960E-003,36.92770E-006,5.13503E+000,8.00130E-003,-762.80000E-009,5.13503E+000
