Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99980E-003,47.68150E-006,137.50400E-003,-299.98800E-003,-218.92500E-009,137.50400E-003
1,1,2,99.99990E-003,47.49180E-006,247.34100E-003,-292.99500E-003,175.25200E-009,247.34100E-003
1,1,3,99.99990E-003,47.31440E-006,356.75800E-003,-285.99300E-003,366.55200E-009,356.75800E-003
1,1,4,100.00000E-003,47.13890E-006,466.20200E-003,-278.99300E-003,495.91400E-009,466.20200E-003
1,1,5,99.99990E-003,46.96900E-006,575.68300E-003,-271.99200E-003,594.55700E-009,575.68300E-003
1,1,6,99.99990E-003,46.79370E-006,682.60500E-003,-265.00000E-003,679.95000E-009,682.60500E-003
1,1,7,100.00000E-003,46.62100E-006,786.63300E-003,-258.00000E-003,767.53000E-009,786.63300E-003
1,1,8,100.00000E-003,46.44570E-006,892.93800E-003,-251.00000E-003,824.68000E-009,892.93800E-003
1,1,9,100.00000E-003,46.26950E-006,996.48200E-003,-243.99900E-003,902.61000E-009,996.48200E-003
1,1,10,99.99990E-003,46.09200E-006,1.10015E+000,-236.99900E-003,966.31000E-009,1.10015E+000
1,1,11,100.00000E-003,45.92130E-006,1.23218E+000,-230.00000E-003,884.14000E-009,1.23218E+000
1,1,12,99.99990E-003,45.73550E-006,1.33577E+000,-222.99900E-003,1.03086E-006,1.33577E+000
1,1,13,99.99990E-003,45.55320E-006,1.43936E+000,-215.99900E-003,1.10719E-006,1.43936E+000
1,1,14,99.99990E-003,45.36640E-006,1.54293E+000,-208.99920E-003,1.16156E-006,1.54293E+000
1,1,15,100.00000E-003,45.17600E-006,1.64653E+000,-201.99920E-003,1.22250E-006,1.64653E+000
1,1,16,100.00000E-003,44.99060E-006,1.77354E+000,-194.99920E-003,1.22969E-006,1.77354E+000
1,1,17,100.00000E-003,44.79680E-006,1.87747E+000,-187.99920E-003,1.29606E-006,1.87747E+000
1,1,18,100.00000E-003,44.59880E-006,1.98270E+000,-180.99920E-003,1.34377E-006,1.98270E+000
1,1,19,99.99990E-003,44.39950E-006,2.08674E+000,-173.99910E-003,1.39898E-006,2.08674E+000
1,1,20,100.00000E-003,44.19670E-006,2.19028E+000,-166.99910E-003,1.44944E-006,2.19028E+000
1,1,21,100.00000E-003,43.99660E-006,2.29388E+000,-159.99910E-003,1.49367E-006,2.29388E+000
1,1,22,100.00000E-003,43.78720E-006,2.39747E+000,-152.99910E-003,1.53450E-006,2.39747E+000
1,1,23,100.00000E-003,43.57950E-006,2.50102E+000,-145.99910E-003,1.57254E-006,2.50102E+000
1,1,24,100.00000E-003,43.36940E-006,2.60465E+000,-138.99910E-003,1.60697E-006,2.60465E+000
1,1,25,100.00000E-003,43.16160E-006,2.74162E+000,-131.99940E-003,1.46834E-006,2.74162E+000
1,1,26,100.00000E-003,42.93790E-006,2.84523E+000,-124.99920E-003,1.59109E-006,2.84523E+000
1,1,27,100.00000E-003,42.71790E-006,2.94885E+000,-117.99920E-003,1.64146E-006,2.94885E+000
1,1,28,100.00000E-003,42.49880E-006,3.05664E+000,-110.99920E-003,1.65541E-006,3.05664E+000
1,1,29,100.00000E-003,42.27400E-006,3.16022E+000,-103.99920E-003,1.69994E-006,3.16022E+000
1,1,30,99.99990E-003,42.04740E-006,3.27692E+000,-96.99920E-003,1.69842E-006,3.27692E+000
1,1,31,100.00000E-003,41.81440E-006,3.38051E+000,-89.99920E-003,1.73400E-006,3.38051E+000
1,1,32,100.00000E-003,41.58390E-006,3.48408E+000,-82.99920E-003,1.76192E-006,3.48408E+000
1,1,33,100.00000E-003,41.35060E-006,3.58860E+000,-75.99920E-003,1.78019E-006,3.58860E+000
1,1,34,100.00000E-003,41.10670E-006,3.69222E+000,-68.99920E-003,1.80504E-006,3.69222E+000
