Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,71.83430E-003,1.00000E-003,67.83100E-003,-299.99900E-003,-402.64500E-009,67.83100E-003
1,1,2,72.21740E-003,1.00000E-003,177.59000E-003,-292.99100E-003,422.83500E-009,177.59000E-003
1,1,3,72.64100E-003,1.00000E-003,284.57000E-003,-285.99900E-003,789.08000E-009,284.57000E-003
1,1,4,73.08810E-003,1.00000E-003,391.33500E-003,-278.99900E-003,995.53000E-009,391.33500E-003
1,1,5,73.54970E-003,1.00000E-003,494.88200E-003,-271.99900E-003,1.18413E-006,494.88200E-003
1,1,6,74.03090E-003,1.00000E-003,598.51700E-003,-264.99800E-003,1.31113E-006,598.51700E-003
1,1,7,74.53510E-003,1.00000E-003,725.60200E-003,-257.99900E-003,1.32600E-006,725.60200E-003
1,1,8,75.04400E-003,1.00000E-003,829.26200E-003,-250.99900E-003,1.45712E-006,829.26200E-003
1,1,9,75.56950E-003,1.00000E-003,932.83900E-003,-243.99800E-003,1.54952E-006,932.83900E-003
1,1,10,76.11100E-003,1.00000E-003,1.03637E+000,-236.99900E-003,1.62808E-006,1.03637E+000
1,1,11,76.68980E-003,1.00000E-003,1.16053E+000,-229.99900E-003,1.47324E-006,1.16053E+000
1,1,12,77.25240E-003,1.00000E-003,1.26413E+000,-222.99900E-003,1.68625E-006,1.26413E+000
1,1,13,77.84010E-003,1.00000E-003,1.36769E+000,-215.99900E-003,1.77419E-006,1.36769E+000
1,1,14,78.43870E-003,1.00000E-003,1.47127E+000,-208.99830E-003,1.83153E-006,1.47127E+000
1,1,15,79.06410E-003,1.00000E-003,1.57486E+000,-201.99830E-003,1.89570E-006,1.57486E+000
1,1,16,79.71920E-003,1.00000E-003,1.70154E+000,-194.99840E-003,1.86814E-006,1.70154E+000
1,1,17,80.37730E-003,1.00000E-003,1.80511E+000,-187.99830E-003,1.95660E-006,1.80511E+000
1,1,18,81.05860E-003,1.00000E-003,1.90867E+000,-180.99840E-003,2.02164E-006,1.90867E+000
1,1,19,81.76080E-003,1.00000E-003,2.01222E+000,-173.99820E-003,2.07876E-006,2.01222E+000
1,1,20,82.48530E-003,1.00000E-003,2.11577E+000,-166.99820E-003,2.13152E-006,2.11577E+000
1,1,21,83.23200E-003,1.00000E-003,2.22087E+000,-159.99830E-003,2.17413E-006,2.22087E+000
1,1,22,84.00290E-003,1.00000E-003,2.32468E+000,-152.99820E-003,2.22002E-006,2.32468E+000
1,1,23,84.79880E-003,1.00000E-003,2.42822E+000,-145.99820E-003,2.26952E-006,2.42822E+000
1,1,24,85.61860E-003,1.00000E-003,2.53180E+000,-138.99830E-003,2.31414E-006,2.53180E+000
1,1,25,86.51260E-003,1.00000E-003,2.66616E+000,-131.99880E-003,2.04770E-006,2.66616E+000
1,1,26,87.36280E-003,1.00000E-003,2.76978E+000,-124.99840E-003,2.27961E-006,2.76978E+000
1,1,27,88.25970E-003,1.00000E-003,2.87333E+000,-117.99840E-003,2.36273E-006,2.87333E+000
