Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,302.00200E-006,66.46500E-003,-299.99700E-003,-788.06300E-009,66.46500E-003
1,1,2,100.00000E-003,301.83600E-006,176.28500E-003,-292.99000E-003,45.32500E-009,176.28500E-003
1,1,3,100.00010E-003,301.80800E-006,285.63700E-003,-285.98900E-003,449.94100E-009,285.63700E-003
1,1,4,100.00000E-003,301.63300E-006,394.49700E-003,-278.99900E-003,708.67000E-009,394.49700E-003
1,1,5,100.00010E-003,301.62200E-006,498.85100E-003,-271.99900E-003,948.94000E-009,498.85100E-003
1,1,6,100.00000E-003,301.08100E-006,602.38000E-003,-264.99900E-003,1.13641E-006,602.38000E-003
1,1,7,100.00000E-003,300.88800E-006,712.00100E-003,-257.99900E-003,1.26648E-006,712.00100E-003
1,1,8,100.00000E-003,300.68200E-006,815.53900E-003,-250.99900E-003,1.40979E-006,815.53900E-003
1,1,9,100.00000E-003,300.45800E-006,919.08800E-003,-243.99900E-003,1.53304E-006,919.08800E-003
1,1,10,100.00000E-003,300.39200E-006,1.02288E+000,-236.99900E-003,1.64185E-006,1.02288E+000
1,1,11,100.00000E-003,300.11000E-006,1.16702E+000,-230.00000E-003,1.37119E-006,1.16702E+000
1,1,12,100.00000E-003,299.94300E-006,1.27353E+000,-222.99900E-003,1.66408E-006,1.27353E+000
1,1,13,100.00000E-003,299.75000E-006,1.37707E+000,-215.99900E-003,1.83141E-006,1.37707E+000
1,1,14,100.00000E-003,299.75600E-006,1.50260E+000,-208.99850E-003,1.85038E-006,1.50260E+000
1,1,15,100.00000E-003,299.28800E-006,1.60615E+000,-201.99840E-003,1.98562E-006,1.60615E+000
1,1,16,100.00000E-003,299.03200E-006,1.71304E+000,-194.99840E-003,2.07331E-006,1.71304E+000
1,1,17,100.00000E-003,298.72900E-006,1.81827E+000,-187.99840E-003,2.14588E-006,1.81827E+000
1,1,18,100.00000E-003,298.54900E-006,1.92184E+000,-180.99830E-003,2.24017E-006,1.92184E+000
1,1,19,99.99990E-003,298.25500E-006,2.02537E+000,-173.99830E-003,2.31739E-006,2.02537E+000
1,1,20,100.00000E-003,298.03500E-006,2.16468E+000,-166.99890E-003,2.03736E-006,2.16468E+000
1,1,21,100.00000E-003,297.77100E-006,2.26827E+000,-159.99830E-003,2.30385E-006,2.26827E+000
1,1,22,100.00000E-003,297.40700E-006,2.37185E+000,-152.99830E-003,2.41368E-006,2.37185E+000
1,1,23,100.00000E-003,297.04000E-006,2.47544E+000,-145.99820E-003,2.49186E-006,2.47544E+000
1,1,24,99.99990E-003,296.65000E-006,2.58065E+000,-138.99840E-003,2.53553E-006,2.58065E+000
1,1,25,100.00000E-003,296.28000E-006,2.70472E+000,-131.99840E-003,2.51677E-006,2.70472E+000
1,1,26,100.00000E-003,295.82100E-006,2.80987E+000,-124.99840E-003,2.57957E-006,2.80987E+000
1,1,27,99.99990E-003,295.31900E-006,2.91342E+000,-117.99840E-003,2.65005E-006,2.91342E+000
1,1,28,99.99990E-003,294.88200E-006,3.01697E+000,-110.99840E-003,2.69897E-006,3.01697E+000
1,1,29,100.00000E-003,294.56400E-006,3.12054E+000,-103.99830E-003,2.73928E-006,3.12054E+000
1,1,30,100.00000E-003,294.23900E-006,3.22413E+000,-96.99830E-003,2.77400E-006,3.22413E+000
1,1,31,100.00000E-003,293.74900E-006,3.32767E+000,-89.99840E-003,2.80358E-006,3.32767E+000
1,1,32,100.00000E-003,293.29200E-006,3.43124E+000,-82.99830E-003,2.82852E-006,3.43124E+000
1,1,33,100.00000E-003,292.67500E-006,3.53482E+000,-75.99830E-003,2.85063E-006,3.53482E+000
1,1,34,100.00000E-003,292.26000E-006,3.67182E+000,-68.99900E-003,2.54951E-006,3.67182E+000
1,1,35,100.00000E-003,291.76800E-006,3.77540E+000,-61.99850E-003,2.74441E-006,3.77540E+000
1,1,36,99.99990E-003,291.32800E-006,3.87893E+000,-54.99840E-003,2.80319E-006,3.87893E+000
1,1,37,100.00000E-003,290.77300E-006,3.98250E+000,-47.99840E-003,2.83790E-006,3.98250E+000
1,1,38,100.00000E-003,290.18100E-006,4.08608E+000,-40.99840E-003,2.86271E-006,4.08608E+000
1,1,39,100.00000E-003,289.57300E-006,4.20783E+000,-33.99850E-003,2.80605E-006,4.20783E+000
1,1,40,100.00000E-003,288.97000E-006,4.31304E+000,-26.99850E-003,2.82890E-006,4.31304E+000
1,1,41,100.00000E-003,288.37600E-006,4.41875E+000,-19.99850E-003,2.85865E-006,4.41875E+000
1,1,42,100.00000E-003,287.69700E-006,4.52228E+000,-12.99850E-003,2.88572E-006,4.52228E+000
1,1,43,100.00000E-003,286.88700E-006,4.62583E+000,-5.99850E-003,2.90865E-006,4.62583E+000
1,1,44,100.00000E-003,285.91900E-006,4.72941E+000,1.00150E-003,2.92690E-006,4.72941E+000
1,1,45,100.00000E-003,285.30000E-006,4.83299E+000,8.00160E-003,2.94507E-006,4.83299E+000
1,1,46,100.00010E-003,284.53300E-006,4.93652E+000,15.00150E-003,2.96380E-006,4.93652E+000
1,1,47,100.00000E-003,283.79700E-006,5.04007E+000,22.00150E-003,2.98202E-006,5.04007E+000
1,1,48,100.00000E-003,282.85800E-006,5.17156E+000,29.00110E-003,2.75433E-006,5.17156E+000
1,1,49,99.99990E-003,281.98100E-006,5.27513E+000,36.00140E-003,2.91001E-006,5.27513E+000
1,1,50,100.00000E-003,281.07900E-006,5.38109E+000,43.00140E-003,2.94311E-006,5.38109E+000
1,1,51,100.00000E-003,280.16100E-006,5.48464E+000,50.00150E-003,2.99662E-006,5.48464E+000
1,1,52,100.00000E-003,279.24500E-006,5.59146E+000,57.00160E-003,3.00546E-006,5.59146E+000
1,1,53,100.00000E-003,278.19300E-006,5.71206E+000,64.00150E-003,2.98454E-006,5.71206E+000
1,1,54,100.00000E-003,277.16800E-006,5.81564E+000,71.00140E-003,3.03958E-006,5.81564E+000
1,1,55,100.00000E-003,276.01700E-006,5.92249E+000,78.00150E-003,3.05152E-006,5.92249E+000
1,1,56,100.00010E-003,274.89600E-006,6.02942E+000,85.00160E-003,3.06838E-006,6.02942E+000
1,1,57,100.00000E-003,273.82100E-006,6.17516E+000,92.00100E-003,2.78887E-006,6.17516E+000
1,1,58,100.00000E-003,272.70100E-006,6.27873E+000,99.00140E-003,2.99243E-006,6.27873E+000
1,1,59,99.99990E-003,271.57100E-006,6.38226E+000,106.00140E-003,3.06228E-006,6.38226E+000
1,1,60,100.00010E-003,270.30300E-006,6.48907E+000,113.00140E-003,3.08425E-006,6.48907E+000
1,1,61,100.00000E-003,268.80100E-006,6.59594E+000,120.00140E-003,3.11197E-006,6.59594E+000
1,1,62,100.00000E-003,267.59300E-006,6.71674E+000,127.00120E-003,3.09966E-006,6.71674E+000
1,1,63,100.00000E-003,266.33200E-006,6.82359E+000,134.00130E-003,3.13508E-006,6.82359E+000
1,1,64,100.00000E-003,264.89800E-006,6.93042E+000,141.00140E-003,3.17185E-006,6.93042E+000
1,1,65,100.00000E-003,263.33900E-006,7.03729E+000,148.00150E-003,3.21159E-006,7.03729E+000
1,1,66,100.00000E-003,261.95100E-006,7.18233E+000,155.00090E-003,2.97398E-006,7.18233E+000
1,1,67,100.00000E-003,260.48200E-006,7.28917E+000,162.00130E-003,3.16021E-006,7.28917E+000
1,1,68,100.00000E-003,258.93600E-006,7.39598E+000,169.00140E-003,3.24681E-006,7.39598E+000
1,1,69,100.00000E-003,257.24700E-006,7.50292E+000,176.00140E-003,3.31605E-006,7.50292E+000
1,1,70,100.00000E-003,255.42300E-006,7.60990E+000,183.00140E-003,3.38542E-006,7.60990E+000
1,1,71,100.00000E-003,253.62300E-006,7.72124E+000,190.00140E-003,3.44260E-006,7.72124E+000
1,1,72,100.00000E-003,251.75600E-006,7.82813E+000,197.00150E-003,3.52192E-006,7.82813E+000
1,1,73,100.00000E-003,249.80500E-006,7.93517E+000,204.00140E-003,3.59919E-006,7.93517E+000
1,1,74,100.00000E-003,247.83900E-006,8.04218E+000,211.00100E-003,3.70305E-006,8.04218E+000
1,1,75,100.00000E-003,245.49900E-006,8.18352E+000,218.00100E-003,3.55088E-006,8.18352E+000
1,1,76,100.00000E-003,243.18600E-006,8.29043E+000,225.00100E-003,3.76448E-006,8.29043E+000
1,1,77,100.00000E-003,240.91200E-006,8.39737E+000,232.00100E-003,3.89624E-006,8.39737E+000
1,1,78,100.00000E-003,238.55300E-006,8.50420E+000,239.00100E-003,4.02052E-006,8.50420E+000
1,1,79,100.00000E-003,236.00800E-006,8.61104E+000,246.00100E-003,4.14710E-006,8.61104E+000
1,1,80,100.00000E-003,233.27500E-006,8.72412E+000,253.00100E-003,4.25358E-006,8.72412E+000
1,1,81,100.00000E-003,230.50800E-006,8.83099E+000,260.00100E-003,4.39402E-006,8.83099E+000
1,1,82,100.00000E-003,227.67900E-006,8.93785E+000,267.00100E-003,4.53995E-006,8.93785E+000
1,1,83,100.00000E-003,224.75900E-006,9.04470E+000,274.00100E-003,4.69168E-006,9.04470E+000
1,1,84,100.00000E-003,221.53800E-006,9.18423E+000,281.00100E-003,4.63648E-006,9.18423E+000
1,1,85,100.00000E-003,218.42200E-006,9.29111E+000,288.00100E-003,4.91348E-006,9.29111E+000
1,1,86,100.00000E-003,215.23500E-006,9.39797E+000,295.00100E-003,5.11665E-006,9.39797E+000
1,1,87,100.00000E-003,211.86300E-006,9.50487E+000,302.00100E-003,5.31920E-006,9.50487E+000
1,1,88,100.00000E-003,208.47100E-006,9.61183E+000,309.00100E-003,5.52884E-006,9.61183E+000
1,1,89,100.00000E-003,204.87600E-006,9.72910E+000,316.00100E-003,5.71354E-006,9.72910E+000
1,1,90,100.00000E-003,201.22600E-006,9.83609E+000,323.00100E-003,5.94982E-006,9.83609E+000
1,1,91,99.99990E-003,197.44400E-006,9.94355E+000,330.00100E-003,6.19550E-006,9.94355E+000
1,1,92,100.00000E-003,193.64700E-006,10.05045E+000,337.00100E-003,6.45284E-006,10.05045E+000
1,1,93,100.00000E-003,189.67700E-006,10.19230E+000,344.00100E-003,6.50982E-006,10.19230E+000
1,1,94,100.00010E-003,185.81800E-006,10.30122E+000,351.00100E-003,6.88356E-006,10.30122E+000
1,1,95,100.00000E-003,181.93000E-006,10.40807E+000,358.00100E-003,7.22082E-006,10.40807E+000
1,1,96,99.99990E-003,177.87100E-006,10.51488E+000,365.00100E-003,7.55143E-006,10.51488E+000
1,1,97,100.00000E-003,173.74700E-006,10.62432E+000,372.00100E-003,7.86344E-006,10.62432E+000
1,1,98,100.00000E-003,169.60500E-006,10.74624E+000,379.00100E-003,8.17727E-006,10.74624E+000
1,1,99,99.99990E-003,165.49700E-006,10.85314E+000,386.00100E-003,8.57620E-006,10.85314E+000
1,1,100,100.00000E-003,161.39100E-006,10.95671E+000,393.00100E-003,8.96810E-006,10.95671E+000
1,1,101,100.00000E-003,157.34500E-006,11.06026E+000,400.00100E-003,9.38580E-006,11.06026E+000
1,1,102,100.00000E-003,153.20000E-006,11.19351E+000,407.00000E-003,9.65590E-006,11.19351E+000
1,1,103,100.00000E-003,149.32600E-006,11.29709E+000,414.00100E-003,10.19590E-006,11.29709E+000
1,1,104,99.99990E-003,145.51300E-006,11.40063E+000,421.00100E-003,10.68800E-006,11.40063E+000
1,1,105,100.00000E-003,141.82700E-006,11.50419E+000,428.00100E-003,11.19330E-006,11.50419E+000
1,1,106,100.00000E-003,138.34300E-006,11.60774E+000,435.00100E-003,11.71380E-006,11.60774E+000
1,1,107,100.00000E-003,135.07000E-006,11.72953E+000,442.00000E-003,12.21330E-006,11.72953E+000
1,1,108,100.00000E-003,132.07000E-006,11.83308E+000,449.00000E-003,12.78590E-006,11.83308E+000
1,1,109,99.99990E-003,129.41400E-006,11.93669E+000,456.00100E-003,13.37350E-006,11.93669E+000
1,1,110,100.00000E-003,127.10200E-006,12.04024E+000,463.00000E-003,13.97800E-006,12.04024E+000
1,1,111,100.00000E-003,125.19400E-006,12.14379E+000,470.00100E-003,14.60190E-006,12.14379E+000
1,1,112,100.00000E-003,123.74600E-006,12.24831E+000,477.00100E-003,15.23850E-006,12.24831E+000
1,1,113,100.00000E-003,122.77400E-006,12.35194E+000,484.00100E-003,15.89430E-006,12.35194E+000
1,1,114,99.99990E-003,122.27600E-006,12.45548E+000,491.00100E-003,16.56800E-006,12.45548E+000
1,1,115,100.00000E-003,122.29700E-006,12.55905E+000,498.00100E-003,17.25070E-006,12.55905E+000
1,1,116,99.99990E-003,122.86400E-006,12.69421E+000,505.00000E-003,17.80300E-006,12.69421E+000
1,1,117,99.99990E-003,123.91400E-006,12.79778E+000,512.00100E-003,18.58760E-006,12.79778E+000
1,1,118,100.00000E-003,125.40900E-006,12.90139E+000,519.00100E-003,19.32750E-006,12.90139E+000
1,1,119,100.00000E-003,127.43900E-006,13.00494E+000,526.00100E-003,20.07340E-006,13.00494E+000
1,1,120,100.00000E-003,129.85400E-006,13.10849E+000,533.00100E-003,20.82790E-006,13.10849E+000
1,1,121,100.00000E-003,132.64200E-006,13.23364E+000,540.00100E-003,21.54240E-006,13.23364E+000
1,1,122,99.99990E-003,135.78100E-006,13.33720E+000,547.00100E-003,22.32840E-006,13.33720E+000
1,1,123,100.00000E-003,139.16500E-006,13.44227E+000,554.00100E-003,23.11620E-006,13.44227E+000
1,1,124,100.00000E-003,142.75400E-006,13.54587E+000,561.00100E-003,23.91730E-006,13.54587E+000
1,1,125,100.00000E-003,146.51300E-006,13.64943E+000,568.00100E-003,24.72760E-006,13.64943E+000
1,1,126,100.00000E-003,150.36800E-006,13.75309E+000,575.00100E-003,25.54590E-006,13.75309E+000
1,1,127,100.00000E-003,154.32600E-006,13.85864E+000,582.00100E-003,26.36730E-006,13.85864E+000
1,1,128,100.00000E-003,158.30000E-006,13.96230E+000,589.00100E-003,27.20460E-006,13.96230E+000
1,1,129,100.00000E-003,162.26100E-006,14.06591E+000,596.00100E-003,28.04850E-006,14.06591E+000
1,1,130,99.99990E-003,166.34800E-006,14.19915E+000,603.00000E-003,28.75680E-006,14.19915E+000
1,1,131,100.00000E-003,170.15600E-006,14.30272E+000,610.00100E-003,29.66350E-006,14.30272E+000
1,1,132,100.00000E-003,173.88400E-006,14.40628E+000,617.00100E-003,30.54400E-006,14.40628E+000
1,1,133,100.00000E-003,177.52900E-006,14.50984E+000,624.00100E-003,31.42500E-006,14.50984E+000
1,1,134,100.00000E-003,181.10600E-006,14.61345E+000,631.00100E-003,32.31050E-006,14.61345E+000
1,1,135,100.00000E-003,184.59300E-006,14.73766E+000,638.00100E-003,33.13480E-006,14.73766E+000
1,1,136,100.00000E-003,187.93300E-006,14.84126E+000,645.00100E-003,34.03990E-006,14.84126E+000
1,1,137,100.00000E-003,191.08100E-006,14.94518E+000,652.00100E-003,34.94760E-006,14.94518E+000
1,1,138,100.00000E-003,194.19000E-006,15.04874E+000,659.00100E-003,35.85930E-006,15.04874E+000
1,1,139,100.00000E-003,197.19600E-006,15.15227E+000,666.00100E-003,36.77660E-006,15.15227E+000
1,1,140,99.99990E-003,200.06100E-006,15.25588E+000,673.00100E-003,37.69640E-006,15.25588E+000
1,1,141,100.00010E-003,202.83800E-006,15.36185E+000,680.00100E-003,38.61050E-006,15.36185E+000
1,1,142,100.00000E-003,205.50400E-006,15.46540E+000,687.00100E-003,39.54600E-006,15.46540E+000
1,1,143,100.00000E-003,208.03800E-006,15.56907E+000,694.00100E-003,40.48370E-006,15.56907E+000
1,1,144,99.99990E-003,210.69600E-006,15.70030E+000,701.00000E-003,41.25340E-006,15.70030E+000
1,1,145,100.00000E-003,213.12700E-006,15.80387E+000,708.00100E-003,42.24510E-006,15.80387E+000
1,1,146,100.00000E-003,215.36600E-006,15.90754E+000,715.00100E-003,43.20630E-006,15.90754E+000
1,1,147,100.00000E-003,217.59500E-006,16.01112E+000,722.00100E-003,44.16400E-006,16.01112E+000
1,1,148,100.00000E-003,219.58400E-006,16.11470E+000,729.00100E-003,45.12480E-006,16.11470E+000
1,1,149,100.00000E-003,221.78500E-006,16.24267E+000,736.00100E-003,45.96890E-006,16.24267E+000
1,1,150,100.00000E-003,223.73800E-006,16.34620E+000,743.00100E-003,46.94390E-006,16.34620E+000
1,1,151,100.00000E-003,225.60600E-006,16.44979E+000,750.00100E-003,47.91710E-006,16.44979E+000
1,1,152,100.00000E-003,227.47800E-006,16.55332E+000,757.00100E-003,48.88860E-006,16.55332E+000
1,1,153,99.99990E-003,229.29800E-006,16.65686E+000,764.00100E-003,49.86130E-006,16.65686E+000
1,1,154,100.00000E-003,231.04200E-006,16.76043E+000,771.00100E-003,50.83440E-006,16.76043E+000
1,1,155,99.99990E-003,232.70300E-006,16.86399E+000,778.00100E-003,51.80430E-006,16.86399E+000
1,1,156,99.99990E-003,234.28300E-006,16.96752E+000,785.00100E-003,52.77590E-006,16.96752E+000
1,1,157,100.00000E-003,235.83500E-006,17.07109E+000,792.00100E-003,53.74710E-006,17.07109E+000
1,1,158,100.00000E-003,237.37000E-006,17.21711E+000,799.00100E-003,54.38390E-006,17.21711E+000
1,1,159,100.00000E-003,238.79700E-006,17.32066E+000,806.00100E-003,55.42280E-006,17.32066E+000
1,1,160,100.00000E-003,240.19900E-006,17.42505E+000,813.00100E-003,56.41270E-006,17.42505E+000
1,1,161,100.00000E-003,241.56300E-006,17.52870E+000,820.00100E-003,57.40060E-006,17.52870E+000
1,1,162,100.00000E-003,242.90800E-006,17.63228E+000,827.00100E-003,58.38350E-006,17.63228E+000
1,1,163,100.00000E-003,244.26400E-006,17.74781E+000,834.00100E-003,59.28350E-006,17.74781E+000
1,1,164,100.00000E-003,245.49900E-006,17.85138E+000,841.00100E-003,60.26680E-006,17.85138E+000
1,1,165,99.99990E-003,246.76300E-006,17.95491E+000,848.00100E-003,61.24800E-006,17.95491E+000
1,1,166,100.00000E-003,247.84500E-006,18.05852E+000,855.00100E-003,62.22610E-006,18.05852E+000
1,1,167,99.99990E-003,249.07300E-006,18.16202E+000,862.00100E-003,63.20420E-006,18.16202E+000
1,1,168,100.00000E-003,250.06800E-006,18.26569E+000,869.00100E-003,64.17970E-006,18.26569E+000
1,1,169,100.00000E-003,251.17500E-006,18.36928E+000,876.00100E-003,65.15850E-006,18.36928E+000
1,1,170,100.00000E-003,252.07600E-006,18.47386E+000,883.00100E-003,66.13450E-006,18.47386E+000
1,1,171,99.99990E-003,253.15600E-006,18.57735E+000,890.00100E-003,67.11560E-006,18.57735E+000
1,1,172,100.00000E-003,254.47000E-006,18.71130E+000,897.00100E-003,67.78670E-006,18.71130E+000
1,1,173,100.00000E-003,255.21800E-006,18.81486E+000,904.00100E-003,68.83000E-006,18.81486E+000
1,1,174,100.00000E-003,256.39100E-006,18.91844E+000,911.00100E-003,69.84280E-006,18.91844E+000
1,1,175,100.00000E-003,257.55300E-006,19.02198E+000,918.00100E-003,70.85210E-006,19.02198E+000
1,1,176,100.00000E-003,258.56200E-006,19.12555E+000,925.00100E-003,71.85880E-006,19.12555E+000
1,1,177,99.99990E-003,259.55300E-006,19.25182E+000,932.00100E-003,72.68050E-006,19.25182E+000
1,1,178,100.00000E-003,260.40400E-006,19.35536E+000,939.00100E-003,73.71200E-006,19.35536E+000
1,1,179,100.00000E-003,261.20300E-006,19.45904E+000,946.00100E-003,74.74250E-006,19.45904E+000
1,1,180,100.00000E-003,262.17500E-006,19.56261E+000,953.00100E-003,75.77410E-006,19.56261E+000
1,1,181,100.00000E-003,263.07400E-006,19.66616E+000,960.00100E-003,76.80520E-006,19.66616E+000
1,1,182,100.00000E-003,263.86400E-006,19.77157E+000,967.00100E-003,77.81620E-006,19.77157E+000
1,1,183,100.00000E-003,264.74400E-006,19.87519E+000,974.00100E-003,78.85620E-006,19.87519E+000
1,1,184,99.99990E-003,265.37200E-006,19.97873E+000,981.00100E-003,79.89760E-006,19.97873E+000
1,1,185,100.00000E-003,266.09200E-006,20.08233E+000,988.00100E-003,80.94200E-006,20.08233E+000
1,1,186,100.00000E-003,266.98200E-006,20.21374E+000,995.00100E-003,81.79210E-006,20.21374E+000
1,1,187,100.00000E-003,267.46100E-006,20.31733E+000,1.00200E+000,82.89210E-006,20.31733E+000
1,1,188,100.00000E-003,268.15400E-006,20.42087E+000,1.00900E+000,83.95620E-006,20.42087E+000
1,1,189,100.00000E-003,269.00100E-006,20.52444E+000,1.01600E+000,85.02190E-006,20.52444E+000
1,1,190,100.00000E-003,269.62300E-006,20.62980E+000,1.02300E+000,86.04610E-006,20.62980E+000
1,1,191,99.99990E-003,270.36300E-006,20.75388E+000,1.03000E+000,86.88820E-006,20.75388E+000
1,1,192,100.00000E-003,271.09500E-006,20.85742E+000,1.03700E+000,87.97330E-006,20.85742E+000
1,1,193,99.99990E-003,271.63000E-006,20.96098E+000,1.04400E+000,89.03030E-006,20.96098E+000
1,1,194,100.00000E-003,272.18300E-006,21.06453E+000,1.05100E+000,90.10030E-006,21.06453E+000
1,1,195,100.00000E-003,272.82500E-006,21.16810E+000,1.05800E+000,91.17530E-006,21.16810E+000
1,1,196,100.00000E-003,273.29900E-006,21.27166E+000,1.06500E+000,92.18610E-006,21.27166E+000
