Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time,transc
1,1,1,1.00E-01,6.91E-04,6.43E-02,-3.00E-01,-1.33E-06,6.43E-02,-8.22E-05
1,1,2,1.00E-01,6.90E-04,1.71E-01,-2.93E-01,-5.86E-07,1.71E-01,-1.39E-04
1,1,3,1.00E-01,6.89E-04,3.46E-01,-2.86E-01,-5.18E-07,3.46E-01,-9.68E-05
1,1,4,1.00E-01,6.89E-04,4.55E-01,-2.79E-01,-4.11E-09,4.55E-01,-1.32E-04
1,1,5,1.00E-01,6.88E-04,5.65E-01,-2.72E-01,2.91E-07,5.65E-01,-9.72E-05
1,1,6,1.00E-01,6.87E-04,6.80E-01,-2.65E-01,4.64E-07,6.80E-01,-1.08E-04
1,1,7,1.00E-01,6.86E-04,7.87E-01,-2.58E-01,6.87E-07,7.87E-01,-1.12E-04
1,1,8,1.00E-01,6.86E-04,8.93E-01,-2.51E-01,8.66E-07,8.93E-01,-1.16E-04
1,1,9,1.00E-01,6.85E-04,9.96E-01,-2.44E-01,1.04E-06,9.96E-01,-1.26E-04
1,1,10,1.00E-01,6.84E-04,1.10E+00,-2.37E-01,1.18E-06,1.10E+00,-1.18E-04
1,1,11,1.00E-01,6.83E-04,1.21E+00,-2.30E-01,1.29E-06,1.21E+00,-1.29E-04
1,1,12,1.00E-01,6.82E-04,1.31E+00,-2.23E-01,1.41E-06,1.31E+00,-1.35E-04
1,1,13,1.00E-01,6.81E-04,1.42E+00,-2.16E-01,1.53E-06,1.42E+00,-1.32E-04
1,1,14,1.00E-01,6.80E-04,1.52E+00,-2.09E-01,1.63E-06,1.52E+00,-1.36E-04
1,1,15,1.00E-01,6.79E-04,1.65E+00,-2.02E-01,1.53E-06,1.65E+00,-1.32E-04
1,1,16,1.00E-01,6.78E-04,1.75E+00,-1.95E-01,1.74E-06,1.75E+00,-1.62E-04
1,1,17,1.00E-01,6.77E-04,1.86E+00,-1.88E-01,1.88E-06,1.86E+00,-1.40E-04
1,1,18,1.00E-01,6.76E-04,1.96E+00,-1.81E-01,1.98E-06,1.96E+00,-5.50E-05
1,1,19,1.00E-01,6.76E-04,2.06E+00,-1.74E-01,2.08E-06,2.06E+00,-1.35E-04
1,1,20,1.00E-01,6.75E-04,2.17E+00,-1.67E-01,2.17E-06,2.17E+00,-1.42E-04
1,1,21,1.00E-01,6.74E-04,2.27E+00,-1.60E-01,2.25E-06,2.27E+00,-1.36E-04
1,1,22,1.00E-01,6.73E-04,2.37E+00,-1.53E-01,2.34E-06,2.37E+00,-1.50E-04
1,1,23,1.00E-01,6.72E-04,2.48E+00,-1.46E-01,2.42E-06,2.48E+00,-1.77E-04
1,1,24,1.00E-01,6.71E-04,2.58E+00,-1.39E-01,2.50E-06,2.58E+00,-1.90E-04
1,1,25,1.00E-01,6.69E-04,2.70E+00,-1.32E-01,2.49E-06,2.70E+00,-1.85E-04
1,1,26,1.00E-01,6.68E-04,2.81E+00,-1.25E-01,2.59E-06,2.81E+00,-1.99E-04
1,1,27,1.00E-01,6.67E-04,2.91E+00,-1.18E-01,2.67E-06,2.91E+00,-2.00E-04
1,1,28,1.00E-01,6.65E-04,3.01E+00,-1.11E-01,2.74E-06,3.01E+00,-2.13E-04
1,1,29,1.00E-01,6.64E-04,3.12E+00,-1.04E-01,2.81E-06,3.12E+00,-2.21E-04
1,1,30,1.00E-01,6.62E-04,3.22E+00,-9.70E-02,2.87E-06,3.22E+00,-2.23E-04
1,1,31,1.00E-01,6.61E-04,3.33E+00,-9.00E-02,2.93E-06,3.33E+00,-2.39E-04
1,1,32,1.00E-01,6.59E-04,3.43E+00,-8.30E-02,2.99E-06,3.43E+00,-2.48E-04
1,1,33,1.00E-01,6.57E-04,3.53E+00,-7.60E-02,3.05E-06,3.53E+00,-2.82E-04
1,1,34,1.00E-01,6.55E-04,3.66E+00,-6.90E-02,2.89E-06,3.66E+00,-2.57E-04
1,1,35,1.00E-01,6.54E-04,3.77E+00,-6.20E-02,3.05E-06,3.77E+00,-2.68E-04
1,1,36,1.00E-01,6.52E-04,3.87E+00,-5.50E-02,3.14E-06,3.87E+00,-2.58E-04
1,1,37,1.00E-01,6.50E-04,3.98E+00,-4.80E-02,3.21E-06,3.98E+00,-2.89E-04
1,1,38,1.00E-01,6.48E-04,4.08E+00,-4.10E-02,3.27E-06,4.08E+00,-2.96E-04
1,1,39,1.00E-01,6.46E-04,4.18E+00,-3.40E-02,3.33E-06,4.18E+00,-2.97E-04
1,1,40,1.00E-01,6.44E-04,4.29E+00,-2.70E-02,3.38E-06,4.29E+00,-3.11E-04
1,1,41,1.00E-01,6.42E-04,4.39E+00,-2.00E-02,3.44E-06,4.39E+00,-3.29E-04
1,1,42,1.00E-01,6.39E-04,4.49E+00,-1.30E-02,3.49E-06,4.49E+00,-3.39E-04
1,1,43,1.00E-01,6.37E-04,4.60E+00,-6.00E-03,3.55E-06,4.60E+00,-3.59E-04
1,1,44,1.00E-01,6.34E-04,4.71E+00,1.00E-03,3.56E-06,4.71E+00,-3.61E-04
1,1,45,1.00E-01,6.32E-04,4.81E+00,8.00E-03,3.62E-06,4.81E+00,-3.59E-04
1,1,46,1.00E-01,6.29E-04,4.92E+00,1.50E-02,3.68E-06,4.92E+00,-3.80E-04
1,1,47,1.00E-01,6.27E-04,5.02E+00,2.20E-02,3.71E-06,5.02E+00,-4.01E-04
1,1,48,1.00E-01,6.24E-04,5.13E+00,2.90E-02,3.78E-06,5.13E+00,-4.03E-04
1,1,49,1.00E-01,6.21E-04,5.23E+00,3.60E-02,3.84E-06,5.23E+00,-4.14E-04
1,1,50,1.00E-01,6.18E-04,5.34E+00,4.30E-02,3.89E-06,5.34E+00,-4.30E-04
1,1,51,1.00E-01,6.15E-04,5.44E+00,5.00E-02,3.94E-06,5.44E+00,-4.35E-04
1,1,52,1.00E-01,6.12E-04,5.54E+00,5.70E-02,4.00E-06,5.54E+00,-4.93E-04
1,1,53,1.00E-01,6.09E-04,5.67E+00,6.40E-02,3.88E-06,5.67E+00,-4.58E-04
