Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,586.76400E-006,183.93500E-003,-300.00000E-003,-94.52000E-009,183.93500E-003
1,1,2,100.00000E-003,583.19300E-006,409.79700E-003,-293.00000E-003,14.79000E-009,409.79700E-003
1,1,3,100.00000E-003,579.76200E-006,516.08300E-003,-285.99500E-003,208.26200E-009,516.08300E-003
1,1,4,100.00000E-003,576.92000E-006,625.53900E-003,-278.99600E-003,295.51400E-009,625.53900E-003
1,1,5,100.00000E-003,573.03600E-006,734.91000E-003,-271.99500E-003,358.66100E-009,734.91000E-003
1,1,6,100.00000E-003,568.67700E-006,845.27300E-003,-264.99400E-003,403.93900E-009,845.27300E-003
1,1,7,100.00000E-003,564.39700E-006,954.68100E-003,-257.99400E-003,441.31200E-009,954.68100E-003
1,1,8,100.00000E-003,560.53100E-006,1.06410E+000,-250.99400E-003,473.80100E-009,1.06410E+000
1,1,9,100.00000E-003,556.37700E-006,1.17346E+000,-243.99500E-003,500.66300E-009,1.17346E+000
1,1,10,100.00000E-003,552.10500E-006,1.28439E+000,-236.99300E-003,525.34700E-009,1.28439E+000
1,1,11,100.00000E-003,547.65800E-006,1.39557E+000,-229.99400E-003,547.14200E-009,1.39557E+000
1,1,12,100.00000E-003,543.30600E-006,1.50557E+000,-222.99300E-003,566.00700E-009,1.50557E+000
1,1,13,100.00000E-003,539.03700E-006,1.61512E+000,-215.99400E-003,588.54400E-009,1.61512E+000
1,1,14,100.00000E-003,534.72100E-006,1.72456E+000,-208.99380E-003,602.89300E-009,1.72456E+000
1,1,15,100.00000E-003,530.21200E-006,1.83771E+000,-201.99340E-003,619.17300E-009,1.83771E+000
1,1,16,100.00000E-003,525.66300E-006,1.94469E+000,-194.99960E-003,637.30000E-009,1.94469E+000
1,1,17,100.00000E-003,521.03500E-006,2.05104E+000,-187.99290E-003,666.17200E-009,2.05104E+000
1,1,18,100.00000E-003,516.44100E-006,2.16047E+000,-180.99330E-003,677.57000E-009,2.16047E+000
1,1,19,100.00000E-003,511.76400E-006,2.28602E+000,-173.99410E-003,648.59400E-009,2.28602E+000
1,1,20,100.00000E-003,507.09900E-006,2.39288E+000,-166.99950E-003,688.84000E-009,2.39288E+000
1,1,21,100.00000E-003,502.38200E-006,2.49646E+000,-159.99960E-003,719.28000E-009,2.49646E+000
1,1,22,100.00000E-003,497.60000E-006,2.60455E+000,-152.99300E-003,741.66700E-009,2.60455E+000
1,1,23,100.00000E-003,492.77900E-006,2.71173E+000,-145.99950E-003,747.69000E-009,2.71173E+000
1,1,24,100.00000E-003,487.88300E-006,2.82384E+000,-138.99360E-003,765.73100E-009,2.82384E+000
1,1,25,100.00000E-003,483.02000E-006,2.93071E+000,-131.99950E-003,774.83000E-009,2.93071E+000
1,1,26,100.00000E-003,478.10000E-006,3.03424E+000,-124.99960E-003,796.94000E-009,3.03424E+000
1,1,27,100.00000E-003,472.91300E-006,3.19286E+000,-118.00130E-003,681.10000E-009,3.19286E+000
1,1,28,100.00000E-003,467.87800E-006,3.29643E+000,-110.99960E-003,773.04000E-009,3.29643E+000
1,1,29,99.99990E-003,462.79300E-006,3.40036E+000,-103.99960E-003,806.06000E-009,3.40036E+000
1,1,30,100.00000E-003,457.61400E-006,3.50392E+000,-96.99960E-003,830.18000E-009,3.50392E+000
1,1,31,100.00000E-003,452.35900E-006,3.60752E+000,-89.99960E-003,850.54000E-009,3.60752E+000
1,1,32,100.00000E-003,447.04000E-006,3.71154E+000,-82.99960E-003,867.90000E-009,3.71154E+000
1,1,33,100.00000E-003,441.67700E-006,3.82433E+000,-75.99960E-003,873.34000E-009,3.82433E+000
1,1,34,100.00000E-003,436.37900E-006,3.92790E+000,-68.99960E-003,892.70000E-009,3.92790E+000
1,1,35,100.00000E-003,430.94000E-006,4.03154E+000,-61.99960E-003,909.71000E-009,4.03154E+000
1,1,36,100.00000E-003,425.39400E-006,4.13521E+000,-54.99960E-003,924.43000E-009,4.13521E+000
1,1,37,100.00000E-003,419.74000E-006,4.23879E+000,-47.99960E-003,939.20000E-009,4.23879E+000
1,1,38,100.00000E-003,414.05800E-006,4.34243E+000,-40.99950E-003,953.33000E-009,4.34243E+000
1,1,39,100.00000E-003,408.27400E-006,4.44896E+000,-33.99960E-003,957.32000E-009,4.44896E+000
1,1,40,100.00000E-003,402.46400E-006,4.55259E+000,-26.99960E-003,975.51000E-009,4.55259E+000
1,1,41,100.00000E-003,396.60000E-006,4.65618E+000,-19.99950E-003,989.64000E-009,4.65618E+000
1,1,42,100.00000E-003,390.59000E-006,4.78606E+000,-12.99970E-003,933.78000E-009,4.78606E+000
1,1,43,100.00000E-003,384.66700E-006,4.88971E+000,-5.99950E-003,983.70000E-009,4.88971E+000
1,1,44,100.00000E-003,378.64900E-006,4.99351E+000,1.00040E-003,1.00509E-006,4.99351E+000
1,1,45,100.00000E-003,372.55400E-006,5.09704E+000,8.00050E-003,1.02260E-006,5.09704E+000
1,1,46,100.00000E-003,366.39000E-006,5.20061E+000,15.00040E-003,1.03835E-006,5.20061E+000
1,1,47,100.00000E-003,360.10800E-006,5.32802E+000,22.00040E-003,1.02362E-006,5.32802E+000
1,1,48,100.00010E-003,353.83600E-006,5.43167E+000,29.00040E-003,1.04661E-006,5.43167E+000
1,1,49,100.00000E-003,347.49800E-006,5.53523E+000,36.00040E-003,1.06608E-006,5.53523E+000
1,1,50,100.00000E-003,341.09800E-006,5.63880E+000,43.00040E-003,1.08315E-006,5.63880E+000
1,1,51,100.00000E-003,334.65200E-006,5.74234E+000,50.00050E-003,1.10023E-006,5.74234E+000
1,1,52,100.00000E-003,328.16400E-006,5.84592E+000,57.00040E-003,1.11737E-006,5.84592E+000
1,1,53,100.00000E-003,321.62500E-006,5.94949E+000,64.00040E-003,1.13278E-006,5.94949E+000
1,1,54,100.00000E-003,315.04400E-006,6.05305E+000,71.00040E-003,1.14846E-006,6.05305E+000
1,1,55,100.00000E-003,308.40700E-006,6.15684E+000,78.00040E-003,1.16256E-006,6.15684E+000
1,1,56,100.00000E-003,301.61700E-006,6.28293E+000,85.00030E-003,1.11233E-006,6.28293E+000
