Repeat,VAR2,Point,D1__CH1 Voltage,D1__CH1 Current,D1__CH1 Resistance,D1__CH1 Time,D1__CH2 Voltage,D1__CH2 Current,D1__CH2 Resistance,D1__CH2 Time,D2__CH1 Voltage,D2__CH1 Current,D2__CH1 Resistance,D2__CH1 Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,9.99990E-003,25.41620E-006,393.44591E+000,82.40200E-003,9.99990E-003,21.71020E-006,460.60838E+000,82.40200E-003,9.99990E-003,25.58110E-006,390.90970E+000,88.00900E-003,-500.00000E-003,-255.10000E-012,88.00900E-003
1,1,2,10.00000E-003,25.39760E-006,393.73799E+000,373.27600E-003,10.00000E-003,21.64970E-006,461.90016E+000,373.27600E-003,9.99990E-003,25.60080E-006,390.60889E+000,438.71800E-003,-490.00100E-003,-168.80000E-012,438.71800E-003
1,1,3,9.99990E-003,25.36770E-006,394.19813E+000,568.97000E-003,10.00010E-003,21.58450E-006,463.30005E+000,568.97000E-003,9.99990E-003,25.56750E-006,391.11763E+000,559.27000E-003,-480.00100E-003,-138.00000E-012,559.27000E-003
1,1,4,10.00010E-003,25.35570E-006,394.39258E+000,800.45900E-003,10.00010E-003,21.53640E-006,464.33480E+000,800.45900E-003,10.00000E-003,25.57330E-006,391.03284E+000,873.91000E-003,-470.00100E-003,-132.90000E-012,873.91000E-003
1,1,5,9.99990E-003,25.30610E-006,395.15769E+000,1.00581E+000,10.00000E-003,21.46090E-006,465.96368E+000,1.00581E+000,9.99990E-003,25.53610E-006,391.59856E+000,996.11200E-003,-460.00100E-003,-109.60000E-012,996.11200E-003
1,1,6,9.99990E-003,25.26930E-006,395.73316E+000,1.18256E+000,10.00000E-003,21.39600E-006,467.37708E+000,1.18256E+000,9.99990E-003,25.50810E-006,392.02841E+000,1.18063E+000,-450.00000E-003,-99.80000E-012,1.18063E+000
1,1,7,10.00000E-003,25.22080E-006,396.49813E+000,1.30771E+000,9.99990E-003,21.32790E-006,468.86473E+000,1.30771E+000,9.99990E-003,25.46540E-006,392.68576E+000,1.29798E+000,-440.00000E-003,-91.50000E-012,1.29798E+000
1,1,8,9.99990E-003,25.17540E-006,397.20918E+000,1.45703E+000,10.00010E-003,21.26250E-006,470.31628E+000,1.45703E+000,10.00000E-003,25.42360E-006,393.33533E+000,1.44562E+000,-430.00000E-003,-80.00000E-012,1.44562E+000
1,1,9,10.00000E-003,25.13060E-006,397.92126E+000,1.63024E+000,10.00010E-003,21.19350E-006,471.84750E+000,1.63024E+000,9.99990E-003,25.38600E-006,393.91397E+000,1.61956E+000,-420.00000E-003,-87.30000E-012,1.61956E+000
1,1,10,9.99990E-003,25.08700E-006,398.60884E+000,1.81944E+000,10.00000E-003,21.12730E-006,473.32125E+000,1.81944E+000,10.00000E-003,25.34680E-006,394.52712E+000,1.80814E+000,-410.00000E-003,-66.60000E-012,1.80814E+000
1,1,11,9.99990E-003,25.04530E-006,399.27252E+000,2.03792E+000,10.00000E-003,21.05770E-006,474.88567E+000,2.03792E+000,10.00000E-003,25.30100E-006,395.24129E+000,1.95898E+000,-400.00000E-003,-63.60000E-012,1.95898E+000
1,1,12,10.00000E-003,24.99280E-006,400.11523E+000,2.20978E+000,9.99990E-003,20.98920E-006,476.43074E+000,2.20978E+000,10.00000E-003,25.26460E-006,395.81074E+000,2.19999E+000,-390.00000E-003,-63.40000E-012,2.19999E+000
1,1,13,9.99990E-003,24.93430E-006,401.04996E+000,2.33965E+000,10.00010E-003,20.91650E-006,478.09624E+000,2.33965E+000,10.00000E-003,25.21120E-006,396.64911E+000,2.33325E+000,-380.00000E-003,-58.80000E-012,2.33325E+000
1,1,14,9.99990E-003,24.87550E-006,401.99795E+000,2.48057E+000,10.00000E-003,20.84320E-006,479.77278E+000,2.48057E+000,9.99990E-003,25.15570E-006,397.52024E+000,2.46934E+000,-370.00000E-003,-57.10000E-012,2.46934E+000
1,1,15,9.99990E-003,24.81500E-006,402.97804E+000,2.61383E+000,10.00000E-003,20.77150E-006,481.42888E+000,2.61383E+000,10.00000E-003,25.09760E-006,398.44447E+000,2.60500E+000,-360.00000E-003,-47.00000E-012,2.60500E+000
1,1,16,9.99990E-003,24.75430E-006,403.96618E+000,2.77228E+000,10.00010E-003,20.69630E-006,483.18298E+000,2.77228E+000,9.99990E-003,25.04050E-006,399.34905E+000,2.76126E+000,-350.00000E-003,-30.10000E-012,2.76126E+000
1,1,17,9.99990E-003,24.69140E-006,404.99526E+000,2.90301E+000,10.00000E-003,20.62290E-006,484.89786E+000,2.90301E+000,9.99990E-003,24.97660E-006,400.37075E+000,2.89265E+000,-340.00100E-003,-11.60000E-012,2.89265E+000
1,1,18,10.00000E-003,24.62540E-006,406.08477E+000,3.05184E+000,9.99990E-003,20.54650E-006,486.69603E+000,3.05184E+000,9.99990E-003,24.91760E-006,401.31875E+000,3.03970E+000,-330.00000E-003,-30.30000E-012,3.03970E+000
1,1,19,9.99990E-003,24.56170E-006,407.13387E+000,3.21599E+000,10.00000E-003,20.46910E-006,488.54126E+000,3.21599E+000,10.00000E-003,24.85700E-006,402.30116E+000,3.20213E+000,-320.00000E-003,131.90000E-012,3.20213E+000
1,1,20,10.00000E-003,24.49230E-006,408.29159E+000,3.35587E+000,10.00000E-003,20.39090E-006,490.41484E+000,3.35587E+000,10.00000E-003,24.78930E-006,403.39985E+000,3.34518E+000,-310.00000E-003,-19.90000E-012,3.34518E+000
1,1,21,9.99990E-003,24.41830E-006,409.52482E+000,3.48135E+000,9.99990E-003,20.31390E-006,492.26884E+000,3.48135E+000,10.00000E-003,24.71830E-006,404.55857E+000,3.47156E+000,-300.00000E-003,-16.00000E-012,3.47156E+000
1,1,22,9.99990E-003,24.34810E-006,410.70556E+000,3.62261E+000,10.00000E-003,20.23370E-006,494.22498E+000,3.62261E+000,10.00000E-003,24.64770E-006,405.71737E+000,3.61122E+000,-290.00000E-003,-19.40000E-012,3.61122E+000
1,1,23,9.99990E-003,24.27460E-006,411.94912E+000,3.78936E+000,10.00010E-003,20.15090E-006,496.26071E+000,3.78936E+000,10.00000E-003,24.57620E-006,406.89773E+000,3.77930E+000,-280.00000E-003,-156.20000E-012,3.77930E+000
1,1,24,9.99990E-003,24.20560E-006,413.12341E+000,3.99353E+000,10.00000E-003,20.07130E-006,498.22383E+000,3.99353E+000,10.00000E-003,24.50240E-006,408.12329E+000,3.92292E+000,-270.00100E-003,-44.90000E-012,3.92292E+000
