POINT_IDX,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15,DI/DT0,DI/DT1,DI/DT2,DI/DT3,DI/DT4,DI/DT5,DI/DT6,DI/DT7,DI/DT8,DI/DT9,DI/DT10,DI/DT11,DI/DT12,DI/DT13,DI/DT14,DI/DT15
0,-0.0,0.6,10.745827,9.704161,8.291666,10.166661000000001,10.824998,6.049999000000001,11.008327,9.062497,9.354162,6.283331,8.179164,8.720827,9.229159,-0.029174000000000002,9.633327,9.14166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.272,0.6,10.724997,9.658329,8.333325,10.199992,10.866665,6.045826,10.954165,9.024993,9.337497,6.312498,8.204166,8.699997,9.204165999999999,-0.041668,9.624998,9.145832,-0.07658088235294164,-0.16849999999999626,0.15315808823529778,0.12254044117646568,0.15318749999999473,-0.015341911764708265,-0.19912499999999933,-0.1378823529411772,-0.0612683823529401,0.10723161764705616,0.09191911764706115,-0.07658088235294164,-0.09188602941176567,-0.04593382352941174,-0.03062132352941106,0.015338235294119516
2,0.545,0.6,10.762493,9.654164,8.312496,10.195828,10.874995,6.079165000000001,11.004161999999999,9.029166,9.341661,6.274994,8.170828,8.712498,9.208329,-0.04584,9.604159999999998,9.112493,0.13734798534798198,-0.015256410256411787,-0.0762967032967065,-0.015252747252745018,0.030512820512823575,0.12212087912088158,0.18313919413919194,0.015285714285713407,0.015252747252745018,-0.13737728937728685,-0.12211721611721807,0.04579120879120995,0.015249084249091263,-0.015282051282051288,-0.07632967032967489,-0.12212087912087832
3,0.818,0.6,10.745827,9.699997,8.312496,10.195828,10.829162,6.066663999999999,11.004161999999999,9.008329000000002,9.341661,6.27083,8.166663,8.712498,9.216667000000001,-0.037503,9.595831,9.133331,-0.061047619047615256,0.167886446886447,0.0,0.0,-0.167886446886447,-0.04579120879121322,0.0,-0.07632600732600164,0.0,-0.015252747252748278,-0.015256410256411794,0.0,0.030542124542125206,0.03053846153846154,-0.03050915750915031,0.0763296703296684
4,1.09,0.6,10.737499000000001,9.679158000000001,8.291666,10.187498,10.854164,6.037497,10.987496,9.05416,9.312495,6.283331,8.170828,8.699997,9.22083,-0.041668,9.612497,9.129159,-0.03061764705881903,-0.07661397058823055,-0.07658088235294161,-0.030625000000003063,0.09191911764706111,-0.10723161764705612,-0.06127205882352556,0.16849632352940416,-0.10722794117647062,0.045959558823530554,0.015312500000001531,-0.045959558823530554,0.015305147058817501,-0.015312499999999975,0.06127205882352556,-0.01533823529411951
5,1.363,0.6,10.729162,9.691659,8.29583,10.141658999999999,10.874995,6.079165000000001,10.991661,9.029166,9.320831,6.27083,8.174999,8.729163999999999,9.249997,-0.058341,9.579166,9.137495,-0.030538461538464946,0.045791208791203464,0.015252747252751532,-0.16790842490842808,0.07630402930402705,0.15263003663003843,0.015256410256411794,-0.09155311355311181,0.030534798534798176,-0.04579120879120997,0.015278388278386382,0.10683882783882523,0.10683882783883174,-0.0610732600732601,-0.12209157509157025,0.030534798534798176
6,1.635,0.6,10.762493,9.720825999999999,8.324997,10.199992,10.799996,6.0416620000000005,10.987496,9.062497,9.354162,6.27083,8.179164,8.720827,9.233331999999999,-0.037503,9.595831,9.116666,0.12254044117646568,0.10723161764705616,0.10723161764705616,0.21445955882353337,-0.27573161764705895,-0.13787867647058846,-0.015312500000001537,0.12254044117647221,0.12254044117647221,0.0,0.015312500000001537,-0.030650735294114523,-0.061268382352946626,0.07661029411764704,0.0612683823529401,-0.07657720588234962
7,1.908,0.6,10.720825000000001,9.699997,8.291666,10.179162,10.858329,6.062492,10.983331999999999,9.008329000000002,9.337497,6.279159,8.158326,8.724998999999999,9.237496,-0.050004,9.620825,9.14166,-0.1526300366300287,-0.07629670329670002,-0.12209157509157675,-0.07630036630036678,0.21367399267399018,0.07630036630036353,-0.015252747252751532,-0.1984175824175784,-0.061043956043954996,0.03050915750915682,-0.0763296703296684,0.015282051282046643,0.015252747252751532,-0.0457912087912088,0.09155311355311181,0.09155311355311181
8,2.18,0.6,10.720825000000001,9.691659,8.308330999999999,10.179162,10.833327,6.070828000000001,10.987496,9.045832,9.32916,6.287495,8.187492,8.691661,9.229159,-0.037503,9.591659,9.112493,0.0,-0.030654411764706513,0.06126838235294005,0.0,-0.09191911764705454,0.03064705882353228,0.015308823529416041,0.13787867647058508,-0.030650735294121028,0.030647058823529014,0.10722794117647058,-0.12256617647058356,-0.030650735294121028,0.04595955882352937,-0.10722794117647058,-0.10723161764705606
9,2.453,0.6,10.724997,9.658329,8.29583,10.195828,10.849993,6.037497,11.008327,9.024993,9.341661,6.29166,8.174999,8.687496,9.195827999999999,-0.025002,9.624998,9.108328,0.015282051282046656,-0.12208791208791009,-0.0457912087912035,0.061047619047621814,0.061047619047615305,-0.12209157509157685,0.07630402930402712,-0.07633333333333524,0.04579120879121001,0.015256410256411806,-0.04576190476190839,-0.015256410256411806,-0.12209157509157685,0.04579120879120885,0.12212087912087848,-0.015256410256411806
