POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
0,-0.0,0.0,1.9779165e-05,1.860416e-05,2.0241665e-05,2.0295827e-05,1.8791659e-05,1.9004163e-05,2.00375e-05,1.9383328e-05,1.9770829e-05,1.9787494e-05,1.9954165e-05,2.0041665e-05,1.9979159e-05,-1.25003e-07,1.9658328e-05,2.0524994e-05
1,0.272,0.01,1.9816662e-05,1.861666e-05,2.0283333e-05,2.0337495e-05,1.8858329e-05,1.8949993e-05,2.0020827e-05,1.9316665e-05,1.9770829e-05,1.9770829e-05,1.9945828e-05,2.0012498e-05,1.9920826e-05,-1.3334e-07,1.9666664e-05,2.0479163e-05
2,0.545,0.02,1.9779165e-05,1.8599994e-05,2.0233329e-05,2.0304164e-05,1.8820827e-05,1.8895833e-05,2.0004161e-05,1.93e-05,1.9720832e-05,1.9687493e-05,1.9862493e-05,1.9949992e-05,1.9924999e-05,-1.04173e-07,1.9620831e-05,2.0454161e-05
3,0.818,0.03,1.9741663e-05,1.8533334e-05,2.0187497e-05,2.0241665e-05,1.8766665e-05,1.8820827e-05,1.9933326e-05,1.9291663e-05,1.9687493e-05,1.9587493e-05,1.9829162e-05,1.9912497e-05,1.9883331e-05,-8.7508e-08,1.9554162e-05,2.0374997e-05
4,1.091,0.04,1.9654162e-05,1.8458326e-05,2.0108326e-05,2.0187497e-05,1.8724997e-05,1.8779167e-05,1.9899997e-05,1.923333e-05,1.9595829e-05,1.9541661e-05,1.9783331e-05,1.9862493e-05,1.9820833e-05,-8.7508e-08,1.952916e-05,2.0341666e-05
5,1.364,0.05,1.9595829e-05,1.8433333e-05,2.0008325e-05,2.0112499e-05,1.8662493e-05,1.8645827e-05,1.9845827e-05,1.916666e-05,1.9562498e-05,1.9449997e-05,1.9666664e-05,1.9737497e-05,1.9749999e-05,-7.9171e-08,1.9474999e-05,2.0237494e-05
6,1.637,0.06,1.9566663e-05,1.8370827e-05,1.9991659e-05,2.0116662e-05,1.8654164e-05,1.8579165e-05,1.9733325e-05,1.906666e-05,1.9495828e-05,1.9333331e-05,1.9604166e-05,1.9687493e-05,1.9704159e-05,-6.667e-08,1.9379162e-05,2.0216663e-05
7,1.909,0.07,1.9454161e-05,1.8324996e-05,1.9920826e-05,2.0016661e-05,1.8554163e-05,1.8499994e-05,1.9670828e-05,1.8995834e-05,1.9462497e-05,1.9254159e-05,1.9549998e-05,1.9649999e-05,1.9604166e-05,-7.0834e-08,1.9316665e-05,2.0154166e-05
8,2.182,0.08,1.9437495e-05,1.8229166e-05,1.9820833e-05,1.9954165e-05,1.8475001e-05,1.8354162e-05,1.9620831e-05,1.895833e-05,1.9379162e-05,1.9162497e-05,1.9449997e-05,1.9566663e-05,1.9558327e-05,-4.1668e-08,1.9283327e-05,2.009166e-05
9,2.455,0.09,1.9320829e-05,1.815416e-05,1.9716661e-05,1.9845827e-05,1.842916e-05,1.8283328e-05,1.952916e-05,1.88375e-05,1.9329167e-05,1.9037492e-05,1.9370826e-05,1.9458326e-05,1.9462497e-05,-7.9171e-08,1.9183326e-05,2.0016661e-05
