POINT_IDX,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15,DI/DT0,DI/DT1,DI/DT2,DI/DT3,DI/DT4,DI/DT5,DI/DT6,DI/DT7,DI/DT8,DI/DT9,DI/DT10,DI/DT11,DI/DT12,DI/DT13,DI/DT14,DI/DT15
0,0.0,0.75,14.604163,14.999993,22.645831,22.875,23.408333000000002,22.645831,14.17083,23.945831,4.170831,19.991659000000002,14.195832,6.983327999999999,19.974994000000002,4.174995,4.15833,4.154166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.273,0.75,14.620829,14.999993,22.662496,22.924996,23.454166,22.683327000000002,14.191659,23.908329,4.145829,19.933325999999997,14.174994,6.9749989999999995,19.933325999999997,4.17916,4.166659,4.166659,0.06104761904762174,0.0,0.06104395604395497,0.1831355311355317,0.16788644688644042,0.1373479853479885,0.07629670329669999,-0.13736996336996307,-0.09158241758241664,-0.21367399267400963,-0.07632967032966838,-0.030509157509156806,-0.15263003663005464,0.015256410256411787,0.030509157509156806,0.04576190476190508
2,0.545,0.75,14.533329,15.008331,22.579161,22.92916,23.429164,22.712493000000002,14.17083,23.966662000000003,4.199997,19.987496,14.224998,6.962498,19.945828000000002,4.166659,4.166659,4.145829,-0.32169117647058953,0.030654411764706537,-0.3063786764705945,0.015308823529409522,-0.09191911764706115,0.10722794117647068,-0.07657720588234962,0.21445955882354642,0.19914705882352857,0.19915441176471585,0.18383823529411578,-0.04595955882352731,0.04596323529413565,-0.045959558823530575,0.0,-0.07658088235294164
3,0.818,0.75,14.583326,14.99583,22.620829,22.912494000000002,23.4375,22.687498,14.070829,23.937495,4.183332,19.987496,14.195832,6.933331,19.920825999999998,4.154166,4.166659,4.174995,0.18313919413919202,-0.04579120879120997,0.1526300366300417,-0.06104761904760875,0.030534798534798176,-0.09155677655677859,-0.3663040293040319,-0.10683882783884474,-0.061043956043954996,0.0,-0.10683516483516496,-0.10683882783882848,-0.09158241758243295,-0.045761904761905094,0.0,0.10683516483516496
4,1.09,0.75,14.570832000000001,14.924995,22.63333,22.895829000000003,23.391659999999998,22.679162,14.145828,23.862496,4.162494,19.949991999999998,14.183331,6.9583260000000005,19.991659000000002,4.162494,4.162494,4.09166,-0.045933823529406045,-0.2604227941176493,0.045959558823530554,-0.061268382352940076,-0.1685294117647127,-0.030647058823529028,0.27573161764705884,-0.2757316176470523,-0.07661029411764833,-0.13788235294118367,-0.045959558823524024,0.09189338235294313,0.26041544117648485,0.0306176470588223,-0.015312500000001531,-0.30637867647058786
5,1.363,0.75,14.583326,14.966663,22.616665,22.849998,23.4375,22.704164,14.141663,23.829166999999998,4.183332,19.95833,14.154164000000002,6.945831999999999,19.991659000000002,4.145829,4.195825,4.15833,0.04576556776556211,0.1526300366300417,-0.061043956043954996,-0.16787912087913298,0.16791208791209486,0.09158241758240693,-0.015256410256411794,-0.12208424908425623,0.07632967032967165,0.030542124542131715,-0.10683882783882523,-0.04576556776557186,0.0,-0.061043956043954996,0.12209157509157675,0.24421245421245513
6,1.636,0.75,14.591662000000001,14.999993,22.608328,22.870827,23.420827000000003,22.770826,14.179166,23.904163999999998,4.137492000000001,20.029163,14.229163,6.9958290000000005,19.987496,4.15833,4.15833,4.174995,0.03053479853480468,0.12208791208790999,-0.030538461538464946,0.07629670329670002,-0.061073260073250105,0.2441831501831535,0.1373736263736299,0.2747142857142849,-0.1679120879120851,0.2594615384615399,0.2747216117216054,0.18313919413919852,-0.01524908424909127,0.04579120879120997,-0.13734432234432178,0.061043956043954996
7,1.908,0.75,14.629165,15.033333,22.63333,22.924996,23.449993000000003,22.641667,14.199996,23.949997,4.17916,20.004161,14.220826,6.983327999999999,19.97083,4.191661,4.166659,4.137492000000001,0.1378786764705852,0.12257352941176769,0.09191911764706115,0.19915073529412383,0.10722794117647068,-0.47484926470587424,0.07658088235294164,0.1685036764705948,0.15319117647058672,-0.09191911764706115,-0.030650735294114523,-0.04595955882353384,-0.061272058823532115,0.12254044117646895,0.03062132352941106,-0.1378786764705852
8,2.181,0.75,14.499999,14.991665,22.658332,22.958326,23.416662000000002,22.674998,14.183331,23.912492999999998,4.174995,19.933325999999997,14.220826,6.962498,19.933325999999997,4.149993,4.170831,4.149993,-0.4731355311355297,-0.15263003663004157,0.09158241758241986,0.1220879120879099,-0.12209157509157666,0.12209157509156364,-0.06104395604395495,-0.13737728937729657,-0.015256410256411782,-0.25946886446887324,0.0,-0.07630036630036348,-0.13737728937729657,-0.15263003663003508,0.015282051282049885,0.045791208791206676
9,2.453,0.75,14.541666000000001,14.941661,22.63333,22.862498000000002,23.387496,22.720829000000002,14.049999,23.908329,4.120827,19.937499,14.145828,6.833331,19.966667,4.174995,4.15833,4.141665,0.15318750000000136,-0.18383823529411591,-0.09191911764706123,-0.3523088235294023,-0.10722794117648382,0.16849632352942398,-0.4901911764705927,-0.015308823529409534,-0.19914705882352873,0.015341911764711544,-0.2757279411764737,-0.4748786764705879,0.12257720588236633,0.09191911764705796,-0.04595955882352735,-0.030617647058825602
