POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
0,-0.0,0.3,2.321666e-05,2.3654167e-05,2.115833e-05,2.1245829e-05,2.1679163e-05,2.099166e-05,2.2312499e-05,2.2162492e-05,1.499995e-06,1.7595832e-05,2.2637494e-05,1.1945828e-05,1.7520833e-05,1.470828e-06,1.487493e-06,1.491666e-06
1,0.223,0.32,2.2816666e-05,2.3304161e-05,2.0833333e-05,2.0887494e-05,2.1379161e-05,2.0712494e-05,2.2154165e-05,2.1920832e-05,1.587494e-06,1.7633327e-05,2.2433329e-05,1.1799995e-05,1.7616661e-05,1.574993e-06,1.579165e-06,1.554163e-06
2,0.445,0.34,2.2570832e-05,2.3129161e-05,2.0624995e-05,2.0699994e-05,2.1162494e-05,2.0458332e-05,2.191666e-05,2.1679163e-05,1.70416e-06,1.7762493e-05,2.2262493e-05,1.1674992e-05,1.7687496e-05,1.674994e-06,1.720826e-06,1.691659e-06
3,0.668,0.36,2.2404161e-05,2.2966664e-05,2.0329166e-05,2.0445832e-05,2.0879166e-05,2.0204163e-05,2.1804166e-05,2.1408327e-05,1.77083e-06,1.7791661e-05,2.2062492e-05,1.1579164e-05,1.77375e-05,1.787496e-06,1.762493e-06,1.787496e-06
4,0.891,0.38,2.2183331e-05,2.2745831e-05,2.0108326e-05,2.0149993e-05,2.0645834e-05,1.997083e-05,2.1583326e-05,2.1216663e-05,1.899997e-06,1.7874996e-05,2.1912496e-05,1.1429159e-05,1.7883332e-05,1.895825e-06,1.870831e-06,1.870831e-06
5,1.114,0.4,2.1945827e-05,2.2470831e-05,1.9808333e-05,1.9908333e-05,2.0362497e-05,1.9670828e-05,2.1379161e-05,2.0887494e-05,2.029165e-06,1.796666e-05,2.1645832e-05,1.13e-05,1.7920827e-05,2.012499e-06,1.995826e-06,1.999998e-06
6,1.337,0.42,2.1799993e-05,2.2266666e-05,1.9537496e-05,1.9583329e-05,2.0070831e-05,1.9424995e-05,2.117083e-05,2.0612493e-05,2.116664e-06,1.8054159e-05,2.1404163e-05,1.1137494e-05,1.8016664e-05,2.108328e-06,2.104163e-06,2.095826e-06
7,1.56,0.44,2.146666e-05,2.2058328e-05,1.9241666e-05,1.9245832e-05,1.9779165e-05,1.9079162e-05,2.0954163e-05,2.0345831e-05,2.23333e-06,1.8166662e-05,2.115833e-05,1.1004162e-05,1.8129165e-05,2.241659e-06,2.237495e-06,2.220829e-06
8,1.782,0.46,2.1191661e-05,2.179583e-05,1.8899997e-05,1.8954166e-05,1.9474999e-05,1.8758328e-05,2.0654163e-05,1.9991659e-05,2.345832e-06,1.8283328e-05,2.0962492e-05,1.0820826e-05,1.8229166e-05,2.324995e-06,2.349997e-06,2.354161e-06
9,2.005,0.48,2.0983331e-05,2.1562497e-05,1.8566665e-05,1.8579165e-05,1.9074996e-05,1.8449999e-05,2.043333e-05,1.9649999e-05,2.454162e-06,1.8362498e-05,2.060833e-05,1.0712496e-05,1.8354162e-05,2.479164e-06,2.462498e-06,2.445825e-06
