Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,99.99950E-003,257.46300E-009,70.53600E-003,-300.00000E-003,-656.30000E-009,70.53600E-003
1,1,2,99.99900E-003,283.45700E-009,177.51300E-003,-295.00200E-003,-560.14500E-009,177.51300E-003
1,1,3,100.00020E-003,294.27600E-009,286.94400E-003,-290.00000E-003,-484.94000E-009,286.94400E-003
1,1,4,99.99800E-003,311.83900E-009,515.63700E-003,-284.99800E-003,-457.63000E-009,515.63700E-003
1,1,5,99.99960E-003,263.03800E-009,621.98200E-003,-280.00000E-003,-375.15400E-009,621.98200E-003
1,1,6,100.00010E-003,306.94400E-009,851.09800E-003,-274.99900E-003,-353.96000E-009,851.09800E-003
1,1,7,99.99920E-003,259.19200E-009,1.02512E+000,-269.97400E-003,-339.45700E-009,1.02512E+000
1,1,8,100.00090E-003,264.98500E-009,1.29027E+000,-264.99800E-003,-278.11000E-009,1.29027E+000
1,1,9,99.99970E-003,317.74600E-009,1.51657E+000,-259.99900E-003,-237.74000E-009,1.51657E+000
1,1,10,100.00010E-003,148.79200E-009,1.77665E+000,-254.99800E-003,-207.55000E-009,1.77665E+000
1,1,11,100.00100E-003,162.82400E-009,1.99982E+000,-250.00000E-003,-176.06000E-009,1.99982E+000
1,1,12,100.00010E-003,127.68700E-009,2.22579E+000,-244.99900E-003,-146.06000E-009,2.22579E+000
1,1,13,100.00010E-003,115.30200E-009,2.45232E+000,-240.00000E-003,-124.30000E-009,2.45232E+000
1,1,14,100.00030E-003,106.30500E-009,2.57139E+000,-234.83100E-003,-64.33950E-009,2.57139E+000
1,1,15,99.99990E-003,97.72400E-009,2.69832E+000,-229.92100E-003,-30.41870E-009,2.69832E+000
1,1,16,100.00030E-003,93.70900E-009,2.81808E+000,-224.93200E-003,15.02710E-009,2.81808E+000
1,1,17,100.00010E-003,99.35800E-009,2.93781E+000,-219.93800E-003,49.35720E-009,2.93781E+000
1,1,18,99.99490E-003,93.08480E-009,3.07517E+000,-214.96800E-003,56.48370E-009,3.07517E+000
1,1,19,100.00900E-003,82.83250E-009,3.30532E+000,-210.00010E-003,7.78100E-009,3.30532E+000
1,1,20,99.99740E-003,76.73150E-009,3.48238E+000,-205.02290E-003,-12.76700E-009,3.48238E+000
1,1,21,100.00240E-003,72.14190E-009,3.67892E+000,-199.99950E-003,33.76000E-009,3.67892E+000
1,1,22,100.00620E-003,69.77200E-009,3.90934E+000,-194.99960E-003,39.04000E-009,3.90934E+000
1,1,23,99.99620E-003,62.67160E-009,4.13393E+000,-190.00100E-003,41.78000E-009,4.13393E+000
1,1,24,100.01200E-003,77.00540E-009,4.35842E+000,-184.99970E-003,57.90000E-009,4.35842E+000
1,1,25,100.03870E-003,76.44790E-009,4.58286E+000,-180.00130E-003,61.55000E-009,4.58286E+000
1,1,26,99.96790E-003,79.48790E-009,4.80740E+000,-174.99980E-003,78.82000E-009,4.80740E+000
1,1,27,99.99700E-003,79.10160E-009,5.03198E+000,-170.00130E-003,83.80000E-009,5.03198E+000
1,1,28,99.99480E-003,65.65740E-009,5.29225E+000,-164.99980E-003,90.21000E-009,5.29225E+000
1,1,29,100.01560E-003,58.78520E-009,5.39963E+000,-159.99810E-003,170.04300E-009,5.39963E+000
