Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH2__GATE Voltage,CH2__GATE Current,CH2__GATE Time
1,1,1,99.99930E-003,87.58320E-006,189.50500E-003,-299.99900E-003,-144.41000E-009,189.50500E-003
1,1,2,99.99930E-003,87.62390E-006,306.50500E-003,-294.89400E-003,-79.92920E-009,306.50500E-003
1,1,3,99.99960E-003,87.55900E-006,426.16900E-003,-289.94800E-003,-23.62360E-009,426.16900E-003
1,1,4,99.99970E-003,87.40200E-006,548.33800E-003,-284.95700E-003,18.15060E-009,548.33800E-003
1,1,5,99.99980E-003,87.39240E-006,667.99000E-003,-279.92400E-003,57.40970E-009,667.99000E-003
1,1,6,100.00140E-003,87.44350E-006,857.82000E-003,-275.01600E-003,10.98300E-009,857.82000E-003
1,1,7,100.00180E-003,87.24140E-006,1.03799E+000,-270.01700E-003,21.44600E-009,1.03799E+000
1,1,8,99.99950E-003,87.16890E-006,1.14735E+000,-264.99800E-003,95.77300E-009,1.14735E+000
1,1,9,100.00280E-003,87.22170E-006,1.36131E+000,-260.02600E-003,69.69800E-009,1.36131E+000
1,1,10,100.00310E-003,87.47440E-006,1.54257E+000,-255.02600E-003,79.92500E-009,1.54257E+000
1,1,11,100.00020E-003,87.54170E-006,1.78588E+000,-250.00000E-003,78.04000E-009,1.78588E+000
1,1,12,100.00000E-003,87.60360E-006,2.01157E+000,-245.00100E-003,82.41000E-009,2.01157E+000
1,1,13,99.99970E-003,87.57740E-006,2.11799E+000,-239.99700E-003,140.52600E-009,2.11799E+000
1,1,14,100.00030E-003,87.54440E-006,2.22738E+000,-234.99800E-003,170.62700E-009,2.22738E+000
1,1,15,100.00010E-003,87.44330E-006,2.34485E+000,-229.99800E-003,192.13100E-009,2.34485E+000
1,1,16,99.99970E-003,87.42100E-006,2.45426E+000,-224.99800E-003,212.68200E-009,2.45426E+000
1,1,17,99.99980E-003,87.36860E-006,2.56364E+000,-219.99700E-003,231.67100E-009,2.56364E+000
1,1,18,99.99940E-003,87.31790E-006,2.67313E+000,-214.99800E-003,245.51400E-009,2.67313E+000
1,1,19,99.99940E-003,87.21520E-006,2.79953E+000,-209.99480E-003,244.89000E-009,2.79953E+000
1,1,20,100.00010E-003,87.15540E-006,2.90939E+000,-204.99770E-003,265.25900E-009,2.90939E+000
1,1,21,99.99990E-003,87.11740E-006,3.01903E+000,-199.99560E-003,280.97500E-009,3.01903E+000
1,1,22,99.99900E-003,87.10160E-006,3.12842E+000,-194.99730E-003,294.87100E-009,3.12842E+000
1,1,23,99.99950E-003,87.18600E-006,3.23790E+000,-189.99590E-003,305.27800E-009,3.23790E+000
1,1,24,99.99970E-003,87.23350E-006,3.35585E+000,-184.99670E-003,311.82600E-009,3.35585E+000
1,1,25,99.99960E-003,87.04080E-006,3.46527E+000,-179.99590E-003,325.00000E-009,3.46527E+000
1,1,26,99.99960E-003,87.16200E-006,3.57463E+000,-174.99700E-003,334.37800E-009,3.57463E+000
1,1,27,99.99950E-003,87.15040E-006,3.68412E+000,-169.99520E-003,346.22700E-009,3.68412E+000
1,1,28,99.99980E-003,86.99800E-006,3.79884E+000,-164.99530E-003,349.62500E-009,3.79884E+000
1,1,29,99.99950E-003,86.93350E-006,3.90833E+000,-159.99750E-003,359.18100E-009,3.90833E+000
1,1,30,99.99930E-003,86.90970E-006,4.01795E+000,-154.99510E-003,370.77800E-009,4.01795E+000
1,1,31,99.99980E-003,86.90620E-006,4.12728E+000,-149.99710E-003,378.26800E-009,4.12728E+000
1,1,32,99.99940E-003,86.84940E-006,4.23671E+000,-144.99530E-003,387.48500E-009,4.23671E+000
1,1,33,99.99910E-003,86.81410E-006,4.35309E+000,-139.99560E-003,391.94100E-009,4.35309E+000
1,1,34,99.99980E-003,86.81820E-006,4.46246E+000,-134.99630E-003,401.43200E-009,4.46246E+000
1,1,35,99.99930E-003,86.75510E-006,4.57180E+000,-129.99580E-003,408.55400E-009,4.57180E+000
1,1,36,99.99950E-003,86.80600E-006,4.68121E+000,-124.99640E-003,419.10600E-009,4.68121E+000
1,1,37,99.99920E-003,86.74210E-006,4.80611E+000,-119.99550E-003,406.72700E-009,4.80611E+000
1,1,38,99.99950E-003,86.77700E-006,4.91889E+000,-114.99480E-003,421.55900E-009,4.91889E+000
1,1,39,100.00020E-003,86.76500E-006,5.02854E+000,-109.99680E-003,432.02900E-009,5.02854E+000
1,1,40,100.00000E-003,86.67270E-006,5.13795E+000,-104.99530E-003,441.26900E-009,5.13795E+000
