Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,773.27500E-006,79.68300E-003,-299.93100E-003,-21.97840E-009,79.68300E-003
1,1,2,100.00000E-003,770.68800E-006,205.45100E-003,-295.02000E-003,8.37350E-009,205.45100E-003
1,1,3,100.00000E-003,767.97400E-006,325.19500E-003,-289.97100E-003,30.00260E-009,325.19500E-003
1,1,4,100.00000E-003,765.17700E-006,447.36600E-003,-284.91100E-003,42.61760E-009,447.36600E-003
1,1,5,100.00000E-003,762.56400E-006,556.97400E-003,-279.99800E-003,47.81400E-009,556.97400E-003
1,1,6,100.00000E-003,759.62200E-006,689.10000E-003,-275.01900E-003,59.88400E-009,689.10000E-003
1,1,7,99.99990E-003,756.83700E-006,866.16800E-003,-270.01800E-003,23.28200E-009,866.16800E-003
1,1,8,100.00000E-003,753.95900E-006,1.04308E+000,-265.01500E-003,34.17100E-009,1.04308E+000
1,1,9,100.00000E-003,751.02600E-006,1.24347E+000,-260.01500E-003,34.76700E-009,1.24347E+000
1,1,10,100.00000E-003,748.08500E-006,1.41988E+000,-255.03100E-003,36.75300E-009,1.41988E+000
1,1,11,100.00000E-003,745.03400E-006,1.67116E+000,-250.00000E-003,50.42000E-009,1.67116E+000
1,1,12,100.00000E-003,741.98500E-006,1.84540E+000,-245.01800E-003,39.28600E-009,1.84540E+000
1,1,13,100.00000E-003,739.03200E-006,1.95481E+000,-239.99800E-003,83.06700E-009,1.95481E+000
1,1,14,100.00000E-003,735.97400E-006,2.18349E+000,-235.00000E-003,68.01000E-009,2.18349E+000
1,1,15,100.00000E-003,732.89100E-006,2.29009E+000,-229.99700E-003,94.21600E-009,2.29009E+000
1,1,16,100.00000E-003,729.82400E-006,2.51919E+000,-225.00100E-003,75.31000E-009,2.51919E+000
1,1,17,100.00000E-003,726.73500E-006,2.62557E+000,-219.99700E-003,104.07500E-009,2.62557E+000
1,1,18,100.00000E-003,723.53300E-006,2.85472E+000,-215.00200E-003,83.12000E-009,2.85472E+000
1,1,19,100.00000E-003,720.40200E-006,3.08026E+000,-209.99950E-003,85.74000E-009,3.08026E+000
1,1,20,100.00000E-003,717.23500E-006,3.30589E+000,-205.00150E-003,83.23000E-009,3.30589E+000
1,1,21,100.00000E-003,714.04300E-006,3.53233E+000,-199.99970E-003,88.89000E-009,3.53233E+000
1,1,22,99.99990E-003,710.88100E-006,3.63866E+000,-194.99740E-003,120.13600E-009,3.63866E+000
1,1,23,100.00000E-003,707.55800E-006,3.86784E+000,-190.00050E-003,100.49000E-009,3.86784E+000
1,1,24,100.00000E-003,704.33300E-006,3.97416E+000,-184.99660E-003,132.98900E-009,3.97416E+000
1,1,25,100.00000E-003,700.93800E-006,4.18068E+000,-180.00320E-003,112.59300E-009,4.18068E+000
1,1,26,100.00000E-003,697.64300E-006,4.29025E+000,-174.99690E-003,145.68400E-009,4.29025E+000
1,1,27,100.00000E-003,694.26400E-006,4.51641E+000,-170.00030E-003,123.49000E-009,4.51641E+000
1,1,28,100.00000E-003,690.91700E-006,4.62270E+000,-164.99660E-003,156.72300E-009,4.62270E+000
1,1,29,100.00000E-003,687.56300E-006,4.74018E+000,-159.99660E-003,169.77200E-009,4.74018E+000
1,1,30,100.00000E-003,684.01200E-006,4.96880E+000,-155.00130E-003,139.92000E-009,4.96880E+000
1,1,31,99.99990E-003,680.68800E-006,5.07513E+000,-149.99650E-003,174.54500E-009,5.07513E+000
1,1,32,99.99990E-003,677.22300E-006,5.19244E+000,-144.99640E-003,184.71900E-009,5.19244E+000
1,1,33,100.00000E-003,673.79100E-006,5.30227E+000,-139.99740E-003,196.94600E-009,5.30227E+000
1,1,34,100.00000E-003,670.32600E-006,5.41855E+000,-134.99990E-003,201.75900E-009,5.41855E+000
1,1,35,100.00000E-003,666.58700E-006,5.68688E+000,-130.00000E-003,166.54000E-009,5.68688E+000
1,1,36,100.00000E-003,663.07300E-006,5.79326E+000,-124.99680E-003,200.21500E-009,5.79326E+000
1,1,37,100.00000E-003,659.54200E-006,5.90498E+000,-119.99640E-003,215.00000E-009,5.90498E+000
1,1,38,100.00010E-003,655.81900E-006,6.13412E+000,-115.00130E-003,183.70000E-009,6.13412E+000
1,1,39,100.00000E-003,652.24500E-006,6.24097E+000,-109.99530E-003,216.97800E-009,6.24097E+000
1,1,40,100.00000E-003,648.71100E-006,6.35035E+000,-104.99830E-003,231.08100E-009,6.35035E+000
1,1,41,100.00000E-003,645.09700E-006,6.45979E+000,-99.99580E-003,243.63800E-009,6.45979E+000
1,1,42,100.00000E-003,641.43400E-006,6.56921E+000,-94.99720E-003,253.58100E-009,6.56921E+000
1,1,43,100.00000E-003,637.71000E-006,6.69174E+000,-89.99610E-003,254.94400E-009,6.69174E+000
1,1,44,100.00000E-003,634.01300E-006,6.80121E+000,-84.99780E-003,267.32700E-009,6.80121E+000
