Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.48550E-003,999.93300E-006,77.06600E-003,-299.93700E-003,-22.51760E-009,77.06600E-003
1,1,2,99.82710E-003,999.53200E-006,186.82900E-003,-294.99900E-003,36.54900E-009,186.82900E-003
1,1,3,99.99930E-003,997.03800E-006,361.26000E-003,-290.01300E-003,-7.09400E-009,361.26000E-003
1,1,4,100.00000E-003,992.73400E-006,470.72500E-003,-284.99800E-003,78.01100E-009,470.72500E-003
1,1,5,100.00000E-003,988.39800E-006,580.15900E-003,-279.99900E-003,99.36500E-009,580.15900E-003
1,1,6,100.00000E-003,983.93300E-006,714.36400E-003,-274.99900E-003,110.93600E-009,714.36400E-003
1,1,7,100.00000E-003,979.34200E-006,944.40800E-003,-270.00000E-003,76.39000E-009,944.40800E-003
1,1,8,100.00000E-003,974.92500E-006,1.05077E+000,-264.99900E-003,124.07000E-009,1.05077E+000
1,1,9,100.00000E-003,970.20200E-006,1.29526E+000,-260.00000E-003,88.05000E-009,1.29526E+000
1,1,10,100.00000E-003,965.70200E-006,1.40173E+000,-254.99900E-003,138.28300E-009,1.40173E+000
1,1,11,100.00000E-003,960.95200E-006,1.62892E+000,-250.00000E-003,106.21000E-009,1.62892E+000
1,1,12,100.00000E-003,956.38700E-006,1.73580E+000,-244.99800E-003,155.35200E-009,1.73580E+000
1,1,13,100.00000E-003,951.75900E-006,1.84519E+000,-239.99900E-003,174.48900E-009,1.84519E+000
1,1,14,100.00000E-003,947.21300E-006,1.95496E+000,-234.99800E-003,191.52800E-009,1.95496E+000
1,1,15,100.00000E-003,942.65400E-006,2.06494E+000,-229.99900E-003,204.88800E-009,2.06494E+000
1,1,16,100.00000E-003,937.85500E-006,2.18328E+000,-224.99800E-003,208.18900E-009,2.18328E+000
1,1,17,100.00000E-003,933.10800E-006,2.29451E+000,-219.99800E-003,225.16400E-009,2.29451E+000
1,1,18,100.00000E-003,928.32400E-006,2.40435E+000,-214.99700E-003,240.79700E-009,2.40435E+000
1,1,19,100.00000E-003,923.63700E-006,2.51387E+000,-209.99830E-003,250.58600E-009,2.51387E+000
1,1,20,100.00000E-003,918.82400E-006,2.62326E+000,-204.99720E-003,264.47400E-009,2.62326E+000
1,1,21,100.00000E-003,913.96700E-006,2.74185E+000,-199.99770E-003,272.99500E-009,2.74185E+000
1,1,22,100.00000E-003,909.02300E-006,2.85121E+000,-194.99750E-003,288.06300E-009,2.85121E+000
1,1,23,100.00000E-003,904.16700E-006,2.96066E+000,-189.99770E-003,298.78400E-009,2.96066E+000
1,1,24,100.00000E-003,899.17600E-006,3.07012E+000,-184.99740E-003,314.06200E-009,3.07012E+000
1,1,25,100.00000E-003,894.25600E-006,3.18015E+000,-179.99740E-003,324.98000E-009,3.18015E+000
1,1,26,100.00000E-003,889.26600E-006,3.29053E+000,-174.99730E-003,338.74400E-009,3.29053E+000
1,1,27,100.00000E-003,884.30900E-006,3.40006E+000,-169.99710E-003,352.83000E-009,3.40006E+000
1,1,28,100.00000E-003,879.21800E-006,3.50950E+000,-164.99720E-003,365.47300E-009,3.50950E+000
1,1,29,100.00000E-003,874.13500E-006,3.61887E+000,-159.99680E-003,381.83400E-009,3.61887E+000
1,1,30,100.00000E-003,868.98400E-006,3.73562E+000,-154.99670E-003,392.64500E-009,3.73562E+000
1,1,31,100.00000E-003,863.83500E-006,3.84501E+000,-149.99750E-003,406.34100E-009,3.84501E+000
1,1,32,100.00000E-003,858.62600E-006,3.95454E+000,-144.99640E-003,424.16100E-009,3.95454E+000
1,1,33,100.00000E-003,853.46500E-006,4.06399E+000,-139.99700E-003,438.32300E-009,4.06399E+000
1,1,34,100.00000E-003,848.12900E-006,4.18225E+000,-134.99730E-003,443.53200E-009,4.18225E+000
1,1,35,100.00000E-003,842.92100E-006,4.29223E+000,-129.99650E-003,465.48500E-009,4.29223E+000
1,1,36,100.00000E-003,837.64100E-006,4.40172E+000,-124.99670E-003,485.34600E-009,4.40172E+000
1,1,37,100.00000E-003,832.34200E-006,4.51116E+000,-119.99640E-003,502.62400E-009,4.51116E+000
1,1,38,100.00000E-003,826.92000E-006,4.62054E+000,-114.99620E-003,521.13500E-009,4.62054E+000
1,1,39,100.00000E-003,821.56500E-006,4.73595E+000,-109.99660E-003,535.54200E-009,4.73595E+000
1,1,40,100.00000E-003,816.15700E-006,4.84746E+000,-104.99620E-003,548.40000E-009,4.84746E+000
1,1,41,100.00000E-003,810.70400E-006,4.95692E+000,-99.99620E-003,573.19500E-009,4.95692E+000
1,1,42,100.00000E-003,805.22500E-006,5.06647E+000,-94.99640E-003,592.82700E-009,5.06647E+000
1,1,43,100.00000E-003,799.74900E-006,5.18713E+000,-89.99640E-003,595.54900E-009,5.18713E+000
1,1,44,100.00000E-003,794.27100E-006,5.29657E+000,-84.99620E-003,624.38200E-009,5.29657E+000
1,1,45,100.00000E-003,788.77300E-006,5.40610E+000,-79.99600E-003,647.38900E-009,5.40610E+000
1,1,46,100.00000E-003,783.18700E-006,5.51566E+000,-74.99580E-003,668.74400E-009,5.51566E+000
