Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99990E-003,827.03300E-006,185.90800E-003,-299.99800E-003,-345.10000E-009,185.90800E-003
1,1,2,100.00000E-003,823.92500E-006,360.81300E-003,-294.98900E-003,-264.83500E-009,360.81300E-003
1,1,3,100.00000E-003,820.65500E-006,538.51700E-003,-289.97800E-003,-175.94200E-009,538.51700E-003
1,1,4,100.00000E-003,817.47600E-006,778.47700E-003,-285.00000E-003,-191.23000E-009,778.47700E-003
1,1,5,100.00000E-003,814.26300E-006,1.00718E+000,-280.00000E-003,-147.00000E-009,1.00718E+000
1,1,6,100.00000E-003,810.89200E-006,1.18419E+000,-274.98000E-003,-59.19600E-009,1.18419E+000
1,1,7,100.00000E-003,807.39300E-006,1.31058E+000,-269.88600E-003,-31.20900E-009,1.31058E+000
1,1,8,100.00000E-003,803.94300E-006,1.43025E+000,-264.99100E-003,33.82640E-009,1.43025E+000
1,1,9,100.00000E-003,800.39900E-006,1.54992E+000,-260.05700E-003,75.24660E-009,1.54992E+000
1,1,10,100.00000E-003,796.90900E-006,1.78096E+000,-255.00100E-003,-24.69000E-009,1.78096E+000
1,1,11,100.00000E-003,793.37000E-006,2.01190E+000,-250.00100E-003,-10.97000E-009,2.01190E+000
1,1,12,100.00000E-003,789.66400E-006,2.24050E+000,-245.00000E-003,4.26000E-009,2.24050E+000
1,1,13,100.00000E-003,786.00900E-006,2.47916E+000,-240.00100E-003,-4.06000E-009,2.47916E+000
1,1,14,100.00000E-003,782.26000E-006,2.70777E+000,-235.00000E-003,23.98000E-009,2.70777E+000
1,1,15,100.00000E-003,778.44600E-006,2.95014E+000,-230.00100E-003,32.82000E-009,2.95014E+000
1,1,16,100.00000E-003,774.54400E-006,3.18093E+000,-225.00100E-003,33.96000E-009,3.18093E+000
1,1,17,100.00000E-003,770.72200E-006,3.41026E+000,-220.00000E-003,58.18000E-009,3.41026E+000
1,1,18,100.00000E-003,766.81800E-006,3.64227E+000,-215.00000E-003,73.37000E-009,3.64227E+000
1,1,19,99.99990E-003,762.92800E-006,3.90486E+000,-209.99970E-003,83.92000E-009,3.90486E+000
1,1,20,100.00000E-003,758.95800E-006,4.13348E+000,-205.00040E-003,91.79000E-009,4.13348E+000
1,1,21,100.00000E-003,755.07300E-006,4.38216E+000,-200.00080E-003,96.31000E-009,4.38216E+000
1,1,22,100.00000E-003,751.14500E-006,4.61130E+000,-195.00100E-003,121.99000E-009,4.61130E+000
1,1,23,100.00000E-003,747.24000E-006,4.72790E+000,-189.99740E-003,219.53400E-009,4.72790E+000
1,1,24,100.00000E-003,743.37100E-006,4.84521E+000,-185.00340E-003,283.13800E-009,4.84521E+000
1,1,25,100.00000E-003,739.43900E-006,5.02283E+000,-180.01830E-003,270.91500E-009,5.02283E+000
1,1,26,99.99990E-003,735.37400E-006,5.20153E+000,-175.01330E-003,306.56600E-009,5.20153E+000
1,1,27,100.00000E-003,731.26700E-006,5.40699E+000,-170.01770E-003,323.91400E-009,5.40699E+000
1,1,28,100.00000E-003,727.33900E-006,5.51637E+000,-164.99930E-003,365.46700E-009,5.51637E+000
1,1,29,100.00000E-003,723.32400E-006,5.62676E+000,-160.00470E-003,403.64400E-009,5.62676E+000
1,1,30,100.00000E-003,719.12400E-006,5.85542E+000,-155.00010E-003,314.36000E-009,5.85542E+000
1,1,31,100.00000E-003,715.07400E-006,5.96502E+000,-150.00100E-003,422.58100E-009,5.96502E+000
1,1,32,100.00000E-003,710.90500E-006,6.07447E+000,-145.00250E-003,461.89800E-009,6.07447E+000
1,1,33,99.99990E-003,706.77200E-006,6.18386E+000,-140.00030E-003,510.40100E-009,6.18386E+000
1,1,34,100.00000E-003,702.65800E-006,6.30180E+000,-134.99910E-003,523.63300E-009,6.30180E+000
1,1,35,100.00000E-003,698.59700E-006,6.41658E+000,-130.00020E-003,559.54600E-009,6.41658E+000
1,1,36,100.00000E-003,694.31700E-006,6.52997E+000,-125.00500E-003,585.41600E-009,6.52997E+000
1,1,37,100.00000E-003,690.19100E-006,6.63942E+000,-120.00100E-003,612.64000E-009,6.63942E+000
1,1,38,100.00000E-003,685.83500E-006,6.74673E+000,-114.99940E-003,630.96000E-009,6.74673E+000
1,1,39,99.99990E-003,681.50700E-006,6.90795E+000,-110.00200E-003,557.52000E-009,6.90795E+000
1,1,40,100.00000E-003,677.22200E-006,7.01795E+000,-105.00030E-003,654.46300E-009,7.01795E+000
1,1,41,100.00000E-003,672.90400E-006,7.12476E+000,-99.99950E-003,676.23000E-009,7.12476E+000
1,1,42,100.00000E-003,668.56200E-006,7.23164E+000,-94.99930E-003,706.00000E-009,7.23164E+000
1,1,43,100.00000E-003,664.20500E-006,7.34195E+000,-89.99950E-003,727.96000E-009,7.34195E+000
1,1,44,100.00000E-003,659.70500E-006,7.50720E+000,-85.00190E-003,643.78000E-009,7.50720E+000
1,1,45,99.99990E-003,655.33600E-006,7.61411E+000,-79.99950E-003,724.65000E-009,7.61411E+000
1,1,46,100.00000E-003,650.87900E-006,7.72105E+000,-74.99940E-003,761.78000E-009,7.72105E+000
1,1,47,100.00000E-003,646.42400E-006,7.84096E+000,-69.99940E-003,778.51000E-009,7.84096E+000
1,1,48,100.00000E-003,641.93200E-006,7.94785E+000,-64.99930E-003,806.96000E-009,7.94785E+000
1,1,49,100.00000E-003,637.46800E-006,8.05472E+000,-59.99950E-003,830.11000E-009,8.05472E+000
1,1,50,100.00000E-003,632.95700E-006,8.16160E+000,-54.99930E-003,851.53000E-009,8.16160E+000
1,1,51,100.00000E-003,628.32500E-006,8.30409E+000,-49.99960E-003,792.37000E-009,8.30409E+000
1,1,52,99.99990E-003,623.76800E-006,8.41097E+000,-44.99940E-003,851.61000E-009,8.41097E+000
1,1,53,99.99990E-003,619.13900E-006,8.51786E+000,-39.99950E-003,878.98000E-009,8.51786E+000
1,1,54,100.00000E-003,614.55700E-006,8.62921E+000,-34.99950E-003,890.51000E-009,8.62921E+000
1,1,55,100.00000E-003,609.97300E-006,8.73613E+000,-29.99930E-003,915.00000E-009,8.73613E+000
1,1,56,100.00000E-003,605.35700E-006,8.84423E+000,-24.99920E-003,931.30000E-009,8.84423E+000
1,1,57,99.99990E-003,600.71700E-006,8.95122E+000,-19.99930E-003,948.29000E-009,8.95122E+000
1,1,58,100.00000E-003,596.03600E-006,9.05817E+000,-14.99940E-003,964.28000E-009,9.05817E+000
1,1,59,100.00000E-003,591.36300E-006,9.16715E+000,-9.99970E-003,974.43000E-009,9.16715E+000
1,1,60,100.00000E-003,586.61800E-006,9.30283E+000,-4.99930E-003,925.41000E-009,9.30283E+000
1,1,61,100.00000E-003,581.90000E-006,9.40972E+000,800.00000E-009,975.33000E-009,9.40972E+000
1,1,62,100.00000E-003,577.23100E-006,9.51658E+000,5.00080E-003,997.08000E-009,9.51658E+000
1,1,63,100.00000E-003,572.48600E-006,9.62346E+000,10.00080E-003,1.01601E-006,9.62346E+000
1,1,64,100.00000E-003,567.79100E-006,9.73032E+000,15.00080E-003,1.03262E-006,9.73032E+000
1,1,65,100.00000E-003,562.97500E-006,9.84818E+000,20.00060E-003,1.03688E-006,9.84818E+000
1,1,66,100.00000E-003,558.25500E-006,9.95507E+000,25.00070E-003,1.05747E-006,9.95507E+000
1,1,67,100.00000E-003,553.47000E-006,10.06198E+000,30.00080E-003,1.07543E-006,10.06198E+000
1,1,68,100.00000E-003,548.70100E-006,10.16886E+000,35.00080E-003,1.09347E-006,10.16886E+000
1,1,69,100.00000E-003,543.77100E-006,10.30536E+000,40.00040E-003,1.03766E-006,10.30536E+000
1,1,70,100.00000E-003,538.95700E-006,10.41272E+000,45.00050E-003,1.09535E-006,10.41272E+000
1,1,71,100.00000E-003,534.12000E-006,10.51963E+000,50.00080E-003,1.13150E-006,10.51963E+000
1,1,72,100.00000E-003,529.28400E-006,10.62658E+000,55.00060E-003,1.18601E-006,10.62658E+000
1,1,73,100.00000E-003,524.45400E-006,10.73349E+000,60.00070E-003,1.26854E-006,10.73349E+000
1,1,74,100.00000E-003,519.59000E-006,10.85082E+000,65.00090E-003,1.37357E-006,10.85082E+000
1,1,75,100.00000E-003,514.71200E-006,10.95778E+000,70.00080E-003,1.52501E-006,10.95778E+000
1,1,76,100.00000E-003,509.85500E-006,11.06532E+000,75.00110E-003,1.68486E-006,11.06532E+000
1,1,77,100.00000E-003,504.99800E-006,11.17234E+000,80.00110E-003,1.82878E-006,11.17234E+000
1,1,78,100.00000E-003,500.08500E-006,11.31314E+000,85.00010E-003,1.82423E-006,11.31314E+000
1,1,79,100.00000E-003,495.20100E-006,11.42032E+000,90.00090E-003,2.07714E-006,11.42032E+000
1,1,80,100.00000E-003,490.30700E-006,11.52720E+000,95.00120E-003,2.27116E-006,11.52720E+000
1,1,81,100.00000E-003,485.42900E-006,11.63429E+000,100.00130E-003,2.41481E-006,11.63429E+000
1,1,82,100.00000E-003,480.52200E-006,11.74141E+000,105.00140E-003,2.56157E-006,11.74141E+000
1,1,83,100.00000E-003,475.60000E-006,11.85175E+000,110.00130E-003,2.83149E-006,11.85175E+000
1,1,84,100.00000E-003,470.71000E-006,11.95865E+000,115.00140E-003,3.14750E-006,11.95865E+000
1,1,85,100.00000E-003,465.86000E-006,12.06552E+000,120.00160E-003,3.34162E-006,12.06552E+000
1,1,86,100.00000E-003,460.92800E-006,12.17296E+000,125.00150E-003,3.60784E-006,12.17296E+000
1,1,87,100.00000E-003,455.92800E-006,12.31617E+000,130.00180E-003,3.52488E-006,12.31617E+000
1,1,88,100.00000E-003,451.06400E-006,12.42538E+000,135.00030E-003,3.42192E-006,12.42538E+000
1,1,89,100.00000E-003,446.17800E-006,12.53231E+000,140.00180E-003,3.41464E-006,12.53231E+000
1,1,90,99.99990E-003,441.24300E-006,12.63920E+000,145.00150E-003,3.73158E-006,12.63920E+000
