Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,626.08600E-006,77.08800E-003,-300.00600E-003,-49.04720E-009,77.08800E-003
1,1,2,99.99990E-003,627.31100E-006,197.66200E-003,-294.95700E-003,-16.16740E-009,197.66200E-003
1,1,3,100.00000E-003,626.59100E-006,317.30500E-003,-289.94800E-003,-1.59560E-009,317.30500E-003
1,1,4,100.00000E-003,626.36900E-006,436.97600E-003,-284.95200E-003,11.72380E-009,436.97600E-003
1,1,5,100.00000E-003,625.91100E-006,546.46100E-003,-280.00000E-003,20.22300E-009,546.46100E-003
1,1,6,100.00010E-003,624.03000E-006,692.81200E-003,-274.97800E-003,20.24370E-009,692.81200E-003
1,1,7,100.00000E-003,623.15200E-006,812.50100E-003,-269.96400E-003,35.80920E-009,812.50100E-003
1,1,8,100.00000E-003,622.29600E-006,932.57600E-003,-264.94800E-003,43.55530E-009,932.57600E-003
1,1,9,100.00000E-003,620.77600E-006,1.05223E+000,-259.95300E-003,50.35650E-009,1.05223E+000
1,1,10,100.00000E-003,618.90800E-006,1.18044E+000,-255.00000E-003,46.29000E-009,1.18044E+000
1,1,11,100.00000E-003,617.09300E-006,1.29715E+000,-249.95600E-003,62.37840E-009,1.29715E+000
1,1,12,100.00000E-003,615.37100E-006,1.41762E+000,-244.94800E-003,68.21300E-009,1.41762E+000
1,1,13,100.00000E-003,613.86200E-006,1.52702E+000,-240.00000E-003,69.64500E-009,1.52702E+000
1,1,14,100.00000E-003,612.46500E-006,1.63060E+000,-234.99900E-003,78.19300E-009,1.63060E+000
1,1,15,100.00000E-003,610.33400E-006,1.80255E+000,-230.00200E-003,55.29300E-009,1.80255E+000
1,1,16,100.00000E-003,608.66100E-006,1.97401E+000,-225.00200E-003,54.87800E-009,1.97401E+000
1,1,17,100.00000E-003,606.91200E-006,2.07783E+000,-220.00000E-003,81.70200E-009,2.07783E+000
1,1,18,100.00000E-003,604.96000E-006,2.18139E+000,-214.99900E-003,90.50700E-009,2.18139E+000
1,1,19,100.00000E-003,602.64800E-006,2.35299E+000,-210.00180E-003,68.41000E-009,2.35299E+000
1,1,20,100.00000E-003,601.14300E-006,2.45689E+000,-204.99940E-003,95.18400E-009,2.45689E+000
1,1,21,100.00000E-003,599.26000E-006,2.56064E+000,-199.99940E-003,104.10100E-009,2.56064E+000
1,1,22,99.99990E-003,597.65800E-006,2.67633E+000,-194.99950E-003,105.35600E-009,2.67633E+000
1,1,23,100.00000E-003,595.83600E-006,2.77994E+000,-189.99940E-003,114.45200E-009,2.77994E+000
1,1,24,100.00000E-003,593.39000E-006,2.95444E+000,-185.00270E-003,85.37800E-009,2.95444E+000
1,1,25,100.00000E-003,591.59500E-006,3.05839E+000,-179.99930E-003,115.87100E-009,3.05839E+000
1,1,26,100.00000E-003,589.62300E-006,3.17694E+000,-174.99930E-003,117.85900E-009,3.17694E+000
1,1,27,100.00000E-003,587.88900E-006,3.28098E+000,-169.99940E-003,128.35100E-009,3.28098E+000
1,1,28,100.00000E-003,585.88900E-006,3.38466E+000,-164.99920E-003,134.01800E-009,3.38466E+000
1,1,29,100.00000E-003,583.70000E-006,3.48823E+000,-159.99940E-003,140.07500E-009,3.48823E+000
1,1,30,100.00000E-003,581.57800E-006,3.59284E+000,-154.99920E-003,144.80600E-009,3.59284E+000
1,1,31,99.99990E-003,579.57800E-006,3.71814E+000,-149.99940E-003,146.56400E-009,3.71814E+000
1,1,32,100.00000E-003,577.48900E-006,3.82174E+000,-144.99910E-003,152.81100E-009,3.82174E+000
1,1,33,100.00000E-003,575.34600E-006,3.92538E+000,-139.99910E-003,157.87800E-009,3.92538E+000
