Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.99990E-003,778.12100E-006,134.83900E-003,-299.97100E-003,-309.81600E-009,134.83900E-003
1,1,2,100.00000E-003,774.73000E-006,363.85200E-003,-294.99800E-003,-223.61000E-009,363.85200E-003
1,1,3,100.00000E-003,771.09100E-006,591.12900E-003,-289.99900E-003,-188.61000E-009,591.12900E-003
1,1,4,100.00000E-003,767.45500E-006,846.05300E-003,-284.99900E-003,-162.75000E-009,846.05300E-003
1,1,5,100.00000E-003,763.72400E-006,1.07170E+000,-280.00000E-003,-138.67000E-009,1.07170E+000
1,1,6,100.00000E-003,759.95700E-006,1.32116E+000,-275.00000E-003,-120.44000E-009,1.32116E+000
1,1,7,100.00000E-003,756.13300E-006,1.43803E+000,-269.88500E-003,-76.65840E-009,1.43803E+000
1,1,8,100.00000E-003,752.36800E-006,1.56087E+000,-264.88200E-003,-37.59760E-009,1.56087E+000
1,1,9,100.00000E-003,748.54800E-006,1.68112E+000,-259.89100E-003,-6.31040E-009,1.68112E+000
1,1,10,100.00000E-003,744.74600E-006,1.80440E+000,-254.94500E-003,13.80940E-009,1.80440E+000
1,1,11,100.00000E-003,740.86900E-006,1.92889E+000,-249.93500E-003,38.09380E-009,1.92889E+000
1,1,12,99.99990E-003,736.96800E-006,2.05151E+000,-244.97300E-003,57.38120E-009,2.05151E+000
1,1,13,100.00000E-003,733.01800E-006,2.17366E+000,-240.00800E-003,77.45270E-009,2.17366E+000
1,1,14,100.00000E-003,728.80600E-006,2.40989E+000,-235.00100E-003,19.43000E-009,2.40989E+000
1,1,15,100.00000E-003,724.70900E-006,2.63334E+000,-230.00000E-003,22.86000E-009,2.63334E+000
1,1,16,100.00000E-003,720.63200E-006,2.85924E+000,-225.00100E-003,24.20000E-009,2.85924E+000
1,1,17,99.99990E-003,716.47500E-006,3.08485E+000,-220.00000E-003,32.69000E-009,3.08485E+000
1,1,18,99.99990E-003,712.41500E-006,3.29068E+000,-215.01700E-003,21.77800E-009,3.29068E+000
1,1,19,100.00000E-003,708.16700E-006,3.52369E+000,-210.00050E-003,48.62000E-009,3.52369E+000
1,1,20,100.00000E-003,704.03300E-006,3.73792E+000,-204.99990E-003,58.96600E-009,3.73792E+000
1,1,21,100.00000E-003,699.82600E-006,3.96713E+000,-200.00010E-003,65.02000E-009,3.96713E+000
1,1,22,100.00000E-003,695.66000E-006,4.19272E+000,-195.00080E-003,70.97000E-009,4.19272E+000
1,1,23,100.00000E-003,691.46600E-006,4.42017E+000,-190.00080E-003,78.14000E-009,4.42017E+000
1,1,24,100.00000E-003,687.16600E-006,4.64578E+000,-185.00060E-003,87.41000E-009,4.64578E+000
1,1,25,100.00000E-003,682.97100E-006,4.87331E+000,-180.00140E-003,93.79000E-009,4.87331E+000
1,1,26,100.00000E-003,678.70500E-006,5.09911E+000,-175.00030E-003,106.22000E-009,5.09911E+000
1,1,27,100.00000E-003,674.64200E-006,5.24283E+000,-169.99950E-003,144.44900E-009,5.24283E+000
1,1,28,100.00000E-003,670.27800E-006,5.47192E+000,-165.00140E-003,130.68000E-009,5.47192E+000
1,1,29,100.00000E-003,666.24600E-006,5.57839E+000,-159.99690E-003,199.14600E-009,5.57839E+000
1,1,30,100.00000E-003,662.13000E-006,5.68958E+000,-154.99730E-003,229.11200E-009,5.68958E+000
1,1,31,100.00000E-003,657.94300E-006,5.79898E+000,-149.99700E-003,254.52000E-009,5.79898E+000
1,1,32,100.00000E-003,653.77100E-006,5.90840E+000,-144.99690E-003,278.21900E-009,5.90840E+000
1,1,33,100.00000E-003,649.54400E-006,6.01783E+000,-139.99750E-003,295.28600E-009,6.01783E+000
1,1,34,100.00000E-003,645.29700E-006,6.12721E+000,-134.99680E-003,305.01800E-009,6.12721E+000
1,1,35,100.00000E-003,640.98200E-006,6.24603E+000,-129.99720E-003,318.18500E-009,6.24603E+000
1,1,36,100.00000E-003,636.72300E-006,6.35854E+000,-124.99630E-003,340.43100E-009,6.35854E+000
1,1,37,100.00000E-003,632.43400E-006,6.47094E+000,-119.99490E-003,351.93400E-009,6.47094E+000
1,1,38,100.00000E-003,628.10100E-006,6.58264E+000,-114.99530E-003,365.05100E-009,6.58264E+000
1,1,39,100.00000E-003,623.78600E-006,6.69227E+000,-109.99630E-003,389.60400E-009,6.69227E+000
1,1,40,100.00000E-003,619.44100E-006,6.80323E+000,-104.99690E-003,402.46600E-009,6.80323E+000
1,1,41,100.00000E-003,615.12400E-006,6.91258E+000,-99.99620E-003,416.84900E-009,6.91258E+000
1,1,42,100.00000E-003,610.75700E-006,7.02375E+000,-94.99700E-003,429.15800E-009,7.02375E+000
1,1,43,100.00000E-003,606.41100E-006,7.13489E+000,-89.99690E-003,441.06600E-009,7.13489E+000
1,1,44,100.00000E-003,602.01600E-006,7.24923E+000,-84.99680E-003,446.21700E-009,7.24923E+000
1,1,45,100.00000E-003,597.64500E-006,7.36396E+000,-79.99800E-003,445.51500E-009,7.36396E+000
1,1,46,100.00000E-003,593.25400E-006,7.47354E+000,-74.99620E-003,472.52400E-009,7.47354E+000
1,1,47,100.00000E-003,588.85600E-006,7.58289E+000,-69.99660E-003,482.97400E-009,7.58289E+000
1,1,48,100.00000E-003,584.44300E-006,7.69250E+000,-64.99620E-003,495.68800E-009,7.69250E+000
1,1,49,100.00000E-003,580.05000E-006,7.80357E+000,-59.99730E-003,504.12000E-009,7.80357E+000
1,1,50,100.00000E-003,575.63800E-006,7.91297E+000,-54.99640E-003,514.22500E-009,7.91297E+000
1,1,51,100.00000E-003,571.23600E-006,8.02241E+000,-49.99680E-003,524.22600E-009,8.02241E+000
1,1,52,100.00000E-003,566.80500E-006,8.13185E+000,-44.99620E-003,531.45600E-009,8.13185E+000
1,1,53,100.00000E-003,562.30200E-006,8.25478E+000,-39.99760E-003,523.29700E-009,8.25478E+000
1,1,54,100.00000E-003,557.87200E-006,8.36584E+000,-34.99650E-003,536.87000E-009,8.36584E+000
1,1,55,100.00000E-003,553.46300E-006,8.47529E+000,-29.99600E-003,550.10800E-009,8.47529E+000
1,1,56,100.00000E-003,549.05400E-006,8.58471E+000,-24.99650E-003,556.74600E-009,8.58471E+000
1,1,57,100.00000E-003,544.63000E-006,8.69432E+000,-19.99580E-003,565.24300E-009,8.69432E+000
1,1,58,100.00000E-003,540.18400E-006,8.80604E+000,-14.99990E-003,561.88000E-009,8.80604E+000
