Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,509.67800E-006,79.93700E-003,-299.90000E-003,-65.54970E-009,79.93700E-003
1,1,2,100.00000E-003,508.68400E-006,202.47300E-003,-294.96600E-003,8.16360E-009,202.47300E-003
1,1,3,100.00000E-003,507.62200E-006,324.69600E-003,-289.97000E-003,51.81900E-009,324.69600E-003
1,1,4,100.00000E-003,506.53000E-006,447.16300E-003,-284.99100E-003,80.93900E-009,447.16300E-003
1,1,5,100.00000E-003,505.39800E-006,675.80800E-003,-280.00100E-003,34.98000E-009,675.80800E-003
1,1,6,100.00000E-003,504.22200E-006,901.41600E-003,-275.00100E-003,40.40000E-009,901.41600E-003
1,1,7,100.00000E-003,503.05100E-006,1.12839E+000,-270.00000E-003,49.51000E-009,1.12839E+000
1,1,8,99.99990E-003,501.86200E-006,1.35583E+000,-265.00100E-003,52.78000E-009,1.35583E+000
1,1,9,100.00000E-003,500.65000E-006,1.58139E+000,-260.00000E-003,64.17000E-009,1.58139E+000
1,1,10,99.99990E-003,499.43500E-006,1.80715E+000,-255.00100E-003,69.18000E-009,1.80715E+000
1,1,11,100.00000E-003,498.19500E-006,2.03278E+000,-250.00100E-003,78.27000E-009,2.03278E+000
1,1,12,100.00000E-003,496.93100E-006,2.29310E+000,-245.00100E-003,78.85000E-009,2.29310E+000
1,1,13,100.00000E-003,495.67400E-006,2.51883E+000,-240.00100E-003,87.44000E-009,2.51883E+000
1,1,14,100.00000E-003,494.39500E-006,2.77069E+000,-235.00100E-003,89.88000E-009,2.77069E+000
1,1,15,100.00000E-003,493.12200E-006,2.99652E+000,-230.00100E-003,104.20000E-009,2.99652E+000
1,1,16,100.00000E-003,491.83500E-006,3.22947E+000,-225.00100E-003,110.67000E-009,3.22947E+000
1,1,17,100.00000E-003,490.53900E-006,3.45703E+000,-220.00200E-003,114.68000E-009,3.45703E+000
1,1,18,100.00000E-003,489.21600E-006,3.68294E+000,-215.00100E-003,125.03000E-009,3.68294E+000
1,1,19,100.00000E-003,487.98700E-006,3.78936E+000,-209.99760E-003,188.99500E-009,3.78936E+000
1,1,20,100.00000E-003,486.59400E-006,4.01803E+000,-205.00130E-003,153.99000E-009,4.01803E+000
1,1,21,100.00000E-003,485.33000E-006,4.12435E+000,-199.99720E-003,215.64200E-009,4.12435E+000
1,1,22,100.00000E-003,484.00500E-006,4.24593E+000,-194.99870E-003,230.00700E-009,4.24593E+000
1,1,23,100.00000E-003,482.68200E-006,4.35894E+000,-189.99740E-003,258.37800E-009,4.35894E+000
1,1,24,100.00000E-003,481.32500E-006,4.47026E+000,-184.99780E-003,279.96300E-009,4.47026E+000
1,1,25,100.00000E-003,479.97600E-006,4.57963E+000,-179.99690E-003,298.94200E-009,4.57963E+000
1,1,26,100.00000E-003,478.59200E-006,4.68995E+000,-174.99660E-003,317.54500E-009,4.68995E+000
1,1,27,100.00000E-003,477.18500E-006,4.80268E+000,-169.99810E-003,329.89300E-009,4.80268E+000
1,1,28,100.00000E-003,475.78500E-006,4.91387E+000,-164.99690E-003,346.95800E-009,4.91387E+000
1,1,29,100.00000E-003,474.35100E-006,5.02332E+000,-159.99660E-003,365.04000E-009,5.02332E+000
1,1,30,100.00000E-003,472.90400E-006,5.13276E+000,-154.99760E-003,378.51200E-009,5.13276E+000
1,1,31,100.00000E-003,471.45100E-006,5.24258E+000,-149.99680E-003,394.50000E-009,5.24258E+000
1,1,32,100.00000E-003,469.98200E-006,5.35206E+000,-144.99770E-003,409.26800E-009,5.35206E+000
1,1,33,100.00000E-003,468.49700E-006,5.46145E+000,-139.99710E-003,423.41300E-009,5.46145E+000
1,1,34,100.00000E-003,467.00300E-006,5.57108E+000,-134.99740E-003,438.83800E-009,5.57108E+000
1,1,35,100.00000E-003,465.45500E-006,5.68805E+000,-129.99740E-003,442.90200E-009,5.68805E+000
1,1,36,100.00000E-003,463.93300E-006,5.79749E+000,-124.99680E-003,459.95300E-009,5.79749E+000
1,1,37,100.00000E-003,462.40800E-006,5.90887E+000,-119.99670E-003,473.31800E-009,5.90887E+000
1,1,38,100.00000E-003,460.84500E-006,6.02233E+000,-114.99240E-003,475.92600E-009,6.02233E+000
1,1,39,100.00000E-003,459.27200E-006,6.13343E+000,-109.99760E-003,496.27500E-009,6.13343E+000
1,1,40,99.99990E-003,457.69200E-006,6.24332E+000,-104.99650E-003,512.26900E-009,6.24332E+000
1,1,41,100.00000E-003,456.10300E-006,6.35335E+000,-99.99650E-003,525.22200E-009,6.35335E+000
1,1,42,99.99990E-003,454.47900E-006,6.46270E+000,-94.99670E-003,537.24000E-009,6.46270E+000
1,1,43,100.00000E-003,452.86700E-006,6.57211E+000,-89.99720E-003,551.13000E-009,6.57211E+000
1,1,44,100.00000E-003,451.22300E-006,6.68778E+000,-84.99990E-003,541.55000E-009,6.68778E+000
1,1,45,100.00000E-003,449.59200E-006,6.79417E+000,-79.99690E-003,571.25900E-009,6.79417E+000
1,1,46,100.00000E-003,447.93400E-006,6.90416E+000,-74.99790E-003,582.32600E-009,6.90416E+000
1,1,47,99.99990E-003,446.25200E-006,7.01384E+000,-69.99700E-003,591.42800E-009,7.01384E+000
1,1,48,100.00000E-003,444.55800E-006,7.12323E+000,-64.99670E-003,603.79800E-009,7.12323E+000
1,1,49,100.00000E-003,442.86300E-006,7.23506E+000,-59.99770E-003,610.31300E-009,7.23506E+000
1,1,50,99.99990E-003,441.12600E-006,7.34922E+000,-54.99740E-003,612.54800E-009,7.34922E+000
1,1,51,100.00000E-003,439.40800E-006,7.45607E+000,-49.99990E-003,618.21000E-009,7.45607E+000
1,1,52,100.00000E-003,437.66400E-006,7.56248E+000,-44.99670E-003,640.91500E-009,7.56248E+000
1,1,53,100.00000E-003,435.84400E-006,7.69888E+000,-39.99760E-003,611.13700E-009,7.69888E+000
1,1,54,100.00000E-003,434.10900E-006,7.80582E+000,-34.99980E-003,629.05000E-009,7.80582E+000
1,1,55,100.00000E-003,432.31700E-006,7.91216E+000,-29.99710E-003,655.15900E-009,7.91216E+000
1,1,56,100.00000E-003,430.55400E-006,8.01904E+000,-24.99990E-003,654.42000E-009,8.01904E+000
1,1,57,100.00000E-003,428.75400E-006,8.12586E+000,-19.99660E-003,676.28100E-009,8.12586E+000
1,1,58,100.00000E-003,426.92900E-006,8.23392E+000,-14.99990E-003,670.72000E-009,8.23392E+000
1,1,59,100.00000E-003,425.09200E-006,8.34066E+000,-9.99680E-003,693.50200E-009,8.34066E+000
1,1,60,100.00000E-003,423.25000E-006,8.44849E+000,-4.99990E-003,686.46000E-009,8.44849E+000
1,1,61,100.00000E-003,421.26100E-006,8.60660E+000,-3.10000E-006,622.82000E-009,8.60660E+000
