Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,692.62600E-006,183.63000E-003,-300.00000E-003,-85.43000E-009,183.63000E-003
1,1,2,100.00000E-003,690.25800E-006,300.76000E-003,-294.87400E-003,-23.30190E-009,300.76000E-003
1,1,3,100.00000E-003,688.09600E-006,422.86200E-003,-289.95100E-003,9.04370E-009,422.86200E-003
1,1,4,100.00000E-003,685.80800E-006,544.96000E-003,-284.99000E-003,34.27070E-009,544.96000E-003
1,1,5,100.00000E-003,683.05900E-006,664.58800E-003,-280.00900E-003,61.61230E-009,664.58800E-003
1,1,6,100.00000E-003,680.49900E-006,797.26700E-003,-275.03400E-003,63.86630E-009,797.26700E-003
1,1,7,100.00000E-003,678.18000E-006,1.02604E+000,-270.00100E-003,15.84000E-009,1.02604E+000
1,1,8,100.00000E-003,675.81700E-006,1.14519E+000,-265.07000E-003,83.26130E-009,1.14519E+000
1,1,9,100.00000E-003,673.39900E-006,1.29579E+000,-260.07700E-003,83.78880E-009,1.29579E+000
1,1,10,100.00000E-003,671.03600E-006,1.52446E+000,-255.00100E-003,39.49000E-009,1.52446E+000
1,1,11,100.00000E-003,668.59000E-006,1.77864E+000,-250.00000E-003,37.59000E-009,1.77864E+000
1,1,12,100.00000E-003,666.15000E-006,2.00508E+000,-245.00000E-003,42.74000E-009,2.00508E+000
1,1,13,100.00000E-003,663.72300E-006,2.23074E+000,-240.00100E-003,45.25000E-009,2.23074E+000
1,1,14,99.99990E-003,661.22900E-006,2.45813E+000,-235.00100E-003,48.43000E-009,2.45813E+000
1,1,15,99.99990E-003,658.73300E-006,2.68452E+000,-230.00000E-003,57.67000E-009,2.68452E+000
1,1,16,100.00000E-003,656.24600E-006,2.91009E+000,-225.00100E-003,54.21000E-009,2.91009E+000
1,1,17,100.00000E-003,653.74700E-006,3.13622E+000,-220.00000E-003,65.39000E-009,3.13622E+000
1,1,18,100.00000E-003,651.21000E-006,3.34264E+000,-215.02300E-003,29.13200E-009,3.34264E+000
1,1,19,100.00000E-003,648.69700E-006,3.57139E+000,-210.00010E-003,72.83000E-009,3.57139E+000
1,1,20,100.00000E-003,646.15200E-006,3.79720E+000,-205.00050E-003,73.30000E-009,3.79720E+000
1,1,21,100.00000E-003,643.60200E-006,4.02334E+000,-200.00050E-003,80.92000E-009,4.02334E+000
1,1,22,100.00000E-003,640.97200E-006,4.28280E+000,-195.00000E-003,80.09000E-009,4.28280E+000
1,1,23,100.00000E-003,638.36200E-006,4.50842E+000,-190.00060E-003,80.97000E-009,4.50842E+000
1,1,24,100.00010E-003,635.73100E-006,4.73402E+000,-185.00010E-003,91.04000E-009,4.73402E+000
1,1,25,100.00000E-003,633.12300E-006,4.96323E+000,-180.00060E-003,89.62000E-009,4.96323E+000
1,1,26,100.00000E-003,630.49000E-006,5.19166E+000,-175.00080E-003,93.50000E-009,5.19166E+000
1,1,27,100.00000E-003,627.79400E-006,5.41729E+000,-170.00010E-003,103.31000E-009,5.41729E+000
1,1,28,99.99990E-003,625.12400E-006,5.64691E+000,-165.00090E-003,102.93000E-009,5.64691E+000
1,1,29,100.00000E-003,622.49900E-006,5.79209E+000,-159.99920E-003,135.70300E-009,5.79209E+000
1,1,30,100.00000E-003,619.78300E-006,6.02078E+000,-155.00040E-003,121.82000E-009,6.02078E+000
1,1,31,100.00000E-003,617.05200E-006,6.24646E+000,-150.00090E-003,119.26000E-009,6.24646E+000
1,1,32,100.00000E-003,614.29600E-006,6.47471E+000,-145.00080E-003,122.54000E-009,6.47471E+000
1,1,33,100.00000E-003,611.59500E-006,6.70039E+000,-140.00030E-003,129.97000E-009,6.70039E+000
1,1,34,100.00000E-003,608.80700E-006,6.92953E+000,-135.00080E-003,127.53000E-009,6.92953E+000
1,1,35,100.00000E-003,606.00900E-006,7.15623E+000,-130.00060E-003,133.98000E-009,7.15623E+000
1,1,36,100.00000E-003,603.24600E-006,7.41351E+000,-125.00070E-003,129.38000E-009,7.41351E+000
1,1,37,100.00000E-003,600.47000E-006,7.63944E+000,-120.00050E-003,139.11000E-009,7.63944E+000
1,1,38,100.00000E-003,597.65100E-006,7.88878E+000,-115.00050E-003,139.95000E-009,7.88878E+000
1,1,39,100.00000E-003,594.85600E-006,8.11802E+000,-110.00000E-003,151.60000E-009,8.11802E+000
1,1,40,100.00000E-003,592.02500E-006,8.35278E+000,-105.00050E-003,153.51000E-009,8.35278E+000
1,1,41,100.00000E-003,589.24200E-006,8.57856E+000,-100.00090E-003,153.40000E-009,8.57856E+000
1,1,42,100.00000E-003,586.38200E-006,8.80431E+000,-95.00050E-003,161.35000E-009,8.80431E+000
1,1,43,100.00000E-003,583.50000E-006,9.02989E+000,-90.00080E-003,162.80000E-009,9.02989E+000
1,1,44,100.00000E-003,580.62200E-006,9.25547E+000,-85.00060E-003,170.05000E-009,9.25547E+000
1,1,45,100.00000E-003,577.80100E-006,9.48111E+000,-80.00060E-003,173.42000E-009,9.48111E+000
1,1,46,100.00000E-003,574.90000E-006,9.70706E+000,-75.00100E-003,178.54000E-009,9.70706E+000
1,1,47,100.00000E-003,571.98900E-006,9.93265E+000,-70.00060E-003,182.95000E-009,9.93265E+000
1,1,48,100.00000E-003,569.23300E-006,10.03904E+000,-64.99990E-003,248.92800E-009,10.03904E+000
1,1,49,100.00000E-003,566.47100E-006,10.15418E+000,-59.99710E-003,269.18900E-009,10.15418E+000
1,1,50,100.00000E-003,563.63800E-006,10.29992E+000,-54.99950E-003,260.01500E-009,10.29992E+000
1,1,51,100.00000E-003,560.80000E-006,10.40936E+000,-49.99990E-003,305.22800E-009,10.40936E+000
1,1,52,100.00000E-003,557.95900E-006,10.52047E+000,-44.99990E-003,322.69400E-009,10.52047E+000
1,1,53,100.00000E-003,555.13700E-006,10.63194E+000,-39.99870E-003,339.38600E-009,10.63194E+000
1,1,54,100.00000E-003,552.29500E-006,10.74477E+000,-34.99940E-003,352.68100E-009,10.74477E+000
1,1,55,100.00000E-003,549.44700E-006,10.86215E+000,-29.99930E-003,362.60100E-009,10.86215E+000
1,1,56,100.00000E-003,546.55100E-006,10.97484E+000,-25.00100E-003,374.55800E-009,10.97484E+000
1,1,57,100.00000E-003,543.69000E-006,11.08647E+000,-20.00020E-003,385.68800E-009,11.08647E+000
1,1,58,100.00000E-003,540.84400E-006,11.19587E+000,-14.99930E-003,401.37400E-009,11.19587E+000
1,1,59,100.00000E-003,537.91700E-006,11.30794E+000,-10.00130E-003,408.70800E-009,11.30794E+000
1,1,60,100.00000E-003,535.03800E-006,11.41744E+000,-4.99880E-003,418.44100E-009,11.41744E+000
1,1,61,100.00000E-003,532.12500E-006,11.52686E+000,-600.00000E-009,430.98100E-009,11.52686E+000
1,1,62,100.00000E-003,529.21400E-006,11.63629E+000,5.00010E-003,437.18300E-009,11.63629E+000
1,1,63,100.00000E-003,526.31900E-006,11.74579E+000,10.00070E-003,447.82600E-009,11.74579E+000
1,1,64,100.00000E-003,523.37300E-006,11.86085E+000,14.99970E-003,453.40600E-009,11.86085E+000
1,1,65,100.00000E-003,520.43400E-006,11.97054E+000,19.99960E-003,459.14600E-009,11.97054E+000
1,1,66,100.00000E-003,517.53100E-006,12.07994E+000,25.00060E-003,468.93400E-009,12.07994E+000
1,1,67,100.00000E-003,514.59200E-006,12.18936E+000,29.99870E-003,475.29100E-009,12.18936E+000
1,1,68,100.00000E-003,511.63800E-006,12.31042E+000,34.99930E-003,469.08900E-009,12.31042E+000
1,1,69,100.00000E-003,508.74100E-006,12.41981E+000,39.99970E-003,479.93400E-009,12.41981E+000
1,1,70,100.00000E-003,505.79300E-006,12.52930E+000,45.00010E-003,490.67200E-009,12.52930E+000
1,1,71,100.00000E-003,502.84200E-006,12.63877E+000,49.99880E-003,506.08700E-009,12.63877E+000
1,1,72,100.00000E-003,499.89500E-006,12.75242E+000,55.00010E-003,507.73400E-009,12.75242E+000
1,1,73,100.00000E-003,496.94900E-006,12.86633E+000,60.00050E-003,535.02900E-009,12.86633E+000
1,1,74,100.00000E-003,494.02500E-006,12.97671E+000,64.99870E-003,560.13000E-009,12.97671E+000
1,1,75,100.00000E-003,491.05500E-006,13.08610E+000,69.99960E-003,570.74100E-009,13.08610E+000
1,1,76,100.00000E-003,488.13000E-006,13.19549E+000,75.00020E-003,562.09000E-009,13.19549E+000
1,1,77,100.00000E-003,485.14900E-006,13.31585E+000,80.00040E-003,520.17000E-009,13.31585E+000
1,1,78,100.00000E-003,482.23600E-006,13.42530E+000,84.99860E-003,525.34700E-009,13.42530E+000
1,1,79,100.00000E-003,479.29200E-006,13.53499E+000,89.99980E-003,527.29000E-009,13.53499E+000
1,1,80,100.00000E-003,476.32700E-006,13.64443E+000,94.99940E-003,536.94400E-009,13.64443E+000
1,1,81,100.00000E-003,473.37300E-006,13.75381E+000,99.99900E-003,538.55400E-009,13.75381E+000
1,1,82,100.00000E-003,470.41800E-006,13.87055E+000,104.99830E-003,538.82700E-009,13.87055E+000
1,1,83,100.00000E-003,467.46400E-006,13.98042E+000,110.00070E-003,546.63800E-009,13.98042E+000
1,1,84,100.00000E-003,464.50200E-006,14.09524E+000,115.00790E-003,532.30100E-009,14.09524E+000
1,1,85,100.00000E-003,461.56500E-006,14.20459E+000,119.99800E-003,552.61100E-009,14.20459E+000
1,1,86,100.00000E-003,458.64600E-006,14.31797E+000,124.99910E-003,552.30600E-009,14.31797E+000
1,1,87,100.00000E-003,455.72700E-006,14.42739E+000,129.99960E-003,564.44400E-009,14.42739E+000
1,1,88,100.00000E-003,452.79200E-006,14.53679E+000,134.99860E-003,567.85300E-009,14.53679E+000
1,1,89,100.00000E-003,449.85400E-006,14.64619E+000,139.99990E-003,577.15600E-009,14.64619E+000
1,1,90,100.00000E-003,446.97700E-006,14.75557E+000,144.99810E-003,581.86600E-009,14.75557E+000
1,1,91,99.99990E-003,444.04500E-006,14.87550E+000,149.99870E-003,584.29600E-009,14.87550E+000
1,1,92,100.00000E-003,441.14200E-006,14.98523E+000,154.99870E-003,589.06500E-009,14.98523E+000
1,1,93,100.00000E-003,438.25200E-006,15.09210E+000,160.00020E-003,588.61000E-009,15.09210E+000
1,1,94,100.00000E-003,435.36900E-006,15.20283E+000,164.99870E-003,606.42400E-009,15.20283E+000
1,1,95,100.00000E-003,432.53400E-006,15.32130E+000,169.99770E-003,606.06100E-009,15.32130E+000
1,1,96,100.00000E-003,429.68000E-006,15.42818E+000,175.00030E-003,611.96000E-009,15.42818E+000
1,1,97,100.00000E-003,426.85800E-006,15.53758E+000,179.99800E-003,634.88000E-009,15.53758E+000
1,1,98,100.00000E-003,424.02700E-006,15.64700E+000,184.99940E-003,649.31800E-009,15.64700E+000
