Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,209.27000E-006,184.63000E-003,-300.00000E-003,-112.70000E-009,184.63000E-003
1,1,2,100.00000E-003,208.54900E-006,304.64200E-003,-294.89400E-003,-15.20260E-009,304.64200E-003
1,1,3,100.00000E-003,207.85900E-006,426.84000E-003,-289.98100E-003,34.90830E-009,426.84000E-003
1,1,4,100.00000E-003,207.19500E-006,555.84000E-003,-285.04500E-003,55.57060E-009,555.84000E-003
1,1,5,100.00000E-003,206.51500E-006,786.17600E-003,-280.00000E-003,-2.72000E-009,786.17600E-003
1,1,6,100.00000E-003,205.82100E-006,1.01657E+000,-275.00000E-003,4.39000E-009,1.01657E+000
1,1,7,100.00000E-003,205.10200E-006,1.26664E+000,-270.00000E-003,9.25000E-009,1.26664E+000
1,1,8,100.00000E-003,204.39200E-006,1.49798E+000,-265.00000E-003,26.43000E-009,1.49798E+000
1,1,9,100.00000E-003,203.66200E-006,1.72670E+000,-260.00000E-003,44.72000E-009,1.72670E+000
1,1,10,100.00000E-003,202.92500E-006,1.95646E+000,-255.00100E-003,46.24000E-009,1.95646E+000
1,1,11,100.00000E-003,202.19600E-006,2.18530E+000,-250.00000E-003,45.68000E-009,2.18530E+000
1,1,12,100.00000E-003,201.44900E-006,2.41421E+000,-245.00000E-003,57.72000E-009,2.41421E+000
1,1,13,100.00000E-003,200.68000E-006,2.64426E+000,-240.00000E-003,73.26000E-009,2.64426E+000
1,1,14,100.00000E-003,199.90500E-006,2.90448E+000,-235.00000E-003,62.21000E-009,2.90448E+000
1,1,15,100.00000E-003,199.11400E-006,3.13483E+000,-230.00100E-003,73.15000E-009,3.13483E+000
1,1,16,100.00000E-003,198.31500E-006,3.40200E+000,-225.00100E-003,87.28000E-009,3.40200E+000
1,1,17,100.00000E-003,197.54200E-006,3.63186E+000,-220.00200E-003,90.93000E-009,3.63186E+000
1,1,18,100.00000E-003,196.73400E-006,3.87855E+000,-215.00000E-003,97.11000E-009,3.87855E+000
1,1,19,100.00000E-003,195.94000E-006,4.10966E+000,-210.00000E-003,109.37000E-009,4.10966E+000
1,1,20,100.00000E-003,195.11800E-006,4.34192E+000,-205.00020E-003,113.38000E-009,4.34192E+000
1,1,21,100.00000E-003,194.30800E-006,4.57087E+000,-200.00140E-003,113.38000E-009,4.57087E+000
1,1,22,100.00000E-003,193.47100E-006,4.79952E+000,-195.00050E-003,121.12000E-009,4.79952E+000
1,1,23,100.00000E-003,192.64100E-006,5.03051E+000,-190.00080E-003,128.32000E-009,5.03051E+000
1,1,24,100.00000E-003,191.78200E-006,5.28669E+000,-184.99990E-003,134.13000E-009,5.28669E+000
1,1,25,100.00000E-003,190.93300E-006,5.51684E+000,-180.00050E-003,133.83000E-009,5.51684E+000
1,1,26,100.00000E-003,190.07200E-006,5.74550E+000,-174.99950E-003,142.22000E-009,5.74550E+000
1,1,27,100.00000E-003,189.21200E-006,5.97529E+000,-170.00000E-003,150.97000E-009,5.97529E+000
1,1,28,100.00000E-003,188.33200E-006,6.20389E+000,-165.00070E-003,148.05000E-009,6.20389E+000
1,1,29,100.00000E-003,187.44100E-006,6.43271E+000,-160.00100E-003,155.52000E-009,6.43271E+000
1,1,30,100.00000E-003,186.56400E-006,6.66252E+000,-154.99980E-003,163.32000E-009,6.66252E+000
1,1,31,100.00000E-003,185.67100E-006,6.92235E+000,-150.00020E-003,152.85000E-009,6.92235E+000
1,1,32,100.00000E-003,184.78200E-006,7.15216E+000,-145.00070E-003,161.48000E-009,7.15216E+000
1,1,33,100.00000E-003,183.84800E-006,7.41561E+000,-140.00080E-003,160.87000E-009,7.41561E+000
1,1,34,100.00000E-003,182.93400E-006,7.64460E+000,-134.99950E-003,169.37000E-009,7.64460E+000
