Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,497.68900E-006,76.10400E-003,-299.92900E-003,-52.41670E-009,76.10400E-003
1,1,2,100.00000E-003,496.28600E-006,196.26800E-003,-294.95000E-003,726.90000E-012,196.26800E-003
1,1,3,100.00000E-003,494.84200E-006,315.93200E-003,-289.95900E-003,27.30590E-009,315.93200E-003
1,1,4,100.00000E-003,493.37300E-006,438.06600E-003,-284.98300E-003,42.13820E-009,438.06600E-003
1,1,5,100.00000E-003,491.86800E-006,560.18500E-003,-280.03100E-003,53.70910E-009,560.18500E-003
1,1,6,100.00000E-003,490.28600E-006,684.96200E-003,-275.00500E-003,68.19510E-009,684.96200E-003
1,1,7,100.00000E-003,488.72800E-006,807.59700E-003,-270.04700E-003,76.83970E-009,807.59700E-003
1,1,8,100.00000E-003,487.19900E-006,1.03629E+000,-265.00000E-003,34.94000E-009,1.03629E+000
1,1,9,100.00000E-003,485.62300E-006,1.18478E+000,-260.02800E-003,71.28340E-009,1.18478E+000
1,1,10,100.00000E-003,484.10100E-006,1.41340E+000,-255.00100E-003,36.51000E-009,1.41340E+000
1,1,11,100.00000E-003,482.47900E-006,1.66766E+000,-250.00000E-003,37.99000E-009,1.66766E+000
1,1,12,100.00000E-003,480.94400E-006,1.89327E+000,-245.00100E-003,38.03000E-009,1.89327E+000
1,1,13,100.00000E-003,479.32500E-006,2.11878E+000,-240.00000E-003,47.31000E-009,2.11878E+000
1,1,14,100.00000E-003,477.79800E-006,2.34818E+000,-235.00000E-003,47.11000E-009,2.34818E+000
1,1,15,100.00000E-003,476.13900E-006,2.57537E+000,-230.00100E-003,48.73000E-009,2.57537E+000
1,1,16,100.00000E-003,474.52900E-006,2.80539E+000,-225.00000E-003,55.93000E-009,2.80539E+000
1,1,17,100.00000E-003,472.86900E-006,3.03114E+000,-220.00100E-003,57.63000E-009,3.03114E+000
1,1,18,100.00000E-003,471.13000E-006,3.29192E+000,-215.00100E-003,56.05000E-009,3.29192E+000
1,1,19,99.99990E-003,469.51700E-006,3.51786E+000,-210.00020E-003,65.23000E-009,3.51786E+000
1,1,20,100.00000E-003,467.76000E-006,3.74390E+000,-205.00090E-003,63.78000E-009,3.74390E+000
1,1,21,100.00000E-003,465.98000E-006,3.96948E+000,-199.99990E-003,75.19000E-009,3.96948E+000
1,1,22,100.00000E-003,464.17400E-006,4.17933E+000,-195.00490E-003,73.42400E-009,4.17933E+000
1,1,23,100.00000E-003,462.32700E-006,4.40805E+000,-190.00080E-003,78.01000E-009,4.40805E+000
1,1,24,100.00000E-003,460.58300E-006,4.63356E+000,-185.00020E-003,85.60000E-009,4.63356E+000
1,1,25,100.00000E-003,458.81800E-006,4.85921E+000,-180.00080E-003,84.86000E-009,4.85921E+000
1,1,26,100.00000E-003,456.94700E-006,5.08484E+000,-175.00030E-003,93.88000E-009,5.08484E+000
1,1,27,100.00000E-003,454.99600E-006,5.31240E+000,-170.00120E-003,93.40000E-009,5.31240E+000
1,1,28,100.00000E-003,453.00600E-006,5.53796E+000,-165.00020E-003,100.76000E-009,5.53796E+000
