Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,606.55200E-006,77.37400E-003,-299.90000E-003,-78.35790E-009,77.37400E-003
1,1,2,100.00000E-003,604.55100E-006,200.23900E-003,-294.94000E-003,-14.62380E-009,200.23900E-003
1,1,3,100.00000E-003,602.80600E-006,322.35000E-003,-289.93500E-003,22.26480E-009,322.35000E-003
1,1,4,100.00000E-003,601.08400E-006,444.46600E-003,-284.99300E-003,43.40110E-009,444.46600E-003
1,1,5,99.99990E-003,599.31000E-006,566.57000E-003,-280.01900E-003,64.89890E-009,566.57000E-003
1,1,6,100.00000E-003,597.45200E-006,693.16700E-003,-275.02000E-003,81.08370E-009,693.16700E-003
1,1,7,100.00000E-003,595.62300E-006,922.06600E-003,-270.00000E-003,37.19000E-009,922.06600E-003
1,1,8,100.00000E-003,593.41900E-006,1.17435E+000,-265.00000E-003,36.61000E-009,1.17435E+000
1,1,9,100.00000E-003,591.21300E-006,1.39988E+000,-260.00100E-003,38.25000E-009,1.39988E+000
1,1,10,100.00000E-003,589.08400E-006,1.62696E+000,-255.00000E-003,50.19000E-009,1.62696E+000
1,1,11,100.00000E-003,586.97900E-006,1.85282E+000,-250.00100E-003,52.95000E-009,1.85282E+000
1,1,12,100.00000E-003,584.80600E-006,2.07841E+000,-245.00100E-003,59.85000E-009,2.07841E+000
1,1,13,100.00000E-003,582.42100E-006,2.30523E+000,-240.00000E-003,69.29000E-009,2.30523E+000
1,1,14,100.00000E-003,579.79900E-006,2.53119E+000,-235.00100E-003,68.65000E-009,2.53119E+000
1,1,15,100.00000E-003,577.26900E-006,2.79093E+000,-230.00000E-003,76.21000E-009,2.79093E+000
1,1,16,100.00000E-003,574.76500E-006,3.02170E+000,-225.00000E-003,84.98000E-009,3.02170E+000
1,1,17,100.00000E-003,572.49400E-006,3.26931E+000,-220.00100E-003,83.57000E-009,3.26931E+000
1,1,18,100.00000E-003,570.54600E-006,3.49602E+000,-215.00100E-003,92.71000E-009,3.49602E+000
1,1,19,100.00000E-003,568.60300E-006,3.72907E+000,-210.00090E-003,94.70000E-009,3.72907E+000
1,1,20,100.00000E-003,566.39800E-006,3.95459E+000,-205.00040E-003,105.99000E-009,3.95459E+000
1,1,21,100.00000E-003,564.20800E-006,4.18064E+000,-200.00130E-003,108.80000E-009,4.18064E+000
1,1,22,100.00000E-003,562.02800E-006,4.40615E+000,-195.00020E-003,119.77000E-009,4.40615E+000
1,1,23,100.00000E-003,559.77600E-006,4.63179E+000,-190.00130E-003,121.55000E-009,4.63179E+000
1,1,24,100.00000E-003,557.71800E-006,4.85741E+000,-185.00030E-003,131.88000E-009,4.85741E+000
1,1,25,100.00000E-003,555.71400E-006,5.08296E+000,-180.00130E-003,133.00000E-009,5.08296E+000
1,1,26,100.00000E-003,553.45100E-006,5.30893E+000,-175.00060E-003,141.83000E-009,5.30893E+000
1,1,27,100.00000E-003,551.25700E-006,5.53459E+000,-170.00110E-003,145.31000E-009,5.53459E+000
1,1,28,100.00000E-003,549.01700E-006,5.78418E+000,-165.00130E-003,148.19000E-009,5.78418E+000
1,1,29,100.00000E-003,546.65600E-006,6.01009E+000,-160.00090E-003,157.17000E-009,6.01009E+000
1,1,30,100.00000E-003,544.24000E-006,6.23845E+000,-155.00120E-003,166.91000E-009,6.23845E+000
1,1,31,100.00000E-003,541.81400E-006,6.46563E+000,-150.00130E-003,169.21000E-009,6.46563E+000
1,1,32,100.00000E-003,539.34000E-006,6.69126E+000,-145.00100E-003,178.36000E-009,6.69126E+000
1,1,33,100.00000E-003,536.82100E-006,6.91688E+000,-140.00150E-003,181.32000E-009,6.91688E+000
1,1,34,100.00000E-003,534.32100E-006,7.14338E+000,-135.00090E-003,189.34000E-009,7.14338E+000
1,1,35,100.00000E-003,531.88400E-006,7.24974E+000,-129.99900E-003,252.35000E-009,7.24974E+000
1,1,36,100.00000E-003,529.27400E-006,7.47864E+000,-125.00130E-003,217.04000E-009,7.47864E+000
1,1,37,100.00000E-003,526.71700E-006,7.68438E+000,-119.99950E-003,234.48800E-009,7.68438E+000
1,1,38,100.00000E-003,524.15800E-006,7.79609E+000,-114.99580E-003,273.37800E-009,7.79609E+000
1,1,39,100.00000E-003,521.56200E-006,8.02754E+000,-110.00130E-003,245.40000E-009,8.02754E+000
1,1,40,100.00000E-003,518.97900E-006,8.13383E+000,-104.99920E-003,301.70200E-009,8.13383E+000
1,1,41,100.00000E-003,516.35700E-006,8.24628E+000,-99.99980E-003,323.84900E-009,8.24628E+000
1,1,42,100.00000E-003,513.69400E-006,8.35613E+000,-94.99790E-003,342.66900E-009,8.35613E+000
1,1,43,100.00000E-003,510.98100E-006,8.46550E+000,-89.99880E-003,362.23000E-009,8.46550E+000
1,1,44,100.00000E-003,508.19100E-006,8.57489E+000,-84.99900E-003,375.30200E-009,8.57489E+000
