Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,502.37100E-006,134.80400E-003,-299.98200E-003,-357.80400E-009,134.80400E-003
1,1,2,100.00000E-003,500.69900E-006,364.11100E-003,-294.99800E-003,-234.87000E-009,364.11100E-003
1,1,3,100.00000E-003,499.04600E-006,590.14100E-003,-289.99900E-003,-192.67000E-009,590.14100E-003
1,1,4,100.00000E-003,497.30900E-006,847.35200E-003,-284.99900E-003,-163.20000E-009,847.35200E-003
1,1,5,100.00000E-003,495.56300E-006,1.07120E+000,-280.00000E-003,-136.74000E-009,1.07120E+000
1,1,6,100.00000E-003,493.82400E-006,1.31993E+000,-275.00000E-003,-116.18000E-009,1.31993E+000
1,1,7,100.00000E-003,491.94800E-006,1.43768E+000,-269.87400E-003,-39.08210E-009,1.43768E+000
1,1,8,100.00000E-003,490.13100E-006,1.55747E+000,-264.91700E-003,12.36290E-009,1.55747E+000
1,1,9,100.00000E-003,488.34300E-006,1.67962E+000,-259.96100E-003,41.72540E-009,1.67962E+000
1,1,10,100.00000E-003,486.53400E-006,1.80176E+000,-255.02800E-003,63.13760E-009,1.80176E+000
1,1,11,100.00000E-003,484.77600E-006,2.03042E+000,-250.00000E-003,-1.81000E-009,2.03042E+000
1,1,12,99.99990E-003,482.87800E-006,2.15127E+000,-245.05900E-003,76.78330E-009,2.15127E+000
1,1,13,100.00000E-003,481.00900E-006,2.39778E+000,-240.00000E-003,16.19000E-009,2.39778E+000
1,1,14,100.00000E-003,479.11800E-006,2.62424E+000,-235.00000E-003,18.29000E-009,2.62424E+000
1,1,15,100.00000E-003,477.20000E-006,2.85520E+000,-230.00100E-003,20.80000E-009,2.85520E+000
1,1,16,100.00000E-003,475.28700E-006,3.08087E+000,-225.00000E-003,35.13000E-009,3.08087E+000
1,1,17,100.00000E-003,473.39600E-006,3.32523E+000,-220.00100E-003,36.86000E-009,3.32523E+000
1,1,18,100.00000E-003,471.43200E-006,3.55276E+000,-215.00000E-003,49.50000E-009,3.55276E+000
1,1,19,100.00000E-003,469.51300E-006,3.78536E+000,-210.00060E-003,51.50000E-009,3.78536E+000
1,1,20,100.00000E-003,467.59700E-006,4.01091E+000,-205.00010E-003,66.01000E-009,4.01091E+000
1,1,21,100.00000E-003,465.61600E-006,4.23652E+000,-200.00090E-003,70.65000E-009,4.23652E+000
1,1,22,99.99990E-003,463.61800E-006,4.46309E+000,-195.00030E-003,84.13000E-009,4.46309E+000
1,1,23,100.00000E-003,461.64000E-006,4.68870E+000,-190.00090E-003,88.58000E-009,4.68870E+000
1,1,24,100.00000E-003,459.54500E-006,4.91595E+000,-185.00070E-003,98.41000E-009,4.91595E+000
1,1,25,100.00000E-003,457.57400E-006,5.14287E+000,-180.00040E-003,107.16000E-009,5.14287E+000
1,1,26,100.00000E-003,455.53700E-006,5.36864E+000,-175.00100E-003,113.27000E-009,5.36864E+000
