Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,531.85300E-006,186.15100E-003,-300.00000E-003,-137.41000E-009,186.15100E-003
1,1,2,100.00000E-003,530.07300E-006,303.36700E-003,-294.87300E-003,-64.12040E-009,303.36700E-003
1,1,3,100.00000E-003,528.42300E-006,422.99600E-003,-289.89300E-003,-6.36520E-009,422.99600E-003
1,1,4,100.00000E-003,526.78100E-006,542.65900E-003,-284.92800E-003,34.06480E-009,542.65900E-003
1,1,5,100.00000E-003,525.09700E-006,664.74300E-003,-279.99300E-003,62.51630E-009,664.74300E-003
1,1,6,100.00000E-003,523.39000E-006,797.01700E-003,-275.01200E-003,81.78870E-009,797.01700E-003
1,1,7,100.00000E-003,521.72800E-006,1.02557E+000,-270.00000E-003,34.58000E-009,1.02557E+000
1,1,8,100.00000E-003,520.09300E-006,1.26904E+000,-265.00100E-003,35.73000E-009,1.26904E+000
1,1,9,100.00000E-003,518.43200E-006,1.49457E+000,-260.00000E-003,48.43000E-009,1.49457E+000
1,1,10,100.00000E-003,516.84400E-006,1.72011E+000,-255.00100E-003,55.15000E-009,1.72011E+000
1,1,11,100.00000E-003,515.22700E-006,1.95387E+000,-250.00200E-003,64.14000E-009,1.95387E+000
1,1,12,100.00000E-003,513.54800E-006,2.17939E+000,-245.00000E-003,78.16000E-009,2.17939E+000
1,1,13,100.00000E-003,511.79400E-006,2.40653E+000,-240.00100E-003,86.38000E-009,2.40653E+000
1,1,14,100.00000E-003,509.94800E-006,2.63247E+000,-235.00100E-003,95.73000E-009,2.63247E+000
1,1,15,100.00000E-003,508.07900E-006,2.87892E+000,-230.00100E-003,103.63000E-009,2.87892E+000
1,1,16,100.00000E-003,506.20900E-006,2.98527E+000,-224.99800E-003,174.16900E-009,2.98527E+000
1,1,17,100.00000E-003,504.31900E-006,3.21398E+000,-220.00100E-003,141.43000E-009,3.21398E+000
1,1,18,100.00000E-003,502.41400E-006,3.44988E+000,-215.00200E-003,142.10000E-009,3.44988E+000
1,1,19,100.00000E-003,500.51700E-006,3.55621E+000,-209.99730E-003,210.26700E-009,3.55621E+000
1,1,20,100.00000E-003,498.56200E-006,3.66553E+000,-204.99740E-003,242.06200E-009,3.66553E+000
1,1,21,100.00000E-003,496.59200E-006,3.91353E+000,-200.00110E-003,188.27000E-009,3.91353E+000
1,1,22,100.00000E-003,494.65200E-006,4.01983E+000,-194.99790E-003,255.81000E-009,4.01983E+000
