Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,799.04000E-006,64.33700E-003,-300.00100E-003,-986.30000E-009,64.33700E-003
1,1,2,100.00000E-003,794.98400E-006,174.09600E-003,-293.99000E-003,-772.06600E-009,174.09600E-003
1,1,3,100.00000E-003,790.95700E-006,283.53100E-003,-287.99300E-003,-628.42800E-009,283.53100E-003
1,1,4,100.00000E-003,786.78400E-006,512.14800E-003,-281.99800E-003,-670.54000E-009,512.14800E-003
1,1,5,100.00000E-003,782.70100E-006,655.19700E-003,-275.99300E-003,-559.54800E-009,655.19700E-003
1,1,6,100.00000E-003,778.51500E-006,883.81500E-003,-269.99800E-003,-557.46000E-009,883.81500E-003
1,1,7,100.00000E-003,774.21700E-006,1.11260E+000,-263.99800E-003,-519.86000E-009,1.11260E+000
1,1,8,99.99990E-003,770.00200E-006,1.34148E+000,-257.99800E-003,-480.94000E-009,1.34148E+000
1,1,9,100.00000E-003,765.77400E-006,1.57078E+000,-251.99800E-003,-447.34000E-009,1.57078E+000
1,1,10,100.00000E-003,761.55800E-006,1.77621E+000,-245.99300E-003,-490.79600E-009,1.77621E+000
1,1,11,100.00000E-003,757.22300E-006,1.95324E+000,-239.98400E-003,-385.75400E-009,1.95324E+000
1,1,12,99.99990E-003,752.88100E-006,2.16434E+000,-233.99800E-003,-345.17800E-009,2.16434E+000
1,1,13,100.00000E-003,748.59500E-006,2.34178E+000,-227.98400E-003,-269.89000E-009,2.34178E+000
1,1,14,100.00000E-003,744.28600E-006,2.51872E+000,-221.97800E-003,-194.78500E-009,2.51872E+000
1,1,15,100.00000E-003,739.83700E-006,2.73480E+000,-215.97900E-003,-196.04700E-009,2.73480E+000
1,1,16,100.00000E-003,735.54800E-006,2.96320E+000,-209.99980E-003,-215.83000E-009,2.96320E+000
1,1,17,100.00000E-003,731.18100E-006,3.16410E+000,-204.01170E-003,-213.87500E-009,3.16410E+000
1,1,18,100.00000E-003,726.70900E-006,3.33864E+000,-197.98470E-003,-111.80700E-009,3.33864E+000
1,1,19,100.00000E-003,722.07300E-006,3.46077E+000,-191.86790E-003,-17.25080E-009,3.46077E+000
1,1,20,100.00000E-003,717.66900E-006,3.58286E+000,-185.99560E-003,46.59280E-009,3.58286E+000
1,1,21,100.00000E-003,713.30600E-006,3.71311E+000,-179.99690E-003,55.54300E-009,3.71311E+000
1,1,22,100.00000E-003,708.61900E-006,3.94283E+000,-173.99980E-003,-30.16000E-009,3.94283E+000
1,1,23,100.00000E-003,704.08100E-006,4.17139E+000,-168.00000E-003,-29.11000E-009,4.17139E+000
1,1,24,100.00000E-003,699.47700E-006,4.40085E+000,-162.00010E-003,-32.00000E-009,4.40085E+000
1,1,25,100.00000E-003,694.88300E-006,4.66768E+000,-156.00000E-003,-42.33000E-009,4.66768E+000
