Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,669.88700E-006,63.93900E-003,-300.00100E-003,-1.43965E-006,63.93900E-003
1,1,2,100.00000E-003,669.75600E-006,171.17900E-003,-294.00000E-003,-1.17503E-006,171.17900E-003
1,1,3,100.00000E-003,669.59300E-006,278.06100E-003,-288.00000E-003,-1.01252E-006,278.06100E-003
1,1,4,100.00000E-003,669.45900E-006,441.07700E-003,-281.99800E-003,-973.19000E-009,441.07700E-003
1,1,5,99.99990E-003,669.24900E-006,550.45600E-003,-275.99200E-003,-837.10400E-009,550.45600E-003
1,1,6,100.00000E-003,669.05000E-006,663.62000E-003,-269.99000E-003,-740.33500E-009,663.62000E-003
1,1,7,100.00000E-003,668.86500E-006,773.05200E-003,-263.99200E-003,-642.84800E-009,773.05200E-003
1,1,8,100.00000E-003,668.59600E-006,1.00524E+000,-258.00100E-003,-741.18000E-009,1.00524E+000
1,1,9,100.00000E-003,668.47000E-006,1.11457E+000,-251.99200E-003,-579.70300E-009,1.11457E+000
1,1,10,100.00000E-003,668.25700E-006,1.22386E+000,-245.99300E-003,-479.39600E-009,1.22386E+000
1,1,11,100.00000E-003,668.06100E-006,1.45421E+000,-239.99900E-003,-555.55000E-009,1.45421E+000
1,1,12,100.00000E-003,667.80300E-006,1.70803E+000,-233.99900E-003,-565.15000E-009,1.70803E+000
1,1,13,100.00000E-003,667.69300E-006,1.93876E+000,-227.99900E-003,-522.57000E-009,1.93876E+000
1,1,14,100.00000E-003,667.50600E-006,2.16864E+000,-221.99900E-003,-477.70000E-009,2.16864E+000
1,1,15,99.99990E-003,667.25600E-006,2.39884E+000,-215.99900E-003,-442.26000E-009,2.39884E+000
1,1,16,100.00000E-003,667.00900E-006,2.57638E+000,-209.98850E-003,-466.93400E-009,2.57638E+000
1,1,17,100.00000E-003,666.83500E-006,2.77576E+000,-203.98480E-003,-382.14400E-009,2.77576E+000
1,1,18,100.00000E-003,666.57800E-006,2.95027E+000,-197.98540E-003,-297.64400E-009,2.95027E+000
1,1,19,100.00000E-003,666.40200E-006,3.16509E+000,-192.00540E-003,-296.62100E-009,3.16509E+000
1,1,20,100.00000E-003,666.20000E-006,3.34227E+000,-185.97750E-003,-184.52800E-009,3.34227E+000
1,1,21,100.00000E-003,665.95800E-006,3.56885E+000,-179.99970E-003,-219.68000E-009,3.56885E+000
1,1,22,100.00000E-003,665.77200E-006,3.74555E+000,-173.96630E-003,-164.89100E-009,3.74555E+000
1,1,23,99.99990E-003,665.55100E-006,3.86782E+000,-167.82040E-003,-37.93740E-009,3.86782E+000
1,1,24,100.00000E-003,665.28100E-006,3.98994E+000,-161.95880E-003,32.21300E-009,3.98994E+000
1,1,25,100.00000E-003,665.08400E-006,4.11204E+000,-156.07650E-003,79.86550E-009,4.11204E+000
1,1,26,100.00000E-003,664.94000E-006,4.34565E+000,-149.99970E-003,-32.16000E-009,4.34565E+000
1,1,27,100.00000E-003,664.64500E-006,4.57422E+000,-144.00010E-003,-42.57000E-009,4.57422E+000
1,1,28,99.99990E-003,664.35300E-006,4.80304E+000,-138.00010E-003,-40.10000E-009,4.80304E+000
1,1,29,100.00000E-003,664.02200E-006,5.03163E+000,-131.99970E-003,-21.56000E-009,5.03163E+000
1,1,30,100.00000E-003,663.83100E-006,5.18608E+000,-126.10000E-003,66.50590E-009,5.18608E+000
1,1,31,100.00000E-003,663.54300E-006,5.41469E+000,-119.99990E-003,28.56000E-009,5.41469E+000
1,1,32,100.00000E-003,663.34700E-006,5.66117E+000,-113.99980E-003,29.63000E-009,5.66117E+000
1,1,33,100.00000E-003,663.11500E-006,5.88997E+000,-108.00010E-003,36.48000E-009,5.88997E+000
1,1,34,100.00000E-003,662.84500E-006,6.11853E+000,-102.00000E-003,50.96000E-009,6.11853E+000
1,1,35,100.00000E-003,662.60600E-006,6.34728E+000,-95.99980E-003,73.90000E-009,6.34728E+000
1,1,36,100.00000E-003,662.34700E-006,6.57769E+000,-90.00010E-003,90.26000E-009,6.57769E+000
1,1,37,100.00000E-003,662.04300E-006,6.80673E+000,-84.00020E-003,98.88000E-009,6.80673E+000
1,1,38,100.00000E-003,661.72000E-006,7.03539E+000,-78.00020E-003,115.60000E-009,7.03539E+000
1,1,39,100.00000E-003,661.39900E-006,7.30108E+000,-72.00020E-003,112.56000E-009,7.30108E+000
1,1,40,100.00000E-003,661.20400E-006,7.48206E+000,-66.02350E-003,128.55700E-009,7.48206E+000
1,1,41,99.99990E-003,660.88100E-006,7.67486E+000,-59.98800E-003,249.70700E-009,7.67486E+000
1,1,42,99.99990E-003,660.58500E-006,7.78444E+000,-54.00180E-003,312.37800E-009,7.78444E+000
1,1,43,100.00000E-003,660.30600E-006,7.89498E+000,-47.99960E-003,374.48300E-009,7.89498E+000
1,1,44,100.00000E-003,660.07600E-006,8.00468E+000,-42.00160E-003,429.65400E-009,8.00468E+000
1,1,45,100.00000E-003,659.73900E-006,8.11414E+000,-36.00180E-003,473.04500E-009,8.11414E+000
1,1,46,100.00000E-003,659.47700E-006,8.22472E+000,-30.00100E-003,518.24800E-009,8.22472E+000
1,1,47,100.00000E-003,659.20200E-006,8.33406E+000,-24.00380E-003,557.64800E-009,8.33406E+000
1,1,48,100.00000E-003,658.92300E-006,8.44881E+000,-17.99660E-003,584.72500E-009,8.44881E+000
1,1,49,100.00000E-003,658.59800E-006,8.56027E+000,-11.99220E-003,623.39900E-009,8.56027E+000
1,1,50,100.00000E-003,658.30500E-006,8.68764E+000,-6.00440E-003,626.14500E-009,8.68764E+000
1,1,51,100.00000E-003,657.99300E-006,8.79459E+000,500.00000E-009,663.96000E-009,8.79459E+000
1,1,52,100.00000E-003,657.62300E-006,8.90156E+000,6.00060E-003,700.02000E-009,8.90156E+000
1,1,53,100.00000E-003,657.39200E-006,9.00841E+000,12.00040E-003,733.42000E-009,9.00841E+000
1,1,54,100.00000E-003,657.07500E-006,9.11701E+000,18.00040E-003,762.46000E-009,9.11701E+000
1,1,55,100.00000E-003,656.72700E-006,9.22790E+000,24.00030E-003,787.11000E-009,9.22790E+000
1,1,56,100.00000E-003,656.33400E-006,9.33644E+000,30.00030E-003,816.95000E-009,9.33644E+000
1,1,57,100.00000E-003,655.96200E-006,9.44340E+000,36.00060E-003,847.94000E-009,9.44340E+000
1,1,58,100.00000E-003,655.61900E-006,9.55024E+000,42.00070E-003,876.40000E-009,9.55024E+000
1,1,59,100.00000E-003,655.16000E-006,9.68474E+000,48.00040E-003,844.48000E-009,9.68474E+000
1,1,60,100.00000E-003,654.82200E-006,9.79167E+000,54.00050E-003,898.78000E-009,9.79167E+000
1,1,61,100.00000E-003,654.44800E-006,9.89851E+000,60.00060E-003,936.04000E-009,9.89851E+000
1,1,62,100.00000E-003,654.01400E-006,10.00693E+000,66.00040E-003,967.02000E-009,10.00693E+000
1,1,63,100.00000E-003,653.59400E-006,10.11378E+000,72.00060E-003,1.00614E-006,10.11378E+000
1,1,64,100.00000E-003,653.19800E-006,10.22840E+000,78.00060E-003,1.01181E-006,10.22840E+000
1,1,65,100.00000E-003,652.72200E-006,10.33532E+000,84.00080E-003,1.03965E-006,10.33532E+000
1,1,66,100.00000E-003,652.29700E-006,10.44216E+000,90.00070E-003,1.07287E-006,10.44216E+000
1,1,67,100.00000E-003,651.80500E-006,10.54901E+000,96.00070E-003,1.10297E-006,10.54901E+000
1,1,68,100.00000E-003,651.33200E-006,10.68771E+000,102.00050E-003,1.05987E-006,10.68771E+000
1,1,69,100.00000E-003,650.87400E-006,10.79467E+000,108.00070E-003,1.11627E-006,10.79467E+000
1,1,70,100.00000E-003,650.40800E-006,10.90320E+000,114.00080E-003,1.13904E-006,10.90320E+000
1,1,71,100.00000E-003,649.91800E-006,11.01351E+000,120.00040E-003,1.16115E-006,11.01351E+000
1,1,72,100.00000E-003,649.38300E-006,11.12183E+000,126.00030E-003,1.19615E-006,11.12183E+000
1,1,73,100.00000E-003,648.85100E-006,11.23146E+000,132.00030E-003,1.51936E-006,11.23146E+000
1,1,74,100.00000E-003,648.31700E-006,11.33858E+000,138.00130E-003,1.31857E-006,11.33858E+000
1,1,75,100.00000E-003,647.79000E-006,11.44673E+000,144.00090E-003,1.28527E-006,11.44673E+000
1,1,76,100.00000E-003,647.24100E-006,11.55368E+000,150.00070E-003,1.31753E-006,11.55368E+000
1,1,77,100.00000E-003,646.62700E-006,11.69296E+000,156.00030E-003,1.26686E-006,11.69296E+000
1,1,78,100.00000E-003,646.05100E-006,11.79989E+000,162.00070E-003,1.33573E-006,11.79989E+000
1,1,79,100.00000E-003,645.44100E-006,11.90674E+000,168.00060E-003,1.37788E-006,11.90674E+000
1,1,80,100.00000E-003,644.84000E-006,12.01359E+000,174.00040E-003,1.42546E-006,12.01359E+000
1,1,81,100.00000E-003,644.19000E-006,12.12072E+000,180.00060E-003,1.45836E-006,12.12072E+000
1,1,82,100.00000E-003,643.53500E-006,12.23583E+000,186.00050E-003,1.48494E-006,12.23583E+000
1,1,83,100.00000E-003,642.92100E-006,12.34270E+000,192.00070E-003,1.52917E-006,12.34270E+000
1,1,84,100.00000E-003,642.25500E-006,12.45051E+000,198.00090E-003,1.56874E-006,12.45051E+000
1,1,85,100.00000E-003,641.58300E-006,12.56453E+000,204.00060E-003,1.79857E-006,12.56453E+000
1,1,86,100.00000E-003,640.85300E-006,12.69430E+000,210.00190E-003,1.80049E-006,12.69430E+000
1,1,87,99.99990E-003,640.15200E-006,12.80128E+000,216.00100E-003,1.73331E-006,12.80128E+000
1,1,88,100.00000E-003,639.44100E-006,12.90836E+000,222.00100E-003,1.75050E-006,12.90836E+000
1,1,89,99.99990E-003,638.72400E-006,13.01522E+000,228.00100E-003,1.79552E-006,13.01522E+000
1,1,90,100.00000E-003,637.99500E-006,13.12215E+000,234.00100E-003,1.85888E-006,13.12215E+000
1,1,91,100.00000E-003,637.26000E-006,13.23814E+000,240.00100E-003,1.90526E-006,13.23814E+000
1,1,92,100.00000E-003,636.52400E-006,13.34504E+000,246.00100E-003,1.97713E-006,13.34504E+000
1,1,93,100.00000E-003,635.76000E-006,13.45193E+000,252.00100E-003,2.05189E-006,13.45193E+000
1,1,94,100.00000E-003,634.95500E-006,13.55876E+000,258.00100E-003,2.13178E-006,13.55876E+000
1,1,95,100.00000E-003,634.10700E-006,13.70443E+000,264.00100E-003,2.10109E-006,13.70443E+000
1,1,96,100.00000E-003,633.35000E-006,13.81159E+000,270.00100E-003,2.22663E-006,13.81159E+000
1,1,97,100.00000E-003,632.50100E-006,13.91891E+000,276.00100E-003,2.32791E-006,13.91891E+000
1,1,98,100.00000E-003,631.67500E-006,14.02576E+000,282.00100E-003,2.43675E-006,14.02576E+000
1,1,99,100.00000E-003,630.77200E-006,14.13266E+000,288.00100E-003,2.55338E-006,14.13266E+000
1,1,100,100.00000E-003,629.96800E-006,14.24313E+000,294.00100E-003,2.66424E-006,14.24313E+000
1,1,101,100.00000E-003,629.05700E-006,14.35024E+000,300.00100E-003,2.80048E-006,14.35024E+000
1,1,102,100.00000E-003,628.23000E-006,14.45712E+000,306.00100E-003,2.94630E-006,14.45712E+000
1,1,103,100.00000E-003,627.33200E-006,14.56397E+000,312.00100E-003,3.10337E-006,14.56397E+000
1,1,104,100.00000E-003,626.41300E-006,14.70258E+000,318.00100E-003,3.17419E-006,14.70258E+000
1,1,105,100.00000E-003,625.48200E-006,14.80952E+000,324.00100E-003,3.39273E-006,14.80952E+000
1,1,106,100.00000E-003,624.57800E-006,14.91637E+000,330.00100E-003,4.01435E-006,14.91637E+000
1,1,107,100.00000E-003,623.70200E-006,15.02493E+000,336.00100E-003,3.81501E-006,15.02493E+000
1,1,108,100.00000E-003,622.78100E-006,15.13189E+000,342.00100E-003,4.05878E-006,15.13189E+000
1,1,109,100.00000E-003,621.83900E-006,15.24417E+000,348.00200E-003,4.28491E-006,15.24417E+000
1,1,110,100.00000E-003,620.98900E-006,15.35337E+000,354.00000E-003,4.52194E-006,15.35337E+000
1,1,111,100.00000E-003,620.19600E-006,15.46025E+000,360.00200E-003,4.80333E-006,15.46025E+000
