Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,96.48550E-003,1.00000E-003,66.55700E-003,-299.98900E-003,-610.88500E-009,66.55700E-003
1,1,2,96.90960E-003,1.00000E-003,189.02500E-003,-293.88500E-003,-6.35890E-009,189.02500E-003
1,1,3,97.30600E-003,1.00000E-003,419.50300E-003,-288.00100E-003,-147.83000E-009,419.50300E-003
1,1,4,97.73210E-003,1.00000E-003,599.03700E-003,-282.01000E-003,-57.84300E-009,599.03700E-003
1,1,5,98.15260E-003,1.00000E-003,732.16800E-003,-275.99900E-003,368.84700E-009,732.16800E-003
1,1,6,98.57830E-003,999.99800E-006,841.55600E-003,-270.00400E-003,570.41100E-009,841.55600E-003
1,1,7,99.01580E-003,999.97700E-006,1.00269E+000,-264.00100E-003,445.64000E-009,1.00269E+000
1,1,8,99.43880E-003,999.85100E-006,1.16384E+000,-258.00200E-003,501.60000E-009,1.16384E+000
1,1,9,99.82590E-003,999.24000E-006,1.32514E+000,-252.00200E-003,586.35000E-009,1.32514E+000
1,1,10,99.99830E-003,996.35200E-006,1.48614E+000,-246.00300E-003,663.54000E-009,1.48614E+000
1,1,11,100.00000E-003,991.71300E-006,1.59307E+000,-239.99800E-003,1.00424E-006,1.59307E+000
1,1,12,100.00000E-003,986.87700E-006,1.70795E+000,-233.99800E-003,1.16302E-006,1.70795E+000
1,1,13,100.00000E-003,982.03800E-006,1.81486E+000,-227.99800E-003,1.30700E-006,1.81486E+000
1,1,14,100.00000E-003,977.28200E-006,1.92177E+000,-221.99800E-003,1.43309E-006,1.92177E+000
1,1,15,100.00000E-003,972.45800E-006,2.02864E+000,-215.99800E-003,1.53361E-006,2.02864E+000
1,1,16,100.00000E-003,967.60200E-006,2.17466E+000,-209.99900E-003,1.37036E-006,2.17466E+000
1,1,17,100.00000E-003,962.65800E-006,2.28335E+000,-203.99830E-003,1.59218E-006,2.28335E+000
1,1,18,100.00000E-003,957.74300E-006,2.39021E+000,-197.99750E-003,1.73325E-006,2.39021E+000
1,1,19,100.00000E-003,952.72200E-006,2.49712E+000,-191.99750E-003,1.82523E-006,2.49712E+000
1,1,20,100.00000E-003,947.70100E-006,2.60398E+000,-185.99720E-003,1.91086E-006,2.60398E+000
1,1,21,100.00000E-003,942.68500E-006,2.72000E+000,-179.99770E-003,1.95960E-006,2.72000E+000
1,1,22,100.00000E-003,937.53300E-006,2.82686E+000,-173.99750E-003,2.04669E-006,2.82686E+000
1,1,23,100.00000E-003,932.28100E-006,2.93365E+000,-167.99770E-003,2.11840E-006,2.93365E+000
1,1,24,100.00000E-003,927.13100E-006,3.04088E+000,-161.99720E-003,2.18790E-006,3.04088E+000
1,1,25,100.00000E-003,921.80600E-006,3.16737E+000,-155.99790E-003,2.11023E-006,3.16737E+000
1,1,26,100.00000E-003,916.47800E-006,3.27425E+000,-149.99700E-003,2.26583E-006,3.27425E+000
1,1,27,100.00000E-003,911.10300E-006,3.38109E+000,-143.99710E-003,2.34761E-006,3.38109E+000
1,1,28,100.00000E-003,905.67100E-006,3.48854E+000,-137.99710E-003,2.40996E-006,3.48854E+000
1,1,29,100.00000E-003,900.20700E-006,3.59702E+000,-131.99750E-003,2.46651E-006,3.59702E+000
1,1,30,100.00000E-003,894.71100E-006,3.71211E+000,-125.99720E-003,2.51096E-006,3.71211E+000
1,1,31,100.00000E-003,889.14900E-006,3.82463E+000,-119.99730E-003,2.55923E-006,3.82463E+000
1,1,32,100.00000E-003,883.55800E-006,3.93156E+000,-113.99670E-003,2.62618E-006,3.93156E+000
1,1,33,100.00000E-003,877.89300E-006,4.03841E+000,-107.99680E-003,2.67576E-006,4.03841E+000
1,1,34,100.00000E-003,872.11700E-006,4.17704E+000,-101.99910E-003,2.46852E-006,4.17704E+000
1,1,35,100.00000E-003,866.38300E-006,4.28629E+000,-95.99810E-003,2.62188E-006,4.28629E+000
