Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,99.45000E-003,999.84900E-006,118.63900E-003,-299.99800E-003,-751.27000E-009,118.63900E-003
1,1,2,99.62600E-003,999.68700E-006,345.34700E-003,-293.99900E-003,-516.26000E-009,345.34700E-003
1,1,3,99.81080E-003,999.29200E-006,467.56400E-003,-287.89700E-003,-3.84180E-009,467.56400E-003
1,1,4,99.91690E-003,998.75000E-006,590.71900E-003,-282.10800E-003,66.81150E-009,590.71900E-003
1,1,5,99.99680E-003,996.66800E-006,751.33000E-003,-276.00900E-003,21.95610E-009,751.33000E-003
1,1,6,100.00000E-003,994.12400E-006,930.13300E-003,-270.00800E-003,-122.61600E-009,930.13300E-003
1,1,7,100.00000E-003,991.28800E-006,1.10938E+000,-264.00700E-003,-52.81300E-009,1.10938E+000
1,1,8,100.00000E-003,987.90300E-006,1.30181E+000,-258.00900E-003,-36.93300E-009,1.30181E+000
1,1,9,100.00000E-003,984.57700E-006,1.41315E+000,-252.00000E-003,335.74600E-009,1.41315E+000
1,1,10,100.00000E-003,980.93700E-006,1.52263E+000,-246.00200E-003,469.36200E-009,1.52263E+000
1,1,11,100.00000E-003,977.34700E-006,1.63238E+000,-240.00200E-003,560.62200E-009,1.63238E+000
1,1,12,100.00000E-003,973.66300E-006,1.76299E+000,-233.99900E-003,588.86900E-009,1.76299E+000
1,1,13,100.00000E-003,969.87700E-006,1.92418E+000,-228.00100E-003,392.49000E-009,1.92418E+000
1,1,14,100.00000E-003,966.09100E-006,2.08527E+000,-222.00100E-003,405.86000E-009,2.08527E+000
1,1,15,100.00000E-003,962.35600E-006,2.22258E+000,-216.00700E-003,557.94300E-009,2.22258E+000
1,1,16,100.00000E-003,958.78700E-006,2.38722E+000,-210.00120E-003,489.90000E-009,2.38722E+000
1,1,17,100.00000E-003,955.24900E-006,2.54870E+000,-204.00160E-003,529.49000E-009,2.54870E+000
1,1,18,100.00000E-003,951.54700E-006,2.71594E+000,-198.00150E-003,548.91000E-009,2.71594E+000
1,1,19,100.00000E-003,947.59900E-006,2.87708E+000,-192.00150E-003,595.43000E-009,2.87708E+000
1,1,20,100.00000E-003,943.72300E-006,3.03817E+000,-186.00200E-003,642.44000E-009,3.03817E+000
1,1,21,100.00000E-003,939.62200E-006,3.14502E+000,-179.99890E-003,943.43000E-009,3.14502E+000
1,1,22,100.00000E-003,935.61800E-006,3.26300E+000,-173.99800E-003,1.05452E-006,3.26300E+000
1,1,23,100.00000E-003,931.40700E-006,3.37353E+000,-167.99900E-003,1.11788E-006,3.37353E+000
1,1,24,100.00000E-003,926.95500E-006,3.48037E+000,-161.99810E-003,1.24774E-006,3.48037E+000
1,1,25,100.00000E-003,922.00700E-006,3.58722E+000,-155.99810E-003,1.32003E-006,3.58722E+000
1,1,26,100.00000E-003,917.21900E-006,3.72015E+000,-149.99880E-003,1.26743E-006,3.72015E+000
