Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,485.35300E-006,63.68200E-003,-300.00200E-003,-2.04849E-006,63.68200E-003
1,1,2,100.00000E-003,484.07100E-006,170.92700E-003,-294.00000E-003,-1.51299E-006,170.92700E-003
1,1,3,100.00000E-003,482.85700E-006,277.81600E-003,-288.00000E-003,-1.19001E-006,277.81600E-003
1,1,4,100.00000E-003,481.73000E-006,439.00800E-003,-281.99600E-003,-1.10148E-006,439.00800E-003
1,1,5,100.00000E-003,480.49200E-006,548.48300E-003,-275.98500E-003,-812.77400E-009,548.48300E-003
1,1,6,100.00000E-003,479.41400E-006,780.25600E-003,-269.99600E-003,-937.25000E-009,780.25600E-003
1,1,7,100.00000E-003,478.28200E-006,1.01335E+000,-263.99800E-003,-835.81000E-009,1.01335E+000
1,1,8,100.00000E-003,477.04300E-006,1.15945E+000,-258.00000E-003,-566.55300E-009,1.15945E+000
1,1,9,100.00000E-003,475.88000E-006,1.33910E+000,-251.99000E-003,-602.83500E-009,1.33910E+000
1,1,10,100.00000E-003,474.67100E-006,1.51425E+000,-245.99000E-003,-398.92600E-009,1.51425E+000
1,1,11,100.00000E-003,473.49100E-006,1.72503E+000,-239.99100E-003,-363.68900E-009,1.72503E+000
1,1,12,100.00000E-003,472.10200E-006,1.84721E+000,-233.97200E-003,27.72500E-009,1.84721E+000
1,1,13,100.00000E-003,471.01800E-006,2.07580E+000,-228.00000E-003,-138.87000E-009,2.07580E+000
1,1,14,100.00000E-003,469.78800E-006,2.32691E+000,-222.00000E-003,-119.76000E-009,2.32691E+000
1,1,15,100.00000E-003,468.53700E-006,2.50387E+000,-216.01200E-003,-80.79600E-009,2.50387E+000
1,1,16,100.00000E-003,467.22100E-006,2.61329E+000,-210.00030E-003,314.63900E-009,2.61329E+000
1,1,17,100.00000E-003,465.91100E-006,2.72383E+000,-203.99920E-003,465.38000E-009,2.72383E+000
1,1,18,100.00000E-003,464.59400E-006,2.83697E+000,-197.99470E-003,607.94500E-009,2.83697E+000
1,1,19,100.00000E-003,463.29200E-006,2.94622E+000,-191.99920E-003,711.25000E-009,2.94622E+000
1,1,20,100.00000E-003,461.96800E-006,3.05312E+000,-185.99880E-003,831.75000E-009,3.05312E+000
1,1,21,100.00000E-003,460.62900E-006,3.16834E+000,-179.99870E-003,887.98000E-009,3.16834E+000
1,1,22,100.00000E-003,459.27600E-006,3.27562E+000,-173.99870E-003,1.00958E-006,3.27562E+000
1,1,23,100.00000E-003,457.90100E-006,3.38652E+000,-167.99910E-003,1.08252E-006,3.38652E+000
1,1,24,100.00000E-003,456.52700E-006,3.49724E+000,-161.99910E-003,1.16086E-006,3.49724E+000
1,1,25,100.00000E-003,455.14700E-006,3.60796E+000,-155.99840E-003,1.24517E-006,3.60796E+000
1,1,26,100.00000E-003,453.73500E-006,3.71972E+000,-149.99820E-003,1.33130E-006,3.71972E+000
1,1,27,100.00000E-003,452.30200E-006,3.82660E+000,-143.99820E-003,1.43043E-006,3.82660E+000
1,1,28,99.99990E-003,450.87300E-006,3.93352E+000,-137.99820E-003,1.50881E-006,3.93352E+000
1,1,29,100.00000E-003,449.41900E-006,4.04050E+000,-131.99800E-003,1.59182E-006,4.04050E+000
1,1,30,100.00000E-003,447.98000E-006,4.16724E+000,-125.99840E-003,1.55332E-006,4.16724E+000
1,1,31,99.99990E-003,446.46700E-006,4.27426E+000,-119.99830E-003,1.69762E-006,4.27426E+000
1,1,32,100.00000E-003,444.94300E-006,4.38113E+000,-113.99820E-003,1.79266E-006,4.38113E+000
1,1,33,100.00000E-003,443.42300E-006,4.48801E+000,-107.99810E-003,1.87676E-006,4.48801E+000
1,1,34,100.00000E-003,441.87500E-006,4.59488E+000,-101.99790E-003,1.95725E-006,4.59488E+000
1,1,35,100.00000E-003,440.28700E-006,4.71274E+000,-95.99820E-003,1.99690E-006,4.71274E+000
1,1,36,100.00000E-003,438.71700E-006,4.82140E+000,-89.99800E-003,2.07221E-006,4.82140E+000
1,1,37,99.99990E-003,437.10200E-006,4.92826E+000,-83.99750E-003,2.15100E-006,4.92826E+000
1,1,38,100.00000E-003,435.46800E-006,5.03511E+000,-77.99790E-003,2.21375E-006,5.03511E+000
1,1,39,100.00000E-003,433.82200E-006,5.17041E+000,-71.99820E-003,2.10023E-006,5.17041E+000
1,1,40,100.00000E-003,432.12400E-006,5.27731E+000,-65.99790E-003,2.25237E-006,5.27731E+000
1,1,41,100.00000E-003,430.43800E-006,5.38423E+000,-59.99770E-003,2.33284E-006,5.38423E+000
1,1,42,100.00000E-003,428.71000E-006,5.49261E+000,-53.99800E-003,2.38655E-006,5.49261E+000
1,1,43,100.00000E-003,426.96300E-006,5.59993E+000,-47.99790E-003,2.45021E-006,5.59993E+000
1,1,44,100.00000E-003,425.20100E-006,5.71639E+000,-41.99860E-003,2.45778E-006,5.71639E+000
1,1,45,100.00000E-003,423.39900E-006,5.82367E+000,-35.99750E-003,2.52853E-006,5.82367E+000
1,1,46,100.00000E-003,421.56000E-006,5.93057E+000,-29.99760E-003,2.57893E-006,5.93057E+000
1,1,47,100.00000E-003,419.70600E-006,6.03741E+000,-23.99760E-003,2.62196E-006,6.03741E+000
1,1,48,100.00000E-003,417.81300E-006,6.17351E+000,-17.99800E-003,2.47733E-006,6.17351E+000
1,1,49,100.00000E-003,415.88800E-006,6.28077E+000,-11.99770E-003,2.60604E-006,6.28077E+000
1,1,50,100.00000E-003,413.96000E-006,6.39192E+000,-5.99890E-003,2.61908E-006,6.39192E+000
1,1,51,100.00000E-003,411.97600E-006,6.50066E+000,1.20000E-006,2.67555E-006,6.50066E+000
1,1,52,99.99990E-003,409.95300E-006,6.60752E+000,6.00240E-003,2.74113E-006,6.60752E+000
1,1,53,100.00000E-003,407.93000E-006,6.71656E+000,12.00220E-003,2.76094E-006,6.71656E+000
1,1,54,100.00000E-003,405.87100E-006,6.82347E+000,18.00250E-003,2.79305E-006,6.82347E+000
1,1,55,99.99990E-003,403.79100E-006,6.93034E+000,24.00250E-003,2.81967E-006,6.93034E+000
1,1,56,100.00000E-003,401.67400E-006,7.03718E+000,30.00230E-003,2.84017E-006,7.03718E+000
1,1,57,100.00000E-003,399.48800E-006,7.17967E+000,36.00100E-003,2.64294E-006,7.17967E+000
1,1,58,99.99990E-003,397.27700E-006,7.28670E+000,42.00210E-003,2.76955E-006,7.28670E+000
1,1,59,100.00000E-003,395.07400E-006,7.39356E+000,48.00230E-003,2.82139E-006,7.39356E+000
1,1,60,100.00000E-003,392.83600E-006,7.50041E+000,54.00260E-003,2.84494E-006,7.50041E+000
1,1,61,100.00000E-003,390.55200E-006,7.60726E+000,60.00270E-003,2.87377E-006,7.60726E+000
1,1,62,100.00000E-003,388.25900E-006,7.72034E+000,66.00240E-003,2.87514E-006,7.72034E+000
1,1,63,100.00000E-003,385.91500E-006,7.82733E+000,72.00260E-003,2.89935E-006,7.82733E+000
1,1,64,100.00000E-003,383.55900E-006,7.93420E+000,78.00250E-003,2.91825E-006,7.93420E+000
1,1,65,100.00000E-003,381.17200E-006,8.04100E+000,84.00240E-003,2.93234E-006,8.04100E+000
1,1,66,100.00000E-003,378.69000E-006,8.17859E+000,90.00190E-003,2.75938E-006,8.17859E+000
1,1,67,100.00000E-003,376.22500E-006,8.28549E+000,96.00230E-003,2.86526E-006,8.28549E+000
1,1,68,100.00000E-003,373.71000E-006,8.39234E+000,102.00210E-003,2.90178E-006,8.39234E+000
1,1,69,100.00000E-003,371.20100E-006,8.49915E+000,108.00200E-003,2.92661E-006,8.49915E+000
1,1,70,100.00000E-003,368.65000E-006,8.60602E+000,114.00230E-003,2.95274E-006,8.60602E+000
1,1,71,100.00000E-003,366.03600E-006,8.72231E+000,120.00230E-003,2.94557E-006,8.72231E+000
1,1,72,100.00000E-003,363.41800E-006,8.82922E+000,126.00230E-003,2.96887E-006,8.82922E+000
1,1,73,100.00000E-003,360.77400E-006,8.93609E+000,132.00230E-003,2.99072E-006,8.93609E+000
1,1,74,100.00000E-003,358.11000E-006,9.04302E+000,138.00240E-003,3.01654E-006,9.04302E+000
1,1,75,100.00000E-003,355.35300E-006,9.18219E+000,144.00190E-003,2.85423E-006,9.18219E+000
1,1,76,100.00000E-003,352.62200E-006,9.28909E+000,150.00230E-003,2.97044E-006,9.28909E+000
1,1,77,100.00000E-003,349.88400E-006,9.39597E+000,156.00240E-003,3.03035E-006,9.39597E+000
1,1,78,100.00000E-003,347.09400E-006,9.50589E+000,162.00130E-003,3.04445E-006,9.50589E+000
1,1,79,100.00000E-003,344.30600E-006,9.61278E+000,168.00230E-003,3.11374E-006,9.61278E+000
1,1,80,100.00000E-003,341.48300E-006,9.72714E+000,174.00220E-003,3.14671E-006,9.72714E+000
1,1,81,100.00000E-003,338.64500E-006,9.83475E+000,180.00220E-003,3.20332E-006,9.83475E+000
1,1,82,100.00000E-003,335.78700E-006,9.94162E+000,186.00240E-003,3.27107E-006,9.94162E+000
1,1,83,100.00000E-003,332.89700E-006,10.04845E+000,192.00260E-003,3.33943E-006,10.04845E+000
1,1,84,99.99990E-003,329.95700E-006,10.18463E+000,198.00210E-003,3.23555E-006,10.18463E+000
1,1,85,100.00000E-003,327.05800E-006,10.29160E+000,204.00250E-003,3.40436E-006,10.29160E+000
