Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,494.95100E-006,64.67000E-003,-300.00200E-003,-3.68395E-006,64.67000E-003
1,1,2,100.00000E-003,492.67100E-006,171.95000E-003,-294.00100E-003,-3.25197E-006,171.95000E-003
1,1,3,100.00000E-003,490.36800E-006,278.79400E-003,-288.00100E-003,-2.99827E-006,278.79400E-003
1,1,4,100.00000E-003,488.08800E-006,386.05100E-003,-282.00100E-003,-2.80355E-006,386.05100E-003
1,1,5,100.00000E-003,485.78100E-006,492.96600E-003,-276.00000E-003,-2.64609E-006,492.96600E-003
1,1,6,100.00000E-003,483.45600E-006,600.95000E-003,-270.00100E-003,-2.51589E-006,600.95000E-003
1,1,7,100.00000E-003,481.17900E-006,710.14700E-003,-264.00000E-003,-2.39851E-006,710.14700E-003
1,1,8,100.00000E-003,478.87000E-006,817.60500E-003,-258.00100E-003,-2.28305E-006,817.60500E-003
1,1,9,100.00000E-003,476.56000E-006,924.53700E-003,-252.00100E-003,-2.17969E-006,924.53700E-003
1,1,10,100.00000E-003,474.27100E-006,1.03612E+000,-246.00000E-003,-2.10061E-006,1.03612E+000
1,1,11,100.00000E-003,471.97000E-006,1.15824E+000,-240.00000E-003,-2.06262E-006,1.15824E+000
1,1,12,100.00000E-003,469.61800E-006,1.26524E+000,-234.00000E-003,-1.93062E-006,1.26524E+000
1,1,13,100.00000E-003,467.29600E-006,1.37226E+000,-228.00000E-003,-1.83765E-006,1.37226E+000
1,1,14,100.00000E-003,465.00400E-006,1.47912E+000,-222.00000E-003,-1.74964E-006,1.47912E+000
1,1,15,100.00000E-003,462.65400E-006,1.58619E+000,-216.00000E-003,-1.66497E-006,1.58619E+000
1,1,16,100.00000E-003,460.35400E-006,1.70200E+000,-209.99970E-003,-1.60579E-006,1.70200E+000
1,1,17,99.99990E-003,457.97900E-006,1.80890E+000,-203.99970E-003,-1.51688E-006,1.80890E+000
1,1,18,100.00000E-003,455.62300E-006,1.91578E+000,-197.99980E-003,-1.43361E-006,1.91578E+000
1,1,19,100.00000E-003,453.27800E-006,2.02264E+000,-191.99970E-003,-1.34884E-006,2.02264E+000
1,1,20,100.00000E-003,450.89200E-006,2.16402E+000,-185.99980E-003,-1.40377E-006,2.16402E+000
1,1,21,100.00000E-003,448.50600E-006,2.27089E+000,-179.99970E-003,-1.24914E-006,2.27089E+000
1,1,22,100.00000E-003,446.10400E-006,2.37772E+000,-173.99970E-003,-1.14643E-006,2.37772E+000
