Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,585.18500E-006,133.86000E-003,-299.98900E-003,-181.03500E-009,133.86000E-003
1,1,2,100.00000E-003,582.21000E-006,362.84700E-003,-294.00000E-003,-2.90000E-009,362.84700E-003
1,1,3,100.00000E-003,579.52900E-006,472.31000E-003,-288.00000E-003,332.40800E-009,472.31000E-003
1,1,4,100.00000E-003,576.64900E-006,586.20800E-003,-281.99600E-003,483.26600E-009,586.20800E-003
1,1,5,100.00000E-003,573.69400E-006,739.32600E-003,-276.00200E-003,442.87700E-009,739.32600E-003
1,1,6,100.00000E-003,570.72700E-006,848.80900E-003,-270.00300E-003,644.90500E-009,848.80900E-003
1,1,7,100.00000E-003,567.77400E-006,955.65700E-003,-263.99900E-003,730.29000E-009,955.65700E-003
1,1,8,100.00000E-003,564.75900E-006,1.11978E+000,-258.00200E-003,573.38000E-009,1.11978E+000
1,1,9,100.00000E-003,561.84800E-006,1.22708E+000,-251.99900E-003,783.11000E-009,1.22708E+000
1,1,10,100.00000E-003,558.92700E-006,1.33425E+000,-245.99900E-003,871.69000E-009,1.33425E+000
1,1,11,100.00000E-003,555.97200E-006,1.44115E+000,-239.99800E-003,940.96000E-009,1.44115E+000
1,1,12,100.00000E-003,552.98500E-006,1.54866E+000,-233.99900E-003,997.82000E-009,1.54866E+000
1,1,13,100.00000E-003,549.99500E-006,1.65553E+000,-227.99900E-003,1.05116E-006,1.65553E+000
1,1,14,100.00000E-003,546.98000E-006,1.77148E+000,-221.99900E-003,1.08382E-006,1.77148E+000
1,1,15,100.00000E-003,544.05600E-006,1.87838E+000,-215.99900E-003,1.14062E-006,1.87838E+000
1,1,16,99.99990E-003,541.29500E-006,1.98538E+000,-209.99860E-003,1.18199E-006,1.98538E+000
1,1,17,99.99990E-003,538.36500E-006,2.09267E+000,-203.99860E-003,1.23723E-006,2.09267E+000
1,1,18,100.00000E-003,535.32800E-006,2.24005E+000,-197.99880E-003,1.09262E-006,2.24005E+000
1,1,19,99.99990E-003,532.26400E-006,2.34714E+000,-191.99840E-003,1.26114E-006,2.34714E+000
1,1,20,100.00000E-003,529.12700E-006,2.45402E+000,-185.99820E-003,1.34560E-006,2.45402E+000
1,1,21,100.00000E-003,525.99800E-006,2.56086E+000,-179.99820E-003,1.41221E-006,2.56086E+000
1,1,22,100.00000E-003,522.87100E-006,2.66774E+000,-173.99810E-003,1.47147E-006,2.66774E+000
1,1,23,100.00000E-003,519.81800E-006,2.78979E+000,-167.99800E-003,1.49038E-006,2.78979E+000
1,1,24,100.00000E-003,516.71700E-006,2.89666E+000,-161.99780E-003,1.55900E-006,2.89666E+000
1,1,25,100.00000E-003,513.54600E-006,3.00838E+000,-155.99900E-003,1.57802E-006,3.00838E+000
1,1,26,100.00000E-003,510.33600E-006,3.11569E+000,-149.99810E-003,1.65788E-006,3.11569E+000
1,1,27,100.00000E-003,507.19100E-006,3.23237E+000,-143.99800E-003,1.64812E-006,3.23237E+000
1,1,28,100.00000E-003,504.00000E-006,3.33948E+000,-137.99800E-003,1.74076E-006,3.33948E+000
1,1,29,100.00000E-003,500.76200E-006,3.44647E+000,-131.99780E-003,1.80407E-006,3.44647E+000
1,1,30,100.00000E-003,497.49200E-006,3.55548E+000,-125.99810E-003,1.84348E-006,3.55548E+000
1,1,31,100.00000E-003,494.14800E-006,3.66591E+000,-119.99880E-003,1.87034E-006,3.66591E+000
1,1,32,99.99990E-003,490.80800E-006,3.77933E+000,-113.99760E-003,1.92665E-006,3.77933E+000
1,1,33,99.99990E-003,487.43600E-006,3.88625E+000,-107.99750E-003,1.98359E-006,3.88625E+000
1,1,34,100.00000E-003,484.09000E-006,3.99313E+000,-101.99740E-003,2.03258E-006,3.99313E+000
1,1,35,100.00000E-003,480.70500E-006,4.10000E+000,-95.99770E-003,2.07144E-006,4.10000E+000
1,1,36,100.00000E-003,477.26000E-006,4.23488E+000,-89.99820E-003,1.93579E-006,4.23488E+000
1,1,37,100.00000E-003,473.74500E-006,4.34195E+000,-83.99760E-003,2.07192E-006,4.34195E+000
1,1,38,100.00000E-003,470.18800E-006,4.44881E+000,-77.99770E-003,2.12934E-006,4.44881E+000
1,1,39,100.00000E-003,466.59500E-006,4.55797E+000,-71.99890E-003,2.14764E-006,4.55797E+000
1,1,40,100.00000E-003,462.92100E-006,4.66641E+000,-65.99890E-003,2.18366E-006,4.66641E+000
1,1,41,100.00000E-003,459.17600E-006,4.77978E+000,-59.99780E-003,2.21215E-006,4.77978E+000
1,1,42,100.00000E-003,455.40700E-006,4.88672E+000,-53.99760E-003,2.25025E-006,4.88672E+000
