Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,715.19100E-006,67.17900E-003,-300.00000E-003,-549.46200E-009,67.17900E-003
1,1,2,100.00000E-003,712.15800E-006,177.33500E-003,-294.99700E-003,-387.21000E-009,177.33500E-003
1,1,3,100.00000E-003,709.13900E-006,354.50300E-003,-289.98600E-003,-451.37100E-009,354.50300E-003
1,1,4,100.00000E-003,706.07300E-006,531.48400E-003,-284.98400E-003,-379.51000E-009,531.48400E-003
1,1,5,100.00000E-003,702.94900E-006,730.53000E-003,-279.98300E-003,-342.90800E-009,730.53000E-003
1,1,6,100.00000E-003,699.89000E-006,907.51300E-003,-274.97700E-003,-250.62600E-009,907.51300E-003
1,1,7,100.00000E-003,696.66700E-006,1.08195E+000,-269.97700E-003,-192.93200E-009,1.08195E+000
1,1,8,100.00000E-003,693.49900E-006,1.32267E+000,-264.99900E-003,-222.44000E-009,1.32267E+000
1,1,9,100.00000E-003,690.28600E-006,1.55027E+000,-260.00000E-003,-204.25000E-009,1.55027E+000
1,1,10,99.99990E-003,687.03200E-006,1.78355E+000,-255.00000E-003,-187.26000E-009,1.78355E+000
1,1,11,100.00000E-003,683.70900E-006,1.95500E+000,-249.98200E-003,-106.32800E-009,1.95500E+000
1,1,12,100.00000E-003,680.39100E-006,2.16486E+000,-245.00000E-003,-139.71300E-009,2.16486E+000
1,1,13,100.00000E-003,676.88200E-006,2.28705E+000,-239.87900E-003,-10.42390E-009,2.28705E+000
1,1,14,100.00000E-003,673.53500E-006,2.40955E+000,-234.97600E-003,40.42210E-009,2.40955E+000
1,1,15,100.00000E-003,670.12700E-006,2.53163E+000,-230.05400E-003,70.44110E-009,2.53163E+000
1,1,16,100.00000E-003,666.58500E-006,2.68579E+000,-225.03000E-003,45.80500E-009,2.68579E+000
1,1,17,100.00000E-003,663.16900E-006,2.91584E+000,-220.00000E-003,-25.90000E-009,2.91584E+000
1,1,18,100.00000E-003,659.72800E-006,3.16619E+000,-215.00000E-003,-36.50000E-009,3.16619E+000
1,1,19,100.00000E-003,656.22300E-006,3.39194E+000,-209.99980E-003,-23.80000E-009,3.39194E+000
1,1,20,99.99990E-003,652.57100E-006,3.61773E+000,-205.00020E-003,-15.49000E-009,3.61773E+000
1,1,21,100.00000E-003,649.02700E-006,3.84373E+000,-199.99970E-003,80.00000E-012,3.84373E+000
1,1,22,100.00000E-003,645.40600E-006,4.06928E+000,-195.00030E-003,7.08000E-009,4.06928E+000
