Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,943.61500E-006,79.22200E-003,-299.89400E-003,-32.64680E-009,79.22200E-003
1,1,2,100.00000E-003,940.90800E-006,189.17300E-003,-294.99500E-003,301.32800E-009,189.17300E-003
1,1,3,100.00000E-003,937.99900E-006,298.55100E-003,-289.99500E-003,424.20600E-009,298.55100E-003
1,1,4,100.00000E-003,934.99500E-006,405.89000E-003,-284.99900E-003,495.34000E-009,405.89000E-003
1,1,5,100.00000E-003,931.98600E-006,512.32200E-003,-279.99600E-003,558.12400E-009,512.32200E-003
1,1,6,100.00000E-003,929.02600E-006,619.14000E-003,-275.00000E-003,583.84000E-009,619.14000E-003
1,1,7,100.00000E-003,925.93100E-006,726.05100E-003,-269.99900E-003,619.53000E-009,726.05100E-003
1,1,8,100.00000E-003,922.92000E-006,833.01300E-003,-264.99900E-003,630.07000E-009,833.01300E-003
1,1,9,100.00000E-003,919.87900E-006,936.57300E-003,-259.99900E-003,667.06000E-009,936.57300E-003
1,1,10,100.00000E-003,916.77200E-006,1.04341E+000,-255.00000E-003,670.08000E-009,1.04341E+000
1,1,11,100.00000E-003,913.61200E-006,1.17673E+000,-250.00000E-003,550.39000E-009,1.17673E+000
1,1,12,100.00000E-003,910.52900E-006,1.28361E+000,-244.99900E-003,657.71000E-009,1.28361E+000
1,1,13,100.00000E-003,907.38000E-006,1.39045E+000,-239.99900E-003,691.47000E-009,1.39045E+000
1,1,14,100.00000E-003,904.26700E-006,1.49734E+000,-234.99900E-003,713.53000E-009,1.49734E+000
1,1,15,100.00000E-003,901.15100E-006,1.60522E+000,-229.99900E-003,725.96000E-009,1.60522E+000
1,1,16,100.00000E-003,898.00900E-006,1.71908E+000,-224.99900E-003,734.74000E-009,1.71908E+000
1,1,17,100.00000E-003,894.87600E-006,1.82597E+000,-219.99900E-003,756.91000E-009,1.82597E+000
1,1,18,100.00000E-003,891.64800E-006,1.93399E+000,-214.99900E-003,767.80000E-009,1.93399E+000
1,1,19,100.00000E-003,888.46800E-006,2.03751E+000,-209.99900E-003,813.42000E-009,2.03751E+000
1,1,20,100.00000E-003,885.19500E-006,2.18438E+000,-204.99880E-003,641.30600E-009,2.18438E+000
1,1,21,100.00000E-003,881.95300E-006,2.29284E+000,-199.99920E-003,772.92000E-009,2.29284E+000
1,1,22,100.00000E-003,878.73000E-006,2.39972E+000,-194.99910E-003,818.22000E-009,2.39972E+000
1,1,23,100.00000E-003,875.48800E-006,2.50665E+000,-189.99900E-003,848.66000E-009,2.50665E+000
1,1,24,100.00000E-003,872.22300E-006,2.61350E+000,-184.99900E-003,872.89000E-009,2.61350E+000
1,1,25,100.00000E-003,868.88000E-006,2.72251E+000,-179.99910E-003,889.78000E-009,2.72251E+000
1,1,26,100.00000E-003,865.60100E-006,2.82977E+000,-174.99900E-003,908.83000E-009,2.82977E+000
1,1,27,100.00000E-003,862.23900E-006,2.93669E+000,-169.99910E-003,927.04000E-009,2.93669E+000
1,1,28,100.00000E-003,858.87800E-006,3.04354E+000,-164.99920E-003,943.75000E-009,3.04354E+000
1,1,29,100.00000E-003,855.43700E-006,3.17872E+000,-159.99930E-003,809.63000E-009,3.17872E+000
1,1,30,100.00000E-003,852.09400E-006,3.28564E+000,-154.99910E-003,927.19000E-009,3.28564E+000
1,1,31,100.00000E-003,848.64700E-006,3.39256E+000,-149.99910E-003,963.62000E-009,3.39256E+000
