Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,789.18400E-006,63.65700E-003,-300.00000E-003,-986.28000E-009,63.65700E-003
1,1,2,99.99990E-003,786.35000E-006,170.35300E-003,-292.99600E-003,-664.76300E-009,170.35300E-003
1,1,3,100.00000E-003,783.41100E-006,279.67900E-003,-285.99600E-003,-483.52300E-009,279.67900E-003
1,1,4,100.00000E-003,780.44300E-006,389.17100E-003,-278.99500E-003,-347.16200E-009,389.17100E-003
1,1,5,100.00000E-003,777.27600E-006,563.58100E-003,-271.98300E-003,-426.17300E-009,563.58100E-003
1,1,6,100.00000E-003,774.14400E-006,740.97900E-003,-264.98200E-003,-356.20500E-009,740.97900E-003
1,1,7,100.00000E-003,770.97000E-006,915.47100E-003,-257.97900E-003,-251.04700E-009,915.47100E-003
1,1,8,100.00000E-003,767.77900E-006,1.08994E+000,-250.98200E-003,-193.31200E-009,1.08994E+000
1,1,9,100.00000E-003,764.49900E-006,1.21721E+000,-243.80800E-003,-6.91620E-009,1.21721E+000
1,1,10,100.00000E-003,761.43500E-006,1.32820E+000,-236.99500E-003,70.76800E-009,1.32820E+000
1,1,11,100.00000E-003,758.15900E-006,1.43753E+000,-229.99500E-003,157.19300E-009,1.43753E+000
1,1,12,100.00000E-003,754.85800E-006,1.54698E+000,-222.99400E-003,231.58700E-009,1.54698E+000
1,1,13,100.00000E-003,751.48200E-006,1.66666E+000,-215.99500E-003,257.70900E-009,1.66666E+000
1,1,14,100.00000E-003,748.08400E-006,1.77766E+000,-208.99450E-003,330.26400E-009,1.77766E+000
1,1,15,100.00000E-003,744.57300E-006,1.88701E+000,-201.99380E-003,398.66400E-009,1.88701E+000
1,1,16,100.00000E-003,741.00600E-006,1.99638E+000,-194.99400E-003,454.27300E-009,1.99638E+000
1,1,17,100.00000E-003,737.41600E-006,2.10579E+000,-187.99380E-003,504.54300E-009,2.10579E+000
1,1,18,100.00000E-003,733.74600E-006,2.21724E+000,-180.99400E-003,550.07500E-009,2.21724E+000
1,1,19,100.00000E-003,730.07900E-006,2.32653E+000,-173.99370E-003,598.73400E-009,2.32653E+000
1,1,20,100.00000E-003,726.34400E-006,2.43594E+000,-166.99350E-003,643.19000E-009,2.43594E+000
1,1,21,100.00000E-003,722.50600E-006,2.54596E+000,-159.99940E-003,675.89000E-009,2.54596E+000
1,1,22,100.00000E-003,718.58900E-006,2.66301E+000,-152.99450E-003,691.93600E-009,2.66301E+000
1,1,23,100.00000E-003,714.72600E-006,2.77240E+000,-145.99370E-003,756.92200E-009,2.77240E+000
1,1,24,100.00000E-003,710.79000E-006,2.87926E+000,-138.99930E-003,800.82000E-009,2.87926E+000
1,1,25,100.00000E-003,706.68400E-006,2.98284E+000,-131.99940E-003,855.84000E-009,2.98284E+000
1,1,26,100.00000E-003,702.63100E-006,3.08796E+000,-124.99940E-003,895.26000E-009,3.08796E+000
1,1,27,100.00000E-003,698.45300E-006,3.20323E+000,-117.99940E-003,924.08000E-009,3.20323E+000
1,1,28,100.00000E-003,694.26300E-006,3.30676E+000,-110.99940E-003,977.63000E-009,3.30676E+000
1,1,29,100.00000E-003,689.93100E-006,3.41031E+000,-103.99940E-003,1.01907E-006,3.41031E+000
1,1,30,100.00000E-003,685.66500E-006,3.51386E+000,-96.99930E-003,1.06275E-006,3.51386E+000
1,1,31,100.00000E-003,681.27600E-006,3.61750E+000,-89.99940E-003,1.10438E-006,3.61750E+000
1,1,32,100.00000E-003,676.77100E-006,3.72107E+000,-82.99940E-003,1.14593E-006,3.72107E+000
1,1,33,100.00000E-003,672.22900E-006,3.82464E+000,-75.99930E-003,1.18735E-006,3.82464E+000
1,1,34,100.00000E-003,667.60800E-006,3.92818E+000,-68.99940E-003,1.22810E-006,3.92818E+000
1,1,35,100.00000E-003,662.92100E-006,4.03174E+000,-61.99930E-003,1.26900E-006,4.03174E+000
1,1,36,100.00000E-003,657.96300E-006,4.16434E+000,-54.99960E-003,1.18986E-006,4.16434E+000
1,1,37,100.00000E-003,653.15800E-006,4.26795E+000,-47.99940E-003,1.29475E-006,4.26795E+000
1,1,38,100.00000E-003,648.26900E-006,4.37150E+000,-40.99930E-003,1.35189E-006,4.37150E+000
1,1,39,100.00000E-003,643.25500E-006,4.47514E+000,-33.99930E-003,1.40132E-006,4.47514E+000
1,1,40,100.00000E-003,638.09500E-006,4.57872E+000,-26.99940E-003,1.44890E-006,4.57872E+000
1,1,41,100.00000E-003,632.79200E-006,4.70655E+000,-19.99930E-003,1.44652E-006,4.70655E+000
1,1,42,100.00000E-003,627.58600E-006,4.81010E+000,-12.99930E-003,1.50602E-006,4.81010E+000
1,1,43,100.00000E-003,622.22400E-006,4.91366E+000,-5.99930E-003,1.55707E-006,4.91366E+000
1,1,44,100.00000E-003,616.77900E-006,5.01717E+000,1.00070E-003,1.60687E-006,5.01717E+000
1,1,45,99.99990E-003,611.22600E-006,5.12067E+000,8.00070E-003,1.65222E-006,5.12067E+000
1,1,46,100.00000E-003,605.66000E-006,5.22425E+000,15.00070E-003,1.69688E-006,5.22425E+000
1,1,47,100.00000E-003,599.93100E-006,5.32821E+000,22.00060E-003,1.73936E-006,5.32821E+000
1,1,48,100.00000E-003,594.20000E-006,5.43176E+000,29.00070E-003,1.78120E-006,5.43176E+000
1,1,49,100.00000E-003,588.31500E-006,5.53531E+000,36.00070E-003,1.82308E-006,5.53531E+000
1,1,50,100.00000E-003,582.05900E-006,5.66733E+000,43.00050E-003,1.73774E-006,5.66733E+000
1,1,51,100.00000E-003,576.04800E-006,5.77241E+000,50.00070E-003,1.83526E-006,5.77241E+000
1,1,52,100.00000E-003,569.91700E-006,5.87618E+000,57.00070E-003,1.88920E-006,5.87618E+000
1,1,53,100.00000E-003,563.72200E-006,5.98146E+000,64.00070E-003,1.92747E-006,5.98146E+000
1,1,54,100.00000E-003,557.42200E-006,6.08500E+000,71.00060E-003,1.97649E-006,6.08500E+000
1,1,55,100.00000E-003,550.82600E-006,6.21234E+000,78.00060E-003,1.95766E-006,6.21234E+000
1,1,56,100.00000E-003,544.37700E-006,6.31588E+000,85.00070E-003,2.01498E-006,6.31588E+000
1,1,57,100.00000E-003,537.78200E-006,6.41941E+000,92.00070E-003,2.06416E-006,6.41941E+000
1,1,58,100.00000E-003,531.23000E-006,6.52296E+000,99.00070E-003,2.10946E-006,6.52296E+000
1,1,59,100.00000E-003,524.39800E-006,6.62682E+000,106.00070E-003,2.15616E-006,6.62682E+000
1,1,60,100.00000E-003,517.53200E-006,6.73040E+000,113.00070E-003,2.20154E-006,6.73040E+000
1,1,61,100.00000E-003,510.59000E-006,6.83395E+000,120.00070E-003,2.24749E-006,6.83395E+000
1,1,62,100.00000E-003,503.58300E-006,6.93749E+000,127.00070E-003,2.29486E-006,6.93749E+000
1,1,63,100.00000E-003,496.48300E-006,7.04102E+000,134.00070E-003,2.34439E-006,7.04102E+000
1,1,64,100.00000E-003,488.95900E-006,7.17501E+000,141.00040E-003,2.26273E-006,7.17501E+000
1,1,65,100.00000E-003,481.76900E-006,7.27863E+000,148.00060E-003,2.37191E-006,7.27863E+000
1,1,66,100.00000E-003,474.50900E-006,7.38217E+000,155.00070E-003,2.44661E-006,7.38217E+000
1,1,67,100.00000E-003,467.07000E-006,7.48572E+000,162.00060E-003,2.51791E-006,7.48572E+000
1,1,68,100.00000E-003,459.60900E-006,7.58926E+000,169.00070E-003,2.59358E-006,7.58926E+000
1,1,69,100.00000E-003,451.92500E-006,7.71466E+000,176.00080E-003,2.60325E-006,7.71466E+000
1,1,70,100.00000E-003,444.39200E-006,7.81822E+000,183.00060E-003,2.67034E-006,7.81822E+000
1,1,71,100.00000E-003,436.72000E-006,7.92174E+000,190.00070E-003,2.74634E-006,7.92174E+000
1,1,72,100.00000E-003,429.07500E-006,8.02702E+000,197.00070E-003,2.81243E-006,8.02702E+000
1,1,73,100.00000E-003,421.38000E-006,8.13058E+000,204.00080E-003,2.89480E-006,8.13058E+000
1,1,74,100.00000E-003,413.48900E-006,8.23417E+000,211.00100E-003,2.98419E-006,8.23417E+000
1,1,75,100.00000E-003,405.68500E-006,8.33776E+000,218.00100E-003,3.06091E-006,8.33776E+000
1,1,76,100.00000E-003,397.94100E-006,8.44184E+000,225.00100E-003,3.14285E-006,8.44184E+000
1,1,77,100.00000E-003,390.16100E-006,8.54536E+000,232.00100E-003,3.22733E-006,8.54536E+000
1,1,78,100.00000E-003,381.96100E-006,8.67997E+000,239.00000E-003,3.15191E-006,8.67997E+000
1,1,79,100.00000E-003,374.18800E-006,8.78353E+000,246.00100E-003,3.30171E-006,8.78353E+000
1,1,80,100.00000E-003,366.37900E-006,8.88708E+000,253.00100E-003,3.41582E-006,8.88708E+000
