Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,678.21100E-006,66.85300E-003,-300.00200E-003,-486.40200E-009,66.85300E-003
1,1,2,100.00000E-003,677.57600E-006,244.11600E-003,-293.98400E-003,-361.05100E-009,244.11600E-003
1,1,3,99.99990E-003,676.89800E-006,421.04600E-003,-287.97900E-003,-218.26600E-009,421.04600E-003
1,1,4,100.00000E-003,676.22800E-006,598.74300E-003,-281.98200E-003,-144.98500E-009,598.74300E-003
1,1,5,100.00000E-003,675.43700E-006,729.07600E-003,-275.83400E-003,227.20000E-012,729.07600E-003
1,1,6,100.00000E-003,674.81300E-006,838.46200E-003,-269.99600E-003,71.04300E-009,838.46200E-003
1,1,7,100.00000E-003,674.11600E-006,949.44800E-003,-263.99600E-003,129.25800E-009,949.44800E-003
1,1,8,100.00000E-003,673.35700E-006,1.05952E+000,-257.99500E-003,182.84900E-009,1.05952E+000
1,1,9,100.00000E-003,672.55400E-006,1.16941E+000,-251.99600E-003,226.27600E-009,1.16941E+000
1,1,10,99.99990E-003,671.80600E-006,1.27897E+000,-245.99500E-003,266.83000E-009,1.27897E+000
1,1,11,100.00000E-003,670.92700E-006,1.38829E+000,-239.99500E-003,301.87600E-009,1.38829E+000
1,1,12,100.00000E-003,670.12200E-006,1.49766E+000,-233.99500E-003,333.82800E-009,1.49766E+000
1,1,13,100.00000E-003,669.29300E-006,1.60709E+000,-227.99500E-003,363.53000E-009,1.60709E+000
1,1,14,100.00000E-003,668.43200E-006,1.71671E+000,-221.99500E-003,390.17600E-009,1.71671E+000
1,1,15,99.99990E-003,667.53300E-006,1.82609E+000,-215.99500E-003,417.19000E-009,1.82609E+000
1,1,16,100.00000E-003,666.70800E-006,1.93554E+000,-209.99420E-003,436.78600E-009,1.93554E+000
1,1,17,100.00000E-003,665.87700E-006,2.04497E+000,-203.99420E-003,461.43800E-009,2.04497E+000
1,1,18,100.00000E-003,664.94500E-006,2.17372E+000,-197.99570E-003,430.35400E-009,2.17372E+000
1,1,19,100.00000E-003,664.03800E-006,2.28308E+000,-191.99420E-003,485.33800E-009,2.28308E+000
1,1,20,100.00000E-003,663.07000E-006,2.39243E+000,-185.99430E-003,512.25500E-009,2.39243E+000
1,1,21,99.99990E-003,662.14400E-006,2.50195E+000,-179.99410E-003,533.62300E-009,2.50195E+000
1,1,22,100.00000E-003,661.18000E-006,2.61132E+000,-173.99400E-003,554.84600E-009,2.61132E+000
1,1,23,100.00000E-003,660.20400E-006,2.72453E+000,-167.99380E-003,568.93000E-009,2.72453E+000
1,1,24,99.99990E-003,659.22000E-006,2.83396E+000,-161.99400E-003,587.23600E-009,2.83396E+000
1,1,25,100.00000E-003,658.21300E-006,2.94331E+000,-155.99360E-003,604.49200E-009,2.94331E+000
1,1,26,100.00000E-003,657.18800E-006,3.05279E+000,-149.99380E-003,620.67500E-009,3.05279E+000
1,1,27,100.00000E-003,656.14600E-006,3.17507E+000,-143.99420E-003,598.57500E-009,3.17507E+000
1,1,28,100.00000E-003,655.10100E-006,3.28473E+000,-137.99380E-003,636.46400E-009,3.28473E+000
1,1,29,100.00000E-003,654.08800E-006,3.39412E+000,-131.99360E-003,656.70100E-009,3.39412E+000
1,1,30,100.00000E-003,652.96300E-006,3.50351E+000,-125.99380E-003,673.69200E-009,3.50351E+000
1,1,31,100.00000E-003,651.90700E-006,3.61286E+000,-119.99370E-003,688.45900E-009,3.61286E+000
1,1,32,100.00000E-003,650.81600E-006,3.72278E+000,-113.99350E-003,702.40400E-009,3.72278E+000
