Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,676.80300E-006,136.64000E-003,-299.98700E-003,-369.56900E-009,136.64000E-003
1,1,2,100.00000E-003,675.41600E-006,259.21200E-003,-295.05900E-003,78.62750E-009,259.21200E-003
1,1,3,100.00000E-003,674.09000E-006,368.66500E-003,-289.99700E-003,243.28100E-009,368.66500E-003
1,1,4,100.00000E-003,672.60600E-006,477.97700E-003,-284.99500E-003,353.61500E-009,477.97700E-003
1,1,5,100.00000E-003,670.99600E-006,584.83000E-003,-279.99900E-003,427.66000E-009,584.83000E-003
1,1,6,100.00000E-003,669.36500E-006,727.18100E-003,-274.99800E-003,344.39300E-009,727.18100E-003
1,1,7,100.00000E-003,668.25300E-006,836.57300E-003,-269.99800E-003,483.06200E-009,836.57300E-003
1,1,8,100.00000E-003,667.12900E-006,946.63700E-003,-264.99500E-003,538.17000E-009,946.63700E-003
1,1,9,100.00000E-003,665.78700E-006,1.05351E+000,-259.99900E-003,573.75000E-009,1.05351E+000
1,1,10,100.00000E-003,664.85800E-006,1.16474E+000,-254.99800E-003,592.75100E-009,1.16474E+000
1,1,11,100.00000E-003,664.13200E-006,1.27416E+000,-250.00000E-003,619.47000E-009,1.27416E+000
1,1,12,100.00000E-003,662.82300E-006,1.38101E+000,-244.99900E-003,645.19000E-009,1.38101E+000
1,1,13,100.00000E-003,661.48100E-006,1.48788E+000,-239.99900E-003,666.15000E-009,1.48788E+000
1,1,14,100.00000E-003,660.10200E-006,1.59488E+000,-234.99900E-003,685.61000E-009,1.59488E+000
1,1,15,100.00000E-003,658.68400E-006,1.73377E+000,-230.00000E-003,578.34200E-009,1.73377E+000
1,1,16,100.00010E-003,657.38600E-006,1.84066E+000,-224.99900E-003,681.71000E-009,1.84066E+000
1,1,17,100.00000E-003,655.86900E-006,1.94749E+000,-220.00000E-003,716.54000E-009,1.94749E+000
1,1,18,100.00000E-003,654.56300E-006,2.05439E+000,-215.00000E-003,739.55000E-009,2.05439E+000
1,1,19,100.00000E-003,653.32100E-006,2.15795E+000,-209.99910E-003,773.74000E-009,2.15795E+000
1,1,20,100.00000E-003,652.43000E-006,2.27606E+000,-204.99930E-003,769.16000E-009,2.27606E+000
1,1,21,100.00000E-003,651.20700E-006,2.37959E+000,-199.99910E-003,810.89000E-009,2.37959E+000
1,1,22,100.00000E-003,649.91200E-006,2.48668E+000,-194.99910E-003,819.14000E-009,2.48668E+000
1,1,23,100.00000E-003,648.75100E-006,2.59355E+000,-189.99930E-003,834.99000E-009,2.59355E+000
1,1,24,100.00000E-003,647.15100E-006,2.73676E+000,-184.99960E-003,689.33000E-009,2.73676E+000
1,1,25,99.99990E-003,645.58500E-006,2.84367E+000,-179.99930E-003,812.06000E-009,2.84367E+000
1,1,26,100.00000E-003,644.62800E-006,2.95057E+000,-174.99920E-003,851.92000E-009,2.95057E+000
1,1,27,100.00000E-003,643.76200E-006,3.05742E+000,-169.99920E-003,875.56000E-009,3.05742E+000
1,1,28,100.00000E-003,642.63700E-006,3.16425E+000,-164.99940E-003,896.11000E-009,3.16425E+000
1,1,29,100.00000E-003,641.11900E-006,3.27706E+000,-159.99910E-003,909.11000E-009,3.27706E+000
1,1,30,100.00000E-003,639.40800E-006,3.38393E+000,-154.99920E-003,930.73000E-009,3.38393E+000
1,1,31,100.00000E-003,637.97700E-006,3.49080E+000,-149.99920E-003,948.83000E-009,3.49080E+000
1,1,32,99.99990E-003,636.48600E-006,3.59764E+000,-144.99900E-003,967.94000E-009,3.59764E+000
1,1,33,100.00000E-003,634.55100E-006,3.80067E+000,-140.00240E-003,657.41000E-009,3.80067E+000
1,1,34,100.00000E-003,633.44900E-006,3.90785E+000,-134.99940E-003,854.46000E-009,3.90785E+000
1,1,35,100.00000E-003,631.54700E-006,4.01470E+000,-129.99910E-003,925.34000E-009,4.01470E+000
1,1,36,100.00000E-003,629.80300E-006,4.12153E+000,-124.99910E-003,962.87000E-009,4.12153E+000
1,1,37,100.00000E-003,628.30700E-006,4.24221E+000,-119.99920E-003,916.56000E-009,4.24221E+000
1,1,38,100.00000E-003,627.03700E-006,4.34909E+000,-114.99920E-003,981.42000E-009,4.34909E+000
1,1,39,100.00000E-003,625.33300E-006,4.45593E+000,-109.99930E-003,1.00721E-006,4.45593E+000
1,1,40,100.00000E-003,623.25300E-006,4.56277E+000,-104.99920E-003,1.02432E-006,4.56277E+000
1,1,41,100.00000E-003,621.69400E-006,4.67021E+000,-99.99930E-003,1.02613E-006,4.67021E+000
