Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,480.81000E-006,135.09600E-003,-299.99300E-003,-150.52700E-009,135.09600E-003
1,1,2,100.00000E-003,479.58400E-006,245.13500E-003,-293.99700E-003,381.86400E-009,245.13500E-003
1,1,3,100.00000E-003,478.36300E-006,354.68200E-003,-287.99800E-003,593.22300E-009,354.68200E-003
1,1,4,100.00000E-003,477.24000E-006,461.57100E-003,-281.99900E-003,720.32000E-009,461.57100E-003
1,1,5,99.99990E-003,476.19800E-006,570.18500E-003,-275.99900E-003,794.33000E-009,570.18500E-003
1,1,6,100.00000E-003,475.08000E-006,680.15300E-003,-269.99900E-003,852.19000E-009,680.15300E-003
1,1,7,100.00000E-003,473.92000E-006,789.23900E-003,-263.99900E-003,914.03000E-009,789.23900E-003
1,1,8,100.00000E-003,472.83300E-006,896.80400E-003,-257.99900E-003,991.09000E-009,896.80400E-003
1,1,9,100.00000E-003,471.58700E-006,1.00385E+000,-251.99900E-003,1.04465E-006,1.00385E+000
1,1,10,99.99990E-003,470.48900E-006,1.11072E+000,-245.99900E-003,1.09887E-006,1.11072E+000
1,1,11,100.00000E-003,469.37300E-006,1.22889E+000,-239.99900E-003,1.04410E-006,1.22889E+000
1,1,12,100.00000E-003,468.09400E-006,1.33593E+000,-233.99900E-003,1.15694E-006,1.33593E+000
1,1,13,100.00000E-003,466.96700E-006,1.44801E+000,-227.99900E-003,1.16135E-006,1.44801E+000
1,1,14,100.00000E-003,465.82900E-006,1.55937E+000,-221.99900E-003,1.20280E-006,1.55937E+000
1,1,15,99.99990E-003,464.63400E-006,1.67078E+000,-215.99900E-003,1.23705E-006,1.67078E+000
1,1,16,100.00000E-003,463.43300E-006,1.78621E+000,-209.99830E-003,1.28428E-006,1.78621E+000
1,1,17,100.00000E-003,462.17200E-006,1.89331E+000,-203.99840E-003,1.34127E-006,1.89331E+000
1,1,18,99.99990E-003,460.94800E-006,2.00021E+000,-197.99850E-003,1.39109E-006,2.00021E+000
1,1,19,100.00000E-003,459.68600E-006,2.10739E+000,-191.99860E-003,1.42757E-006,2.10739E+000
1,1,20,100.00000E-003,458.41900E-006,2.23405E+000,-185.99880E-003,1.31078E-006,2.23405E+000
1,1,21,100.00000E-003,457.13100E-006,2.34093E+000,-179.99850E-003,1.46239E-006,2.34093E+000
1,1,22,99.99990E-003,456.00600E-006,2.44786E+000,-173.99850E-003,1.53068E-006,2.44786E+000
1,1,23,100.00000E-003,454.71500E-006,2.55822E+000,-167.99870E-003,1.54739E-006,2.55822E+000
1,1,24,100.00000E-003,453.44700E-006,2.66724E+000,-161.99880E-003,1.60069E-006,2.66724E+000
1,1,25,100.00000E-003,452.12800E-006,2.77615E+000,-155.99820E-003,1.66229E-006,2.77615E+000
1,1,26,100.00000E-003,450.76900E-006,2.88307E+000,-149.99800E-003,1.71256E-006,2.88307E+000
1,1,27,100.00000E-003,449.39000E-006,2.98999E+000,-143.99810E-003,1.75428E-006,2.98999E+000
1,1,28,100.00000E-003,448.01300E-006,3.09689E+000,-137.99820E-003,1.78741E-006,3.09689E+000
1,1,29,100.00000E-003,446.71800E-006,3.23420E+000,-131.99880E-003,1.58783E-006,3.23420E+000
1,1,30,100.00000E-003,445.23500E-006,3.34114E+000,-125.99830E-003,1.76797E-006,3.34114E+000
1,1,31,100.00000E-003,443.80600E-006,3.44810E+000,-119.99830E-003,1.83373E-006,3.44810E+000
1,1,32,100.00000E-003,442.39800E-006,3.55505E+000,-113.99830E-003,1.87839E-006,3.55505E+000
1,1,33,100.00000E-003,440.94500E-006,3.66204E+000,-107.99820E-003,1.91750E-006,3.66204E+000
1,1,34,100.00000E-003,439.44900E-006,3.77924E+000,-101.99840E-003,1.92322E-006,3.77924E+000
1,1,35,100.00000E-003,437.85000E-006,3.88613E+000,-95.99820E-003,1.97502E-006,3.88613E+000
1,1,36,100.00000E-003,436.31000E-006,3.99303E+000,-89.99840E-003,2.01579E-006,3.99303E+000
1,1,37,100.00000E-003,434.73600E-006,4.09992E+000,-83.99820E-003,2.05272E-006,4.09992E+000
1,1,38,100.00000E-003,433.30500E-006,4.23727E+000,-77.99860E-003,1.85503E-006,4.23727E+000
1,1,39,100.00000E-003,431.66100E-006,4.34419E+000,-71.99830E-003,2.02553E-006,4.34419E+000
1,1,40,100.00000E-003,430.06300E-006,4.45146E+000,-65.99840E-003,2.08621E-006,4.45146E+000
1,1,41,100.00000E-003,428.41500E-006,4.55843E+000,-59.99840E-003,2.12844E-006,4.55843E+000
1,1,42,100.00000E-003,426.67200E-006,4.66534E+000,-53.99820E-003,2.16299E-006,4.66534E+000
1,1,43,100.00000E-003,424.96100E-006,4.78282E+000,-47.99840E-003,2.15670E-006,4.78282E+000
1,1,44,99.99990E-003,423.21100E-006,4.89001E+000,-41.99830E-003,2.18886E-006,4.89001E+000
1,1,45,100.00000E-003,421.36600E-006,4.99690E+000,-35.99820E-003,2.22188E-006,4.99690E+000
1,1,46,100.00000E-003,419.48800E-006,5.10895E+000,-29.99880E-003,2.19745E-006,5.10895E+000
1,1,47,100.00000E-003,417.70300E-006,5.24416E+000,-23.99880E-003,2.04293E-006,5.24416E+000
1,1,48,100.00000E-003,415.76600E-006,5.35116E+000,-17.99840E-003,2.18608E-006,5.35116E+000
1,1,49,100.00000E-003,413.78300E-006,5.45819E+000,-11.99850E-003,2.23213E-006,5.45819E+000
