Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,685.73900E-006,64.47700E-003,-300.00100E-003,-2.31236E-006,64.47700E-003
1,1,2,100.00000E-003,682.39200E-006,171.76000E-003,-293.00000E-003,-1.64581E-006,171.76000E-003
1,1,3,100.00000E-003,679.18900E-006,278.70900E-003,-286.00000E-003,-1.27071E-006,278.70900E-003
1,1,4,100.00000E-003,676.17500E-006,440.88200E-003,-278.99700E-003,-1.20259E-006,440.88200E-003
1,1,5,100.00000E-003,672.87000E-006,550.36200E-003,-271.98300E-003,-828.07000E-009,550.36200E-003
1,1,6,100.00000E-003,669.93900E-006,779.19100E-003,-264.99900E-003,-1.07073E-006,779.19100E-003
1,1,7,100.00000E-003,667.14600E-006,1.00789E+000,-257.99800E-003,-869.61000E-009,1.00789E+000
1,1,8,100.00000E-003,664.06000E-006,1.26013E+000,-250.99900E-003,-765.20000E-009,1.26013E+000
1,1,9,100.00000E-003,660.99200E-006,1.43466E+000,-243.99000E-003,-656.55600E-009,1.43466E+000
1,1,10,100.00000E-003,657.76600E-006,1.61738E+000,-236.99200E-003,-454.36700E-009,1.61738E+000
1,1,11,100.00000E-003,654.24900E-006,1.73960E+000,-230.01200E-003,49.12640E-009,1.73960E+000
1,1,12,100.00000E-003,650.98700E-006,1.84947E+000,-222.99500E-003,234.38900E-009,1.84947E+000
1,1,13,100.00000E-003,647.60100E-006,1.96011E+000,-215.99700E-003,383.80100E-009,1.96011E+000
1,1,14,100.00000E-003,644.16400E-006,2.06959E+000,-208.99800E-003,528.85600E-009,2.06959E+000
1,1,15,100.00000E-003,640.71600E-006,2.17648E+000,-201.99860E-003,664.39000E-009,2.17648E+000
1,1,16,100.00000E-003,637.04500E-006,2.28337E+000,-194.99880E-003,786.22000E-009,2.28337E+000
1,1,17,100.00000E-003,633.95800E-006,2.39028E+000,-187.99870E-003,907.51000E-009,2.39028E+000
1,1,18,100.00000E-003,630.39600E-006,2.49715E+000,-180.99850E-003,1.02625E-006,2.49715E+000
1,1,19,100.00000E-003,626.86200E-006,2.60622E+000,-173.99840E-003,1.10893E-006,2.60622E+000
1,1,20,100.00000E-003,623.18100E-006,2.71719E+000,-166.99840E-003,1.21301E-006,2.71719E+000
1,1,21,100.00000E-003,620.07300E-006,2.82446E+000,-159.99820E-003,1.30193E-006,2.82446E+000
1,1,22,100.00000E-003,616.63300E-006,2.93687E+000,-152.99860E-003,1.33516E-006,2.93687E+000
1,1,23,100.00000E-003,612.77200E-006,3.04529E+000,-145.99870E-003,1.43264E-006,3.04529E+000
1,1,24,100.00000E-003,609.25100E-006,3.16801E+000,-138.99890E-003,1.39755E-006,3.16801E+000
1,1,25,99.99990E-003,605.56600E-006,3.27898E+000,-131.99880E-003,1.52131E-006,3.27898E+000
1,1,26,100.00000E-003,601.98200E-006,3.38586E+000,-124.99830E-003,1.64582E-006,3.38586E+000
1,1,27,100.00000E-003,598.16300E-006,3.49411E+000,-117.99810E-003,1.72853E-006,3.49411E+000
1,1,28,100.00000E-003,594.29500E-006,3.60098E+000,-110.99800E-003,1.81150E-006,3.60098E+000
1,1,29,100.00000E-003,590.38000E-006,3.70949E+000,-103.99840E-003,1.87445E-006,3.70949E+000
1,1,30,100.00000E-003,586.32500E-006,3.81641E+000,-96.99810E-003,1.95084E-006,3.81641E+000
1,1,31,100.00000E-003,582.26500E-006,3.92329E+000,-89.99810E-003,2.01847E-006,3.92329E+000
1,1,32,100.00000E-003,578.25500E-006,4.03017E+000,-82.99810E-003,2.07447E-006,4.03017E+000
1,1,33,100.00000E-003,574.25100E-006,4.17184E+000,-75.99910E-003,1.86773E-006,4.17184E+000
1,1,34,100.00000E-003,570.07100E-006,4.28197E+000,-68.99840E-003,2.04308E-006,4.28197E+000
1,1,35,100.00000E-003,565.91000E-006,4.39234E+000,-61.99860E-003,2.11339E-006,4.39234E+000
1,1,36,100.00000E-003,561.47200E-006,4.49918E+000,-54.99820E-003,2.21185E-006,4.49918E+000
1,1,37,100.00000E-003,557.02700E-006,4.60607E+000,-47.99810E-003,2.27277E-006,4.60607E+000
1,1,38,99.99990E-003,552.55600E-006,4.71425E+000,-40.99800E-003,2.31443E-006,4.71425E+000
1,1,39,100.00000E-003,547.92400E-006,4.82116E+000,-33.99780E-003,2.35583E-006,4.82116E+000
1,1,40,100.00000E-003,543.26500E-006,4.92805E+000,-26.99790E-003,2.39139E-006,4.92805E+000
1,1,41,100.00000E-003,538.62700E-006,5.03494E+000,-19.99800E-003,2.42306E-006,5.03494E+000
1,1,42,100.00000E-003,533.99900E-006,5.17756E+000,-12.99910E-003,2.19052E-006,5.17756E+000
1,1,43,100.00000E-003,529.15500E-006,5.28647E+000,-5.99850E-003,2.34632E-006,5.28647E+000
1,1,44,100.00000E-003,524.23500E-006,5.39365E+000,1.00200E-003,2.41724E-006,5.39365E+000
1,1,45,100.00000E-003,519.33800E-006,5.50064E+000,8.00190E-003,2.45692E-006,5.50064E+000
1,1,46,100.00000E-003,514.16800E-006,5.60770E+000,15.00180E-003,2.49051E-006,5.60770E+000
1,1,47,100.00000E-003,509.00300E-006,5.71503E+000,22.00190E-003,2.51824E-006,5.71503E+000
1,1,48,100.00000E-003,503.82100E-006,5.82197E+000,29.00200E-003,2.54440E-006,5.82197E+000
1,1,49,100.00000E-003,498.47900E-006,5.92887E+000,36.00210E-003,2.56649E-006,5.92887E+000
1,1,50,100.00000E-003,493.21900E-006,6.03575E+000,43.00190E-003,2.58604E-006,6.03575E+000
1,1,51,100.00000E-003,487.82600E-006,6.17448E+000,50.00120E-003,2.38260E-006,6.17448E+000
1,1,52,100.00000E-003,482.32900E-006,6.28145E+000,57.00180E-003,2.52322E-006,6.28145E+000
1,1,53,100.00000E-003,476.68100E-006,6.38965E+000,64.00150E-003,2.55557E-006,6.38965E+000
1,1,54,100.00000E-003,471.01800E-006,6.49657E+000,71.00180E-003,2.61084E-006,6.49657E+000
1,1,55,100.00000E-003,465.38200E-006,6.60376E+000,78.00190E-003,2.68475E-006,6.60376E+000
1,1,56,100.00000E-003,459.50400E-006,6.71790E+000,85.00200E-003,2.68405E-006,6.71790E+000
1,1,57,100.00000E-003,453.56400E-006,6.82481E+000,92.00190E-003,2.67532E-006,6.82481E+000
1,1,58,100.00000E-003,447.57400E-006,6.93172E+000,99.00200E-003,2.70865E-006,6.93172E+000
1,1,59,100.00000E-003,441.55000E-006,7.03859E+000,106.00190E-003,2.73717E-006,7.03859E+000
1,1,60,100.00000E-003,435.33100E-006,7.17717E+000,113.00130E-003,2.54843E-006,7.17717E+000
1,1,61,100.00000E-003,429.08500E-006,7.28407E+000,120.00190E-003,2.70822E-006,7.28407E+000
1,1,62,100.00000E-003,422.65800E-006,7.39096E+000,127.00190E-003,2.89614E-006,7.39096E+000
1,1,63,100.00000E-003,416.19500E-006,7.49782E+000,134.00210E-003,2.84979E-006,7.49782E+000
1,1,64,100.00000E-003,409.64500E-006,7.60466E+000,141.00190E-003,2.90442E-006,7.60466E+000
1,1,65,100.00000E-003,402.95100E-006,7.72272E+000,148.00150E-003,2.92144E-006,7.72272E+000
1,1,66,100.00000E-003,396.21600E-006,7.83027E+000,155.00190E-003,3.02598E-006,7.83027E+000
1,1,67,100.00000E-003,389.33900E-006,7.93718E+000,162.00190E-003,3.12072E-006,7.93718E+000
1,1,68,100.00000E-003,382.36700E-006,8.04402E+000,169.00190E-003,3.21953E-006,8.04402E+000
1,1,69,100.00000E-003,375.22400E-006,8.17994E+000,176.00150E-003,3.15133E-006,8.17994E+000
1,1,70,100.00000E-003,368.14700E-006,8.28683E+000,183.00210E-003,3.39173E-006,8.28683E+000
1,1,71,100.00000E-003,360.97900E-006,8.39373E+000,190.00220E-003,3.57317E-006,8.39373E+000
1,1,72,100.00000E-003,353.75700E-006,8.50097E+000,197.00190E-003,3.78491E-006,8.50097E+000
1,1,73,100.00000E-003,346.53100E-006,8.60785E+000,204.00190E-003,3.99809E-006,8.60785E+000
1,1,74,100.00000E-003,339.03900E-006,8.72364E+000,211.00200E-003,4.23577E-006,8.72364E+000
1,1,75,100.00000E-003,331.73700E-006,8.83073E+000,218.00200E-003,4.49564E-006,8.83073E+000
1,1,76,100.00000E-003,324.39400E-006,8.93772E+000,225.00200E-003,4.79861E-006,8.93772E+000
1,1,77,100.00000E-003,317.11700E-006,9.04470E+000,232.00200E-003,5.15926E-006,9.04470E+000
1,1,78,100.00000E-003,309.72700E-006,9.19200E+000,239.00100E-003,5.25360E-006,9.19200E+000
1,1,79,99.99990E-003,302.58200E-006,9.30016E+000,246.00300E-003,5.77410E-006,9.30016E+000
1,1,80,99.99990E-003,295.48800E-006,9.40887E+000,253.00300E-003,6.20893E-006,9.40887E+000
1,1,81,100.00000E-003,288.55800E-006,9.51814E+000,260.00100E-003,6.65290E-006,9.51814E+000
1,1,82,100.00000E-003,281.81400E-006,9.62738E+000,267.00100E-003,7.12770E-006,9.62738E+000
1,1,83,100.00000E-003,275.16700E-006,9.73787E+000,274.00100E-003,7.63345E-006,9.73787E+000
1,1,84,100.00000E-003,268.83100E-006,9.84726E+000,281.00100E-003,8.16153E-006,9.84726E+000
1,1,85,100.00000E-003,262.71400E-006,9.95652E+000,288.00100E-003,8.73176E-006,9.95652E+000
1,1,86,100.00000E-003,256.96000E-006,10.06345E+000,295.00400E-003,9.37600E-006,10.06345E+000
1,1,87,100.00000E-003,251.43800E-006,10.18267E+000,302.00000E-003,9.82190E-006,10.18267E+000
1,1,88,100.00000E-003,246.35100E-006,10.28628E+000,309.00100E-003,10.50780E-006,10.28628E+000
1,1,89,100.00000E-003,241.72200E-006,10.38990E+000,316.00100E-003,11.14410E-006,10.38990E+000
1,1,90,99.99990E-003,237.49100E-006,10.49350E+000,323.00100E-003,11.77420E-006,10.49350E+000
1,1,91,100.00000E-003,233.69900E-006,10.59705E+000,330.00100E-003,12.41500E-006,10.59705E+000
1,1,92,100.00000E-003,230.42700E-006,10.70429E+000,337.00000E-003,13.03380E-006,10.70429E+000
1,1,93,100.00000E-003,227.66900E-006,10.80824E+000,344.00100E-003,13.66950E-006,10.80824E+000
1,1,94,100.00000E-003,225.43900E-006,10.91189E+000,351.00100E-003,14.28400E-006,10.91189E+000
1,1,95,100.00000E-003,223.75300E-006,11.01546E+000,358.00100E-003,14.92540E-006,11.01546E+000
1,1,96,100.00000E-003,222.59700E-006,11.11900E+000,365.00100E-003,15.55680E-006,11.11900E+000
1,1,97,100.00000E-003,222.00300E-006,11.22699E+000,372.00100E-003,16.15650E-006,11.22699E+000
1,1,98,100.00000E-003,221.94600E-006,11.33057E+000,379.00100E-003,16.77240E-006,11.33057E+000
1,1,99,100.00000E-003,222.47000E-006,11.43460E+000,386.00100E-003,17.37770E-006,11.43460E+000
1,1,100,100.00000E-003,223.51000E-006,11.54040E+000,393.00100E-003,17.94090E-006,11.54040E+000
1,1,101,100.00000E-003,225.09200E-006,11.64401E+000,400.00100E-003,18.53360E-006,11.64401E+000
1,1,102,100.00000E-003,227.13700E-006,11.74764E+000,407.00100E-003,19.11770E-006,11.74764E+000
1,1,103,99.99990E-003,229.72900E-006,11.85123E+000,414.00100E-003,19.66760E-006,11.85123E+000
1,1,104,100.00000E-003,232.77300E-006,11.95526E+000,421.00100E-003,20.22370E-006,11.95526E+000
1,1,105,100.00000E-003,236.23500E-006,12.05883E+000,428.00100E-003,20.79400E-006,12.05883E+000
1,1,106,100.00000E-003,240.25700E-006,12.18806E+000,435.00000E-003,21.15860E-006,12.18806E+000
1,1,107,100.00000E-003,244.61100E-006,12.29170E+000,442.00100E-003,21.76040E-006,12.29170E+000
1,1,108,100.00000E-003,249.30200E-006,12.39528E+000,449.00100E-003,22.31090E-006,12.39528E+000
1,1,109,100.00000E-003,254.38300E-006,12.49888E+000,456.00100E-003,22.86600E-006,12.49888E+000
1,1,110,100.00000E-003,259.78800E-006,12.60431E+000,463.00100E-003,23.39240E-006,12.60431E+000
1,1,111,100.00000E-003,265.63500E-006,12.73203E+000,470.00100E-003,23.82670E-006,12.73203E+000
1,1,112,100.00000E-003,271.59100E-006,12.83561E+000,477.00100E-003,24.43410E-006,12.83561E+000
1,1,113,100.00000E-003,277.78800E-006,12.93924E+000,484.00100E-003,24.96830E-006,12.93924E+000
1,1,114,100.00000E-003,284.33900E-006,13.04319E+000,491.00100E-003,25.33630E-006,13.04319E+000
1,1,115,100.00000E-003,290.96000E-006,13.14712E+000,498.00100E-003,25.84360E-006,13.14712E+000
1,1,116,99.99990E-003,297.74200E-006,13.25073E+000,505.00100E-003,26.34510E-006,13.25073E+000
1,1,117,100.00000E-003,304.62800E-006,13.35433E+000,512.00100E-003,26.84600E-006,13.35433E+000
1,1,118,99.99990E-003,311.66700E-006,13.45793E+000,519.00100E-003,27.35770E-006,13.45793E+000
1,1,119,100.00000E-003,318.80400E-006,13.56360E+000,526.00100E-003,27.87870E-006,13.56360E+000
1,1,120,100.00000E-003,326.24300E-006,13.69693E+000,533.00100E-003,28.19680E-006,13.69693E+000
1,1,121,100.00000E-003,333.53200E-006,13.80055E+000,540.00100E-003,28.70950E-006,13.80055E+000
1,1,122,100.00000E-003,340.83900E-006,13.90416E+000,547.00100E-003,29.19090E-006,13.90416E+000
1,1,123,100.00000E-003,348.11000E-006,14.00774E+000,554.00100E-003,29.70580E-006,14.00774E+000
1,1,124,100.00000E-003,355.41300E-006,14.11299E+000,561.00100E-003,30.22430E-006,14.11299E+000
1,1,125,100.00000E-003,362.91200E-006,14.23787E+000,568.00100E-003,30.60780E-006,14.23787E+000
1,1,126,100.00000E-003,370.12100E-006,14.34146E+000,575.00100E-003,31.15100E-006,14.34146E+000
