Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,418.05200E-006,135.05700E-003,-299.99000E-003,-113.23400E-009,135.05700E-003
1,1,2,100.00000E-003,417.22500E-006,244.93500E-003,-293.99700E-003,208.75300E-009,244.93500E-003
1,1,3,100.00000E-003,416.38400E-006,354.36800E-003,-287.99800E-003,356.21900E-009,354.36800E-003
1,1,4,100.00000E-003,415.52500E-006,463.75900E-003,-281.99800E-003,448.34600E-009,463.75900E-003
1,1,5,99.99990E-003,414.68100E-006,575.41300E-003,-275.99100E-003,509.03100E-009,575.41300E-003
1,1,6,100.00000E-003,413.89300E-006,684.81200E-003,-270.00000E-003,569.60600E-009,684.81200E-003
1,1,7,100.00000E-003,413.09400E-006,794.34200E-003,-263.99900E-003,616.82300E-009,794.34200E-003
1,1,8,100.00000E-003,412.23800E-006,901.25800E-003,-257.99900E-003,648.42000E-009,901.25800E-003
1,1,9,100.00000E-003,411.41900E-006,1.00834E+000,-251.99900E-003,682.65000E-009,1.00834E+000
1,1,10,100.00000E-003,410.52900E-006,1.11565E+000,-245.99900E-003,713.90000E-009,1.11565E+000
1,1,11,100.00000E-003,409.72700E-006,1.23341E+000,-239.99900E-003,689.04000E-009,1.23341E+000
1,1,12,100.00000E-003,408.80000E-006,1.34086E+000,-233.99900E-003,756.54000E-009,1.34086E+000
1,1,13,100.00000E-003,407.93900E-006,1.44786E+000,-227.99900E-003,791.25000E-009,1.44786E+000
1,1,14,100.00000E-003,406.99700E-006,1.55477E+000,-221.99900E-003,823.00000E-009,1.55477E+000
1,1,15,100.00000E-003,406.10700E-006,1.66184E+000,-215.99900E-003,843.74000E-009,1.66184E+000
1,1,16,100.00000E-003,405.23700E-006,1.77363E+000,-209.99890E-003,854.94000E-009,1.77363E+000
1,1,17,100.00000E-003,404.28900E-006,1.88277E+000,-203.99910E-003,877.66000E-009,1.88277E+000
1,1,18,100.00000E-003,403.34700E-006,1.99290E+000,-197.99920E-003,890.12000E-009,1.99290E+000
1,1,19,99.99990E-003,402.46500E-006,2.10320E+000,-191.99910E-003,908.80000E-009,2.10320E+000
1,1,20,100.00000E-003,401.53900E-006,2.24268E+000,-185.99940E-003,800.83000E-009,2.24268E+000
1,1,21,100.00000E-003,400.46700E-006,2.35334E+000,-179.99920E-003,901.44000E-009,2.35334E+000
1,1,22,100.00000E-003,399.45400E-006,2.46025E+000,-173.99900E-003,965.56000E-009,2.46025E+000
1,1,23,100.00000E-003,398.43100E-006,2.56715E+000,-167.99910E-003,996.18000E-009,2.56715E+000
1,1,24,100.00000E-003,397.41200E-006,2.67484E+000,-161.99900E-003,1.01748E-006,2.67484E+000
1,1,25,99.99990E-003,396.36600E-006,2.79126E+000,-155.99900E-003,1.02058E-006,2.79126E+000
1,1,26,100.00000E-003,395.38200E-006,2.89813E+000,-149.99900E-003,1.04517E-006,2.89813E+000
1,1,27,100.00000E-003,394.34500E-006,3.00497E+000,-143.99890E-003,1.06522E-006,3.00497E+000
1,1,28,100.00000E-003,393.33900E-006,3.11242E+000,-137.99900E-003,1.07721E-006,3.11242E+000
1,1,29,100.00000E-003,392.27700E-006,3.23343E+000,-131.99900E-003,1.01555E-006,3.23343E+000
1,1,30,100.00000E-003,391.24800E-006,3.34721E+000,-125.99930E-003,1.03993E-006,3.34721E+000
1,1,31,100.00000E-003,390.14600E-006,3.45623E+000,-119.99920E-003,1.07828E-006,3.45623E+000
1,1,32,100.00000E-003,389.02100E-006,3.56535E+000,-113.99910E-003,1.09484E-006,3.56535E+000
1,1,33,100.00000E-003,387.84000E-006,3.67268E+000,-107.99890E-003,1.12344E-006,3.67268E+000
1,1,34,100.00000E-003,386.69700E-006,3.78695E+000,-101.99880E-003,1.12173E-006,3.78695E+000
1,1,35,100.00000E-003,385.52500E-006,3.89382E+000,-95.99890E-003,1.13948E-006,3.89382E+000
1,1,36,100.00000E-003,384.41200E-006,4.00066E+000,-89.99910E-003,1.15195E-006,4.00066E+000
1,1,37,100.00000E-003,383.17100E-006,4.10759E+000,-83.99890E-003,1.16374E-006,4.10759E+000
1,1,38,100.00000E-003,381.95500E-006,4.23855E+000,-77.99930E-003,1.05243E-006,4.23855E+000
1,1,39,100.00000E-003,380.67900E-006,4.34547E+000,-71.99920E-003,1.13088E-006,4.34547E+000
1,1,40,100.00000E-003,379.41200E-006,4.45235E+000,-65.99890E-003,1.15334E-006,4.45235E+000
1,1,41,100.00000E-003,378.12900E-006,4.56098E+000,-59.99910E-003,1.15865E-006,4.56098E+000
1,1,42,100.00000E-003,376.77800E-006,4.66827E+000,-53.99920E-003,1.16695E-006,4.66827E+000
1,1,43,100.00000E-003,375.41400E-006,4.78115E+000,-47.99910E-003,1.16113E-006,4.78115E+000
1,1,44,100.00000E-003,373.97200E-006,4.88809E+000,-41.99900E-003,1.17070E-006,4.88809E+000
1,1,45,100.00000E-003,372.58200E-006,4.99507E+000,-35.99900E-003,1.17514E-006,4.99507E+000
1,1,46,100.00000E-003,371.10500E-006,5.10201E+000,-29.99890E-003,1.17967E-006,5.10201E+000
1,1,47,100.00000E-003,369.60500E-006,5.23945E+000,-23.99940E-003,1.04674E-006,5.23945E+000
1,1,48,100.00000E-003,368.07700E-006,5.34772E+000,-17.99920E-003,1.13158E-006,5.34772E+000
1,1,49,100.00000E-003,366.46200E-006,5.45607E+000,-11.99900E-003,1.14802E-006,5.45607E+000
1,1,50,100.00000E-003,364.87200E-006,5.56296E+000,-5.99890E-003,1.16681E-006,5.56296E+000
1,1,51,100.00000E-003,363.19500E-006,5.66979E+000,1.20000E-006,1.17863E-006,5.66979E+000
1,1,52,99.99990E-003,361.56500E-006,5.78686E+000,6.00080E-003,1.16832E-006,5.78686E+000
1,1,53,100.00000E-003,359.82900E-006,5.89385E+000,12.00110E-003,1.18822E-006,5.89385E+000
1,1,54,100.00000E-003,358.03300E-006,6.00077E+000,18.00110E-003,1.19833E-006,6.00077E+000
1,1,55,100.00000E-003,356.32300E-006,6.10799E+000,24.00090E-003,1.21116E-006,6.10799E+000
1,1,56,99.99990E-003,354.57100E-006,6.24413E+000,30.00050E-003,1.10796E-006,6.24413E+000
1,1,57,99.99990E-003,352.63700E-006,6.35285E+000,36.00080E-003,1.18498E-006,6.35285E+000
1,1,58,100.00000E-003,350.76100E-006,6.46016E+000,42.00080E-003,1.22130E-006,6.46016E+000
1,1,59,100.00000E-003,348.80700E-006,6.56753E+000,48.00090E-003,1.24653E-006,6.56753E+000
1,1,60,100.00000E-003,346.89800E-006,6.67438E+000,54.00090E-003,1.27103E-006,6.67438E+000
1,1,61,100.00000E-003,344.87000E-006,6.78855E+000,60.00110E-003,1.28330E-006,6.78855E+000
1,1,62,100.00000E-003,342.86500E-006,6.89546E+000,66.00100E-003,1.30963E-006,6.89546E+000
1,1,63,100.00000E-003,340.73100E-006,7.00245E+000,72.00080E-003,1.33294E-006,7.00245E+000
1,1,64,99.99990E-003,338.53200E-006,7.10937E+000,78.00080E-003,1.35964E-006,7.10937E+000
1,1,65,100.00000E-003,336.32600E-006,7.24921E+000,84.00070E-003,1.25878E-006,7.24921E+000
1,1,66,100.00000E-003,334.03900E-006,7.35614E+000,90.00100E-003,1.35457E-006,7.35614E+000
1,1,67,100.00000E-003,331.71000E-006,7.46310E+000,96.00100E-003,1.40200E-006,7.46310E+000
1,1,68,100.00000E-003,329.35700E-006,7.56997E+000,102.00090E-003,1.44045E-006,7.56997E+000
1,1,69,100.00000E-003,326.96900E-006,7.67688E+000,108.00080E-003,1.48305E-006,7.67688E+000
1,1,70,100.00000E-003,324.45900E-006,7.79173E+000,114.00110E-003,1.50904E-006,7.79173E+000
1,1,71,100.00000E-003,321.89000E-006,7.89862E+000,120.00100E-003,1.54712E-006,7.89862E+000
1,1,72,100.00000E-003,319.29200E-006,8.00549E+000,126.00120E-003,1.59508E-006,8.00549E+000
1,1,73,99.99990E-003,316.71600E-006,8.11241E+000,132.00090E-003,1.63919E-006,8.11241E+000
1,1,74,99.99990E-003,313.98100E-006,8.25268E+000,138.00060E-003,1.56743E-006,8.25268E+000
1,1,75,100.00000E-003,311.18900E-006,8.35960E+000,144.00090E-003,1.69223E-006,8.35960E+000
1,1,76,99.99990E-003,308.36100E-006,8.46683E+000,150.00090E-003,1.77683E-006,8.46683E+000
1,1,77,100.00000E-003,305.44100E-006,8.57375E+000,156.00090E-003,1.89507E-006,8.57375E+000
1,1,78,100.00000E-003,302.45800E-006,8.68063E+000,162.00090E-003,2.01211E-006,8.68063E+000
1,1,79,100.00000E-003,299.48100E-006,8.79300E+000,168.00100E-003,2.15333E-006,8.79300E+000
1,1,80,100.00000E-003,296.38500E-006,8.89988E+000,174.00090E-003,2.34376E-006,8.89988E+000
1,1,81,100.00000E-003,293.35100E-006,9.00673E+000,180.00130E-003,2.39723E-006,9.00673E+000
1,1,82,99.99990E-003,290.26600E-006,9.11370E+000,186.00100E-003,2.37281E-006,9.11370E+000
1,1,83,100.00000E-003,287.04100E-006,9.25530E+000,192.00090E-003,2.31165E-006,9.25530E+000
1,1,84,100.00010E-003,283.82600E-006,9.36255E+000,198.00090E-003,2.49042E-006,9.36255E+000
1,1,85,100.00010E-003,280.47900E-006,9.46975E+000,204.00080E-003,2.63488E-006,9.46975E+000
1,1,86,100.00000E-003,277.09800E-006,9.57665E+000,210.00100E-003,2.78251E-006,9.57665E+000
1,1,87,100.00000E-003,273.70900E-006,9.68358E+000,216.00100E-003,2.94998E-006,9.68358E+000
1,1,88,100.00000E-003,270.39300E-006,9.79653E+000,222.00100E-003,3.10037E-006,9.79653E+000
1,1,89,99.99990E-003,267.06300E-006,9.90369E+000,228.00100E-003,3.27309E-006,9.90369E+000
1,1,90,99.99990E-003,263.74300E-006,10.01438E+000,234.00000E-003,3.43508E-006,10.01438E+000
