Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,401.52000E-006,64.38400E-003,-300.00000E-003,-4.23757E-006,64.38400E-003
1,1,2,100.00000E-003,400.80700E-006,168.38200E-003,-293.00000E-003,-3.75465E-006,168.38200E-003
1,1,3,100.00000E-003,400.47600E-006,273.66400E-003,-286.00000E-003,-3.39970E-006,273.66400E-003
1,1,4,100.00000E-003,399.99100E-006,377.22000E-003,-279.00000E-003,-3.09011E-006,377.22000E-003
1,1,5,100.00000E-003,399.55700E-006,480.78800E-003,-272.00000E-003,-2.81511E-006,480.78800E-003
1,1,6,100.00000E-003,399.13600E-006,584.36700E-003,-265.00000E-003,-2.56613E-006,584.36700E-003
1,1,7,100.00000E-003,398.70400E-006,696.24200E-003,-258.00000E-003,-2.34408E-006,696.24200E-003
1,1,8,100.00000E-003,398.07300E-006,799.82700E-003,-251.00000E-003,-2.12743E-006,799.82700E-003
1,1,9,100.00000E-003,397.58500E-006,903.38500E-003,-244.00000E-003,-1.92942E-006,903.38500E-003
1,1,10,100.00000E-003,397.20700E-006,1.00694E+000,-237.00000E-003,-1.74438E-006,1.00694E+000
1,1,11,100.00000E-003,396.89900E-006,1.11052E+000,-230.00000E-003,-1.57377E-006,1.11052E+000
1,1,12,100.00000E-003,396.42700E-006,1.21412E+000,-223.00000E-003,-1.41437E-006,1.21412E+000
1,1,13,100.00000E-003,396.09100E-006,1.31769E+000,-216.00000E-003,-1.26379E-006,1.31769E+000
1,1,14,100.00000E-003,395.46200E-006,1.42168E+000,-208.99950E-003,-1.13388E-006,1.42168E+000
1,1,15,100.00000E-003,394.99700E-006,1.57972E+000,-201.99970E-003,-1.15861E-006,1.57972E+000
1,1,16,100.00000E-003,394.47100E-006,1.75290E+000,-194.99960E-003,-1.09755E-006,1.75290E+000
1,1,17,100.00000E-003,393.96100E-006,1.85922E+000,-187.99530E-003,-871.91300E-009,1.85922E+000
1,1,18,100.00000E-003,393.45400E-006,1.96278E+000,-180.99450E-003,-711.82200E-009,1.96278E+000
1,1,19,100.00000E-003,392.90600E-006,2.06645E+000,-173.99430E-003,-585.24300E-009,2.06645E+000
1,1,20,100.00000E-003,392.43700E-006,2.17003E+000,-166.99430E-003,-473.93000E-009,2.17003E+000
1,1,21,100.00000E-003,391.77800E-006,2.27405E+000,-159.99410E-003,-374.48200E-009,2.27405E+000
1,1,22,100.00000E-003,391.23700E-006,2.37763E+000,-152.99380E-003,-279.70200E-009,2.37763E+000
1,1,23,99.99990E-003,390.46900E-006,2.48119E+000,-145.99390E-003,-193.17100E-009,2.48119E+000
1,1,24,100.00000E-003,389.81300E-006,2.66771E+000,-138.99750E-003,-390.77500E-009,2.66771E+000
1,1,25,100.00000E-003,389.29900E-006,2.84293E+000,-131.99810E-003,-373.24800E-009,2.84293E+000
1,1,26,100.00000E-003,388.69500E-006,3.01440E+000,-124.99700E-003,-320.43600E-009,3.01440E+000
1,1,27,100.00000E-003,388.02200E-006,3.20509E+000,-117.99770E-003,-313.14800E-009,3.20509E+000
1,1,28,100.00000E-003,387.55400E-006,3.37806E+000,-110.99700E-003,-235.52400E-009,3.37806E+000
1,1,29,100.00000E-003,386.85600E-006,3.49864E+000,-103.74470E-003,-26.42270E-009,3.49864E+000
1,1,30,100.00000E-003,386.22900E-006,3.60924E+000,-96.99470E-003,87.82300E-009,3.60924E+000
1,1,31,100.00000E-003,385.50900E-006,3.71756E+000,-89.99450E-003,189.16800E-009,3.71756E+000
1,1,32,100.00000E-003,384.93500E-006,3.82112E+000,-82.99390E-003,285.20000E-009,3.82112E+000
1,1,33,100.00000E-003,384.08900E-006,3.93077E+000,-75.99410E-003,335.43200E-009,3.93077E+000
1,1,34,99.99990E-003,383.40000E-006,4.04015E+000,-68.99420E-003,395.11600E-009,4.04015E+000
1,1,35,100.00000E-003,382.63400E-006,4.17925E+000,-61.99560E-003,345.67900E-009,4.17925E+000
1,1,36,100.00000E-003,381.93500E-006,4.29042E+000,-54.99460E-003,453.30900E-009,4.29042E+000
1,1,37,100.00000E-003,381.24700E-006,4.39989E+000,-47.99440E-003,528.47300E-009,4.39989E+000
1,1,38,100.00000E-003,380.50100E-006,4.50926E+000,-40.99410E-003,588.12200E-009,4.50926E+000
1,1,39,100.00000E-003,379.61900E-006,4.61863E+000,-33.99390E-003,641.98000E-009,4.61863E+000
1,1,40,100.00000E-003,378.83800E-006,4.72808E+000,-26.99400E-003,692.25200E-009,4.72808E+000
