Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,440.59900E-006,64.30100E-003,-300.00100E-003,-1.13653E-006,64.30100E-003
1,1,2,100.00000E-003,439.55600E-006,290.75300E-003,-293.99900E-003,-865.07000E-009,290.75300E-003
1,1,3,100.00000E-003,438.51600E-006,465.02500E-003,-287.98900E-003,-686.29500E-009,465.02500E-003
1,1,4,100.00000E-003,437.22700E-006,656.22400E-003,-281.98700E-003,-477.07300E-009,656.22400E-003
1,1,5,100.00000E-003,436.03300E-006,765.68500E-003,-275.99100E-003,37.16100E-009,765.68500E-003
1,1,6,100.00000E-003,434.96700E-006,875.11300E-003,-269.99200E-003,248.33500E-009,875.11300E-003
1,1,7,100.00000E-003,434.10400E-006,984.80300E-003,-263.99200E-003,396.40000E-009,984.80300E-003
1,1,8,100.00000E-003,432.85000E-006,1.09170E+000,-257.99900E-003,506.49000E-009,1.09170E+000
1,1,9,99.99990E-003,431.77600E-006,1.20247E+000,-251.99900E-003,597.07000E-009,1.20247E+000
1,1,10,100.00000E-003,430.42800E-006,1.30939E+000,-245.99900E-003,683.45000E-009,1.30939E+000
1,1,11,99.99990E-003,429.17600E-006,1.41629E+000,-239.99900E-003,761.94000E-009,1.41629E+000
1,1,12,100.00000E-003,428.89700E-006,1.52318E+000,-233.99900E-003,851.54000E-009,1.52318E+000
1,1,13,100.00000E-003,428.07900E-006,1.65935E+000,-227.99900E-003,696.18000E-009,1.65935E+000
1,1,14,100.00000E-003,427.13700E-006,1.76627E+000,-221.99900E-003,912.27000E-009,1.76627E+000
1,1,15,99.99990E-003,426.00800E-006,1.87491E+000,-215.99900E-003,977.99000E-009,1.87491E+000
1,1,16,100.00000E-003,425.08400E-006,1.98189E+000,-209.99870E-003,1.04688E-006,1.98189E+000
1,1,17,100.00000E-003,424.00100E-006,2.08877E+000,-203.99850E-003,1.11877E-006,2.08877E+000
1,1,18,100.00000E-003,422.91900E-006,2.20302E+000,-197.99870E-003,1.15508E-006,2.20302E+000
1,1,19,100.00000E-003,421.76800E-006,2.30991E+000,-191.99850E-003,1.21536E-006,2.30991E+000
1,1,20,100.00000E-003,420.36400E-006,2.41699E+000,-185.99860E-003,1.27402E-006,2.41699E+000
1,1,21,100.00000E-003,419.49700E-006,2.52390E+000,-179.99840E-003,1.32637E-006,2.52390E+000
1,1,22,99.99990E-003,418.22900E-006,2.66625E+000,-173.99930E-003,1.11580E-006,2.66625E+000
1,1,23,100.00000E-003,417.21300E-006,2.77319E+000,-167.99870E-003,1.35589E-006,2.77319E+000
1,1,24,100.00000E-003,416.51100E-006,2.88001E+000,-161.99840E-003,1.44791E-006,2.88001E+000
1,1,25,100.00000E-003,415.03200E-006,2.99017E+000,-155.99860E-003,1.46398E-006,2.99017E+000
1,1,26,99.99990E-003,413.88600E-006,3.09701E+000,-149.99850E-003,1.55339E-006,3.09701E+000
1,1,27,100.00000E-003,412.72800E-006,3.20574E+000,-143.99850E-003,1.59761E-006,3.20574E+000
1,1,28,100.00000E-003,411.55300E-006,3.31264E+000,-137.99850E-003,1.64917E-006,3.31264E+000
1,1,29,100.00000E-003,410.43600E-006,3.41956E+000,-131.99840E-003,1.69224E-006,3.41956E+000
1,1,30,100.00000E-003,409.17100E-006,3.52642E+000,-125.99850E-003,1.72280E-006,3.52642E+000
1,1,31,99.99990E-003,408.40400E-006,3.66485E+000,-119.99900E-003,1.52292E-006,3.66485E+000
1,1,32,100.00000E-003,406.99900E-006,3.77175E+000,-113.99860E-003,1.71431E-006,3.77175E+000
1,1,33,100.00000E-003,405.53700E-006,3.87863E+000,-107.99860E-003,1.78396E-006,3.87863E+000
1,1,34,100.00000E-003,403.84900E-006,3.98671E+000,-101.99850E-003,1.81786E-006,3.98671E+000
1,1,35,100.00000E-003,402.31900E-006,4.09363E+000,-95.99850E-003,1.87689E-006,4.09363E+000
1,1,36,100.00000E-003,400.81300E-006,4.20850E+000,-89.99860E-003,1.89355E-006,4.20850E+000
1,1,37,100.00000E-003,399.32500E-006,4.31541E+000,-83.99860E-003,1.94021E-006,4.31541E+000
1,1,38,100.00000E-003,397.88600E-006,4.42229E+000,-77.99840E-003,1.98149E-006,4.42229E+000
1,1,39,100.00000E-003,396.46200E-006,4.52926E+000,-71.99840E-003,2.01932E-006,4.52926E+000
1,1,40,100.00000E-003,395.06100E-006,4.66982E+000,-65.99920E-003,1.79152E-006,4.66982E+000
1,1,41,100.00000E-003,393.47000E-006,4.77709E+000,-59.99850E-003,1.98092E-006,4.77709E+000
1,1,42,100.00000E-003,391.97600E-006,4.88400E+000,-53.99850E-003,2.04043E-006,4.88400E+000
1,1,43,100.00000E-003,390.44700E-006,4.99088E+000,-47.99860E-003,2.07950E-006,4.99088E+000
1,1,44,100.00000E-003,388.74400E-006,5.09776E+000,-41.99860E-003,2.11839E-006,5.09776E+000
1,1,45,100.00000E-003,387.14400E-006,5.21363E+000,-35.99850E-003,2.11543E-006,5.21363E+000
1,1,46,99.99990E-003,385.41200E-006,5.32056E+000,-29.99830E-003,2.15185E-006,5.32056E+000
1,1,47,99.99990E-003,383.68000E-006,5.42744E+000,-23.99860E-003,2.17240E-006,5.42744E+000
1,1,48,100.00000E-003,381.87700E-006,5.53433E+000,-17.99840E-003,2.19544E-006,5.53433E+000
1,1,49,100.00000E-003,380.25300E-006,5.67608E+000,-11.99920E-003,1.96189E-006,5.67608E+000
1,1,50,99.99990E-003,378.34500E-006,5.78323E+000,-5.99870E-003,2.12358E-006,5.78323E+000
