Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,92.47620E-003,1.00000E-003,65.03400E-003,-300.00000E-003,-975.70000E-009,65.03400E-003
1,1,2,92.88550E-003,1.00000E-003,240.36400E-003,-292.98800E-003,-509.50600E-009,240.36400E-003
1,1,3,93.27880E-003,1.00000E-003,349.76200E-003,-285.99000E-003,165.79200E-009,349.76200E-003
1,1,4,93.70970E-003,1.00000E-003,456.68900E-003,-278.99900E-003,537.31000E-009,456.68900E-003
1,1,5,94.14670E-003,1.00000E-003,560.30400E-003,-271.99900E-003,827.25000E-009,560.30400E-003
1,1,6,94.59490E-003,1.00000E-003,663.92700E-003,-264.99900E-003,1.05695E-006,663.92700E-003
1,1,7,95.05370E-003,1.00000E-003,767.54400E-003,-257.99900E-003,1.25219E-006,767.54400E-003
1,1,8,95.51680E-003,1.00000E-003,871.10600E-003,-250.99900E-003,1.42614E-006,871.10600E-003
1,1,9,95.98500E-003,1.00000E-003,977.35100E-003,-243.99900E-003,1.57326E-006,977.35100E-003
1,1,10,96.46260E-003,1.00000E-003,1.08094E+000,-236.99900E-003,1.72202E-006,1.08094E+000
1,1,11,96.95190E-003,1.00000E-003,1.19934E+000,-229.99900E-003,1.80294E-006,1.19934E+000
1,1,12,97.43960E-003,1.00000E-003,1.30292E+000,-222.99900E-003,1.95323E-006,1.30292E+000
1,1,13,97.93120E-003,1.00000E-003,1.40649E+000,-215.99900E-003,2.08257E-006,1.40649E+000
1,1,14,98.42840E-003,1.00000E-003,1.51206E+000,-208.99830E-003,2.17808E-006,1.51206E+000
1,1,15,98.94310E-003,999.99600E-006,1.61560E+000,-201.99830E-003,2.29965E-006,1.61560E+000
1,1,16,99.45550E-003,999.92100E-006,1.71920E+000,-194.99820E-003,2.40948E-006,1.71920E+000
1,1,17,99.90980E-003,999.13400E-006,1.82277E+000,-187.99820E-003,2.51665E-006,1.82277E+000
1,1,18,100.00000E-003,994.56200E-006,1.92638E+000,-180.99820E-003,2.63163E-006,1.92638E+000
1,1,19,100.00000E-003,988.93100E-006,2.02994E+000,-173.99810E-003,2.73864E-006,2.02994E+000
1,1,20,100.00000E-003,982.97300E-006,2.17515E+000,-166.99900E-003,2.42104E-006,2.17515E+000
1,1,21,100.00000E-003,977.51700E-006,2.27878E+000,-159.99820E-003,2.75552E-006,2.27878E+000
1,1,22,100.00000E-003,971.90700E-006,2.38235E+000,-152.99820E-003,2.90726E-006,2.38235E+000
1,1,23,100.00000E-003,966.14500E-006,2.48631E+000,-145.99820E-003,3.01814E-006,2.48631E+000
1,1,24,100.00000E-003,960.44300E-006,2.58989E+000,-138.99820E-003,3.12342E-006,2.58989E+000
1,1,25,100.00000E-003,954.55600E-006,2.70232E+000,-131.99820E-003,3.17635E-006,2.70232E+000
1,1,26,100.00000E-003,948.69800E-006,2.80591E+000,-124.99810E-003,3.28245E-006,2.80591E+000
1,1,27,100.00000E-003,942.78600E-006,2.90949E+000,-117.99810E-003,3.37824E-006,2.90949E+000
1,1,28,100.00000E-003,936.72800E-006,3.01548E+000,-110.99810E-003,3.43582E-006,3.01548E+000
1,1,29,100.00000E-003,930.74600E-006,3.11907E+000,-103.99810E-003,3.54569E-006,3.11907E+000
1,1,30,100.00000E-003,924.65800E-006,3.22266E+000,-96.99800E-003,3.63881E-006,3.22266E+000
1,1,31,100.00000E-003,918.54200E-006,3.32625E+000,-89.99800E-003,3.72861E-006,3.32625E+000
1,1,32,100.00000E-003,912.36500E-006,3.43009E+000,-82.99790E-003,3.81729E-006,3.43009E+000
1,1,33,100.00000E-003,906.01100E-006,3.53372E+000,-75.99790E-003,3.90736E-006,3.53372E+000
1,1,34,100.00000E-003,899.28800E-006,3.66272E+000,-68.99850E-003,3.68879E-006,3.66272E+000
1,1,35,100.00000E-003,893.03200E-006,3.76629E+000,-61.99810E-003,3.95809E-006,3.76629E+000
1,1,36,100.00000E-003,886.65100E-006,3.86988E+000,-54.99810E-003,4.09355E-006,3.86988E+000
1,1,37,100.00000E-003,880.07900E-006,3.97346E+000,-47.99800E-003,4.20849E-006,3.97346E+000
1,1,38,100.00000E-003,873.46600E-006,4.07710E+000,-40.99800E-003,4.31395E-006,4.07710E+000
1,1,39,100.00000E-003,866.82800E-006,4.18070E+000,-33.99800E-003,4.41908E-006,4.18070E+000
1,1,40,100.00000E-003,860.00100E-006,4.28430E+000,-26.99800E-003,4.52109E-006,4.28430E+000
1,1,41,100.00000E-003,853.09100E-006,4.38990E+000,-19.99800E-003,4.61103E-006,4.38990E+000
