Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,94.45780E-003,1.00000E-003,64.55400E-003,-300.00300E-003,-5.42729E-006,64.55400E-003
1,1,2,94.86910E-003,1.00000E-003,171.84800E-003,-294.00000E-003,-3.93531E-006,171.84800E-003
1,1,3,95.26550E-003,1.00000E-003,278.72100E-003,-288.00000E-003,-3.08793E-006,278.72100E-003
1,1,4,95.68200E-003,1.00000E-003,389.18200E-003,-281.99900E-003,-2.50924E-006,389.18200E-003
1,1,5,96.08730E-003,1.00000E-003,496.07000E-003,-275.99900E-003,-1.96531E-006,496.07000E-003
1,1,6,96.51860E-003,1.00000E-003,603.05300E-003,-269.99900E-003,-1.53249E-006,603.05300E-003
1,1,7,97.01110E-003,1.00000E-003,784.06200E-003,-263.99800E-003,-1.89057E-006,784.06200E-003
1,1,8,97.53010E-003,1.00000E-003,946.64900E-003,-257.99800E-003,-1.51770E-006,946.64900E-003
1,1,9,98.17720E-003,1.00000E-003,1.21161E+000,-252.00800E-003,-2.62544E-006,1.21161E+000
1,1,10,98.78390E-003,999.99200E-006,1.44323E+000,-246.00200E-003,-1.89621E-006,1.44323E+000
1,1,11,99.38790E-003,999.87100E-006,1.66986E+000,-239.99800E-003,-1.30840E-006,1.66986E+000
1,1,12,99.90050E-003,998.81900E-006,1.90083E+000,-233.99700E-003,-965.54000E-009,1.90083E+000
1,1,13,100.00000E-003,994.09800E-006,2.02301E+000,-227.87600E-003,20.18260E-009,2.02301E+000
1,1,14,100.00000E-003,987.51800E-006,2.25013E+000,-221.98700E-003,-604.60100E-009,2.25013E+000
1,1,15,100.00000E-003,981.60700E-006,2.35899E+000,-215.99800E-003,325.73000E-009,2.35899E+000
1,1,16,100.00000E-003,976.02000E-006,2.46613E+000,-209.99740E-003,670.56000E-009,2.46613E+000
