Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00010E-003,51.60490E-006,67.85100E-003,-300.00200E-003,-13.47830E-006,67.85100E-003
1,1,2,100.00000E-003,51.30680E-006,171.84000E-003,-293.00000E-003,-11.48960E-006,171.84000E-003
1,1,3,100.00000E-003,51.01800E-006,275.45900E-003,-285.99900E-003,-10.01160E-006,275.45900E-003
1,1,4,99.99990E-003,50.71810E-006,381.66000E-003,-278.99900E-003,-8.78491E-006,381.66000E-003
1,1,5,99.99990E-003,50.43250E-006,485.25300E-003,-271.99900E-003,-7.68559E-006,485.25300E-003
1,1,6,100.00000E-003,50.13770E-006,589.34800E-003,-264.99900E-003,-6.72924E-006,589.34800E-003
1,1,7,100.00000E-003,49.85260E-006,700.44100E-003,-257.99900E-003,-5.89075E-006,700.44100E-003
1,1,8,100.00000E-003,49.54850E-006,804.03000E-003,-250.99900E-003,-5.11890E-006,804.03000E-003
1,1,9,100.00000E-003,49.23980E-006,908.64300E-003,-243.99900E-003,-4.43339E-006,908.64300E-003
1,1,10,100.00000E-003,48.93990E-006,1.01221E+000,-236.99900E-003,-3.81323E-006,1.01221E+000
1,1,11,100.00000E-003,48.62650E-006,1.11577E+000,-229.99900E-003,-3.25182E-006,1.11577E+000
1,1,12,99.99990E-003,48.32220E-006,1.22008E+000,-222.99900E-003,-2.74640E-006,1.22008E+000
1,1,13,99.99990E-003,48.01450E-006,1.32913E+000,-215.99900E-003,-2.34441E-006,1.32913E+000
1,1,14,100.00000E-003,47.71450E-006,1.43281E+000,-208.99840E-003,-1.89880E-006,1.43281E+000
1,1,15,99.99990E-003,47.37440E-006,1.53649E+000,-201.99840E-003,-1.49352E-006,1.53649E+000
1,1,16,99.99990E-003,47.05590E-006,1.66664E+000,-194.99880E-003,-1.40171E-006,1.66664E+000
1,1,17,99.99950E-003,46.74850E-006,1.82481E+000,-187.99720E-003,-1.35964E-006,1.82481E+000
1,1,18,99.99960E-003,46.42420E-006,1.98284E+000,-180.99730E-003,-1.17772E-006,1.98284E+000
1,1,19,99.99990E-003,46.10450E-006,2.22210E+000,-174.00160E-003,-1.62404E-006,2.22210E+000
1,1,20,99.99990E-003,45.74550E-006,2.32912E+000,-166.98540E-003,-636.50700E-009,2.32912E+000
1,1,21,99.99970E-003,45.40570E-006,2.50846E+000,-159.97620E-003,-754.35900E-009,2.50846E+000
1,1,22,99.99970E-003,45.06580E-006,2.70612E+000,-152.97800E-003,-698.49000E-009,2.70612E+000
1,1,23,100.00000E-003,44.70370E-006,2.81570E+000,-145.98720E-003,29.34000E-009,2.81570E+000
1,1,24,99.99990E-003,44.33550E-006,2.92263E+000,-138.99840E-003,432.50000E-009,2.92263E+000
1,1,25,100.00000E-003,43.97660E-006,3.02622E+000,-131.99830E-003,762.23000E-009,3.02622E+000
1,1,26,100.00000E-003,43.61820E-006,3.16986E+000,-124.99900E-003,643.76000E-009,3.16986E+000
1,1,27,100.00000E-003,43.24170E-006,3.27345E+000,-117.99840E-003,1.08028E-006,3.27345E+000
1,1,28,100.00000E-003,42.86600E-006,3.38044E+000,-110.99840E-003,1.30447E-006,3.38044E+000
1,1,29,99.99990E-003,42.47380E-006,3.48735E+000,-103.99840E-003,1.50074E-006,3.48735E+000
1,1,30,100.00000E-003,42.07710E-006,3.59426E+000,-96.99840E-003,1.67454E-006,3.59426E+000
1,1,31,99.99990E-003,41.67930E-006,3.71083E+000,-89.99830E-003,1.78268E-006,3.71083E+000
1,1,32,100.00000E-003,41.27620E-006,3.81775E+000,-82.99830E-003,1.93833E-006,3.81775E+000
1,1,33,99.99990E-003,40.88000E-006,3.92466E+000,-75.99830E-003,2.07674E-006,3.92466E+000
1,1,34,100.00000E-003,40.46730E-006,4.03181E+000,-68.99830E-003,2.19737E-006,4.03181E+000
1,1,35,100.00000E-003,40.05660E-006,4.17817E+000,-61.99890E-003,1.93487E-006,4.17817E+000
1,1,36,100.00000E-003,39.63780E-006,4.28514E+000,-54.99840E-003,2.23182E-006,4.28514E+000
1,1,37,100.00000E-003,39.21230E-006,4.39204E+000,-47.99820E-003,2.39050E-006,4.39204E+000
1,1,38,99.99990E-003,38.79380E-006,4.49915E+000,-40.99820E-003,2.51163E-006,4.49915E+000
1,1,39,99.99990E-003,38.35490E-006,4.60759E+000,-33.99820E-003,2.60227E-006,4.60759E+000
1,1,40,100.00000E-003,37.91640E-006,4.71715E+000,-26.99830E-003,2.69856E-006,4.71715E+000
1,1,41,100.00000E-003,37.46610E-006,4.82406E+000,-19.99830E-003,2.79350E-006,4.82406E+000
1,1,42,99.99990E-003,37.00910E-006,4.93091E+000,-12.99830E-003,2.87969E-006,4.93091E+000
1,1,43,99.99990E-003,36.54940E-006,5.03777E+000,-5.99830E-003,2.96112E-006,5.03777E+000
1,1,44,100.00000E-003,36.09530E-006,5.17277E+000,1.00120E-003,2.75735E-006,5.17277E+000
1,1,45,100.00000E-003,35.62940E-006,5.27981E+000,8.00160E-003,2.96677E-006,5.27981E+000
1,1,46,99.99990E-003,35.14970E-006,5.38673E+000,15.00170E-003,3.07756E-006,5.38673E+000
1,1,47,100.00000E-003,34.68990E-006,5.49363E+000,22.00170E-003,3.16419E-006,5.49363E+000
