Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,68.33210E-006,189.45800E-003,-300.00000E-003,-181.50000E-009,189.45800E-003
1,1,2,99.99990E-003,68.00750E-006,299.33300E-003,-292.99300E-003,302.42700E-009,299.33300E-003
1,1,3,99.99990E-003,67.75160E-006,406.20700E-003,-285.99900E-003,503.91000E-009,406.20700E-003
1,1,4,99.99990E-003,67.45030E-006,513.08400E-003,-278.99900E-003,607.35000E-009,513.08400E-003
1,1,5,99.99980E-003,67.12790E-006,620.81400E-003,-271.99900E-003,673.05000E-009,620.81400E-003
1,1,6,99.99990E-003,66.85000E-006,727.79300E-003,-264.99900E-003,723.60000E-009,727.79300E-003
1,1,7,99.99990E-003,66.52870E-006,838.84600E-003,-257.99900E-003,759.02000E-009,838.84600E-003
1,1,8,100.00000E-003,66.18710E-006,945.68200E-003,-250.99900E-003,801.23000E-009,945.68200E-003
1,1,9,100.00000E-003,65.83600E-006,1.05480E+000,-243.99900E-003,818.23000E-009,1.05480E+000
1,1,10,100.00000E-003,65.48710E-006,1.16167E+000,-236.99900E-003,855.58000E-009,1.16167E+000
1,1,11,100.00000E-003,65.18870E-006,1.29077E+000,-230.00000E-003,744.66000E-009,1.29077E+000
1,1,12,100.00000E-003,64.85290E-006,1.39991E+000,-222.99900E-003,858.19000E-009,1.39991E+000
1,1,13,99.99990E-003,64.50120E-006,1.50680E+000,-215.99900E-003,916.40000E-009,1.50680E+000
1,1,14,100.00000E-003,64.15840E-006,1.61367E+000,-208.99910E-003,953.31000E-009,1.61367E+000
1,1,15,99.99990E-003,63.80930E-006,1.72229E+000,-201.99920E-003,965.58000E-009,1.72229E+000
1,1,16,99.99990E-003,63.51110E-006,1.84015E+000,-194.99920E-003,983.21000E-009,1.84015E+000
1,1,17,100.00000E-003,63.13360E-006,1.94705E+000,-187.99910E-003,1.02719E-006,1.94705E+000
1,1,18,99.99990E-003,62.80360E-006,2.05392E+000,-180.99910E-003,1.06327E-006,2.05392E+000
1,1,19,99.99990E-003,62.47740E-006,2.16336E+000,-173.99920E-003,1.08871E-006,2.16336E+000
1,1,20,100.00000E-003,62.14990E-006,2.29031E+000,-166.99940E-003,995.14000E-009,2.29031E+000
1,1,21,99.99990E-003,61.78940E-006,2.39720E+000,-159.99920E-003,1.09832E-006,2.39720E+000
1,1,22,100.00000E-003,61.42780E-006,2.50817E+000,-152.99900E-003,1.13142E-006,2.50817E+000
1,1,23,99.99990E-003,61.05020E-006,2.61511E+000,-145.99910E-003,1.19092E-006,2.61511E+000
1,1,24,100.00000E-003,60.69330E-006,2.72200E+000,-138.99920E-003,1.22374E-006,2.72200E+000
1,1,25,100.00000E-003,60.31410E-006,2.83298E+000,-131.99900E-003,1.24546E-006,2.83298E+000
1,1,26,100.00000E-003,59.93380E-006,2.93993E+000,-124.99910E-003,1.27698E-006,2.93993E+000
1,1,27,100.00000E-003,59.55840E-006,3.04707E+000,-117.99920E-003,1.30231E-006,3.04707E+000
1,1,28,99.99990E-003,59.16420E-006,3.15398E+000,-110.99920E-003,1.32733E-006,3.15398E+000
1,1,29,100.00000E-003,58.77720E-006,3.28798E+000,-103.99950E-003,1.19286E-006,3.28798E+000
1,1,30,100.00000E-003,58.35260E-006,3.39494E+000,-96.99920E-003,1.31496E-006,3.39494E+000
1,1,31,99.99990E-003,57.94740E-006,3.50191E+000,-89.99920E-003,1.35507E-006,3.50191E+000
1,1,32,100.00000E-003,57.54330E-006,3.60921E+000,-82.99910E-003,1.38083E-006,3.60921E+000
1,1,33,100.00000E-003,57.11140E-006,3.71777E+000,-75.99910E-003,1.39477E-006,3.71777E+000
1,1,34,99.99990E-003,56.69410E-006,3.83225E+000,-68.99920E-003,1.40671E-006,3.83225E+000
1,1,35,100.00000E-003,56.26250E-006,3.93913E+000,-61.99910E-003,1.43425E-006,3.93913E+000
1,1,36,100.00000E-003,55.83020E-006,4.04601E+000,-54.99930E-003,1.45422E-006,4.04601E+000
1,1,37,100.00000E-003,55.39330E-006,4.15290E+000,-47.99920E-003,1.47230E-006,4.15290E+000
1,1,38,100.00000E-003,54.93510E-006,4.29032E+000,-40.99960E-003,1.32357E-006,4.29032E+000
1,1,39,99.99990E-003,54.48900E-006,4.39723E+000,-33.99920E-003,1.44440E-006,4.39723E+000
1,1,40,99.99990E-003,54.03710E-006,4.50413E+000,-26.99920E-003,1.48268E-006,4.50413E+000
1,1,41,100.00000E-003,53.60960E-006,4.61105E+000,-19.99920E-003,1.50797E-006,4.61105E+000
1,1,42,100.00000E-003,53.14280E-006,4.71793E+000,-12.99930E-003,1.52974E-006,4.71793E+000
1,1,43,100.00000E-003,52.67040E-006,4.83472E+000,-5.99930E-003,1.52817E-006,4.83472E+000
1,1,44,100.00000E-003,52.21090E-006,4.94162E+000,1.00080E-003,1.55638E-006,4.94162E+000
1,1,45,100.00000E-003,51.72420E-006,5.04867E+000,8.00070E-003,1.57737E-006,5.04867E+000
1,1,46,100.00000E-003,51.24750E-006,5.15555E+000,15.00090E-003,1.59893E-006,5.15555E+000
1,1,47,100.00000E-003,50.76060E-006,5.29624E+000,22.00050E-003,1.44792E-006,5.29624E+000
1,1,48,100.00010E-003,50.26340E-006,5.40549E+000,29.00080E-003,1.55467E-006,5.40549E+000
1,1,49,100.00000E-003,49.76950E-006,5.51238E+000,36.00070E-003,1.60719E-006,5.51238E+000
1,1,50,99.99990E-003,49.27150E-006,5.61963E+000,43.00080E-003,1.63845E-006,5.61963E+000
1,1,51,100.00000E-003,48.77190E-006,5.72710E+000,50.00080E-003,1.67211E-006,5.72710E+000
1,1,52,100.00000E-003,48.24890E-006,5.83717E+000,57.00060E-003,1.70574E-006,5.83717E+000
1,1,53,100.00000E-003,47.73120E-006,5.94405E+000,64.00080E-003,1.74231E-006,5.94405E+000
1,1,54,100.00000E-003,47.20820E-006,6.05094E+000,71.00060E-003,1.79965E-006,6.05094E+000
1,1,55,100.00010E-003,46.68490E-006,6.15781E+000,78.00070E-003,1.83041E-006,6.15781E+000
1,1,56,100.00000E-003,46.14330E-006,6.30517E+000,85.00060E-003,1.65907E-006,6.30517E+000
1,1,57,99.99990E-003,45.60800E-006,6.41373E+000,92.00090E-003,1.80092E-006,6.41373E+000
1,1,58,100.00000E-003,45.07620E-006,6.52067E+000,99.00060E-003,1.86678E-006,6.52067E+000
1,1,59,100.00010E-003,44.54850E-006,6.62792E+000,106.00050E-003,1.96202E-006,6.62792E+000
1,1,60,100.00000E-003,43.99320E-006,6.73674E+000,113.00070E-003,2.09328E-006,6.73674E+000
1,1,61,100.00000E-003,43.43590E-006,6.84897E+000,120.00050E-003,2.29468E-006,6.84897E+000
1,1,62,100.00000E-003,42.88350E-006,6.95590E+000,127.00040E-003,2.59176E-006,6.95590E+000
1,1,63,100.00000E-003,42.33640E-006,7.06279E+000,134.00080E-003,2.72459E-006,7.06279E+000
1,1,64,99.99990E-003,41.80790E-006,7.16970E+000,141.00190E-003,2.02373E-006,7.16970E+000
1,1,65,100.00010E-003,41.26150E-006,7.30228E+000,148.00040E-003,1.62159E-006,7.30228E+000
1,1,66,100.00000E-003,40.71320E-006,7.40923E+000,155.00060E-003,1.69445E-006,7.40923E+000
1,1,67,100.00000E-003,40.16270E-006,7.51622E+000,162.00050E-003,1.71478E-006,7.51622E+000
1,1,68,99.99990E-003,39.60640E-006,7.62317E+000,169.00070E-003,1.72397E-006,7.62317E+000
1,1,69,100.00000E-003,39.05350E-006,7.73016E+000,176.00060E-003,1.73679E-006,7.73016E+000
1,1,70,100.00000E-003,38.50180E-006,7.84212E+000,183.00060E-003,1.73563E-006,7.84212E+000
1,1,71,100.00000E-003,37.94960E-006,7.94902E+000,190.00060E-003,1.74248E-006,7.94902E+000
1,1,72,100.00000E-003,37.40370E-006,8.05590E+000,197.00070E-003,1.75377E-006,8.05590E+000
1,1,73,100.00000E-003,36.86050E-006,8.16502E+000,204.00070E-003,1.74598E-006,8.16502E+000
1,1,74,100.00000E-003,36.30720E-006,8.30879E+000,211.00000E-003,1.61499E-006,8.30879E+000
1,1,75,100.00000E-003,35.76310E-006,8.41744E+000,218.00100E-003,1.71598E-006,8.41744E+000
1,1,76,100.00000E-003,35.22270E-006,8.52483E+000,225.00000E-003,1.75797E-006,8.52483E+000
1,1,77,100.00000E-003,34.67970E-006,8.63173E+000,232.00000E-003,1.78601E-006,8.63173E+000
1,1,78,100.00010E-003,34.13270E-006,8.73864E+000,239.00000E-003,1.81735E-006,8.73864E+000
1,1,79,100.00010E-003,33.59730E-006,8.85687E+000,246.00000E-003,1.82856E-006,8.85687E+000
1,1,80,100.00000E-003,33.06350E-006,8.96382E+000,253.00100E-003,1.88593E-006,8.96382E+000
1,1,81,100.00010E-003,32.54150E-006,9.07071E+000,260.00000E-003,1.92054E-006,9.07071E+000
1,1,82,100.00000E-003,32.02120E-006,9.17765E+000,267.00000E-003,1.95526E-006,9.17765E+000
1,1,83,100.00000E-003,31.49190E-006,9.30754E+000,274.00000E-003,1.90988E-006,9.30754E+000
1,1,84,99.99990E-003,30.97760E-006,9.41799E+000,281.00100E-003,1.98925E-006,9.41799E+000
1,1,85,100.00010E-003,30.47720E-006,9.52490E+000,288.00000E-003,2.06074E-006,9.52490E+000
1,1,86,100.00000E-003,29.97980E-006,9.63192E+000,295.00000E-003,2.12274E-006,9.63192E+000
1,1,87,100.00010E-003,29.49490E-006,9.73952E+000,302.00000E-003,2.18545E-006,9.73952E+000
1,1,88,100.00000E-003,29.02610E-006,9.85672E+000,309.00000E-003,2.24034E-006,9.85672E+000
1,1,89,100.00010E-003,28.56120E-006,9.96363E+000,316.00000E-003,2.31356E-006,9.96363E+000
1,1,90,100.00010E-003,28.11190E-006,10.07051E+000,323.00000E-003,2.39325E-006,10.07051E+000
1,1,91,100.00010E-003,27.67730E-006,10.17746E+000,330.00000E-003,2.47842E-006,10.17746E+000
1,1,92,100.00010E-003,27.24760E-006,10.31405E+000,337.00000E-003,2.45780E-006,10.31405E+000
1,1,93,100.00000E-003,26.84350E-006,10.42478E+000,344.00100E-003,2.59057E-006,10.42478E+000
1,1,94,100.00000E-003,26.44630E-006,10.53168E+000,351.00000E-003,2.71489E-006,10.53168E+000
1,1,95,100.00000E-003,26.07660E-006,10.64029E+000,358.00000E-003,2.82695E-006,10.64029E+000
1,1,96,100.00000E-003,25.71900E-006,10.74723E+000,365.00000E-003,2.93606E-006,10.74723E+000
1,1,97,100.00000E-003,25.37130E-006,10.86352E+000,372.00000E-003,3.04339E-006,10.86352E+000
1,1,98,100.00010E-003,25.05450E-006,10.97041E+000,379.00000E-003,3.17206E-006,10.97041E+000
1,1,99,100.00010E-003,24.74710E-006,11.07755E+000,386.00000E-003,3.30015E-006,11.07755E+000
