Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00010E-003,52.89460E-006,68.30900E-003,-300.00000E-003,-1.10557E-006,68.30900E-003
1,1,2,99.99870E-003,52.48450E-006,242.58600E-003,-292.98100E-003,-463.02900E-009,242.58600E-003
1,1,3,100.00000E-003,52.10130E-006,352.38900E-003,-285.99000E-003,285.39800E-009,352.38900E-003
1,1,4,99.99990E-003,51.71260E-006,459.29500E-003,-278.99900E-003,739.47000E-009,459.29500E-003
1,1,5,100.00000E-003,51.32480E-006,563.51900E-003,-271.99900E-003,1.08707E-006,563.51900E-003
1,1,6,100.00000E-003,50.93600E-006,675.31200E-003,-264.99900E-003,1.27681E-006,675.31200E-003
1,1,7,99.99990E-003,50.54670E-006,779.42500E-003,-257.99900E-003,1.55178E-006,779.42500E-003
1,1,8,99.99990E-003,50.15460E-006,883.03900E-003,-250.99900E-003,1.75622E-006,883.03900E-003
1,1,9,99.99990E-003,49.76510E-006,986.60300E-003,-243.99900E-003,1.92516E-006,986.60300E-003
1,1,10,100.00000E-003,49.36840E-006,1.09019E+000,-236.99900E-003,2.07361E-006,1.09019E+000
1,1,11,100.00000E-003,48.97630E-006,1.20042E+000,-229.99900E-003,2.17244E-006,1.20042E+000
1,1,12,99.99990E-003,48.58720E-006,1.30401E+000,-222.99900E-003,2.29954E-006,1.30401E+000
1,1,13,99.99990E-003,48.17480E-006,1.40757E+000,-215.99900E-003,2.40828E-006,1.40757E+000
1,1,14,100.00000E-003,47.77430E-006,1.51117E+000,-208.99850E-003,2.49115E-006,1.51117E+000
1,1,15,100.00000E-003,47.36670E-006,1.61472E+000,-201.99840E-003,2.58650E-006,1.61472E+000
1,1,16,99.99990E-003,46.95290E-006,1.72091E+000,-194.99830E-003,2.65493E-006,1.72091E+000
1,1,17,99.99990E-003,46.52570E-006,1.82782E+000,-187.99830E-003,2.70217E-006,1.82782E+000
1,1,18,99.99990E-003,46.09390E-006,1.93139E+000,-180.99840E-003,2.79338E-006,1.93139E+000
1,1,19,100.00000E-003,45.67270E-006,2.03828E+000,-173.99830E-003,2.83183E-006,2.03828E+000
1,1,20,99.99990E-003,45.24800E-006,2.17867E+000,-166.99890E-003,2.56374E-006,2.17867E+000
1,1,21,100.00000E-003,44.80380E-006,2.28228E+000,-159.99850E-003,2.81286E-006,2.28228E+000
1,1,22,99.99990E-003,44.35720E-006,2.38917E+000,-152.99840E-003,2.89228E-006,2.38917E+000
1,1,23,100.00000E-003,43.90260E-006,2.49607E+000,-145.99840E-003,2.95577E-006,2.49607E+000
1,1,24,100.00000E-003,43.46120E-006,2.60302E+000,-138.99840E-003,3.01104E-006,2.60302E+000
1,1,25,99.99990E-003,42.99780E-006,2.71985E+000,-131.99840E-003,3.01333E-006,2.71985E+000
1,1,26,99.99990E-003,42.53290E-006,2.82688E+000,-124.99840E-003,3.07249E-006,2.82688E+000
1,1,27,99.99990E-003,42.05160E-006,2.93382E+000,-117.99850E-003,3.11838E-006,2.93382E+000
1,1,28,100.00000E-003,41.57360E-006,3.04075E+000,-110.99840E-003,3.15983E-006,3.04075E+000
1,1,29,99.99990E-003,41.10160E-006,3.16709E+000,-103.99870E-003,3.00504E-006,3.16709E+000
1,1,30,99.99990E-003,40.62080E-006,3.27406E+000,-96.99840E-003,3.13590E-006,3.27406E+000
1,1,31,100.00000E-003,40.12170E-006,3.38095E+000,-89.99840E-003,3.18751E-006,3.38095E+000
1,1,32,100.00000E-003,39.61760E-006,3.48784E+000,-82.99830E-003,3.22283E-006,3.48784E+000
1,1,33,99.99990E-003,39.11320E-006,3.59473E+000,-75.99830E-003,3.24814E-006,3.59473E+000
1,1,34,100.00000E-003,38.59730E-006,3.71165E+000,-68.99840E-003,3.22128E-006,3.71165E+000
1,1,35,99.99990E-003,38.07380E-006,3.81861E+000,-61.99850E-003,3.24820E-006,3.81861E+000
1,1,36,100.00000E-003,37.54840E-006,3.92822E+000,-54.99840E-003,3.23588E-006,3.92822E+000
1,1,37,100.00000E-003,37.01750E-006,4.03511E+000,-47.99840E-003,3.25989E-006,4.03511E+000
1,1,38,100.00000E-003,36.47900E-006,4.17004E+000,-40.99880E-003,3.02065E-006,4.17004E+000
1,1,39,100.00000E-003,35.94430E-006,4.27701E+000,-33.99850E-003,3.15199E-006,4.27701E+000
1,1,40,100.00000E-003,35.37760E-006,4.38857E+000,-26.99880E-003,3.14044E-006,4.38857E+000
1,1,41,100.00000E-003,34.82640E-006,4.49707E+000,-19.99860E-003,3.16567E-006,4.49707E+000
1,1,42,100.00000E-003,34.25970E-006,4.60399E+000,-12.99860E-003,3.18706E-006,4.60399E+000
1,1,43,100.00000E-003,33.68940E-006,4.71338E+000,-5.99860E-003,3.18161E-006,4.71338E+000
1,1,44,99.99990E-003,33.11750E-006,4.82032E+000,1.00140E-003,3.18628E-006,4.82032E+000
1,1,45,100.00000E-003,32.54800E-006,4.92730E+000,8.00140E-003,3.18456E-006,4.92730E+000
1,1,46,100.00000E-003,31.96060E-006,5.03581E+000,15.00140E-003,3.16678E-006,5.03581E+000
1,1,47,100.00000E-003,31.37390E-006,5.17286E+000,22.00100E-003,2.93376E-006,5.17286E+000
1,1,48,100.00000E-003,30.77700E-006,5.27980E+000,29.00130E-003,3.05405E-006,5.27980E+000
1,1,49,99.99990E-003,30.17520E-006,5.38675E+000,36.00140E-003,3.08554E-006,5.38675E+000
1,1,50,100.00000E-003,29.55360E-006,5.49374E+000,43.00140E-003,3.09831E-006,5.49374E+000
1,1,51,100.00000E-003,28.94270E-006,5.60065E+000,50.00140E-003,3.10760E-006,5.60065E+000
1,1,52,100.00000E-003,28.33460E-006,5.71805E+000,57.00140E-003,3.07375E-006,5.71805E+000
1,1,53,100.00000E-003,27.72910E-006,5.82498E+000,64.00140E-003,3.08590E-006,5.82498E+000
1,1,54,100.00000E-003,27.10260E-006,5.93187E+000,71.00140E-003,3.08756E-006,5.93187E+000
1,1,55,100.00000E-003,26.47920E-006,6.03876E+000,78.00140E-003,3.09159E-006,6.03876E+000
1,1,56,100.00000E-003,25.85870E-006,6.17562E+000,85.00100E-003,2.86937E-006,6.17562E+000
1,1,57,100.00000E-003,25.22980E-006,6.28253E+000,92.00130E-003,3.02217E-006,6.28253E+000
1,1,58,100.00000E-003,24.59420E-006,6.38944E+000,99.00110E-003,3.14208E-006,6.38944E+000
1,1,59,99.99990E-003,23.97780E-006,6.49632E+000,106.00130E-003,3.31201E-006,6.49632E+000
1,1,60,100.00000E-003,23.32160E-006,6.60318E+000,113.00120E-003,3.13403E-006,6.60318E+000
1,1,61,100.00000E-003,22.69190E-006,6.72095E+000,120.00160E-003,3.14926E-006,6.72095E+000
1,1,62,100.00000E-003,22.04190E-006,6.82789E+000,127.00130E-003,3.12233E-006,6.82789E+000
1,1,63,99.99990E-003,21.39880E-006,6.93482E+000,134.00120E-003,3.14251E-006,6.93482E+000
1,1,64,99.99990E-003,20.76670E-006,7.04170E+000,141.00180E-003,3.22512E-006,7.04170E+000
1,1,65,100.00000E-003,20.12430E-006,7.17907E+000,148.00090E-003,2.97909E-006,7.17907E+000
1,1,66,99.99990E-003,19.48190E-006,7.28597E+000,155.00120E-003,3.12524E-006,7.28597E+000
1,1,67,100.00000E-003,18.84990E-006,7.39301E+000,162.00130E-003,3.20302E-006,7.39301E+000
1,1,68,100.00000E-003,18.22790E-006,7.49988E+000,169.00100E-003,3.46346E-006,7.49988E+000
1,1,69,99.99990E-003,17.58360E-006,7.60677E+000,176.00130E-003,3.31130E-006,7.60677E+000
1,1,70,99.99960E-003,16.97140E-006,7.72193E+000,183.00060E-003,3.38627E-006,7.72193E+000
1,1,71,100.00000E-003,16.34280E-006,7.82884E+000,190.00140E-003,3.40029E-006,7.82884E+000
1,1,72,100.00000E-003,15.72380E-006,7.93576E+000,197.00120E-003,3.44890E-006,7.93576E+000
1,1,73,100.00000E-003,15.12530E-006,8.04263E+000,204.00120E-003,3.55511E-006,8.04263E+000
1,1,74,99.99990E-003,14.53870E-006,8.18126E+000,211.00000E-003,3.58648E-006,8.18126E+000
1,1,75,99.99990E-003,13.93280E-006,8.28823E+000,218.00100E-003,3.55404E-006,8.28823E+000
1,1,76,99.99990E-003,13.35250E-006,8.39516E+000,225.00000E-003,3.65615E-006,8.39516E+000
1,1,77,99.99990E-003,12.77700E-006,8.50208E+000,232.00200E-003,3.76385E-006,8.50208E+000
1,1,78,100.00000E-003,12.23140E-006,8.60897E+000,239.00100E-003,3.98584E-006,8.60897E+000
1,1,79,99.99990E-003,11.67410E-006,8.72626E+000,246.00100E-003,3.82898E-006,8.72626E+000
1,1,80,100.00000E-003,11.13800E-006,8.83318E+000,253.00100E-003,3.88195E-006,8.83318E+000
1,1,81,99.99990E-003,10.61780E-006,8.94013E+000,260.00100E-003,3.95182E-006,8.94013E+000
1,1,82,99.99990E-003,10.11830E-006,9.04701E+000,267.00100E-003,4.02939E-006,9.04701E+000
1,1,83,99.99990E-003,9.64230E-006,9.18431E+000,274.00100E-003,3.91116E-006,9.18431E+000
1,1,84,100.00000E-003,9.22560E-006,9.29131E+000,281.00100E-003,5.03793E-006,9.29131E+000
1,1,85,99.99990E-003,8.72050E-006,9.40083E+000,288.00100E-003,4.19530E-006,9.40083E+000
1,1,86,99.99990E-003,8.29498E-006,9.50770E+000,295.00100E-003,4.29685E-006,9.50770E+000
1,1,87,99.99990E-003,7.91752E-006,9.61458E+000,302.00100E-003,4.84554E-006,9.61458E+000
1,1,88,99.99990E-003,7.51807E-006,9.72857E+000,309.00100E-003,4.47641E-006,9.72857E+000
1,1,89,99.99990E-003,7.17081E-006,9.83553E+000,316.00100E-003,4.57513E-006,9.83553E+000
