Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,15.69670E-006,68.12900E-003,-300.00100E-003,-5.03661E-006,68.12900E-003
1,1,2,99.99990E-003,15.49180E-006,172.13100E-003,-292.99900E-003,-3.65496E-006,172.13100E-003
1,1,3,99.99990E-003,15.33110E-006,275.69500E-003,-285.99900E-003,-2.76615E-006,275.69500E-003
1,1,4,99.99990E-003,15.17300E-006,379.29300E-003,-278.99900E-003,-2.06817E-006,379.29300E-003
1,1,5,99.99990E-003,15.02850E-006,482.85200E-003,-271.99900E-003,-1.48303E-006,482.85200E-003
1,1,6,99.99990E-003,14.92720E-006,661.82400E-003,-265.00000E-003,-1.62480E-006,661.82400E-003
1,1,7,99.99960E-003,14.79550E-006,820.11900E-003,-257.99800E-003,-1.24838E-006,820.11900E-003
1,1,8,99.99960E-003,14.69260E-006,1.04579E+000,-250.99900E-003,-1.38300E-006,1.04579E+000
1,1,9,99.99960E-003,14.58800E-006,1.28803E+000,-243.99800E-003,-1.21753E-006,1.28803E+000
1,1,10,99.99970E-003,14.44650E-006,1.46242E+000,-236.97800E-003,-798.75800E-009,1.46242E+000
1,1,11,99.99990E-003,14.27810E-006,1.57207E+000,-229.98700E-003,90.74600E-009,1.57207E+000
1,1,12,99.99990E-003,14.13420E-006,1.67921E+000,-222.99800E-003,599.84000E-009,1.67921E+000
1,1,13,99.99990E-003,13.99630E-006,1.78620E+000,-215.99800E-003,981.55000E-009,1.78620E+000
1,1,14,99.99990E-003,13.86550E-006,1.89310E+000,-208.99810E-003,1.29010E-006,1.89310E+000
1,1,15,99.99990E-003,13.73470E-006,1.99996E+000,-201.99800E-003,1.59256E-006,1.99996E+000
1,1,16,99.99990E-003,13.60530E-006,2.10698E+000,-194.99800E-003,1.86082E-006,2.10698E+000
1,1,17,99.99990E-003,13.47740E-006,2.22456E+000,-187.99800E-003,2.04742E-006,2.22456E+000
1,1,18,99.99980E-003,13.34560E-006,2.33145E+000,-180.99790E-003,2.30048E-006,2.33145E+000
1,1,19,99.99990E-003,13.21840E-006,2.43832E+000,-173.99790E-003,2.52535E-006,2.43832E+000
1,1,20,99.99980E-003,13.09050E-006,2.54519E+000,-166.99780E-003,2.73539E-006,2.54519E+000
1,1,21,99.99990E-003,12.97760E-006,2.67285E+000,-159.99830E-003,2.65557E-006,2.67285E+000
1,1,22,99.99990E-003,12.83630E-006,2.77977E+000,-152.99790E-003,2.98540E-006,2.77977E+000
1,1,23,99.99980E-003,12.70720E-006,2.88669E+000,-145.99800E-003,3.19911E-006,2.88669E+000
1,1,24,99.99980E-003,12.57670E-006,2.99471E+000,-138.99780E-003,3.36962E-006,2.99471E+000
1,1,25,99.99980E-003,12.44290E-006,3.10360E+000,-131.99780E-003,3.51528E-006,3.10360E+000
1,1,26,99.99980E-003,12.31500E-006,3.21373E+000,-124.99780E-003,3.66811E-006,3.21373E+000
1,1,27,99.99990E-003,12.18240E-006,3.32063E+000,-117.99780E-003,3.82423E-006,3.32063E+000
1,1,28,99.99980E-003,12.05020E-006,3.42755E+000,-110.99770E-003,3.96538E-006,3.42755E+000
1,1,29,99.99980E-003,11.91590E-006,3.53448E+000,-103.99760E-003,4.09686E-006,3.53448E+000
1,1,30,99.99990E-003,11.80820E-006,3.66954E+000,-96.99830E-003,3.85236E-006,3.66954E+000
1,1,31,99.99990E-003,11.66370E-006,3.77646E+000,-89.99780E-003,4.14996E-006,3.77646E+000
1,1,32,99.99980E-003,11.52140E-006,3.88339E+000,-82.99770E-003,4.31328E-006,3.88339E+000
1,1,33,99.99980E-003,11.38070E-006,3.99026E+000,-75.99770E-003,4.44560E-006,3.99026E+000
1,1,34,99.99980E-003,11.24350E-006,4.09911E+000,-68.99780E-003,4.53098E-006,4.09911E+000
1,1,35,99.99980E-003,11.10200E-006,4.21379E+000,-61.99770E-003,4.59961E-006,4.21379E+000
1,1,36,99.99980E-003,10.96070E-006,4.32069E+000,-54.99770E-003,4.71794E-006,4.32069E+000
1,1,37,99.99980E-003,10.81490E-006,4.42754E+000,-47.99770E-003,4.82104E-006,4.42754E+000
1,1,38,99.99980E-003,10.67180E-006,4.53446E+000,-40.99770E-003,4.91343E-006,4.53446E+000
1,1,39,99.99990E-003,10.55780E-006,4.67285E+000,-33.99840E-003,4.60632E-006,4.67285E+000
