Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,215.76100E-006,64.93000E-003,-300.00100E-003,-6.37795E-006,64.93000E-003
1,1,2,100.00000E-003,215.69300E-006,168.87500E-003,-292.99900E-003,-5.03808E-006,168.87500E-003
1,1,3,99.99990E-003,215.53700E-006,272.45200E-003,-285.99900E-003,-4.21537E-006,272.45200E-003
1,1,4,100.00000E-003,215.50900E-006,376.00800E-003,-278.99900E-003,-3.57832E-006,376.00800E-003
1,1,5,100.00000E-003,215.45300E-006,479.58300E-003,-271.99900E-003,-3.04799E-006,479.58300E-003
1,1,6,100.00000E-003,215.34500E-006,583.12600E-003,-264.99800E-003,-2.58515E-006,583.12600E-003
1,1,7,100.00000E-003,215.27700E-006,699.83600E-003,-257.99900E-003,-2.22746E-006,699.83600E-003
1,1,8,100.00000E-003,215.24600E-006,806.19400E-003,-250.99900E-003,-1.87210E-006,806.19400E-003
1,1,9,100.00000E-003,215.14300E-006,909.77400E-003,-243.99800E-003,-1.50288E-006,909.77400E-003
1,1,10,100.00000E-003,215.03000E-006,1.06784E+000,-237.00000E-003,-1.82931E-006,1.06784E+000
1,1,11,100.00000E-003,214.82300E-006,1.22591E+000,-229.99900E-003,-1.68127E-006,1.22591E+000
1,1,12,100.00000E-003,214.76300E-006,1.38800E+000,-222.99900E-003,-1.49254E-006,1.38800E+000
1,1,13,100.00000E-003,214.79300E-006,1.54731E+000,-215.99900E-003,-1.27211E-006,1.54731E+000
1,1,14,100.00000E-003,214.71600E-006,1.66378E+000,-208.98520E-003,-784.07800E-009,1.66378E+000
1,1,15,100.00000E-003,214.58600E-006,1.89258E+000,-201.99840E-003,-1.20436E-006,1.89258E+000
1,1,16,100.00000E-003,214.56400E-006,2.11574E+000,-194.99820E-003,-1.16036E-006,2.11574E+000
1,1,17,100.00000E-003,214.57600E-006,2.33999E+000,-187.99840E-003,-1.04269E-006,2.33999E+000
1,1,18,99.99990E-003,214.54600E-006,2.51450E+000,-180.97960E-003,-843.73500E-009,2.51450E+000
1,1,19,99.99990E-003,214.44300E-006,2.64867E+000,-173.98990E-003,-292.58200E-009,2.64867E+000
1,1,20,100.00000E-003,214.38900E-006,2.75808E+000,-166.98680E-003,216.64200E-009,2.75808E+000
1,1,21,99.99990E-003,214.17200E-006,2.86498E+000,-159.99830E-003,525.05000E-009,2.86498E+000
1,1,22,99.99990E-003,214.08700E-006,2.96859E+000,-152.99810E-003,790.26000E-009,2.96859E+000
1,1,23,99.99990E-003,213.93800E-006,3.07550E+000,-145.99810E-003,958.39000E-009,3.07550E+000
1,1,24,100.00000E-003,213.75900E-006,3.20687E+000,-138.99820E-003,1.02516E-006,3.20687E+000
1,1,25,100.00000E-003,213.69100E-006,3.31377E+000,-131.99800E-003,1.21801E-006,3.31377E+000
1,1,26,100.00000E-003,213.62600E-006,3.42069E+000,-124.99790E-003,1.37612E-006,3.42069E+000
1,1,27,100.00000E-003,213.50700E-006,3.53039E+000,-117.99810E-003,1.47979E-006,3.53039E+000
1,1,28,100.00000E-003,213.44400E-006,3.67409E+000,-110.99870E-003,1.23301E-006,3.67409E+000
1,1,29,100.00000E-003,213.32100E-006,3.78276E+000,-103.99840E-003,1.54774E-006,3.78276E+000
1,1,30,100.00000E-003,213.18600E-006,3.88963E+000,-96.99820E-003,1.71928E-006,3.88963E+000
1,1,31,100.00000E-003,212.99100E-006,3.99650E+000,-89.99820E-003,1.84126E-006,3.99650E+000
1,1,32,100.00000E-003,212.87100E-006,4.10341E+000,-82.99810E-003,1.93876E-006,4.10341E+000
1,1,33,100.00000E-003,212.62100E-006,4.22172E+000,-75.99810E-003,1.96890E-006,4.22172E+000
1,1,34,100.00000E-003,212.40700E-006,4.32859E+000,-68.99810E-003,2.06524E-006,4.32859E+000
1,1,35,100.00000E-003,212.18800E-006,4.43571E+000,-61.99810E-003,2.13904E-006,4.43571E+000
1,1,36,100.00000E-003,211.95300E-006,4.54262E+000,-54.99810E-003,2.20383E-006,4.54262E+000
1,1,37,100.00000E-003,211.83100E-006,4.66855E+000,-47.99850E-003,2.04188E-006,4.66855E+000
1,1,38,100.00000E-003,211.64000E-006,4.77547E+000,-40.99800E-003,2.22471E-006,4.77547E+000
1,1,39,100.00000E-003,211.39200E-006,4.88234E+000,-33.99800E-003,2.30087E-006,4.88234E+000
1,1,40,99.99990E-003,211.14600E-006,4.98922E+000,-26.99800E-003,2.35582E-006,4.98922E+000
1,1,41,100.00000E-003,211.40800E-006,5.09772E+000,-19.99810E-003,2.38321E-006,5.09772E+000
1,1,42,99.99990E-003,211.13900E-006,5.21476E+000,-12.99800E-003,2.39357E-006,5.21476E+000
1,1,43,100.00000E-003,210.94400E-006,5.32174E+000,-5.99800E-003,2.45296E-006,5.32174E+000
1,1,44,100.00000E-003,210.90000E-006,5.42869E+000,1.00190E-003,2.49729E-006,5.42869E+000
1,1,45,100.00000E-003,210.66400E-006,5.53557E+000,8.00180E-003,2.53707E-006,5.53557E+000
1,1,46,100.00000E-003,210.31700E-006,5.67586E+000,15.00120E-003,2.24774E-006,5.67586E+000
1,1,47,99.99990E-003,210.04700E-006,5.78276E+000,22.00170E-003,2.47635E-006,5.78276E+000
1,1,48,100.00000E-003,209.73300E-006,5.88966E+000,29.00190E-003,2.56153E-006,5.88966E+000
