Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,308.33100E-006,64.14000E-003,-300.00100E-003,-2.39260E-006,64.14000E-003
1,1,2,100.00000E-003,308.26800E-006,171.64200E-003,-293.00000E-003,-1.63148E-006,171.64200E-003
1,1,3,100.00000E-003,308.46500E-006,278.58800E-003,-286.00000E-003,-1.14444E-006,278.58800E-003
1,1,4,100.00000E-003,308.47500E-006,389.22100E-003,-278.98800E-003,-802.94800E-009,389.22100E-003
1,1,5,100.00000E-003,308.95900E-006,617.98500E-003,-271.99700E-003,-918.52000E-009,617.98500E-003
1,1,6,100.00000E-003,308.89300E-006,846.68900E-003,-264.99700E-003,-743.85000E-009,846.68900E-003
1,1,7,100.00000E-003,308.80400E-006,1.02380E+000,-257.97500E-003,-499.83800E-009,1.02380E+000
1,1,8,100.00000E-003,308.77700E-006,1.23196E+000,-250.97200E-003,-327.11000E-009,1.23196E+000
1,1,9,100.00000E-003,308.55100E-006,1.46308E+000,-244.00000E-003,-247.22000E-009,1.46308E+000
1,1,10,100.00000E-003,308.56300E-006,1.57527E+000,-236.99500E-003,190.37300E-009,1.57527E+000
1,1,11,100.00000E-003,308.43900E-006,1.70503E+000,-229.99400E-003,419.43700E-009,1.70503E+000
1,1,12,100.00000E-003,308.33000E-006,1.81202E+000,-222.99900E-003,609.40000E-009,1.81202E+000
1,1,13,100.00010E-003,308.22100E-006,1.91889E+000,-215.99900E-003,751.73000E-009,1.91889E+000
1,1,14,100.00000E-003,307.97500E-006,2.02576E+000,-208.99910E-003,860.13000E-009,2.02576E+000
1,1,15,100.00000E-003,307.82000E-006,2.16436E+000,-201.99940E-003,769.60000E-009,2.16436E+000
1,1,16,100.00000E-003,307.73500E-006,2.27133E+000,-194.99910E-003,983.64000E-009,2.27133E+000
1,1,17,100.00000E-003,307.51400E-006,2.37821E+000,-187.99900E-003,1.10523E-006,2.37821E+000
1,1,18,100.00000E-003,307.47700E-006,2.48511E+000,-180.99900E-003,1.19808E-006,2.48511E+000
1,1,19,100.00000E-003,307.37100E-006,2.59203E+000,-173.99890E-003,1.27940E-006,2.59203E+000
1,1,20,100.00000E-003,307.17900E-006,2.70849E+000,-166.99890E-003,1.32332E-006,2.70849E+000
1,1,21,100.00000E-003,307.12200E-006,2.81566E+000,-159.99890E-003,1.39674E-006,2.81566E+000
1,1,22,100.00000E-003,307.00800E-006,2.92263E+000,-152.99880E-003,1.46315E-006,2.92263E+000
1,1,23,99.99990E-003,306.65200E-006,3.02961E+000,-145.99870E-003,1.52091E-006,3.02961E+000
1,1,24,100.00000E-003,306.38600E-006,3.16889E+000,-138.99930E-003,1.35784E-006,3.16889E+000
1,1,25,100.00010E-003,306.15800E-006,3.27587E+000,-131.99890E-003,1.52616E-006,3.27587E+000
1,1,26,100.00000E-003,305.83400E-006,3.38287E+000,-124.99900E-003,1.60378E-006,3.38287E+000
1,1,27,100.00000E-003,305.69300E-006,3.48974E+000,-117.99890E-003,1.65746E-006,3.48974E+000
1,1,28,100.00000E-003,305.78400E-006,3.59662E+000,-110.99900E-003,1.69929E-006,3.59662E+000
1,1,29,100.00000E-003,305.30600E-006,3.71121E+000,-103.99900E-003,1.70488E-006,3.71121E+000
1,1,30,99.99990E-003,304.97600E-006,3.81810E+000,-96.99900E-003,1.74259E-006,3.81810E+000
1,1,31,100.00000E-003,304.69000E-006,3.94112E+000,-89.99920E-003,1.72044E-006,3.94112E+000
1,1,32,99.99990E-003,304.27400E-006,4.04954E+000,-82.99890E-003,1.75810E-006,4.04954E+000
1,1,33,100.00000E-003,303.85000E-006,4.17207E+000,-75.99910E-003,1.67269E-006,4.17207E+000
1,1,34,100.00000E-003,303.35800E-006,4.27927E+000,-68.99900E-003,1.75352E-006,4.27927E+000
1,1,35,100.00000E-003,302.95000E-006,4.38818E+000,-61.99900E-003,1.77523E-006,4.38818E+000
1,1,36,100.00000E-003,302.52300E-006,4.49510E+000,-54.99900E-003,1.80437E-006,4.49510E+000
1,1,37,100.00000E-003,302.12200E-006,4.60198E+000,-47.99890E-003,1.81959E-006,4.60198E+000
1,1,38,100.00000E-003,301.88300E-006,4.71161E+000,-40.99910E-003,1.82471E-006,4.71161E+000
1,1,39,100.00000E-003,301.38700E-006,4.81853E+000,-33.99900E-003,1.83683E-006,4.81853E+000
1,1,40,100.00000E-003,300.96300E-006,4.92540E+000,-26.99900E-003,1.84623E-006,4.92540E+000
1,1,41,100.00000E-003,300.49900E-006,5.03269E+000,-19.99900E-003,1.85184E-006,5.03269E+000
1,1,42,100.00000E-003,299.89900E-006,5.17104E+000,-12.99920E-003,1.66070E-006,5.17104E+000
