Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time,transc
1,1,1,1.00E-01,5.17E-05,6.83E-02,-3.00E-01,-9.09E-06,6.83E-02,2.23111E-05
1,1,2,1.00E-01,5.19E-05,1.72E-01,-2.93E-01,-8.39E-06,1.72E-01,3.02857E-06
1,1,3,1.00E-01,5.19E-05,2.76E-01,-2.86E-01,-7.77E-06,2.76E-01,5.68653E-06
1,1,4,1.00E-01,5.19E-05,3.79E-01,-2.79E-01,-7.22E-06,3.79E-01,-1.02557E-05
1,1,5,1.00E-01,5.18E-05,4.83E-01,-2.72E-01,-6.70E-06,4.83E-01,-0.0000221
1,1,6,1.00E-01,5.17E-05,5.87E-01,-2.65E-01,-6.22E-06,5.87E-01,-4.93714E-05
1,1,7,1.00E-01,5.13E-05,7.00E-01,-2.58E-01,-5.76E-06,7.00E-01,-1.13571E-05
1,1,8,1.00E-01,5.13E-05,8.04E-01,-2.51E-01,-5.34E-06,8.04E-01,1.07286E-05
1,1,9,1.00E-01,5.13E-05,9.07E-01,-2.44E-01,-4.95E-06,9.07E-01,2.89714E-05
1,1,10,1.00E-01,5.15E-05,1.01E+00,-2.37E-01,-4.60E-06,1.01E+00,-2.07429E-05
1,1,11,1.00E-01,5.14E-05,1.12E+00,-2.30E-01,-4.26E-06,1.12E+00,-3.33E-05
1,1,12,1.00E-01,5.12E-05,1.22E+00,-2.23E-01,-3.94E-06,1.22E+00,1.04429E-05
1,1,13,1.00E-01,5.12E-05,1.32E+00,-2.16E-01,-3.64E-06,1.32E+00,5.89983E-06
1,1,14,1.00E-01,5.13E-05,1.43E+00,-2.09E-01,-3.37E-06,1.43E+00,-1.42286E-05
1,1,15,1.00E-01,5.12E-05,1.53E+00,-2.02E-01,-3.11E-06,1.53E+00,-1.04001E-05
1,1,16,1.00E-01,5.11E-05,1.67E+00,-1.95E-01,-2.91E-06,1.67E+00,-1.28141E-05
1,1,17,1.00E-01,5.10E-05,1.77E+00,-1.88E-01,-2.65E-06,1.77E+00,-2.81714E-05
1,1,18,1.00E-01,5.08E-05,1.88E+00,-1.81E-01,-2.42E-06,1.88E+00,-1.59857E-05
1,1,19,1.00E-01,5.07E-05,1.98E+00,-1.74E-01,-2.22E-06,1.98E+00,-1.67569E-05
1,1,20,1.00E-01,5.06E-05,2.09E+00,-1.67E-01,-2.03E-06,2.09E+00,-2.71429E-05
1,1,21,1.00E-01,5.04E-05,2.21E+00,-1.60E-01,-1.86E-06,2.21E+00,-4.63435E-05
1,1,22,1.00E-01,5.01E-05,2.31E+00,-1.53E-01,-1.68E-06,2.31E+00,-8.72845E-06
1,1,23,1.00E-01,5.00E-05,2.41E+00,-1.46E-01,-1.53E-06,2.41E+00,6.57152E-07
1,1,24,1.00E-01,5.00E-05,2.52E+00,-1.39E-01,-1.38E-06,2.52E+00,-1.08429E-05
1,1,25,1.00E-01,4.99E-05,2.62E+00,-1.32E-01,-1.24E-06,2.62E+00,-1.36284E-05
1,1,26,1.00E-01,4.98E-05,2.72E+00,-1.25E-01,-1.10E-06,2.72E+00,-1.83717E-05
1,1,27,1.00E-01,4.97E-05,2.89E+00,-1.18E-01,-1.09E-06,2.89E+00,-2.1235E-05
1,1,28,1.00E-01,4.96E-05,3.00E+00,-1.11E-01,-9.31E-07,3.00E+00,-2.28987E-05
1,1,29,1.00E-01,4.94E-05,3.10E+00,-1.04E-01,-7.89E-07,3.10E+00,-2.33711E-05
1,1,30,1.00E-01,4.92E-05,3.21E+00,-9.70E-02,-6.73E-07,3.21E+00,-2.66278E-05
1,1,31,1.00E-01,4.91E-05,3.31E+00,-9.00E-02,-5.62E-07,3.31E+00,-2.55707E-05
1,1,32,1.00E-01,4.89E-05,3.41E+00,-8.30E-02,-4.59E-07,3.41E+00,-2.93861E-05
1,1,33,1.00E-01,4.87E-05,3.52E+00,-7.60E-02,-3.62E-07,3.52E+00,-3.02286E-05
