Repeat,Point,D1__CH1__DRAIN Voltage,D1__CH1__DRAIN Current,D1__CH1__DRAIN Time,D1__CH2__DRAIN Voltage,D1__CH2__DRAIN Current,D1__CH2__DRAIN Time,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,100.00000E-003,252.51200E-006,20.00000E-003,100.00000E-003,489.77400E-006,20.00000E-003,100.00000E-003,478.68400E-006,20.00000E-003,337.00000E-003,1.05170E-006,20.00000E-003
1,2,100.00000E-003,252.50400E-006,120.00000E-003,100.00000E-003,489.76100E-006,120.00000E-003,100.00000E-003,478.68600E-006,120.00000E-003,337.00000E-003,1.05140E-006,120.00000E-003
1,3,100.00000E-003,252.49100E-006,220.00000E-003,100.00000E-003,489.75100E-006,220.00000E-003,100.00000E-003,478.69200E-006,220.00000E-003,337.00000E-003,1.05190E-006,220.00000E-003
1,4,100.00000E-003,252.47800E-006,320.00000E-003,100.00000E-003,489.73100E-006,320.00000E-003,100.00000E-003,478.69000E-006,320.00000E-003,337.00000E-003,1.05170E-006,320.00000E-003
1,5,100.00000E-003,252.45700E-006,420.00000E-003,99.99990E-003,489.72800E-006,420.00000E-003,100.00000E-003,478.68500E-006,420.00000E-003,337.00000E-003,1.05160E-006,420.00000E-003
1,6,100.00000E-003,252.43100E-006,520.00000E-003,100.00000E-003,489.73700E-006,520.00000E-003,100.00000E-003,478.68100E-006,520.00000E-003,337.00000E-003,1.05180E-006,520.00000E-003
1,7,100.00000E-003,252.42100E-006,620.00000E-003,100.00000E-003,489.76100E-006,620.00000E-003,100.00000E-003,478.67100E-006,620.00000E-003,337.00000E-003,1.05140E-006,620.00000E-003
1,8,100.00000E-003,252.44500E-006,720.00000E-003,100.00000E-003,489.72600E-006,720.00000E-003,100.00000E-003,478.67000E-006,720.00000E-003,337.00000E-003,1.05170E-006,720.00000E-003
1,9,100.00000E-003,252.45100E-006,820.00000E-003,100.00000E-003,489.68400E-006,820.00000E-003,100.00000E-003,478.66600E-006,820.00000E-003,337.00000E-003,1.05160E-006,820.00000E-003
1,10,100.00000E-003,252.46500E-006,920.00000E-003,100.00000E-003,489.67700E-006,920.00000E-003,100.00000E-003,478.66500E-006,920.00000E-003,337.00000E-003,1.05130E-006,920.00000E-003
1,11,100.00000E-003,252.46300E-006,1.02000E+000,100.00000E-003,489.70800E-006,1.02000E+000,100.00000E-003,478.65000E-006,1.02000E+000,337.00000E-003,1.05110E-006,1.02000E+000
1,12,100.00000E-003,252.45500E-006,1.12000E+000,100.00000E-003,489.73000E-006,1.12000E+000,100.00000E-003,478.66100E-006,1.12000E+000,337.00000E-003,1.05110E-006,1.12000E+000
1,13,100.00000E-003,252.45100E-006,1.22000E+000,100.00000E-003,489.71400E-006,1.22000E+000,100.00000E-003,478.65600E-006,1.22000E+000,337.00000E-003,1.05110E-006,1.22000E+000
1,14,100.00000E-003,252.45200E-006,1.32000E+000,100.00000E-003,489.70800E-006,1.32000E+000,100.00000E-003,478.65100E-006,1.32000E+000,337.00000E-003,1.05080E-006,1.32000E+000
1,15,100.00000E-003,252.43400E-006,1.42000E+000,99.99990E-003,489.69700E-006,1.42000E+000,100.00000E-003,478.65200E-006,1.42000E+000,337.00000E-003,1.05130E-006,1.42000E+000
1,16,100.00000E-003,252.44300E-006,1.52000E+000,100.00000E-003,489.72200E-006,1.52000E+000,100.00000E-003,478.64200E-006,1.52000E+000,337.00000E-003,1.05110E-006,1.52000E+000
1,17,100.00000E-003,252.45500E-006,1.62000E+000,99.99990E-003,489.70600E-006,1.62000E+000,100.00000E-003,478.63900E-006,1.62000E+000,337.00000E-003,1.05110E-006,1.62000E+000
1,18,100.00000E-003,252.46500E-006,1.72000E+000,100.00000E-003,489.67400E-006,1.72000E+000,100.00000E-003,478.64500E-006,1.72000E+000,337.00000E-003,1.05120E-006,1.72000E+000
1,19,100.00000E-003,252.48600E-006,1.82000E+000,100.00000E-003,489.66900E-006,1.82000E+000,100.00000E-003,478.63800E-006,1.82000E+000,337.00000E-003,1.05110E-006,1.82000E+000
1,20,100.00000E-003,252.49300E-006,1.92000E+000,100.00000E-003,489.62800E-006,1.92000E+000,100.00000E-003,478.64900E-006,1.92000E+000,337.00000E-003,1.05060E-006,1.92000E+000
1,21,100.00000E-003,252.47700E-006,2.02000E+000,100.00000E-003,489.62700E-006,2.02000E+000,100.00000E-003,478.65000E-006,2.02000E+000,337.00000E-003,1.05060E-006,2.02000E+000
1,22,100.00000E-003,252.48400E-006,2.12000E+000,100.00000E-003,489.61400E-006,2.12000E+000,100.00000E-003,478.63900E-006,2.12000E+000,337.00000E-003,1.05080E-006,2.12000E+000
1,23,100.00000E-003,252.48200E-006,2.22000E+000,100.00000E-003,489.62000E-006,2.22000E+000,100.00000E-003,478.64000E-006,2.22000E+000,337.00000E-003,1.05080E-006,2.22000E+000
1,24,100.00000E-003,252.47800E-006,2.32000E+000,100.00000E-003,489.62000E-006,2.32000E+000,100.00000E-003,478.64100E-006,2.32000E+000,337.00000E-003,1.05040E-006,2.32000E+000
1,25,100.00000E-003,252.46300E-006,2.42000E+000,99.99990E-003,489.56400E-006,2.42000E+000,100.00000E-003,478.64400E-006,2.42000E+000,337.00000E-003,1.05060E-006,2.42000E+000
1,26,100.00000E-003,252.44700E-006,2.52000E+000,100.00000E-003,489.55800E-006,2.52000E+000,100.00000E-003,478.64300E-006,2.52000E+000,337.00000E-003,1.05050E-006,2.52000E+000
1,27,100.00000E-003,252.42700E-006,2.62000E+000,100.00000E-003,489.57700E-006,2.62000E+000,100.00000E-003,478.63200E-006,2.62000E+000,337.00000E-003,1.05060E-006,2.62000E+000
1,28,100.00000E-003,252.42700E-006,2.72000E+000,100.00000E-003,489.54100E-006,2.72000E+000,100.00000E-003,478.64400E-006,2.72000E+000,337.00000E-003,1.05050E-006,2.72000E+000
1,29,100.00000E-003,252.41700E-006,2.82000E+000,100.00000E-003,489.59600E-006,2.82000E+000,100.00000E-003,478.64300E-006,2.82000E+000,337.00000E-003,1.05030E-006,2.82000E+000
1,30,100.00000E-003,252.42700E-006,2.92000E+000,100.00000E-003,489.58600E-006,2.92000E+000,100.00000E-003,478.62700E-006,2.92000E+000,337.00000E-003,1.05030E-006,2.92000E+000
1,31,100.00000E-003,252.44600E-006,3.02000E+000,100.00000E-003,489.54400E-006,3.02000E+000,100.00000E-003,478.61800E-006,3.02000E+000,337.00000E-003,1.05040E-006,3.02000E+000
1,32,100.00000E-003,252.44700E-006,3.12000E+000,100.00000E-003,489.51500E-006,3.12000E+000,100.00000E-003,478.61800E-006,3.12000E+000,337.00000E-003,1.05070E-006,3.12000E+000
1,33,100.00000E-003,252.43600E-006,3.22000E+000,100.00000E-003,489.54100E-006,3.22000E+000,100.00000E-003,478.61300E-006,3.22000E+000,337.00000E-003,1.05030E-006,3.22000E+000
1,34,100.00000E-003,252.43500E-006,3.32000E+000,99.99990E-003,489.54100E-006,3.32000E+000,100.00000E-003,478.61500E-006,3.32000E+000,337.00000E-003,1.05050E-006,3.32000E+000
1,35,100.00000E-003,252.42300E-006,3.42000E+000,100.00000E-003,489.59600E-006,3.42000E+000,100.00000E-003,478.61200E-006,3.42000E+000,337.00000E-003,1.05020E-006,3.42000E+000
