Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,83.77410E-003,1.00000E-003,134.48700E-003,-299.98800E-003,-191.62100E-009,134.48700E-003
1,1,2,84.02750E-003,1.00000E-003,244.20400E-003,-292.99400E-003,331.08200E-009,244.20400E-003
1,1,3,84.30360E-003,1.00000E-003,351.19500E-003,-285.99900E-003,584.22000E-009,351.19500E-003
1,1,4,84.59550E-003,1.00000E-003,454.74400E-003,-278.99900E-003,759.89000E-009,454.74400E-003
1,1,5,84.89680E-003,1.00000E-003,558.28300E-003,-271.99900E-003,880.91000E-009,558.28300E-003
1,1,6,85.21040E-003,1.00000E-003,661.84800E-003,-264.99900E-003,973.86000E-009,661.84800E-003
1,1,7,85.53640E-003,1.00000E-003,765.49800E-003,-257.99900E-003,1.04633E-006,765.49800E-003
1,1,8,85.87530E-003,1.00000E-003,870.66700E-003,-250.99900E-003,1.09514E-006,870.66700E-003
1,1,9,86.22620E-003,1.00000E-003,974.23600E-003,-243.99900E-003,1.15694E-006,974.23600E-003
1,1,10,86.58500E-003,1.00000E-003,1.07780E+000,-236.99900E-003,1.20631E-006,1.07780E+000
1,1,11,86.95350E-003,1.00000E-003,1.18136E+000,-229.99900E-003,1.24889E-006,1.18136E+000
1,1,12,87.33680E-003,1.00000E-003,1.28496E+000,-222.99900E-003,1.29099E-006,1.28496E+000
1,1,13,87.73290E-003,1.00000E-003,1.38857E+000,-215.99900E-003,1.32473E-006,1.38857E+000
1,1,14,88.13390E-003,1.00000E-003,1.49401E+000,-208.99900E-003,1.33586E-006,1.49401E+000
1,1,15,88.55240E-003,1.00000E-003,1.59757E+000,-201.99890E-003,1.38220E-006,1.59757E+000
1,1,16,88.99660E-003,1.00000E-003,1.72873E+000,-194.99930E-003,1.23753E-006,1.72873E+000
1,1,17,89.43410E-003,1.00000E-003,1.83234E+000,-187.99900E-003,1.37905E-006,1.83234E+000
1,1,18,89.89190E-003,1.00000E-003,1.93592E+000,-180.99900E-003,1.43383E-006,1.93592E+000
1,1,19,90.36220E-003,1.00000E-003,2.03957E+000,-173.99900E-003,1.47079E-006,2.03957E+000
1,1,20,90.84880E-003,1.00000E-003,2.14311E+000,-166.99890E-003,1.50194E-006,2.14311E+000
1,1,21,91.35690E-003,1.00000E-003,2.27052E+000,-159.99890E-003,1.46959E-006,2.27052E+000
1,1,22,91.87050E-003,1.00000E-003,2.37406E+000,-152.99890E-003,1.51545E-006,2.37406E+000
1,1,23,92.39940E-003,1.00000E-003,2.47763E+000,-145.99890E-003,1.54550E-006,2.47763E+000
1,1,24,92.94780E-003,1.00000E-003,2.58117E+000,-138.99890E-003,1.56934E-006,2.58117E+000
1,1,25,93.51290E-003,1.00000E-003,2.68479E+000,-131.99890E-003,1.58827E-006,2.68479E+000
1,1,26,94.09400E-003,1.00000E-003,2.78971E+000,-124.99900E-003,1.59987E-006,2.78971E+000
1,1,27,94.69100E-003,1.00000E-003,2.89325E+000,-117.99890E-003,1.61405E-006,2.89325E+000
1,1,28,95.31120E-003,1.00000E-003,2.99683E+000,-110.99890E-003,1.62529E-006,2.99683E+000
1,1,29,95.95000E-003,1.00000E-003,3.10067E+000,-103.99900E-003,1.63117E-006,3.10067E+000
1,1,30,96.62810E-003,1.00000E-003,3.22991E+000,-96.99940E-003,1.47670E-006,3.22991E+000
1,1,31,97.29830E-003,1.00000E-003,3.33351E+000,-89.99910E-003,1.57860E-006,3.33351E+000
1,1,32,97.99530E-003,1.00000E-003,3.43711E+000,-82.99900E-003,1.60368E-006,3.43711E+000
1,1,33,98.72000E-003,999.99700E-006,3.54064E+000,-75.99900E-003,1.61497E-006,3.54064E+000
1,1,34,99.45510E-003,999.85500E-006,3.64420E+000,-68.99900E-003,1.61955E-006,3.64420E+000
1,1,35,99.99120E-003,997.36700E-006,3.74780E+000,-61.99900E-003,1.62203E-006,3.74780E+000
1,1,36,100.00000E-003,989.16500E-006,3.85147E+000,-54.99900E-003,1.63684E-006,3.85147E+000
1,1,37,100.00000E-003,980.64500E-006,3.95502E+000,-47.99900E-003,1.64196E-006,3.95502E+000
1,1,38,100.00000E-003,971.96600E-006,4.06021E+000,-40.99900E-003,1.62525E-006,4.06021E+000
1,1,39,100.00000E-003,963.12700E-006,4.16375E+000,-33.99900E-003,1.63919E-006,4.16375E+000
1,1,40,100.00000E-003,954.06200E-006,4.27498E+000,-26.99900E-003,1.62240E-006,4.27498E+000
1,1,41,100.00000E-003,944.84400E-006,4.37853E+000,-19.99900E-003,1.62843E-006,4.37853E+000
1,1,42,100.00000E-003,935.44100E-006,4.48210E+000,-12.99890E-003,1.63125E-006,4.48210E+000
1,1,43,100.00000E-003,925.82300E-006,4.58781E+000,-5.99900E-003,1.61670E-006,4.58781E+000
1,1,44,100.00000E-003,916.08900E-006,4.69136E+000,1.00100E-003,1.62801E-006,4.69136E+000
1,1,45,100.00000E-003,906.16700E-006,4.79508E+000,8.00110E-003,1.63020E-006,4.79508E+000
1,1,46,100.00000E-003,896.05300E-006,4.90050E+000,15.00100E-003,1.61985E-006,4.90050E+000
1,1,47,100.00000E-003,885.80400E-006,5.00441E+000,22.00100E-003,1.63161E-006,5.00441E+000
1,1,48,100.00000E-003,875.37500E-006,5.10795E+000,29.00090E-003,1.63749E-006,5.10795E+000
1,1,49,100.00000E-003,864.48600E-006,5.23559E+000,36.00060E-003,1.50111E-006,5.23559E+000
