Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,293.67100E-006,63.58000E-003,-300.00100E-003,-14.26870E-006,63.58000E-003
1,1,2,100.00000E-003,293.55800E-006,167.52900E-003,-292.99900E-003,-12.59580E-006,167.52900E-003
1,1,3,99.99990E-003,293.50400E-006,271.16800E-003,-285.99900E-003,-11.50790E-006,271.16800E-003
1,1,4,100.00000E-003,293.34900E-006,374.71400E-003,-278.99900E-003,-10.63140E-006,374.71400E-003
1,1,5,100.00000E-003,293.16100E-006,480.26100E-003,-271.99900E-003,-9.90600E-006,480.26100E-003
1,1,6,100.00000E-003,292.92500E-006,590.34400E-003,-264.99900E-003,-9.30402E-006,590.34400E-003
1,1,7,99.99990E-003,292.73400E-006,696.85300E-003,-257.99900E-003,-8.65880E-006,696.85300E-003
1,1,8,99.99990E-003,292.54800E-006,800.98700E-003,-250.99900E-003,-8.09938E-006,800.98700E-003
1,1,9,99.99990E-003,292.32100E-006,904.73300E-003,-243.99800E-003,-7.58844E-006,904.73300E-003
1,1,10,100.00000E-003,292.10100E-006,1.00829E+000,-236.99900E-003,-7.11389E-006,1.00829E+000
1,1,11,100.00000E-003,291.83800E-006,1.11228E+000,-229.99900E-003,-6.67164E-006,1.11228E+000
1,1,12,100.00000E-003,291.66800E-006,1.21586E+000,-222.99800E-003,-6.25267E-006,1.21586E+000
1,1,13,100.00000E-003,291.42300E-006,1.31939E+000,-215.99900E-003,-5.85644E-006,1.31939E+000
1,1,14,100.00000E-003,291.22800E-006,1.42296E+000,-208.99820E-003,-5.49923E-006,1.42296E+000
1,1,15,100.00000E-003,291.00600E-006,1.52652E+000,-201.99820E-003,-5.13137E-006,1.52652E+000
1,1,16,100.00000E-003,290.77700E-006,1.66284E+000,-194.99880E-003,-5.10753E-006,1.66284E+000
1,1,17,100.00000E-003,290.68100E-006,1.76644E+000,-187.99850E-003,-4.57023E-006,1.76644E+000
1,1,18,100.00000E-003,290.38100E-006,1.86998E+000,-180.99840E-003,-4.19504E-006,1.86998E+000
1,1,19,100.00000E-003,290.21700E-006,1.97358E+000,-173.99830E-003,-3.85948E-006,1.97358E+000
1,1,20,100.00000E-003,289.96300E-006,2.07886E+000,-166.99840E-003,-3.56497E-006,2.07886E+000
1,1,21,100.00000E-003,289.71200E-006,2.19988E+000,-159.99850E-003,-3.31651E-006,2.19988E+000
1,1,22,100.00000E-003,289.16600E-006,2.30346E+000,-152.99840E-003,-2.99705E-006,2.30346E+000
1,1,23,100.00000E-003,288.92300E-006,2.40702E+000,-145.99840E-003,-2.70715E-006,2.40702E+000
1,1,24,100.00000E-003,288.61500E-006,2.51149E+000,-138.99830E-003,-2.44314E-006,2.51149E+000
1,1,25,99.99990E-003,288.29000E-006,2.61516E+000,-131.99840E-003,-2.17400E-006,2.61516E+000
1,1,26,100.00000E-003,287.90600E-006,2.71886E+000,-124.99850E-003,-1.92038E-006,2.71886E+000
